RANK,PLAYER,#,POS,#G,TEAM,DB,ATT,COM,COM%,YDS,YPA,TD,INT,OFF,PASS,RUN,FUM,BTT,BTT%,TWP,TWP%,ADOT,ADJ%,DRP,DRP%,BAT,HAT,TA,DPR,SK,P2S%,TTT,SCR,1ST,NFL
1,Joe Milton III,# 19,QB,1,NE,32,29,22,75.9,241,8.3,1,0,95.8,94.9,72.6,79.8,3,9.4,0,0.0,10.5,81.5,0,0.0,0,0,2,11,0,0.0,3.33,2,15,111.4
2,Lamar Jackson,# 08,QB,19,BLT,597,520,350,67.3,"4,601",8.8,45,5,94.9,93.3,90.4,44.2,35,6.3,10,1.6,9.3,77.0,18,4.9,11,10,15,232,26,11.2,3.20,47,239,119.9
3,Joe Burrow,# 09,QB,17,CIN,725,652,460,70.6,"4,918",7.5,43,9,93.9,92.9,74.8,56.9,38,5.5,15,1.9,7.7,79.6,27,5.5,8,8,23,248,48,19.4,2.65,22,264,108.5
4,Marcus Mariota,# 18,QB,3,WAS,51,44,34,77.3,364,8.3,4,0,88.3,90.8,60.3,83.3,4,8.2,0,0.0,9.8,88.1,3,8.1,0,0,1,13,3,23.1,3.13,4,24,131.3
5,Justin Herbert,# 10,QB,18,LAC,618,536,346,64.6,"4,112",7.7,24,7,91.2,90.2,72.4,59.2,33,5.7,16,2.4,9.2,75.7,31,8.2,10,8,17,209,45,21.5,2.87,31,196,97.3
6,Michael Penix Jr.,# 09,QB,5,ATL,114,105,61,58.1,775,7.4,3,3,87.9,87.6,51.3,34.9,10,9.0,2,1.7,10.6,70.4,8,11.6,1,3,3,33,4,12.1,2.66,4,36,78.9
7,Derek Carr,# 04,QB,10,NO,300,279,189,67.7,"2,145",7.7,15,5,85.6,86.7,48.6,60.6,16,5.4,8,2.5,8.6,78.7,10,5.0,3,3,20,94,8,8.5,2.64,8,94,101.0
8,Jayden Daniels,# 05,QB,20,WAS,736,594,406,68.4,"4,390",7.4,30,10,90.6,84.7,90.0,75.5,22,3.5,12,1.5,7.7,78.1,22,5.1,15,1,28,259,51,19.7,2.95,87,251,99.7
9,Josh Allen,# 17,QB,19,BUF,634,565,365,64.6,"4,367",7.7,32,6,91.9,84.1,93.6,37.4,43,7.0,18,2.6,8.7,74.2,20,5.2,10,5,30,211,19,9.0,2.86,47,218,102.6
10,Baker Mayfield,# 06,QB,18,TB,680,588,422,71.8,"4,685",8.0,43,16,85.9,83.6,70.9,42.1,22,3.5,24,3.3,7.4,79.2,23,5.2,11,6,8,168,41,24.4,2.78,46,257,108.1
11,Geno Smith,# 07,QB,17,SEA,652,578,407,70.4,"4,320",7.5,21,15,83.1,82.4,62.6,65.2,28,4.5,18,2.6,7.6,78.4,14,3.3,13,4,22,251,50,19.9,2.82,24,221,93.2
12,Tyrod Taylor,# 02,QB,2,NYJ,24,22,17,77.3,119,5.4,3,0,74.5,78.4,49.2,25.6,0,0.0,0,0.0,4.8,81.0,0,0.0,0,0,1,8,0,0.0,2.69,2,9,128.6
