RANK,PLAYER,#,POS,#G,TEAM,DB,ATT,COM,COM%,YDS,YPA,TD,INT,OFF,PASS,RUN,FUM,BTT,BTT%,TWP,TWP%,ADOT,ADJ%,DRP,DRP%,BAT,HAT,TA,DPR,SK,P2S%,TTT,SCR,1ST,NFL
1,Drew Brees,# 09,QB,17,NO,592,567,418,73.7,"4,542",8.0,36,7,94.0,93.6,70.3,78.9,31,5.2,15,2.4,7.7,81.5,23,5.2,7,3,15,152,21,13.8,2.48,4,226,112.9
2,Patrick Mahomes,# 15,QB,18,KC,722,652,426,65.3,"5,670",8.7,53,12,92.8,92.2,67.1,62.4,51,7.3,25,3.2,9.7,77.8,37,8.0,11,17,28,256,34,13.3,2.80,32,273,112.2
3,Andrew Luck,# 12,QB,18,IND,757,707,468,66.2,"5,018",7.1,42,16,91.2,89.5,76.7,90.2,41,5.5,23,2.9,8.3,75.3,36,7.1,18,6,12,222,21,9.5,2.57,28,267,97.2
4,Tom Brady,# 12,QB,19,NE,723,695,460,66.2,"5,308",7.6,31,14,90.7,88.5,74.7,78.9,33,4.5,20,2.6,8.1,76.0,36,7.3,6,4,30,175,22,12.6,2.45,5,259,95.5
5,Philip Rivers,# 17,QB,18,LAC,632,591,394,66.7,"4,799",8.1,35,13,88.9,87.4,56.7,90.9,37,5.9,24,3.6,8.7,76.5,26,6.2,12,7,23,233,35,15.0,2.51,6,236,102.0
6,Russell Wilson,# 03,QB,17,SEA,538,454,298,65.6,"3,681",8.1,36,7,89.1,86.3,74.1,47.8,43,8.8,16,2.8,9.8,76.7,14,4.5,8,4,27,212,52,24.5,2.98,31,177,110.6
6,Aaron Rodgers,# 12,QB,16,GB,681,597,372,62.3,"4,442",7.4,25,2,89.0,86.3,77.0,60.3,35,5.5,11,1.5,9.2,74.0,21,5.3,0,5,59,225,49,21.8,2.94,34,220,97.6
8,Jared Goff,# 16,QB,19,LA,729,667,423,63.4,"5,400",8.1,33,14,84.3,83.6,53.3,56.2,39,5.5,30,3.9,9.2,74.8,23,5.2,12,9,46,232,39,16.8,2.83,23,276,96.4
9,Ryan Fitzpatrick,# 14,QB,8,TB,285,246,164,66.7,"2,366",9.6,17,12,83.9,82.4,65.4,68.0,20,7.7,17,5.6,10.8,74.8,11,6.3,4,2,6,101,14,13.9,2.63,24,118,100.4
10,Matt Ryan,# 02,QB,16,ATL,668,608,422,69.4,"4,924",8.1,35,7,84.3,80.6,79.7,44.1,24,3.8,21,3.0,8.9,77.8,26,5.8,8,2,21,219,42,19.2,2.61,18,243,108.1
