RANK,PLAYER,#,POS,#G,TEAM,DB,ATT,COM,COM%,YDS,YPA,TD,INT,OFF,PASS,RUN,FUM,BTT,BTT%,TWP,TWP%,ADOT,ADJ%,DRP,DRP%,BAT,HAT,TA,DPR,SK,P2S%,TTT,SCR,1ST,NFL
11,Baker Mayfield,# 06,QB,14,CLV,531,486,310,63.8,"3,725",7.7,27,14,83.2,79.9,75.8,70.2,40,7.7,18,3.1,9.6,74.0,28,8.3,9,2,15,154,25,16.2,2.66,18,177,93.7
12,Andy Dalton,# 14,QB,11,CIN,398,365,226,61.9,"2,566",7.0,21,11,81.9,79.3,69.7,86.5,23,5.9,16,3.7,8.9,72.4,21,8.5,6,4,11,127,21,16.5,2.50,12,136,89.6
13,Kirk Cousins,# 08,QB,16,MIN,669,606,425,70.1,"4,298",7.1,30,10,79.3,79.2,51.4,61.1,26,4.1,17,2.4,7.9,79.5,21,4.7,17,8,17,261,40,15.3,2.61,17,220,99.7
14,Carson Wentz,# 11,QB,11,PHI,448,401,279,69.6,"3,074",7.7,21,7,79.4,78.5,60.3,44.9,18,4.3,16,3.4,8.0,78.7,21,7.0,3,10,5,140,31,22.1,2.61,16,163,102.2
15,Deshaun Watson,# 04,QB,17,HST,685,554,374,67.5,"4,400",7.9,27,10,80.9,77.9,75.6,43.4,22,3.7,21,2.9,8.9,75.3,13,3.4,6,8,20,296,64,21.6,3.06,65,238,100.2
16,Matthew Stafford,# 09,QB,16,DET,608,555,367,66.1,"3,777",6.8,21,11,77.8,76.6,59.0,63.6,30,5.1,21,3.2,7.1,75.4,26,6.6,11,5,17,186,40,21.5,2.58,13,204,89.9
17,Ben Roethlisberger,# 07,QB,16,PIT,713,675,452,67.0,"5,129",7.6,34,16,78.2,75.2,78.4,73.8,43,6.0,27,3.5,8.1,73.9,21,4.4,7,8,17,173,24,13.9,2.45,13,255,96.5
18,Nick Foles,# 09,QB,7,PHI,278,266,184,69.2,"1,880",7.1,10,8,76.6,73.7,73.2,53.8,8,2.8,9,3.0,7.4,75.3,8,4.2,2,2,5,84,10,11.9,2.44,2,89,89.2
19,Kyle Allen,# 07,QB,2,CAR,34,31,20,64.5,266,8.6,2,0,73.8,73.2,61.5,79.2,1,2.9,0,0.0,8.6,71.4,0,0.0,0,2,1,13,0,0.0,2.86,3,12,113.1
20,Dak Prescott,# 04,QB,18,DAL,680,591,398,67.3,"4,377",7.4,24,9,74.8,73.0,68.2,31.3,21,3.3,20,2.7,7.9,75.4,22,5.2,5,7,22,248,58,23.4,2.85,30,222,96.3
21,Derek Carr,# 04,QB,16,OAK,612,553,381,68.9,"4,049",7.3,19,10,73.2,71.9,64.6,46.7,26,4.5,24,3.7,7.1,78.9,22,5.5,8,5,22,183,51,27.9,2.45,8,200,93.9
22,Joe Flacco,# 05,QB,9,BLT,400,379,232,61.2,"2,465",6.5,12,6,72.0,70.6,71.2,76.8,15,3.7,12,2.8,9.3,74.9,24,9.4,13,4,17,113,16,14.2,2.58,4,124,84.2
23,Marcus Mariota,# 08,QB,14,TEN,409,331,228,68.9,"2,528",7.6,11,8,76.8,70.3,83.0,48.9,13,3.7,15,3.5,7.9,77.1,15,6.2,3,0,13,141,42,29.8,2.81,35,135,92.3
24,Cam Newton,# 01,QB,14,CAR,531,471,320,67.9,"3,395",7.2,24,13,70.9,70.0,66.5,78.6,13,2.6,25,4.5,7.6,78.0,24,7.0,8,1,18,174,29,16.7,2.67,27,188,94.2
25,Alex Smith,# 11,QB,10,WAS,374,328,205,62.5,"2,180",6.6,10,5,70.2,69.0,61.6,75.6,9,2.6,9,2.3,8.6,72.8,9,4.2,5,6,21,119,22,18.5,2.79,23,114,85.7
26,Jameis Winston,# 03,QB,11,TB,441,378,244,64.6,"2,992",7.9,19,14,69.9,68.3,69.2,60.2,13,3.2,22,4.7,11.3,70.3,12,4.7,4,4,5,150,27,18.0,2.88,36,166,90.2
27,Chase Daniel,# 04,QB,2,CHI,87,76,53,69.7,515,6.8,3,2,57.6,67.7,26.3,25.1,4,4.8,2,2.1,8.4,78.1,4,7.0,1,2,0,29,9,31.0,2.74,2,24,90.6
28,Case Keenum,# 04,QB,16,DEN,633,586,365,62.3,"3,890",6.6,18,15,70.0,66.9,81.5,46.1,20,3.2,25,3.7,8.1,75.1,37,9.2,8,11,30,230,34,14.8,2.57,12,186,81.2
29,Nick Mullens,# 04,QB,8,SF,292,274,176,64.2,"2,277",8.3,13,10,64.6,66.7,37.9,69.9,5,1.7,10,3.2,7.5,78.2,11,5.9,8,15,8,109,17,15.6,2.51,1,106,90.8
30,C.J. Beathard,# 03,QB,6,SF,198,169,102,60.4,"1,252",7.4,8,7,64.9,65.5,52.7,61.4,3,1.7,5,2.4,7.3,73.4,11,9.7,9,2,4,71,18,25.4,2.59,11,63,81.8
31,Blake Bortles,# 05,QB,13,JAX,476,403,243,60.3,"2,718",6.7,13,11,64.1,64.7,54.6,40.4,18,4.3,14,2.8,7.7,74.5,31,11.3,14,8,13,171,31,18.1,2.74,40,147,79.8
32,Eli Manning,# 10,QB,16,NYG,627,576,380,66.0,"4,299",7.5,21,11,64.3,63.7,59.6,55.1,25,4.1,31,4.7,7.8,74.9,26,6.4,6,5,22,213,47,22.1,2.52,4,206,92.4
33,Sam Darnold,# 14,QB,13,NYJ,460,414,239,57.7,"2,865",6.9,17,15,64.7,62.9,62.7,71.5,16,3.7,21,4.4,9.8,69.7,25,9.5,7,2,25,165,30,18.2,2.83,16,138,77.6
34,Sean Mannion,# 14,QB,1,LA,3,3,2,66.7,23,7.7,0,0,62.4,62.8,58.5,72.8,0,0.0,0,0.0,-3.3,100.0,1,33.3,0,0,0,0,0,,2.13,0,1,89.6
35,Matt Barkley,# 05,QB,1,BUF,26,25,15,60.0,232,9.3,2,0,61.6,61.3,57.9,77.4,3,12.0,2,7.7,13.6,60.0,0,0.0,0,0,0,5,1,20.0,2.58,0,12,117.4
36,Jimmy Garoppolo,# 10,QB,3,SF,107,89,53,59.6,718,8.1,5,3,62.6,60.5,63.2,33.3,4,4.1,5,4.3,9.5,65.5,2,3.6,2,0,3,48,13,27.1,2.96,5,36,90.0
37,Teddy Bridgewater,# 05,QB,2,NO,28,23,14,60.9,118,5.1,1,1,58.4,59.4,55.6,79.1,0,0.0,1,3.4,7.3,66.7,0,0.0,1,0,1,12,2,16.7,3.34,3,9,70.6
38,Joshua Dobbs,# 05,QB,3,PIT,14,12,6,50.0,43,3.6,0,1,66.7,59.1,72.6,74.2,0,0.0,0,0.0,5.1,54.5,0,0.0,0,1,0,5,0,0.0,2.98,2,4,24.0
39,Josh Allen,# 17,QB,12,BUF,396,320,169,52.8,"2,074",6.5,10,12,65.3,58.0,81.4,50.2,17,4.9,22,5.1,11.5,64.7,20,10.6,1,4,23,172,28,16.3,3.20,47,114,67.9
40,Taysom Hill,# 07,QB,9,NO,12,8,3,37.5,64,8.0,0,1,67.2,57.9,74.1,87.4,1,11.1,1,7.7,16.4,75.0,3,50.0,0,0,0,6,1,16.7,3.36,3,4,27.1
41,Mitch Trubisky,# 10,QB,15,CHI,544,477,315,66.0,"3,526",7.4,25,12,63.6,57.8,85.5,56.1,24,4.6,25,4.3,9.4,71.4,12,3.7,3,2,12,162,26,16.0,2.75,38,179,94.9
42,Mike Glennon,# 07,QB,2,ARZ,22,21,15,71.4,174,8.3,1,0,57.5,57.4,-,75.6,0,0.0,0,0.0,9.4,75.0,0,0.0,1,0,0,6,1,16.7,2.19,0,8,112.0
43,Lamar Jackson,# 08,QB,13,BLT,243,199,113,56.8,"1,395",7.0,8,4,56.1,56.5,56.8,23.7,7,3.3,11,4.3,8.9,65.4,8,6.6,2,1,9,95,22,23.2,3.20,22,77,83.6
44,Chad Henne,# 04,QB,1,KC,3,3,2,66.7,29,9.7,0,0,53.7,56.1,58.3,67.4,0,0.0,0,0.0,5.0,100.0,1,33.3,0,0,0,0,0,,1.73,0,2,97.9
45,Brian Hoyer,# 02,QB,2,NE,2,2,1,50.0,7,3.5,0,0,64.9,55.5,67.3,74.4,0,0.0,0,0.0,1.0,50.0,0,0.0,0,0,0,0,0,,1.35,0,0,58.3
46,Matt Schaub,# 08,QB,1,ATL,7,7,5,71.4,20,2.9,0,0,40.1,55.0,45.9,17.7,0,0.0,0,0.0,4.4,100.0,2,28.6,0,0,0,0,0,,1.99,0,1,74.1
47,Jacoby Brissett,# 07,QB,3,IND,4,4,2,50.0,2,0.5,0,0,57.8,54.8,61.9,73.2,0,0.0,0,0.0,22.8,75.0,1,33.3,0,0,0,2,0,0.0,3.10,0,1,56.3
48,A.J. McCarron,# 02,QB,1,OAK,4,3,1,33.3,8,2.7,0,0,58.1,54.2,57.5,70.5,0,0.0,0,0.0,6.0,100.0,0,0.0,0,0,2,3,1,33.3,3.60,0,0,42.4
49,Brock Osweiler,# 08,QB,7,MIA,200,178,113,63.5,"1,247",7.0,6,4,52.7,53.4,50.9,90.1,4,2.1,9,4.3,8.0,74.2,5,4.2,3,4,11,85,17,20.0,2.58,4,58,86.0
50,Garrett Gilbert,# 03,QB,1,CAR,4,3,2,66.7,40,13.3,0,0,52.5,52.1,-,66.9,0,0.0,0,0.0,5.0,100.0,0,0.0,0,0,1,2,1,50.0,3.65,0,1,109.7
50,Cody Kessler,# 06,QB,5,JAX,169,131,85,64.9,709,5.4,2,2,55.7,52.1,70.0,23.6,3,2.2,7,4.0,6.9,77.5,8,8.6,0,1,10,73,22,30.1,2.87,15,42,77.4
52,Colt McCoy,# 12,QB,3,WAS,67,54,34,63.0,372,6.9,3,3,60.1,51.2,87.4,46.0,3,5.1,4,5.6,10.0,68.6,1,2.9,1,0,0,23,6,26.1,2.72,7,20,78.6
53,Jeff Driskel,# 06,QB,8,CIN,203,176,105,59.7,"1,003",5.7,6,2,52.7,51.1,60.8,59.8,7,3.6,8,3.6,8.6,72.4,13,11.0,6,1,6,70,15,21.4,2.59,12,56,82.2
54,Josh Rosen,# 03,QB,14,ARZ,453,393,217,55.2,"2,278",5.8,11,14,49.1,48.2,60.6,34.6,19,4.5,24,5.0,8.8,67.9,22,9.2,10,6,24,183,45,24.6,2.66,14,120,66.7
55,Nate Sudfeld,# 07,QB,2,PHI,2,2,1,50.0,22,11.0,1,0,49.4,47.5,60.0,67.8,0,0.0,0,0.0,5.0,50.0,0,0.0,0,0,0,1,0,0.0,2.20,0,1,129.2
56,Derek Anderson,# 03,QB,2,BUF,75,70,42,60.0,465,6.6,0,4,47.5,47.4,60.0,26.6,2,2.8,7,9.1,9.6,68.2,3,6.7,3,0,1,22,5,22.7,2.46,0,22,56.0
57,Matt Cassel,# 08,QB,2,DET,19,17,7,41.2,59,3.5,0,1,48.6,46.4,64.5,75.7,0,0.0,0,0.0,7.8,50.0,1,12.5,0,0,1,5,1,20.0,2.51,1,3,26.3
58,Josh McCown,# 15,QB,4,NYJ,122,110,60,54.5,539,4.9,1,4,47.0,45.5,65.9,86.6,1,0.9,6,4.8,7.9,70.1,8,11.8,8,2,2,47,7,14.9,2.54,5,30,55.8
59,Tyrod Taylor,# 05,QB,4,CLV,108,85,42,49.4,473,5.6,2,2,47.0,44.9,61.4,60.0,2,2.2,4,3.5,10.7,62.2,4,8.7,3,1,6,42,13,31.0,2.95,10,21,64.5
60,Taylor Heinicke,# 06,QB,5,CAR,60,57,35,61.4,320,5.6,1,3,46.2,43.8,70.6,82.6,1,1.6,4,6.0,8.9,67.9,1,2.8,0,2,1,22,2,9.1,2.66,1,20,60.6
61,Sam Bradford,# 09,QB,3,ARZ,88,80,50,62.5,400,5.0,2,4,41.4,42.6,64.3,23.7,1,1.2,7,7.6,6.4,66.7,2,3.8,1,0,1,37,6,16.2,2.34,1,17,62.5
62,Ryan Tannehill,# 17,QB,11,MIA,318,274,176,64.2,"1,979",7.2,17,9,45.3,42.4,65.8,38.2,8,2.7,23,6.7,8.5,74.3,9,4.9,10,3,11,120,35,29.2,2.57,8,97,92.7
63,Josh Johnson,# 08,QB,4,WAS,114,91,52,57.1,590,6.5,3,4,47.6,42.3,68.2,39.1,1,1.0,6,4.8,9.7,64.3,2,3.7,1,1,5,49,10,20.4,3.21,13,33,69.4
64,Mark Sanchez,# 06,QB,2,WAS,43,35,19,54.3,138,3.9,0,3,41.8,41.7,63.9,28.8,1,2.9,4,9.3,6.0,80.6,6,24.0,2,1,1,19,7,36.8,2.69,1,4,28.0
65,Blaine Gabbert,# 07,QB,6,TEN,106,101,61,60.4,626,6.2,4,4,33.6,35.2,49.8,86.4,3,2.8,9,7.8,7.7,66.3,4,6.2,1,0,2,23,5,21.7,2.29,0,31,74.9
66,Robert Griffin III,# 03,QB,2,BLT,6,6,2,33.3,21,3.5,0,0,34.9,33.9,-,69.6,0,0.0,1,14.3,13.0,40.0,0,0.0,0,0,1,4,0,0.0,3.23,0,1,44.4
67,Nathan Peterman,# 02,QB,4,BUF,96,81,44,54.3,296,3.7,1,7,32.9,31.6,58.9,85.5,1,1.1,5,4.7,6.9,68.6,4,8.3,2,3,6,30,7,23.3,2.81,8,15,30.7
68,DeShone Kizer,# 09,QB,2,GB,50,42,20,47.6,187,4.5,0,2,34.2,29.6,76.8,31.5,1,2.4,5,10.0,10.7,64.9,4,16.7,0,1,3,15,4,26.7,3.23,4,11,40.5
69,Kyle Lauletta,# 17,QB,1,NYG,5,5,0,0.0,0,0.0,0,1,27.0,26.8,60.0,69.2,0,0.0,2,40.0,13.6,0.0,0,,0,0,0,4,0,0.0,2.70,0,0,0.0
70,Geno Smith,# 03,QB,3,LAC,6,4,1,25.0,8,2.0,0,0,20.6,17.2,59.2,13.9,0,0.0,3,42.9,2.5,50.0,0,0.0,1,0,1,3,1,33.3,3.20,1,0,39.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
