RANK,PLAYER,#,POS,#G,TEAM,DB,ATT,COM,COM%,YDS,YPA,TD,INT,OFF,PASS,RUN,FUM,BTT,BTT%,TWP,TWP%,ADOT,ADJ%,DRP,DRP%,BAT,HAT,TA,DPR,SK,P2S%,TTT,SCR,1ST,NFL
1,Aaron Rodgers,# 12,QB,18,GB,660,610,428,70.2,"4,941",8.1,53,6,95.1,94.7,56.0,88.1,49,7.6,15,2.1,8.3,81.2,30,6.6,3,2,38,160,25,15.6,2.68,25,264,119.2
2,Tom Brady,# 12,QB,20,TB,780,748,482,64.4,"5,694",7.6,50,15,93.3,92.3,67.5,90.8,56,7.1,16,1.9,9.8,74.0,45,8.5,7,4,21,185,27,14.6,2.41,4,287,101.4
3,Deshaun Watson,# 04,QB,16,HST,656,544,382,70.2,"4,823",8.9,33,7,92.4,91.1,81.4,68.9,42,7.4,14,2.0,9.4,78.4,22,5.4,7,1,19,236,49,20.8,2.98,62,246,112.4
4,Patrick Mahomes,# 15,QB,18,KC,779,705,466,66.1,"5,590",7.9,42,8,91.8,90.5,78.0,67.3,50,6.7,23,2.8,8.5,77.1,40,7.9,10,6,31,270,26,9.6,2.91,47,305,105.3
5,Taylor Heinicke,# 04,QB,2,WAS,75,63,38,60.3,443,7.0,2,1,92.3,89.8,84.8,83.3,7,10.6,1,1.3,11.3,74.6,6,13.6,1,0,3,21,3,14.3,3.10,9,27,85.6
6,Russell Wilson,# 03,QB,17,SEA,696,585,395,67.5,"4,386",7.5,42,14,90.5,88.7,77.4,83.1,47,7.6,16,2.2,9.1,78.6,36,8.4,5,4,27,271,51,18.8,3.03,58,242,103.6
7,Josh Allen,# 17,QB,19,BUF,767,692,473,68.4,"5,361",7.7,42,11,90.3,87.9,76.6,52.7,45,6.1,28,3.4,9.3,78.7,33,6.5,10,5,34,280,33,11.8,3.04,42,289,104.9
8,Ryan Tannehill,# 17,QB,17,TEN,556,507,333,65.7,"3,984",7.9,34,8,90.6,86.0,90.9,68.8,20,3.7,23,3.9,8.7,76.3,21,5.9,10,10,23,171,25,14.6,2.64,23,222,105.3
9,Baker Mayfield,# 06,QB,18,CLV,612,557,349,62.7,"4,030",7.2,30,9,85.7,85.1,58.1,65.1,34,5.8,18,2.8,8.8,76.4,33,8.6,11,3,38,155,27,17.4,2.93,27,222,95.7
10,Derek Carr,# 04,QB,16,LV,566,517,348,67.3,"4,103",7.9,27,9,84.7,83.9,55.7,43.4,37,6.7,18,3.0,8.5,78.5,27,7.2,7,5,23,170,26,15.3,2.77,23,203,101.4
11,Matt Ryan,# 02,QB,16,ATL,683,626,407,65.0,"4,581",7.3,26,11,83.1,82.1,53.3,76.4,31,4.7,21,2.9,9.3,76.5,32,7.3,11,6,34,233,41,17.6,2.75,16,249,93.3
12,Kirk Cousins,# 08,QB,16,MIN,572,516,349,67.6,"4,265",8.3,35,13,83.4,80.6,79.2,61.2,24,4.3,17,2.8,8.7,78.6,18,4.9,9,8,29,221,39,17.6,2.75,17,222,105.0
13,Dak Prescott,# 04,QB,5,DAL,240,222,151,68.0,"1,856",8.4,9,4,85.2,80.4,78.9,74.1,12,5.2,9,3.6,8.3,78.0,12,7.4,3,4,5,67,10,14.9,2.59,8,97,99.6
14,Matthew Stafford,# 09,QB,16,DET,583,528,339,64.2,"4,084",7.7,26,10,82.0,78.6,82.5,77.8,32,5.6,14,2.2,9.4,73.8,28,7.6,8,5,11,166,39,23.5,2.54,16,215,96.3
15,Justin Herbert,# 10,QB,15,LAC,653,595,396,66.6,"4,336",7.3,31,10,79.9,78.4,63.8,74.2,31,4.9,16,2.3,7.8,75.8,23,5.5,12,12,14,239,32,13.4,2.61,25,228,98.3
16,Philip Rivers,# 17,QB,17,IND,610,590,397,67.3,"4,478",7.6,26,11,79.4,77.8,59.6,90.8,29,4.6,21,3.2,7.7,77.0,27,6.4,12,5,19,143,19,13.3,2.38,1,217,96.7
17,Marcus Mariota,# 08,QB,1,LV,32,28,17,60.7,226,8.1,1,1,82.1,77.4,74.1,79.1,2,6.9,2,6.1,10.8,72.0,1,5.6,1,0,1,5,0,0.0,2.89,4,14,83.3
18,Kyler Murray,# 01,QB,16,ARZ,638,558,375,67.2,"3,971",7.1,26,12,82.8,77.2,86.5,83.1,27,4.6,17,2.5,8.3,76.5,13,3.4,11,1,31,172,27,15.7,2.82,51,227,94.3
19,Mason Rudolph,# 02,QB,3,PIT,45,43,25,58.1,324,7.5,2,1,75.4,75.6,55.7,81.2,3,6.5,1,2.1,10.8,65.9,2,7.4,0,1,1,14,1,7.1,2.49,1,13,87.7
20,Lamar Jackson,# 08,QB,17,BLT,519,424,273,64.4,"3,098",7.3,26,11,79.3,74.9,77.8,46.5,24,5.4,20,3.7,9.2,74.9,25,8.4,9,3,10,194,37,19.1,3.12,55,176,95.8
21,Daniel Jones,# 08,QB,14,NYG,516,448,280,62.5,"2,943",6.6,11,10,78.4,74.4,78.8,34.1,24,5.0,17,3.1,8.0,74.8,29,9.4,10,8,15,208,45,21.6,2.70,22,168,80.4
22,Joe Burrow,# 09,QB,10,CIN,453,404,264,65.3,"2,688",6.7,13,5,75.1,74.3,58.0,28.7,15,3.6,15,3.2,8.9,73.5,16,5.7,3,6,11,146,32,21.9,2.60,16,155,89.8
23,Jared Goff,# 16,QB,17,LA,651,598,400,66.9,"4,281",7.2,22,13,71.3,71.6,55.1,73.4,14,2.3,20,3.0,6.8,78.8,25,5.9,15,8,34,200,29,14.5,2.66,24,215,90.9
24,Ryan Fitzpatrick,# 14,QB,9,MIA,299,267,183,68.5,"2,091",7.8,13,8,75.1,70.7,80.0,90.9,12,4.2,14,4.4,8.2,78.2,14,7.1,8,3,3,98,14,14.3,2.37,18,115,95.6
25,Andy Dalton,# 14,QB,11,DAL,376,333,216,64.9,"2,170",6.5,14,8,69.9,69.8,55.7,75.1,11,3.1,11,2.8,7.5,76.2,21,8.9,5,5,12,111,24,21.6,2.48,15,121,87.3
26,Drew Brees,# 09,QB,14,NO,478,463,322,69.5,"3,341",7.2,27,9,71.5,69.5,70.2,71.6,16,3.3,22,4.4,6.5,78.9,21,6.1,7,3,16,122,13,10.7,2.47,2,168,101.4
27,Mike Glennon,# 02,QB,5,JAX,192,179,111,62.0,"1,072",6.0,7,5,67.5,69.4,36.3,71.6,11,6.0,10,5.1,8.8,72.3,9,7.5,4,2,5,48,9,18.8,2.42,4,57,80.1
28,Taysom Hill,# 07,QB,13,NO,155,121,88,72.7,928,7.7,4,2,67.7,69.1,73.9,20.0,3,2.3,7,4.3,7.3,82.6,7,7.4,1,1,4,58,15,25.9,3.00,18,52,98.8
29,Ben Roethlisberger,# 07,QB,16,PIT,694,676,446,66.0,"4,304",6.4,37,14,69.0,68.3,50.5,82.7,29,4.0,21,2.8,7.6,75.4,41,8.4,18,6,6,145,13,9.0,2.19,3,223,93.2
30,Cam Newton,# 01,QB,15,NE,420,368,242,65.8,"2,657",7.2,8,10,70.9,67.8,66.2,76.0,11,2.8,10,2.3,7.3,78.1,19,7.3,13,6,13,130,31,23.8,2.84,20,141,82.9
31,John Wolford,# 09,QB,2,LA,49,44,25,56.8,260,5.9,0,1,73.2,67.6,76.9,81.5,4,8.7,1,2.0,9.9,73.7,3,10.7,2,3,1,24,3,12.5,2.91,2,16,64.6
32,Geno Smith,# 07,QB,1,SEA,6,5,4,80.0,33,6.6,0,0,62.2,67.4,53.9,70.8,0,0.0,0,0.0,4.5,100.0,0,0.0,0,1,0,2,1,50.0,2.32,0,3,94.2
33,Alex Smith,# 11,QB,8,WAS,277,252,168,66.7,"1,582",6.3,6,8,66.0,66.9,51.6,79.7,10,3.8,7,2.4,5.4,78.5,11,6.1,5,2,17,94,22,23.4,2.48,3,74,78.5
33,Nick Foles,# 09,QB,9,CHI,335,312,202,64.7,"1,852",5.9,10,8,66.5,66.9,51.9,72.4,17,5.2,11,3.1,8.3,73.2,6,2.9,7,5,15,118,18,15.3,2.39,4,94,80.8
35,Kyle Allen,# 08,QB,4,WAS,98,87,60,69.0,610,7.0,4,1,68.5,66.7,70.2,57.4,3,3.2,3,2.8,6.4,81.8,3,4.8,2,1,7,31,7,22.6,2.81,4,33,99.3
36,Teddy Bridgewater,# 05,QB,15,CAR,560,492,340,69.1,"3,733",7.6,15,11,66.0,66.4,53.9,68.2,17,3.3,20,3.4,7.6,79.6,23,6.3,10,2,22,173,31,17.9,2.61,36,189,92.1
37,Gardner Minshew,# 15,QB,9,JAX,378,327,216,66.1,"2,259",6.9,16,5,67.8,66.0,67.7,52.6,16,4.7,10,2.5,8.5,75.2,11,4.8,2,3,19,130,27,20.8,2.77,24,127,95.9
38,Jimmy Garoppolo,# 10,QB,6,SF,155,140,94,67.1,"1,096",7.8,7,5,67.5,65.4,66.3,88.6,4,2.8,4,2.5,6.5,74.6,9,8.7,1,0,1,38,11,28.9,2.52,4,56,92.4
39,C.J. Beathard,# 03,QB,6,SF,114,104,66,63.5,787,7.6,6,0,67.7,64.9,68.5,61.8,4,3.6,4,3.3,8.4,78.1,9,12.0,1,2,4,41,9,22.0,2.47,1,42,105.7
40,Tua Tagovailoa,# 01,QB,10,MIA,326,290,186,64.1,"1,814",6.3,11,5,65.4,63.9,65.4,83.9,7,2.3,13,3.7,8.0,74.2,18,8.8,2,2,8,95,20,21.1,2.52,16,107,87.1
41,Drew Lock,# 03,QB,13,DEN,484,443,254,57.3,"2,933",6.6,16,15,63.5,63.4,53.6,29.8,30,6.4,23,4.5,9.7,68.7,25,9.0,8,11,16,160,19,11.9,2.79,22,151,75.4
42,A.J. McCarron,# 02,QB,2,HST,2,1,1,100.0,20,20.0,0,0,64.1,63.3,-,63.6,0,0.0,0,0.0,18.0,100.0,0,0.0,0,0,0,1,1,100.0,2.90,0,1,118.8
43,Tyrod Taylor,# 05,QB,2,LAC,34,30,16,53.3,208,6.9,0,0,59.4,63.1,47.8,79.8,1,3.0,0,0.0,10.8,66.7,2,11.1,0,1,2,11,1,9.1,2.66,2,11,75.4
44,Colt McCoy,# 12,QB,4,NYG,75,66,40,60.6,375,5.7,1,1,60.6,62.8,45.6,83.7,1,1.5,2,2.6,9.3,62.1,1,2.4,0,0,0,24,5,20.8,2.61,4,19,75.0
45,Garrett Gilbert,# 03,QB,1,DAL,42,38,21,55.3,243,6.4,1,1,66.4,62.5,73.0,79.7,2,5.1,2,4.7,11.0,68.8,1,4.5,3,1,1,18,2,11.1,2.64,2,12,72.6
46,Joshua Dobbs,# 05,QB,1,PIT,5,5,4,80.0,2,0.4,0,0,70.0,61.8,68.7,70.2,0,0.0,0,0.0,-3.5,100.0,0,0.0,0,0,1,1,0,0.0,2.14,0,0,79.2
47,Mitch Trubisky,# 10,QB,10,CHI,367,326,218,66.9,"2,254",6.9,17,8,63.5,60.5,71.8,38.2,13,3.9,22,5.9,8.4,72.4,10,4.4,2,2,7,94,19,20.2,2.70,20,141,93.8
48,Ryan Finley,# 05,QB,4,CIN,43,32,17,53.1,164,5.1,1,2,62.0,60.3,62.3,81.1,2,6.3,0,0.0,10.5,56.3,1,5.6,0,0,0,25,9,36.0,2.87,2,9,52.1
49,Easton Stick,# 02,QB,1,LAC,1,1,1,100.0,4,4.0,0,0,54.5,60.1,56.9,64.5,0,0.0,0,0.0,0.0,100.0,0,0.0,0,0,0,0,0,,2.20,0,0,83.3
50,Logan Woodside,# 05,QB,2,TEN,3,3,1,33.3,7,2.3,0,0,66.4,60.0,66.5,72.8,0,0.0,0,0.0,6.3,33.3,0,0.0,0,0,0,0,0,,2.50,0,1,42.4
50,Carson Wentz,# 11,QB,12,PHI,509,437,251,57.4,"2,620",6.0,16,15,65.0,60.0,82.6,40.4,20,4.3,24,4.4,9.4,70.1,30,10.7,6,6,23,190,50,26.3,2.88,21,138,72.8
52,Chad Henne,# 04,QB,4,KC,50,46,34,73.9,314,6.8,2,1,60.7,59.4,62.0,81.7,0,0.0,1,1.9,5.2,79.5,1,2.9,1,0,1,8,3,37.5,2.22,1,19,97.6
53,Matt Barkley,# 05,QB,4,BUF,22,21,11,52.4,197,9.4,1,1,60.6,59.1,61.6,77.5,2,9.5,2,9.1,13.4,68.4,2,15.4,2,0,0,5,1,20.0,2.44,0,9,80.9
54,Tyler Huntley,# 02,QB,3,BLT,21,18,9,50.0,75,4.2,0,0,61.6,57.7,64.9,78.4,1,5.6,1,4.8,10.7,61.1,2,18.2,0,0,0,5,1,20.0,3.03,2,4,61.1
55,Jalen Hurts,# 02,QB,10,PHI,185,148,77,52.0,"1,061",7.2,6,4,56.2,57.5,55.4,23.3,7,4.4,9,4.6,10.1,65.1,5,6.1,3,5,13,70,12,17.1,3.37,25,56,77.6
56,P.J. Walker,# 06,QB,4,CAR,60,56,32,57.1,368,6.6,1,5,56.8,57.0,62.6,82.2,4,7.1,2,3.3,10.4,67.9,4,11.1,2,0,1,18,4,22.2,2.51,0,17,45.8
57,Nick Mullens,# 04,QB,10,SF,348,326,211,64.7,"2,437",7.5,12,12,56.9,56.7,55.9,61.2,10,2.9,21,5.8,6.9,75.6,15,6.6,11,11,5,131,19,14.5,2.52,2,120,84.1
58,Brian Hoyer,# 02,QB,1,NE,27,24,15,62.5,130,5.4,0,1,58.8,56.3,63.9,25.2,1,4.2,3,11.1,8.0,69.6,1,6.3,0,0,1,7,2,28.6,2.51,1,9,59.4
59,Joe Flacco,# 05,QB,5,NYJ,146,134,74,55.2,864,6.4,6,3,55.8,55.9,57.8,66.6,9,6.2,8,5.0,11.3,67.2,6,7.5,2,1,12,65,7,10.8,2.83,5,39,80.6
60,Brandon Allen,# 08,QB,5,CIN,155,142,90,63.4,925,6.5,5,4,56.5,55.7,58.8,69.1,6,3.9,9,5.4,7.1,71.9,7,7.2,2,2,3,36,7,19.4,2.51,6,42,82.0
61,Trace McSorley,# 07,QB,2,BLT,11,10,3,30.0,90,9.0,1,0,57.4,55.5,61.2,74.1,0,0.0,1,9.1,9.3,62.5,2,40.0,1,0,1,4,0,0.0,2.74,1,3,97.9
62,Nathan Peterman,# 03,QB,1,LV,8,5,3,60.0,25,5.0,0,0,60.2,54.4,63.9,70.3,0,0.0,0,0.0,2.0,60.0,0,0.0,0,0,0,2,2,100.0,2.91,1,2,72.9
63,Blaine Gabbert,# 11,QB,2,TB,19,16,9,56.3,143,8.9,2,0,56.8,53.8,63.4,77.6,0,0.0,0,0.0,7.4,60.0,0,0.0,0,1,0,5,1,20.0,2.22,2,5,125.8
64,Sam Darnold,# 14,QB,12,NYJ,425,364,217,59.6,"2,208",6.1,9,11,58.4,52.7,87.7,77.9,9,2.3,17,3.8,8.1,72.5,18,7.7,5,9,23,179,35,19.6,2.84,26,117,72.7
65,Jacoby Brissett,# 07,QB,5,IND,11,8,2,25.0,17,2.1,0,0,73.7,52.5,85.6,78.3,0,0.0,0,0.0,9.1,42.9,1,33.3,0,0,1,5,2,40.0,3.37,1,2,39.6
66,Jeff Driskel,# 09,QB,2,DEN,78,64,35,54.7,432,6.8,3,2,55.1,51.3,74.9,84.1,2,2.9,3,3.5,10.8,70.0,7,16.7,2,0,2,37,11,29.7,2.63,3,19,78.4
67,Chase Daniel,# 04,QB,4,DET,48,43,29,67.4,264,6.1,1,2,54.0,51.2,70.7,80.4,2,4.5,3,6.0,6.5,82.5,4,12.1,1,0,1,14,3,21.4,2.31,2,15,72.2
68,Dwayne Haskins,# 07,QB,7,WAS,269,241,148,61.4,"1,439",6.0,5,7,48.4,47.5,59.8,65.6,6,2.4,10,3.6,6.9,69.1,11,6.9,5,3,3,73,20,27.4,2.51,7,77,73.0
69,Jameis Winston,# 02,QB,3,NO,15,12,8,66.7,131,10.9,1,0,43.8,46.5,56.6,76.6,0,0.0,1,6.3,7.5,66.7,0,0.0,0,0,0,6,2,33.3,2.73,1,6,130.9
70,Case Keenum,# 05,QB,1,CLV,10,10,5,50.0,46,4.6,0,0,44.7,45.4,-,71.4,0,0.0,0,0.0,3.6,55.6,0,0.0,0,0,1,2,0,0.0,2.11,0,2,62.9
71,Jarrett Stidham,# 04,QB,5,NE,50,44,22,50.0,256,5.8,2,3,42.6,44.9,49.4,81.6,0,0.0,2,3.8,6.9,68.6,2,8.3,2,1,6,21,4,19.0,2.91,2,13,54.7
72,Tyler Bray,# 08,QB,1,CHI,5,5,1,20.0,18,3.6,0,0,40.7,42.2,-,68.0,0,0.0,0,0.0,11.7,33.3,0,0.0,0,1,0,2,0,0.0,2.22,0,1,42.1
73,Brett Rypien,# 04,QB,2,DEN,41,40,27,67.5,295,7.4,2,4,40.5,41.5,61.3,81.0,4,8.5,5,10.2,9.5,80.0,1,3.6,1,0,4,18,1,5.6,2.51,0,12,66.1
74,Nate Sudfeld,# 07,QB,1,PHI,15,12,5,41.7,32,2.7,0,1,32.8,39.7,46.9,73.5,0,0.0,1,6.7,9.7,55.6,0,0.0,0,0,3,9,2,22.2,3.09,1,2,14.6
75,Jake Luton,# 06,QB,3,JAX,118,110,60,54.5,624,5.7,2,6,39.8,37.7,70.8,59.9,4,3.5,9,7.3,8.4,69.4,8,11.8,4,2,6,42,7,16.7,2.60,1,32,54.5
76,Robert Griffin III,# 03,QB,3,BLT,17,14,8,57.1,42,3.0,0,2,52.9,36.3,75.2,78.4,0,0.0,1,5.0,6.7,61.5,0,0.0,0,1,0,8,3,37.5,2.08,0,1,22.6
77,David Blough,# 10,QB,1,DET,12,10,6,60.0,49,4.9,0,1,33.6,29.5,65.9,73.2,0,0.0,2,14.3,9.8,66.7,0,0.0,1,0,0,8,1,12.5,3.26,1,2,32.9
78,Chris Streveler,# 15,QB,1,ARZ,18,16,11,68.8,105,6.6,1,1,27.4,25.7,66.5,76.5,0,0.0,3,14.3,6.5,68.8,0,0.0,0,0,0,6,2,33.3,2.14,0,5,81.5
