RANK,PLAYER,#,POS,#G,TEAM,DB,ATT,COM,COM%,YDS,YPA,TD,INT,OFF,PASS,RUN,FUM,BTT,BTT%,TWP,TWP%,ADOT,ADJ%,DRP,DRP%,BAT,HAT,TA,DPR,SK,P2S%,TTT,SCR,1ST,NFL
1,Tua Tagovailoa,# 01,QB,18,MIA,655,600,409,68.2,"4,819",8.0,30,15,86.9,88.6,29.9,56.6,36,5.8,23,3.4,8.1,76.1,23,5.3,10,3,17,163,31,19.0,2.33,19,237,98.6
2,Josh Allen,# 17,QB,19,BUF,732,648,432,66.7,"4,696",7.2,33,18,92.1,88.2,91.6,59.8,42,6.2,23,3.0,8.6,77.1,33,7.1,6,5,32,259,26,10.0,2.87,58,249,93.2
3,Dak Prescott,# 04,QB,18,DAL,731,650,451,69.4,"4,919",7.6,39,11,90.0,86.9,78.6,84.3,41,5.9,17,2.2,8.5,77.0,30,6.2,11,6,8,229,42,18.3,2.72,34,263,104.4
4,Matthew Stafford,# 09,QB,16,LA,605,557,351,63.0,"4,332",7.8,26,11,88.2,86.0,61.3,92.1,37,6.3,12,1.9,8.2,74.3,30,7.9,8,4,29,203,32,15.8,2.59,14,204,94.3
5,Patrick Mahomes,# 15,QB,20,KC,846,746,505,67.7,"5,234",7.0,33,15,90.3,85.5,88.4,81.9,31,3.9,22,2.4,6.9,79.3,34,6.3,6,14,44,303,32,10.6,3.00,64,292,94.1
6,Jared Goff,# 16,QB,20,DET,761,716,484,67.6,"5,411",7.6,34,12,85.6,85.2,50.5,60.3,25,3.3,19,2.4,7.3,77.9,32,6.2,10,8,32,266,37,13.9,2.58,8,278,98.7
7,Kirk Cousins,# 08,QB,8,MIN,331,311,216,69.5,"2,331",7.5,18,5,86.1,85.1,64.8,46.2,10,3.0,8,2.3,7.7,80.5,20,8.5,1,7,8,108,17,15.7,2.69,3,112,103.8
8,Jalen Hurts,# 01,QB,18,PHI,661,573,377,65.8,"4,108",7.2,24,15,86.7,83.9,76.7,66.5,29,4.8,16,2.3,8.9,75.8,18,4.6,8,6,38,270,39,14.4,3.11,47,211,89.8
9,Jordan Love,# 10,QB,19,GB,689,634,409,64.5,"4,624",7.3,37,13,83.6,83.2,59.5,57.7,37,5.5,18,2.5,8.9,72.7,25,5.8,8,7,20,212,29,13.7,2.73,23,237,97.1
10,Justin Herbert,# 10,QB,13,LAC,520,456,297,65.1,"3,134",6.9,20,7,85.5,83.1,73.2,66.7,24,5.0,13,2.4,8.2,74.7,22,6.9,7,8,14,186,29,15.6,2.79,32,163,93.2
11,Lamar Jackson,# 08,QB,18,BLT,633,516,343,66.5,"4,102",7.9,27,8,90.4,83.0,90.8,43.3,26,4.7,19,2.8,9.1,77.0,25,6.8,11,8,18,230,44,19.1,3.21,72,214,101.6
12,Kyle Trask,# 02,QB,1,TB,1,1,0,0.0,0,0.0,0,0,86.0,82.7,60.0,64.5,1,100.0,0,0.0,12.0,0.0,0,,0,0,0,0,0,,2.30,0,0,39.6
13,Geno Smith,# 07,QB,15,SEA,553,499,323,64.7,"3,624",7.3,20,9,82.9,82.1,62.8,68.8,32,6.0,20,3.4,8.2,77.4,22,6.4,13,8,28,223,31,13.9,2.73,20,177,92.1
14,Brock Purdy,# 13,QB,19,SF,618,552,374,67.8,"5,054",9.2,34,12,87.4,81.5,92.0,70.5,32,5.5,21,3.2,8.6,76.6,16,4.1,13,4,22,245,32,13.1,2.73,24,240,108.2
15,C.J. Stroud,# 07,QB,17,HST,618,553,354,64.0,"4,557",8.2,26,5,83.2,80.4,73.4,52.1,26,4.4,18,2.8,9.3,74.2,26,6.8,9,3,23,219,38,17.4,2.93,25,215,101.7
