Rk,Player,PPR,Day,G#,Week,Date,Age,Team,Home_Away,Opp,Result,Pos.,PFR_Id
1.0,Ja'Marr Chase,52.2,Sun,5,5,2023-10-08,23-221,CIN,Away,ARI,W 34-20,WR,ChasJa00
2.0,Amari Cooper,51.5,Sun,15,16,2023-12-24,29-190,CLE,Away,HOU,W 36-22,WR,CoopAm00
3.0,De'Von Achane,51.3,Sun,3,3,2023-09-24,21-346,MIA,Home,DEN,W 70-20,RB,AchaDe00
4.0,D.J. Moore,49.0,Thu,5,5,2023-10-05,26-174,CHI,Away,WAS,W 40-20,WR,MoorD.00
5.0,Christian McCaffrey,48.7,Sun,4,4,2023-10-01,27-116,SFO,Home,ARI,W 35-16,RB,McCaCh01
6.0,Keenan Allen,45.46,Sun,3,3,2023-09-24,31-150,LAC,Away,MIN,W 28-24,WR,AlleKe00
7.0,Raheem Mostert,45.2,Sun,3,3,2023-09-24,31-168,MIA,Home,DEN,W 70-20,RB,MostRa00
8.0,Tyreek Hill,44.5,Sun,1,1,2023-09-10,29-193,MIA,Away,LAC,W 36-34,WR,HillTy00
9.0,Breece Hall,43.1,Sun,15,16,2023-12-24,22-207,NYJ,Home,WAS,W 30-28,RB,HallBr03
10.0,Davante Adams,42.2,Sun,3,3,2023-09-24,30-274,LVR,Home,PIT,L 18-23,WR,AdamDa01
11.0,C.J. Stroud,41.8,Sun,8,9,2023-11-05,22-033,HOU,Home,TAM,W 39-37,QB,StroCJ00
12.0,Christian McCaffrey,41.7,Sun,14,15,2023-12-17,27-193,SFO,Away,ARI,W 45-29,RB,McCaCh01
13.0,CeeDee Lamb,41.0,Sun,7,8,2023-10-29,24-204,DAL,Home,LAR,W 43-20,WR,LambCe00
14.0,Keenan Allen,40.5,Sun,9,10,2023-11-12,31-199,LAC,Home,DET,L 38-41,WR,AlleKe00
15.0,CeeDee Lamb,40.2,Sat,16,17,2023-12-30,24-266,DAL,Home,DET,W 20-19,WR,LambCe00
16.0,Josh Allen,39.66,Sun,12,12,2023-11-26,27-189,BUF,Away,PHI,L 34-37 (OT),QB,AlleJo02
17.0,CeeDee Lamb,39.5,Sun,9,10,2023-11-12,24-218,DAL,Home,NYG,W 49-17,WR,LambCe00
18.0,A.J. Brown,38.5,Sun,4,4,2023-10-01,26-093,PHI,Home,WAS,W 34-31 (OT),WR,BrowAJ00
19.0,Kyren Williams,38.4,Sun,11,12,2023-11-26,23-092,LAR,Away,ARI,W 37-14,RB,WillKy02
20.0,Dak Prescott,37.86,Sun,9,10,2023-11-12,30-106,DAL,Home,NYG,W 49-17,QB,PresDa01
21.0,Davante Adams,37.6,Sun,16,17,2023-12-31,31-007,LVR,Away,IND,L 20-23,WR,AdamDa01
22.0,D.K. Metcalf,37.4,Thu,12,13,2023-11-30,25-351,SEA,Away,DAL,L 35-41,WR,MetcDK00
23.0,Josh Allen,36.5,Sun,4,4,2023-10-01,27-133,BUF,Home,MIA,W 48-20,QB,AlleJo02
24.0,Travis Etienne,36.4,Sun,5,5,2023-10-08,24-255,JAX,Away,BUF,W 25-20,RB,EtieTr00
25.0,Lamar Jackson,36.34,Sun,16,17,2023-12-31,26-358,BAL,Home,MIA,W 56-19,QB,JackLa00
26.0,James Cook,36.1,Sun,14,15,2023-12-17,24-083,BUF,Home,DAL,W 31-10,RB,CookJa01
27.0,Stefon Diggs,36.0,Sun,4,4,2023-10-01,29-306,BUF,Home,MIA,W 48-20,WR,DiggSt00
28.0,Justin Jefferson,36.0,Sun,17,18,2024-01-07,24-205,MIN,Away,DET,L 20-30,WR,JeffJu00
29.0,Travis Kelce,35.9,Sun,7,7,2023-10-22,34-017,KAN,Home,LAC,W 31-17,TE,KelcTr00
30.0,Nico Collins,35.8,Sun,4,4,2023-10-01,24-196,HOU,Home,PIT,W 30-6,WR,CollNi00
31.0,Deebo Samuel,35.8,Sun,12,13,2023-12-03,27-322,SFO,Away,PHI,W 42-19,WR,SamuDe00
32.0,CeeDee Lamb,35.5,Sun,17,18,2024-01-07,24-274,DAL,Away,WAS,W 38-10,WR,LambCe00
33.0,George Pickens,35.5,Sat,15,16,2023-12-23,22-294,PIT,Home,CIN,W 34-11,WR,PickGe00
34.0,DeAndre Hopkins,34.8,Sun,7,8,2023-10-29,31-145,TEN,Home,ATL,W 28-23,WR,HopkDe00
35.0,Nico Collins,34.5,Sat,17,18,2024-01-06,24-293,HOU,Away,IND,W 23-19,WR,CollNi00
36.0,Jalen Hurts,34.5,Sun,11,12,2023-11-26,25-111,PHI,Home,BUF,W 37-34 (OT),QB,HurtJa00
37.0,Raheem Mostert,34.2,Sun,6,6,2023-10-15,31-189,MIA,Home,CAR,W 42-21,RB,MostRa00
38.0,Nico Collins,34.1,Sun,12,13,2023-12-03,24-259,HOU,Home,DEN,W 22-17,WR,CollNi00
39.0,David Montgomery,34.1,Thu,4,4,2023-09-28,26-113,DET,Away,GNB,W 34-20,RB,MontDa01
40.0,Deebo Samuel,34.0,Sun,13,14,2023-12-10,27-329,SFO,Home,SEA,W 28-16,WR,SamuDe00
41.0,Lamar Jackson,33.88,Sun,7,7,2023-10-22,26-288,BAL,Home,DET,W 38-6,QB,JackLa00
42.0,Patrick Mahomes,33.86,Sun,7,7,2023-10-22,28-035,KAN,Home,LAC,W 31-17,QB,MahoPa00
43.0,Zack Moss,33.5,Sun,5,5,2023-10-08,25-297,IND,Home,TEN,W 23-16,RB,MossZa00
44.0,A.J. Brown,33.0,Sun,8,8,2023-10-29,26-121,PHI,Away,WAS,W 38-31,WR,BrowAJ00
45.0,D'Onta Foreman,33.0,Sun,7,7,2023-10-22,27-181,CHI,Home,LVR,W 30-12,RB,ForeDO00
46.0,Puka Nacua,33.0,Thu,15,16,2023-12-21,22-206,LAR,Home,NOR,W 30-22,WR,NacuPu00
47.0,Justin Fields,32.98,Thu,5,5,2023-10-05,24-214,CHI,Away,WAS,W 40-20,QB,FielJu00
48.0,Brandon Aiyuk,32.9,Sun,1,1,2023-09-10,25-177,SFO,Away,PIT,W 30-7,WR,AiyuBr00
49.0,CeeDee Lamb,32.6,Thu,12,13,2023-11-30,24-236,DAL,Home,SEA,W 41-35,WR,LambCe00
50.0,Evan Engram,32.5,Sun,13,14,2023-12-10,29-099,JAX,Away,CLE,L 27-31,TE,EngrEv00
51.0,Brandin Cooks,32.3,Sun,9,10,2023-11-12,30-048,DAL,Home,NYG,W 49-17,WR,CookBr00
52.0,Tyreek Hill,32.3,Sun,12,13,2023-12-03,29-277,MIA,Away,WAS,W 45-15,WR,HillTy00
53.0,Dak Prescott,32.24,Thu,11,12,2023-11-23,30-117,DAL,Home,WAS,W 45-10,QB,PresDa01
54.0,Trevor Lawrence,32.18,Sun,10,11,2023-11-19,24-044,JAX,Home,TEN,W 34-14,QB,LawrTr00
55.0,Tyreek Hill,32.1,Sun,5,5,2023-10-08,29-221,MIA,Home,NYG,W 31-16,WR,HillTy00
