YEAR,PFR_ID,Week,PPR,predicted_PPR
2024,AbduAm00,2,2.2,3.167239127354615
2024,AbduAm00,3,3.3,6.1277910712557775
2024,AbduAm00,5,14.1,4.502452828424052
2024,AbduAm00,6,4.8,5.331370611105477
2024,AbduAm00,8,2.1,4.901445061281538
2024,AbduAm00,9,5.6,4.684115472058937
2024,AbduAm00,11,10.7,4.574485527929266
2024,AbduAm00,12,17.5,5.394932339328765
2024,AbduAm00,13,7.3,4.057418802033583
2024,AbduAm00,14,1.0,5.913450255004246
2024,AbduAm00,15,19.6,5.275182738706291
2024,AbduAm00,16,19.5,6.749220303960166
2024,AbduAm00,17,17.7,9.778172211453386
2024,AchaDe00,1,23.0,13.835820662397762
2024,AchaDe00,2,29.5,15.614168795047659
2024,AchaDe00,3,8.8,16.142456004947963
2024,AchaDe00,4,5.9,14.714162837056449
2024,AchaDe00,5,2.7,12.705517723960586
2024,AchaDe00,7,10.5,12.995468145423663
2024,AchaDe00,8,26.7,15.152014603362982
2024,AchaDe00,9,32.1,20.986604363788196
2024,AchaDe00,10,10.2,14.511817630241222
2024,AchaDe00,11,20.5,14.006678622355514
2024,AchaDe00,12,20.6,8.849998584918353
2024,AchaDe00,13,21.0,15.793011750356891
2024,AchaDe00,14,18.9,16.938164322817055
2024,AchaDe00,15,14.6,15.325512252304788
2024,AchaDe00,16,31.0,19.130572719670624
2024,AchaDe00,17,5.8,15.119564074910793
2024,AchaDe00,18,18.1,15.466384021337287
2024,AkerCa00,2,2.5,3.6657537520698744
2024,AkerCa00,3,9.9,4.702732529641492
2024,AkerCa00,4,5.3,5.902954914436412
2024,AkerCa00,5,12.7,5.2492200320290605
2024,AkerCa00,9,7.3,5.512084150121414
2024,AkerCa00,10,5.7,6.102065097544545
2024,AkerCa00,11,11.6,5.28803024400555
2024,AkerCa00,12,3.5,5.630350641896526
2024,AkerCa00,13,2.2,5.583608557434025
2024,AkerCa00,14,3.7,5.760730072696913
2024,AkerCa00,15,8.4,6.526247358057034
2024,AkerCa00,16,0.3,5.416165722398588
2024,AkerCa00,17,11.3,5.371337824381529
2024,AkerCa00,18,8.9,5.7528499941766045
2024,AllgTy00,1,2.1,8.56635305842965
2024,AllgTy00,2,7.5,5.995993995645776
2024,AllgTy00,3,3.2,6.817910202975924
2024,AllgTy00,4,10.0,5.935185170970032
2024,AllgTy00,5,5.5,6.611242410590425
2024,AllgTy00,6,19.8,8.958464606096124
2024,AllgTy00,7,5.5,8.161223953131733
2024,AllgTy00,8,3.3,7.295598525327746
2024,AllgTy00,9,7.8,6.5581608859733675
2024,AllgTy00,10,5.9,7.239115075116629
2024,AllgTy00,11,1.0,6.67389395278733
2024,AllgTy00,13,3.2,6.266796436792671
2024,AllgTy00,14,12.3,6.7278913157249445
2024,AllgTy00,15,4.3,7.060181577849152
2024,AllgTy00,16,4.1,8.156352320755063
2024,AllgTy00,17,1.9,6.934670440323645
2024,AllgTy00,18,8.9,10.084712219068141
2024,BarkSa00,1,33.2,14.119766618102544
2024,BarkSa00,2,17.6,13.657094812304557
2024,BarkSa00,3,33.6,15.746234968981147
2024,BarkSa00,4,13.6,17.12840101593008
2024,BarkSa00,6,7.4,17.751648500435174
2024,BarkSa00,7,26.7,13.658776115335725
2024,BarkSa00,8,12.1,17.831924833204866
2024,BarkSa00,9,32.9,17.516975745492154
2024,BarkSa00,10,8.8,19.10825228897838
2024,BarkSa00,11,33.8,16.82397726152684
2024,BarkSa00,12,46.2,19.08390654422872
2024,BarkSa00,13,19.7,19.531829533713317
2024,BarkSa00,14,14.4,15.106379318536835
2024,BarkSa00,15,9.4,16.491477280763057
2024,BarkSa00,16,27.0,19.77256399085984
2024,BarkSa00,17,18.9,16.092082571819493
2024,BigsTa00,1,7.3,7.540414980707277
2024,BigsTa00,3,0.9,7.786984843123687
2024,BigsTa00,4,9.0,8.8751506947634
2024,BigsTa00,5,25.9,8.637578448922644
2024,BigsTa00,6,2.4,9.931892123560775
2024,BigsTa00,7,23.8,14.809035880173102
2024,BigsTa00,8,10.6,11.944810008670682
2024,BigsTa00,9,2.2,7.952692119875435
2024,BigsTa00,10,0.4,10.712321428401365
2024,BigsTa00,13,4.5,8.037650564501389
2024,BigsTa00,14,13.2,9.72455036576513
2024,BigsTa00,15,4.2,13.683056604165554
2024,BigsTa00,16,10.1,7.750756625064809
2024,BigsTa00,17,3.3,10.01745516984747
2024,BigsTa00,18,11.2,9.738529686323174
2024,BlacRa00,16,1.3,3.885569143827775
2024,BlacRa00,17,2.0,4.361983516893095
2024,BlacRa00,18,4.7,5.25759154953448
2024,BrooCh00,3,0.3,4.259488901804446
2024,BrooCh00,6,2.1,4.327053616994531
