feature_name,importance
num__TIERS,0.03150750445167085
num__game_num,0.030059193517291357
num__Week,0.029708548759419293
num__RK,0.029432684819013146
num__best_rank,0.026002023712227644
num__average_rank,0.02069743541172481
num__TACK_opponent,0.017785954466014067
num__RUN_opponent,0.017232560638890466
num__COV_opponent,0.016769557392798513
num__PBLK_opponent,0.01666396515158758
num__DEF_opponent,0.016544174863749327
num__PRSH_opponent,0.016423898815674215
num__POSITION_RANK,0.016420184818993655
num__RDEF_opponent,0.016283822488089163
num__RBLK_opponent,0.01606868043052255
num__PA_opponent,0.015857390677710356
num__RECV_opponent,0.015621938802260277
num__PASS_opponent,0.015150245463913551
cat__Home_Away_Home,0.014687722652249017
cat__Home_Away_Away,0.01433887709473692
num__PF_opponent,0.013479516152744744
num__OFF_opponent,0.01329956108635155
num__OVER_opponent,0.013230549880622581
num__WINS_opponent,0.013153582087134944
num__LOSSES_opponent,0.01315310251057381
cat__Day_Sun,0.011897145346472758
num__Age,0.009815562214651161
cat__Opp_NOR,0.009465306536504806
cat__Day_Thu,0.0087990458067944
cat__Opp_ATL,0.00862007803139061
cat__Opp_DET,0.008036827741856635
cat__Opp_TAM,0.00797852442906844
cat__Opp_NYG,0.007593769828790128
cat__Opp_BAL,0.007522914448817756
cat__Opp_GNB,0.007368477322602914
cat__Opp_KAN,0.007233311102705336
cat__Opp_CHI,0.007169411753969811
cat__Day_Mon,0.007145743497916731
cat__Opp_DAL,0.0071429695426104885
cat__Opp_PHI,0.007035040027357245
num__YEAR,0.007026706533078393
cat__Opp_IND,0.00679368465724298
cat__Opp_BUF,0.0066834317185253175
cat__Opp_MIA,0.0065181818171926665
cat__Opp_ARI,0.006515077704272598
cat__Opp_NYJ,0.006380814694724129
num__RBLK,0.006331706962259033
num__BAT,0.006272219307025819
cat__Opp_HOU,0.00625352497999169
num__RUN_PLAYER,0.006246293457814819
num__RUN_TEAM,0.006228275082501832
num__TTT,0.00618397304329082
num__FUM,0.005969677143595988
num__worst_rank,0.005816238525939191
cat__Opp_WAS,0.005808459810040057
cat__Opp_SFO,0.005804140951207212
cat__Opp_SEA,0.005759888786975005
num__TACK,0.0057462270409710525
cat__Opp_CIN,0.005541219340294164
num__TWP%,0.005498372858004765
num__ecr_adp_gap,0.0054940625339409315
cat__Opp_TEN,0.005442864500143183
cat__Opp_PIT,0.005413432732199488
cat__Opp_CLE,0.005368084135765934
cat__Opp_DEN,0.0053517888501005495
num__SCR,0.005295639474425525
num__PASS_TEAM,0.005289989082933141
num__RECV,0.005277009398978874
num__COM%,0.005185923045643198
num__ADJ%,0.005110740885349334
num__OFF_PLAYER,0.005102703469855112
num__PRSH,0.005082461777390517
cat__Opp_MIN,0.005075220942020247
num__OFF_TEAM,0.005016559004460685
num__PASS_PLAYER,0.005003161109093952
num__P2S%,0.004996666835833249
cat__Opp_CAR,0.004981502048658703
