RK,TIERS,best_rank,worst_rank,average_rank,rank_variance,ecr_adp_gap,POSITION_RANK,PFR_ID
1,1,1,10,2.1,2.0,0.0,1,McCoLe01
2,1,1,21,3.6,3.8,0.0,2,CharJa00
3,1,1,17,4.5,3.3,4.0,3,FortMa00
4,1,1,18,4.8,3.1,-1.0,4,PeteAd01
5,1,2,32,5.2,3.9,0.0,1,JohnCa00
6,2,3,21,7.1,2.3,2.0,2,ThomDe03
7,2,4,29,7.4,4.3,-1.0,1,GrahJi00
8,2,4,18,8.7,2.6,1.0,3,BryaDe01
9,2,1,38,10.3,5.1,-5.0,5,LacyEd00
10,2,3,24,12.0,4.0,0.0,6,BallMo00
11,3,7,28,13.0,4.5,1.0,4,GreeA.00
12,3,5,46,13.3,5.7,2.0,7,MurrDe00
13,3,8,26,15.2,4.6,2.0,5,MarsBr00
14,3,7,57,15.4,6.5,-1.0,6,JoneJu02
15,3,4,27,16.5,5.3,2.0,8,BernGi00
16,3,5,40,16.6,5.5,0.0,9,LyncMa00
17,3,8,35,19.0,5.3,1.0,7,BrowAn04
18,3,9,45,19.9,6.6,6.0,10,ElliAn00
19,3,12,50,20.9,5.5,0.0,8,NelsJo00
20,3,9,60,21.8,9.1,1.0,11,MartDo00
21,4,12,57,23.7,7.2,1.0,9,JeffAl00
22,4,3,78,23.9,11.3,4.0,12,FostAr00
23,4,9,43,24.3,8.3,6.0,13,BellLe00
24,4,15,53,27.3,8.4,10.0,14,BushRe00
25,4,16,54,27.8,6.5,0.0,10,CobbRa00
26,4,13,54,30.4,9.8,7.0,15,StacZa00
27,4,16,57,31.7,9.3,10.0,11,JohnAn02
28,4,6,62,32.5,9.0,-1.0,2,ThomJu00
29,4,18,61,32.6,6.5,-18.0,1,MannPe00
30,4,8,76,33.9,10.9,10.0,12,GarcPi00
31,4,10,82,34.3,14.4,-1.0,3,GronRo00
32,4,20,53,34.5,7.1,4.0,13,JackVi00
33,5,14,61,35.6,9.9,-1.0,14,WhitRo00
34,5,21,104,36.4,12.3,-6.0,15,AlleKe00
35,5,15,65,37.1,9.4,10.0,16,CruzVi00
36,5,28,52,37.4,5.2,-16.0,2,BreeDr00
37,5,25,75,37.6,7.4,-14.0,3,RodgAa00
38,5,18,74,38.7,12.4,-7.0,16,VereSh00
39,5,17,79,39.5,12.4,-4.0,17,MorrAl00
40,5,17,76,40.8,11.9,13.0,18,MathRy00
41,5,17,76,42.2,10.6,1.0,17,FitzLa00
42,5,24,75,43.9,9.1,-3.0,19,JennRa00
43,5,18,82,44.9,13.3,0.0,20,SpilC.00
44,5,8,95,45.7,15.2,6.0,18,CrabMi00
45,5,15,87,45.8,13.0,4.0,19,FloyMi00
46,6,22,91,51.0,16.1,0.0,21,BellJo01
47,6,25,97,51.9,11.2,10.0,22,TateBe00
48,6,25,173,51.9,21.8,-4.0,23,GerhTo00
49,6,30,106,52.5,15.4,-11.0,24,PattCo00
50,6,14,97,55.9,13.3,1.0,20,EdelJu00
51,6,26,96,56.1,13.8,10.0,25,JohnCh04
52,6,34,86,56.1,11.5,11.0,21,WrigKe01
53,6,35,121,56.3,12.8,-6.0,4,StafMa00
54,6,34,129,57.8,17.0,4.0,22,SmitTo02
55,6,20,102,58.9,14.6,-7.0,23,HarvPe00
56,6,25,131,56.5,17.2,0.0,26,ThomPi00
57,6,29,93,62.0,10.7,3.0,27,GoreFr00
58,6,26,88,62.9,13.0,11.0,24,ColsMa00
59,6,18,129,60.3,19.8,-7.0,28,RiceRa00
60,6,30,157,63.5,22.2,-6.0,4,CameJo00
61,6,31,96,63.7,12.0,4.0,25,JackDe00
62,6,35,99,64.5,10.0,-7.0,5,LuckAn00
63,6,39,128,67.1,14.7,-4.0,26,HiltT.00
