RK,TIERS,best_rank,worst_rank,average_rank,rank_variance,ecr_adp_gap,POSITION_RANK,PFR_ID
1,1,1,15,1.7,1.8,1.0,1,McCaCh01
2,1,1,12,3.8,1.8,1.0,2,EkelAu00
3,1,1,18,2.0,1.5,-2.0,3,TaylJo02
4,1,1,25,6.4,3.7,3.0,4,CookDa01
5,1,2,13,7.4,2.4,1.0,1,JeffJu00
6,2,1,14,8.3,2.5,-2.0,2,KuppCo00
7,2,2,32,10.1,5.8,1.0,5,HarrNa00
8,2,2,31,10.1,6.6,-3.0,6,HenrDe00
9,2,3,38,10.8,6.0,6.0,7,SwifDA00
10,2,2,27,10.9,4.7,0.0,8,MixoJo00
11,2,4,29,11.5,3.0,-2.0,3,ChasJa00
12,2,9,30,11.6,4.7,2.0,1,KelcTr00
13,2,7,22,12.9,2.1,-1.0,4,DiggSt00
14,2,2,62,13.4,6.8,-1.0,9,KamaAl00
15,2,6,28,13.9,2.6,-4.0,5,AdamDa01
16,3,3,38,14.7,7.5,5.0,10,BarkSa00
17,3,5,41,16.2,5.9,0.0,11,JoneAa00
18,3,10,33,17.4,3.8,0.0,6,LambCe00
19,3,9,67,19.8,7.0,4.0,2,AndrMa00
20,3,3,74,21.2,8.4,4.0,12,FourLe00
21,3,13,43,23.1,4.5,-2.0,7,HillTy00
22,3,13,43,24.4,5.0,4.0,8,EvanMi00
23,3,7,64,24.6,6.8,2.0,13,WillJa10
24,4,14,47,26.0,5.6,3.0,9,AlleKe00
25,4,14,66,26.4,6.8,8.0,10,PittMi01
26,4,14,65,27.4,8.1,-10.0,11,SamuDe00
27,4,15,66,27.8,7.3,4.0,12,BrowAJ00
28,4,8,64,28.7,5.9,-8.0,14,ChubNi00
29,4,13,58,29.7,6.6,5.0,13,HiggTe00
30,4,16,64,31.6,7.5,-2.0,15,ConnJa00
31,4,17,61,32.0,8.0,11.0,14,MoorD.00
32,4,9,182,32.0,14.6,0.0,3,PittKy00
33,4,16,64,33.9,8.3,-3.0,16,ElliEz00
34,4,30,45,36.4,1.7,-12.0,1,AlleJo02
35,4,15,68,36.2,8.9,4.0,17,EtieTr00
36,4,17,72,40.0,9.4,7.0,15,JohnDi01
37,4,15,76,40.9,11.7,19.0,16,SuttCo00
38,5,13,80,43.0,12.2,7.0,17,WillMi07
39,5,20,86,43.7,10.8,7.0,18,WaddJa00
40,5,18,83,43.8,11.7,-4.0,18,MontDa01
41,5,22,96,44.4,10.1,-1.0,19,McLaTe00
42,5,36,78,45.4,9.1,-7.0,2,HerbJu00
43,5,28,77,46.1,9.5,11.0,20,CookBr00
44,5,23,105,49.1,13.3,16.0,21,RobiAl02
45,5,25,274,48.5,21.6,6.0,19,HallBr03
46,5,27,83,50.5,10.8,21.0,20,DillAJ00
47,5,38,85,50.9,11.0,-18.0,3,MahoPa00
48,5,36,101,52.1,11.6,-7.0,4,JackLa00
49,5,21,92,51.5,14.4,-12.0,21,AkerCa00
50,5,22,94,54.4,12.3,-1.0,22,MitcEl00
51,5,26,77,54.8,10.8,-4.0,22,MetcDK00
52,5,30,95,53.8,10.9,-14.0,4,KittGe00
