RK,TIERS,best_rank,worst_rank,average_rank,rank_variance,ecr_adp_gap,POSITION_RANK,PFR_ID
1,1,1,3,1.2,0.4,0.0,1,JohnDa08
2,1,1,3,1.9,0.4,0.0,2,BellLe00
3,1,1,4,3.0,0.3,0.0,1,BrowAn04
4,2,4,13,5.7,1.5,1.0,2,BeckOd00
5,2,3,16,5.7,2.0,-1.0,3,JoneJu02
6,2,4,46,7.6,5.4,0.0,3,McCoLe01
7,2,5,14,8.6,2.6,1.0,4,GreeA.00
8,2,4,16,8.7,2.8,-1.0,5,EvanMi00
9,2,4,23,9.4,3.3,1.0,4,GordMe00
10,2,4,27,9.6,3.2,-1.0,5,FreeDe00
11,2,6,16,10.5,2.8,0.0,6,NelsJo00
12,3,4,44,14.1,5.8,3.0,6,AjayJa00
13,3,8,54,15.6,6.8,1.0,7,MurrDe00
14,3,7,19,12.8,2.6,-2.0,7,ThomMi05
15,3,9,42,18.5,7.2,-2.0,8,HowaJo00
16,3,10,38,18.6,4.4,5.0,8,BryaDe01
17,3,12,31,19.2,3.6,6.0,9,BaldDo00
18,3,11,30,19.4,3.6,-1.0,10,CoopAm00
19,3,9,56,20.5,7.6,-1.0,9,GurlTo01
20,3,12,43,20.7,6.1,-1.0,11,CookBr00
21,3,12,50,22.1,5.7,-1.0,1,GronRo00
22,4,18,47,25.3,5.8,6.0,12,ThomDe03
23,4,14,43,26.2,6.2,4.0,13,HopkDe00
24,4,7,48,26.6,7.9,1.0,14,HiltT.00
25,4,4,110,28.0,18.7,-9.0,10,ElliEz00
26,4,14,60,29.9,8.3,5.0,15,AlleKe00
27,4,12,53,31.2,9.3,6.0,11,CrowIs00
28,4,21,60,34.6,7.3,8.0,2,KelcTr00
29,4,13,140,34.7,16.2,9.0,12,HuntKa00
30,4,12,76,35.2,13.6,4.0,13,CookDa01
31,5,22,77,35.9,10.2,6.0,16,JeffAl00
32,5,16,70,35.9,12.7,0.0,17,PryoTe00
33,5,15,82,36.8,12.8,-9.0,14,FourLe00
34,5,15,64,37.4,12.1,-8.0,15,McCaCh01
35,5,23,69,37.6,9.5,4.0,18,CrabMi00
36,5,20,68,38.0,10.4,9.0,19,TateGo00
37,5,21,73,38.8,11.5,10.0,20,FitzLa00
38,5,15,107,39.7,13.2,-9.0,16,MillLa01
39,5,23,359,41.9,39.1,-17.0,1,RodgAa00
40,5,24,71,42.6,10.8,6.0,21,RobiAl02
41,5,17,114,42.6,13.0,-1.0,17,HydeCa00
42,5,15,86,44.7,14.5,0.0,18,MontTy01
43,5,20,89,44.9,13.9,-2.0,22,AdamDa01
44,5,15,101,45.4,16.1,-9.0,19,LyncMa00
45,5,23,59,39.9,6.0,-15.0,2,BradTo00
46,5,34,70,49.3,7.2,2.0,3,OlseGr00
47,6,23,76,51.3,13.5,9.0,23,DiggSt00
48,6,27,107,51.6,12.1,2.0,4,ReedJo02
49,6,24,98,52.4,14.5,0.0,24,HillTy00
50,6,35,172,49.8,15.6,-7.0,3,BreeDr00
