RK,TIERS,best_rank,worst_rank,average_rank,rank_variance,ecr_adp_gap,POSITION_RANK,PFR_ID
1,1,1,11,1.8,1.2,0.0,1,GurlTo01
2,1,1,13,2.8,2.2,1.0,2,JohnDa08
3,1,1,11,4.3,1.6,2.0,1,BrowAn04
4,1,1,22,5.3,3.1,0.0,3,ElliEz00
5,1,2,23,6.4,3.5,1.0,4,KamaAl00
6,2,3,33,7.7,3.2,2.0,2,HopkDe00
7,2,3,25,8.3,3.0,4.0,3,BeckOd00
8,2,2,26,9.2,4.5,-1.0,5,BarkSa00
9,2,4,25,11.0,2.8,4.0,4,JoneJu02
10,2,4,28,11.7,3.5,6.0,5,ThomMi05
11,2,3,35,11.8,6.0,1.0,6,GordMe00
12,2,6,22,13.3,3.0,5.0,6,AlleKe00
13,3,6,38,14.1,5.2,-3.0,7,HuntKa00
14,3,3,41,15.2,5.5,-5.0,8,FourLe00
15,3,9,30,16.1,3.8,3.0,7,AdamDa01
16,3,1,131,16.3,19.3,-14.0,9,BellLe00
17,3,8,26,16.4,3.3,3.0,8,GreeA.00
18,3,6,79,17.3,9.8,-3.0,10,McCaCh01
19,3,9,78,21.1,8.3,-5.0,11,CookDa01
20,3,14,52,22.8,6.5,1.0,1,GronRo00
21,3,15,42,23.5,4.7,1.0,9,EvanMi00
22,4,13,48,24.5,5.9,7.0,10,HiltT.00
23,4,14,82,24.6,8.8,-4.0,12,FreeDe00
24,4,14,66,26.4,7.1,8.0,11,FitzLa00
25,4,17,48,27.2,6.2,0.0,2,KelcTr00
26,4,15,50,27.4,7.0,4.0,12,DiggSt00
27,4,16,49,28.4,5.9,0.0,13,HillTy00
28,4,9,68,29.2,8.9,3.0,14,ThieAd00
29,4,9,90,32.1,12.9,-5.0,13,MixoJo00
30,4,17,85,33.4,10.1,-7.0,14,HowaJo00
31,4,16,64,35.3,8.3,7.0,15,LandJa00
32,4,23,74,35.8,8.1,13.0,16,TateGo00
33,4,19,69,32.1,9.7,3.0,17,BaldDo00
34,4,20,71,36.7,8.3,7.0,18,ThomDe03
35,4,15,89,33.0,9.4,-1.0,19,CoopAm00
36,4,18,74,37.9,10.1,-1.0,3,ErtzZa00
37,4,14,101,38.2,13.3,-11.0,15,McCoLe01
38,5,25,261,40.3,21.7,-10.0,1,RodgAa00
39,5,20,105,41.5,14.2,-6.0,16,DrakKe00
40,5,25,91,43.5,12.7,9.0,20,RobiAl02
41,5,28,83,44.4,9.7,2.0,21,SmitJu00
42,5,22,96,44.9,12.6,-5.0,17,CollAl00
43,5,26,97,50.2,11.9,1.0,22,CookBr00
44,5,30,90,50.5,10.9,10.0,23,JoneMa02
45,5,22,109,53.4,15.4,5.0,24,GordJo02
46,5,21,144,49.6,18.1,0.0,18,MillLa01
47,5,31,259,53.7,23.4,5.0,2,WilsRu00
48,5,28,262,54.2,22.5,-1.0,3,BradTo00
49,5,29,116,54.7,15.3,11.0,25,DaviCo03
50,5,29,133,52.3,16.4,5.0,26,HogaCh00
51,5,21,104,52.5,15.0,-12.0,19,FreeRo00
52,5,32,265,57.8,24.0,7.0,4,NewtCa00
53,6,26,115,57.6,16.7,-11.0,20,AjayJa00
54,6,33,137,57.9,15.3,11.0,27,SandEm00
55,6,33,117,61.7,14.8,-15.0,21,HenrDe00
56,6,37,120,58.7,15.5,1.0,22,LewiDi00
57,6,34,102,58.8,15.0,5.0,28,CrabMi00
58,6,32,260,63.0,23.5,-10.0,5,WatsDe00
59,6,35,134,63.0,15.0,-3.0,4,OlseGr00
60,6,25,122,66.0,16.3,-7.0,5,GrahJi00
61,6,35,112,69.0,12.5,9.0,6,WalkHu00
62,6,38,205,65.9,21.1,2.0,29,GoodMa00
63,6,42,263,69.6,22.9,4.0,6,BreeDr00
64,6,37,120,68.5,15.3,24.0,30,CrowJa00
65,6,43,143,69.0,20.7,-14.0,23,IngrMa01
66,6,36,128,73.9,16.6,-3.0,7,EngrEv00
67,6,34,145,68.5,21.9,-1.0,24,BurkRe00
68,6,43,119,73.5,15.9,-10.0,25,LyncMa00
69,6,39,116,75.0,15.5,20.0,31,AndeRo04
70,6,43,139,72.0,17.9,6.0,32,WatkSa00
71,6,41,125,79.6,14.6,1.0,8,RudoKy00
