RK,TIERS,best_rank,worst_rank,average_rank,rank_variance,ecr_adp_gap,POSITION_RANK,PFR_ID
1,1,1,10,2.3,1.9,0.0,1,BellLe00
2,1,1,13,4.3,3.0,2.0,2,CharJa00
3,1,1,14,4.3,3.7,-1.0,3,PeteAd01
4,1,1,12,4.4,2.2,-1.0,1,BrowAn04
5,1,1,15,5.3,3.2,0.0,4,LacyEd00
6,2,2,21,7.5,2.5,1.0,2,JoneJu02
7,2,4,21,9.1,3.0,5.0,3,ThomDe03
8,2,3,22,9.4,3.7,0.0,4,BryaDe01
9,2,4,19,9.8,4.4,0.0,1,GronRo00
10,2,5,24,11.3,4.1,0.0,5,BeckOd00
11,3,1,31,11.9,7.4,2.0,5,FortMa00
12,3,1,32,12.2,4.9,-1.0,6,AndeC.00
13,3,3,25,13.3,4.1,-7.0,7,LyncMa00
14,3,8,21,14.3,3.1,3.0,6,GreeA.00
15,3,6,23,14.4,4.0,-1.0,7,JohnCa00
16,3,4,25,15.7,4.2,3.0,8,CobbRa00
17,3,3,44,18.4,7.5,5.0,8,ForsJu00
18,3,6,38,19.2,5.4,-2.0,9,HillJe01
19,3,3,41,19.8,6.0,-4.0,10,MurrDe00
20,4,9,52,22.6,8.2,4.0,9,JeffAl00
21,4,9,47,23.9,6.7,4.0,10,CookBr00
22,4,14,39,24.3,6.0,1.0,11,HiltT.00
23,4,8,55,24.9,7.8,4.0,11,MillLa01
24,4,8,44,25.0,7.5,-4.0,12,McCoLe01
25,4,10,50,25.8,8.6,1.0,12,EvanMi00
26,4,10,53,26.6,6.6,3.0,13,HopkDe00
27,4,19,48,27.9,4.0,-9.0,1,LuckAn00
28,4,23,50,29.4,4.5,-7.0,2,RodgAa00
29,4,14,51,29.8,8.2,-1.0,13,GoreFr00
30,4,14,56,31.0,9.5,1.0,2,MattJo00
31,5,17,54,35.7,6.9,1.0,14,IngrMa01
32,5,18,77,37.1,11.3,1.0,14,SandEm00
33,5,20,65,38.2,10.5,9.0,15,EdelJu00
34,5,14,136,38.5,17.4,4.0,15,ElliAn00
35,5,21,65,39.5,9.8,4.0,16,JohnAn02
36,5,25,110,42.0,13.3,-1.0,16,MurrLa00
37,5,24,94,43.1,13.3,11.0,17,StewJo00
38,5,28,70,43.7,10.6,7.0,17,AlleKe00
39,5,26,111,45.2,13.0,1.0,18,CoopAm00
40,5,13,109,45.8,17.1,16.0,18,SpilC.00
41,5,19,73,45.9,11.1,9.0,19,LandJa00
42,5,14,84,43.8,13.4,2.0,19,AbduAm00
43,5,24,85,46.2,13.9,-13.0,3,GrahJi00
44,5,25,69,46.6,11.0,-3.0,20,TateGo00
45,6,25,69,47.9,10.0,12.0,21,MarsBr00
46,6,26,75,49.7,10.8,3.0,4,OlseGr00
47,6,26,97,50.4,15.3,-13.0,20,GordMe00
48,6,25,91,50.7,14.3,-12.0,21,MorrAl00
49,6,23,77,52.5,11.3,-2.0,22,MaclJe00
50,6,29,84,53.2,11.2,12.0,23,RobiAl02
51,6,25,119,53.3,15.2,12.0,24,AdamDa01
52,6,32,111,54.0,14.8,-15.0,22,HydeCa00
53,6,28,105,54.5,13.3,6.0,3,WilsRu00
54,6,28,90,54.9,12.7,-3.0,5,KelcTr00
55,6,36,113,57.0,12.2,-3.0,4,MannPe00
56,6,26,106,58.1,18.1,2.0,23,MartDo00
57,6,40,97,56.3,10.0,-4.0,5,BreeDr00
58,6,33,114,59.8,18.4,-3.0,24,YeldT.00
59,6,26,112,59.9,21.9,9.0,25,IvorCh00
60,6,15,111,60.3,18.9,6.0,26,BernGi00
61,6,39,121,63.5,13.8,-7.0,25,WatkSa00
62,6,17,165,59.7,28.6,-19.0,27,FostAr00
63,7,43,105,62.9,13.5,-3.0,6,RoetBe00
64,7,37,100,66.0,14.3,1.0,26,JackDe00
65,7,41,102,67.5,11.5,5.0,27,JackVi00
66,7,42,96,68.5,12.7,-2.0,6,BennMa00
67,7,43,95,70.5,10.5,22.0,28,SmitSt01
68,7,48,133,71.5,16.4,18.0,29,FitzLa00
69,7,46,131,74.0,16.5,28.0,30,BoldAn00
70,7,43,119,74.5,15.0,17.0,31,WhitRo00
71,7,48,105,74.0,12.3,0.0,7,RyanMa00
72,7,51,132,76.2,16.9,16.0,32,DeckEr00
