RK,TIERS,best_rank,worst_rank,average_rank,rank_variance,ecr_adp_gap,POSITION_RANK,PFR_ID
1,1,1,3,1.1,0.3,0.0,1,McCaCh01
2,1,1,6,2.4,0.8,0.0,2,BarkSa00
3,1,2,14,3.2,1.4,0.0,3,ElliEz00
4,1,2,14,4.3,1.7,2.0,4,KamaAl00
5,1,3,11,5.6,1.5,0.0,1,ThomMi05
6,2,2,34,7.5,4.6,-2.0,5,CookDa01
7,2,4,25,9.3,2.4,1.0,2,AdamDa01
8,2,5,24,11.5,2.3,9.0,3,JoneJu02
9,2,4,31,11.8,8.0,-2.0,6,HenrDe00
10,2,4,31,12.0,6.3,1.0,7,EdwaCl00
11,2,5,37,12.6,3.1,3.0,4,HillTy00
12,2,4,52,12.9,7.8,1.0,8,EkelAu00
13,3,9,45,15.8,5.6,5.0,5,HopkDe00
14,3,11,63,16.4,5.9,8.0,6,GodwCh00
15,3,4,44,16.9,7.2,-5.0,9,MixoJo00
16,3,11,26,17.4,1.3,4.0,1,KelcTr00
17,3,7,51,17.5,8.7,-1.0,10,DrakKe00
18,3,6,52,17.6,8.0,-6.0,11,SandMi01
19,3,12,27,18.3,2.0,5.0,2,KittGe00
20,3,6,40,22.1,6.8,-11.0,12,JacoJo01
21,3,13,62,22.6,7.5,9.0,7,RobiAl02
22,3,8,57,23.7,7.0,-3.0,13,JoneAa00
23,4,12,93,24.7,9.4,2.0,8,GollKe00
24,4,7,51,25.8,6.9,-9.0,14,ChubNi00
25,4,19,54,26.3,9.3,-4.0,1,MahoPa00
26,4,10,99,27.4,9.4,2.0,9,MoorD.00
27,4,13,62,30.2,8.5,6.0,10,SmitJu00
28,4,13,82,30.8,9.8,4.0,11,ThieAd00
29,4,13,67,31.0,8.5,-3.0,12,EvanMi00
30,4,13,61,32.6,10.6,-7.0,2,JackLa00
31,4,13,67,33.3,8.3,0.0,13,BeckOd00
32,4,15,81,33.7,9.8,13.0,14,WoodRo02
33,4,18,70,35.7,13.0,8.0,3,AndrMa00
34,4,16,65,35.9,7.0,1.0,15,CoopAm00
35,4,10,83,36.4,11.3,-1.0,15,ConnJa00
36,5,15,99,37.8,9.9,8.0,16,RidlCa00
37,5,15,80,35.9,9.4,1.0,17,KuppCo00
38,5,20,98,38.4,9.9,-11.0,16,CarsCh00
39,5,10,104,39.4,12.1,-10.0,17,GurlTo01
40,5,16,73,40.3,8.9,2.0,18,BrowAJ00
41,5,18,69,42.0,10.1,-1.0,4,ErtzZa00
42,5,15,97,42.1,10.4,10.0,19,CharDJ00
43,5,13,73,44.3,9.4,13.0,20,McLaTe00
44,5,24,78,44.5,11.0,3.0,21,AlleKe00
45,5,14,83,45.9,11.8,-8.0,18,BellLe00
46,5,24,74,46.1,8.8,2.0,22,LockTy00
47,5,20,116,46.6,13.2,-11.0,19,JohnDa08
48,5,14,84,46.8,10.3,-9.0,20,GordMe00
49,5,25,96,51.0,11.3,0.0,23,MetcDK00
50,5,26,132,51.3,16.5,-7.0,21,TaylJo02
51,5,22,137,52.8,14.0,-5.0,24,SuttCo00
52,6,19,90,55.0,7.6,-1.0,3,PresDa01
53,6,26,135,55.4,14.0,5.0,5,WallDa01
54,6,28,119,59.3,15.1,1.0,22,IngrMa01
55,6,35,124,59.5,13.5,9.0,25,ParkDe01
56,6,38,87,60.3,6.7,7.0,4,WilsRu00
57,6,31,120,60.5,12.1,2.0,23,HuntKa00
58,6,29,109,59.4,11.3,-1.0,26,HiltT.00
59,6,43,93,62.7,7.8,2.0,5,WatsDe00
60,6,38,114,64.0,10.4,0.0,6,MurrKy00
61,6,36,111,62.6,10.8,4.0,27,DiggSt00
62,6,29,201,65.1,16.8,10.0,28,BoydTy00
63,6,25,101,67.1,11.3,7.0,29,LandJa00
64,6,39,130,68.8,13.0,9.0,30,GallMi00
65,6,31,120,68.9,18.0,-12.0,24,MostRa00
66,6,31,146,68.4,17.4,-12.0,25,AkerCa00
67,6,31,200,69.5,19.4,10.0,26,WhitJa02
68,6,33,124,69.8,13.7,0.0,31,BrowMa04
69,6,26,136,71.7,17.7,2.0,6,EngrEv00
70,6,25,184,72.1,17.1,5.0,32,EdelJu00
71,7,29,214,74.4,18.1,-2.0,33,GreeA.00
72,7,44,170,75.4,20.1,13.0,27,CoheTa00
73,7,38,185,77.2,18.4,1.0,34,FullWi01
74,7,40,143,75.7,15.4,-24.0,28,SingDe00
75,7,9,143,74.5,25.3,-13.0,29,FourLe00
76,7,59,120,79.7,11.8,5.0,7,RyanMa00
77,7,47,123,79.9,13.6,14.0,8,AlleJo02
78,7,42,190,78.3,21.8,-12.0,30,MontDa01
79,7,50,143,80.5,12.0,10.0,35,JoneMa02
80,7,42,134,81.5,17.0,-13.0,31,SwifDA00
81,7,39,161,82.7,23.2,-2.0,7,HigbTy00
82,7,46,142,84.7,19.2,2.0,8,HenrHu00
83,7,40,273,81.7,34.9,14.0,32,GibsAn00
84,7,42,181,87.7,20.4,2.0,36,CookBr00
85,7,46,169,90.0,19.6,11.0,37,JohnDi01
86,7,46,180,88.4,24.2,19.0,9,HursHa00
87,7,49,220,88.4,21.4,14.0,38,CrowJa00
88,7,51,150,91.3,15.0,14.0,9,WentCa00
89,7,56,133,92.0,14.0,-9.0,10,BreeDr00
90,7,39,151,95.1,16.3,-12.0,11,BradTo00
91,7,45,207,94.2,20.5,7.0,39,KirkCh01
92,7,49,225,98.0,20.6,-4.0,33,LindPh00
93,8,58,212,98.3,20.5,11.0,40,ShepSt00
94,8,52,150,101.5,14.3,15.0,12,StafMa00
95,8,47,187,101.2,22.5,-12.0,34,DobbJK00
96,8,57,175,100.8,15.9,-6.0,35,HowaJo00
97,8,45,283,100.1,29.9,-15.0,41,SamuDe00
98,8,59,168,103.5,18.6,-3.0,36,BreiMa00
99,8,56,165,106.8,17.4,-7.0,13,RodgAa00
100,8,64,183,105.4,22.4,0.0,42,LambCe00
101,8,51,186,104.5,21.6,-2.0,37,MossZa00
102,8,72,194,107.6,19.6,15.0,43,BrowJo02
103,8,63,175,113.6,24.6,34.0,10,GesiMi00
104,8,67,206,110.5,20.9,9.0,44,SlayDa01
105,8,51,298,109.0,26.6,-18.0,38,JoneRo01
106,8,73,196,110.7,21.2,0.0,45,SandEm00
107,8,73,206,110.8,23.5,29.0,46,MillAn02
108,8,64,208,112.4,24.0,14.0,47,WillPr01
