RK,TIERS,best_rank,worst_rank,average_rank,rank_variance,ecr_adp_gap,POSITION_RANK,PFR_ID
1,1,1,55,2.5,4.6,0.0,1,McCaCh01
2,1,1,11,2.6,1.3,0.0,1,LambCe00
3,1,2,14,3.3,1.7,0.0,2,HillTy00
4,1,2,25,4.6,2.3,2.0,3,StxxAm00
5,1,2,35,6.0,2.9,2.0,4,ChasJa00
6,1,1,43,6.3,3.3,-1.0,2,HallBr03
7,1,1,20,6.7,2.5,-3.0,3,RobiBi01
8,1,2,21,6.7,2.4,0.0,5,JeffJu00
9,2,5,22,9.6,2.5,1.0,6,BrowAJ00
10,2,4,34,9.8,3.0,2.0,7,WilsGa00
11,2,8,45,14.3,5.1,0.0,4,TaylJo02
12,2,4,52,14.4,5.3,1.0,5,GibbJa01
13,2,7,57,15.3,6.0,-4.0,6,BarkSa00
14,2,9,46,15.4,6.0,0.0,8,NacuPu00
15,2,9,64,19.0,8.2,5.0,9,AdamDa01
16,2,9,66,19.5,7.3,7.0,10,LondDr00
17,3,11,67,21.2,7.8,0.0,7,EtieTr00
18,3,5,90,18.4,9.4,-2.0,11,HarrMa09
19,3,12,46,22.3,6.8,5.0,12,OlavCh00
20,3,16,49,23.6,6.7,1.0,1,AlleJo02
21,3,10,68,27.2,10.6,16.0,13,KuppCo00
22,3,18,89,28.5,8.3,9.0,2,HurtJa00
23,3,11,65,29.5,8.8,20.0,14,WaddJa00
24,3,17,88,33.1,13.8,9.0,1,LaPoSa01
25,3,12,148,30.5,12.6,2.0,15,CollNi00
26,3,12,77,30.6,9.3,4.0,16,EvanMi00
27,3,10,81,34.2,13.5,-5.0,2,KelcTr00
28,3,9,80,31.7,11.2,8.0,17,PittMi01
29,3,18,57,31.9,8.1,-1.0,3,MahoPa00
30,4,11,105,29.8,14.3,-5.0,8,AchaDe00
31,4,12,64,33.3,8.8,4.0,18,AiyuBr00
32,4,12,67,32.6,11.2,-14.0,9,HenrDe00
33,4,8,182,32.6,16.3,-18.0,10,WillKy02
34,4,17,91,36.2,8.6,4.0,4,JackLa00
35,4,11,78,32.8,11.3,-16.0,11,PachIs00
36,4,11,72,36.3,11.9,-10.0,12,JacoJo01
37,4,12,73,36.8,9.4,-3.0,19,SamuDe00
38,4,13,89,37.7,16.0,2.0,13,KamaAl00
39,4,19,66,37.8,7.4,7.0,20,SmitDe07
40,4,19,64,38.0,8.0,1.0,21,MetcDK00
41,4,9,78,38.6,10.3,4.0,22,MoorD.00
42,4,11,72,42.4,10.2,-13.0,14,CookJa01
43,4,14,148,39.4,14.5,-11.0,15,WhitRa01
44,4,15,117,39.6,13.8,5.0,23,NabeMa00
45,4,14,94,46.8,13.2,-1.0,24,DiggSt00
46,4,21,97,50.7,17.0,2.0,3,McBrTr01
47,4,19,175,48.0,18.1,21.0,25,RiceRa01
48,5,33,90,49.6,8.4,6.0,26,CoopAm00
49,5,19,78,46.9,8.9,-10.0,16,MixoJo00
50,5,18,72,47.2,9.2,-8.0,17,WalkKe00
51,5,14,84,52.7,11.8,22.0,27,McLaTe00
52,5,34,102,55.1,10.1,9.0,28,HiggTe00
53,5,29,120,55.2,12.7,2.0,5,RichAn03
54,5,22,158,56.5,13.8,8.0,29,FlowZa00
55,5,21,97,60.5,18.3,-8.0,4,AndrMa00
56,5,31,173,58.8,13.8,14.0,6,MurrKy00
57,5,24,111,58.8,12.3,0.0,30,PickGe00
58,5,31,112,55.7,9.8,-8.0,7,StroCJ00
59,5,36,109,63.0,13.1,17.0,31,KirkCh01
60,5,37,127,63.7,12.1,-1.0,8,BurrJo01
61,5,23,137,60.6,11.6,-9.0,18,ConnJa00
62,5,19,134,64.0,13.7,15.0,32,GodwCh00
