#G,TGT,REC,REC%,YDS,Y/REC,TD,OFF,RECV,DROP,FUM,PBLK,PASS,RECV.1,RT%,PBLK.1,PB%,SLOT,SLT%,WIDE,WID%,INL,INL%,YAC,YAC/REC,Y/RR,ADOT,LNG,DRP,DRP%,CTT,CTC,CTC%,INT,FUM.1,MTF,1ST,RTG,PFR_ID
18.0,161.0,119.0,73.9,1461,12.3,7.0,91.4,91.6,90.7,84.7,,621.0,594.0,95.7,0.0,0.0,154.0,24.8,467.0,75.2,0.0,0.0,515.0,4.3,2.46,10.1,46.0,3.0,2.5,38.0,21.0,55.3,4.0,0.0,17.0,82.0,105.6,ThomMi05
18.0,168.0,106.0,63.1,1639,15.5,4.0,91.8,91.5,58.0,84.1,,562.0,539.0,95.9,0.0,0.0,125.0,22.2,436.0,77.6,0.0,0.0,549.0,5.2,3.04,13.9,53.0,10.0,8.6,49.0,17.0,34.7,3.0,0.0,13.0,79.0,95.8,JoneJu02
15.0,166.0,108.0,65.1,1665,15.4,11.0,91.3,91.3,79.7,28.7,,627.0,586.0,93.5,0.0,0.0,78.0,12.4,548.0,87.4,1.0,0.2,502.0,4.6,2.84,14.4,57.0,5.0,4.4,45.0,24.0,53.3,6.0,3.0,12.0,74.0,105.1,BrowAn04
17.0,126.0,85.0,67.5,1302,15.3,11.0,90.5,90.7,61.9,54.4,70.3,668.0,549.0,82.2,79.0,11.8,321.0,48.1,117.0,17.5,229.0,34.3,414.0,4.9,2.37,12.2,53.0,6.0,6.6,43.0,25.0,58.1,1.0,1.0,9.0,71.0,127.1,GronRo00
15.0,164.0,96.0,58.5,1378,14.4,13.0,90.2,90.3,80.4,57.1,,631.0,576.0,91.3,0.0,0.0,99.0,15.7,530.0,84.0,0.0,0.0,346.0,3.6,2.39,14.0,72.0,5.0,5.0,48.0,15.0,31.3,6.0,1.0,4.0,69.0,97.1,HopkDe00
8.0,28.0,12.0,42.9,201,16.8,3.0,80.7,89.7,31.3,71.9,,70.0,68.0,97.1,0.0,0.0,15.0,21.4,13.0,18.6,38.0,54.3,75.0,6.3,2.96,11.5,29.0,3.0,20.0,8.0,1.0,12.5,1.0,0.0,0.0,11.0,88.5,SealRi00
16.0,147.0,102.0,69.4,1393,13.7,6.0,89.3,89.7,54.2,58.7,67.4,583.0,547.0,93.8,2.0,0.3,287.0,49.2,290.0,49.7,2.0,0.3,523.0,5.1,2.55,9.9,51.0,11.0,9.7,28.0,14.0,50.0,2.0,1.0,13.0,74.0,107.3,AlleKe00
17.0,123.0,92.0,74.8,1016,11.0,9.0,80.6,88.2,83.1,29.7,66.1,574.0,493.0,85.9,49.0,8.5,233.0,40.6,96.0,16.7,243.0,42.3,334.0,3.6,2.06,8.1,53.0,4.0,4.2,24.0,14.0,58.3,2.0,1.0,3.0,58.0,116.4,ErtzZa00
16.0,121.0,87.0,71.9,1104,12.7,9.0,83.3,87.1,66.1,83.0,51.2,590.0,528.0,89.5,35.0,5.9,271.0,45.9,138.0,23.4,174.0,29.5,441.0,5.1,2.09,9.6,44.0,7.0,7.4,15.0,6.0,40.0,3.0,0.0,16.0,58.0,114.5,KelcTr00
14.0,60.0,45.0,75.0,579,12.9,4.0,87.2,86.7,68.8,78.9,68.9,333.0,283.0,85.0,32.0,9.6,154.0,46.2,42.0,12.6,128.0,38.4,199.0,4.4,2.05,10.1,34.0,3.0,6.3,15.0,9.0,60.0,0.0,0.0,1.0,32.0,127.0,HenrHu00
13.0,14.0,12.0,85.7,127,10.6,3.0,72.2,84.0,79.4,71.9,57.6,83.0,66.0,79.5,11.0,13.3,5.0,6.0,10.0,12.0,65.0,78.3,52.0,4.3,1.92,8.0,31.0,0.0,0.0,5.0,4.0,80.0,0.0,0.0,0.0,8.0,144.0,ShahAd00
16.0,114.0,78.0,68.4,1056,13.5,9.0,82.6,84.0,79.5,83.2,,571.0,529.0,92.6,0.0,0.0,132.0,23.1,432.0,75.7,6.0,1.1,380.0,4.9,2.0,11.3,61.0,5.0,6.0,28.0,18.0,64.3,2.0,0.0,9.0,52.0,116.7,DiggSt00
16.0,112.0,75.0,67.0,991,13.2,8.0,84.4,83.3,90.5,81.8,79.6,601.0,543.0,90.3,5.0,0.8,434.0,72.2,141.0,23.5,24.0,4.0,260.0,3.5,1.83,13.3,54.0,1.0,1.3,22.0,5.0,22.7,4.0,0.0,8.0,44.0,103.7,BaldDo00
16.0,113.0,82.0,72.6,1270,15.5,7.0,79.9,82.8,64.1,88.6,61.6,574.0,543.0,94.6,1.0,0.2,208.0,36.2,343.0,59.8,1.0,0.2,525.0,6.4,2.34,11.5,79.0,7.0,7.9,16.0,9.0,56.3,1.0,0.0,10.0,43.0,126.3,HillTy00
16.0,134.0,75.0,56.0,1078,14.4,8.0,82.2,82.7,71.7,27.8,,543.0,517.0,95.2,0.0,0.0,74.0,13.6,468.0,86.2,0.0,0.0,292.0,3.9,2.09,14.3,77.0,5.0,6.3,44.0,19.0,43.2,7.0,2.0,8.0,55.0,80.4,GreeA.00
16.0,117.0,92.0,78.6,1003,10.9,5.0,82.9,82.4,83.2,59.9,,575.0,531.0,92.3,0.0,0.0,454.0,79.0,120.0,20.9,1.0,0.2,631.0,6.9,1.89,6.2,71.0,4.0,4.2,14.0,8.0,57.1,5.0,1.0,22.0,44.0,98.8,TateGo00
16.0,54.0,34.0,63.0,525,15.4,1.0,81.9,80.3,70.5,77.5,,274.0,259.0,94.5,0.0,0.0,53.0,19.3,217.0,79.2,4.0,1.5,173.0,5.1,2.03,13.2,70.0,2.0,5.6,19.0,11.0,57.9,2.0,0.0,8.0,27.0,85.8,GodwCh00
16.0,156.0,112.0,71.8,987,8.8,9.0,79.5,80.2,76.6,29.0,62.2,629.0,600.0,95.4,1.0,0.2,410.0,65.2,211.0,33.5,4.0,0.6,523.0,4.7,1.65,6.3,49.0,7.0,5.9,29.0,14.0,48.3,4.0,3.0,17.0,59.0,96.8,LandJa00
18.0,152.0,100.0,65.8,1378,13.8,4.0,82.4,80.1,76.9,27.4,66.8,694.0,641.0,92.4,2.0,0.3,338.0,48.7,350.0,50.4,5.0,0.7,436.0,4.4,2.15,11.1,65.0,5.0,4.8,38.0,18.0,47.4,3.0,3.0,8.0,63.0,95.2,ThieAd00
13.0,94.0,65.0,69.1,923,14.2,5.0,81.0,79.7,78.6,46.1,81.5,428.0,405.0,94.6,5.0,1.2,136.0,31.8,286.0,66.8,6.0,1.4,313.0,4.8,2.28,11.3,94.0,3.0,4.4,10.0,4.0,40.0,0.0,1.0,6.0,43.0,118.4,WoodRo02
14.0,108.0,74.0,68.5,885,12.0,10.0,80.5,79.4,65.0,81.6,,538.0,504.0,93.7,0.0,0.0,103.0,19.1,433.0,80.5,2.0,0.4,345.0,4.7,1.76,10.0,55.0,5.0,6.3,22.0,10.0,45.5,1.0,0.0,14.0,45.0,120.3,AdamDa01
1.0,1.0,1.0,100.0,17,17.0,0.0,88.3,79.1,64.7,61.2,,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,1.0,1.0,17.0,16.0,17.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,118.8,RobiAl02
16.0,153.0,109.0,71.2,1156,10.6,6.0,80.0,78.8,90.4,60.3,74.5,702.0,650.0,92.6,3.0,0.4,434.0,61.8,257.0,36.6,9.0,1.3,418.0,3.8,1.78,8.5,37.0,4.0,3.5,40.0,18.0,45.0,1.0,1.0,9.0,66.0,103.3,FitzLa00
15.0,132.0,71.0,53.8,1001,14.1,5.0,79.3,78.7,77.0,81.7,,628.0,591.0,94.1,0.0,0.0,132.0,21.0,496.0,79.0,0.0,0.0,108.0,1.5,1.69,14.6,42.0,4.0,5.3,54.0,23.0,42.6,5.0,1.0,2.0,55.0,75.3,EvanMi00
17.0,12.0,10.0,83.3,95,9.5,1.0,85.5,78.3,79.6,71.8,57.7,142.0,85.0,59.9,50.0,35.2,25.0,17.6,1.0,0.7,109.0,76.8,58.0,5.8,1.12,6.5,23.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,5.0,127.4,MorgDa01
16.0,104.0,70.0,67.3,938,13.4,6.0,78.1,78.2,57.1,49.0,77.7,504.0,471.0,93.5,10.0,2.0,297.0,58.9,205.0,40.7,0.0,0.0,379.0,5.4,1.99,9.6,64.0,7.0,9.1,10.0,4.0,40.0,1.0,1.0,16.0,46.0,111.0,KuppCo00
