#G,TGT,REC,REC%,YDS,Y/REC,TD,OFF,RECV,DROP,FUM,PBLK,PASS,RECV.1,RT%,PBLK.1,PB%,SLOT,SLT%,WIDE,WID%,INL,INL%,YAC,YAC/REC,Y/RR,ADOT,LNG,DRP,DRP%,CTT,CTC,CTC%,INT,FUM.1,MTF,1ST,RTG,PFR_ID
7.0,64.0,39.0,60.9,592,15.2,4.0,91.0,91.1,74.4,78.1,69.9,258.0,215.0,83.3,29.0,11.2,135.0,52.3,28.0,10.9,93.0,36.0,198.0,5.1,2.75,11.5,50.0,2.0,4.9,0.0,0.0,,4.0,0.0,2.0,30.0,86.2,GronRo00
19.0,150.0,101.0,67.3,1406,13.9,8.0,90.5,90.5,67.3,83.9,,585.0,556.0,95.0,0.0,0.0,276.0,47.2,304.0,52.0,2.0,0.3,502.0,5.0,2.53,10.3,63.0,8.0,7.3,0.0,0.0,,1.0,0.0,13.0,73.0,112.2,BoldAn00
16.0,158.0,100.0,63.3,1295,13.0,12.0,91.6,90.0,35.3,87.4,55.9,641.0,606.0,94.5,2.0,0.3,285.0,44.5,350.0,54.6,3.0,0.5,283.0,2.8,2.14,12.7,44.0,15.0,13.0,0.0,0.0,,4.0,0.0,13.0,70.0,103.7,MarsBr00
16.0,159.0,110.0,69.2,1499,13.6,8.0,89.1,89.8,71.0,90.0,,630.0,604.0,95.9,0.0,0.0,76.0,12.1,551.0,87.5,0.0,0.0,658.0,6.0,2.48,10.8,56.0,8.0,6.8,0.0,0.0,,3.0,0.0,16.0,69.0,107.9,BrowAn04
14.0,148.0,84.0,56.8,1492,17.8,12.0,89.9,89.5,53.7,53.2,,565.0,545.0,96.5,0.0,0.0,148.0,26.2,417.0,73.8,0.0,0.0,475.0,5.7,2.74,15.0,87.0,10.0,10.6,0.0,0.0,,9.0,1.0,13.0,69.0,93.1,JohnCa00
16.0,176.0,109.0,61.9,1407,12.9,5.0,89.4,88.7,64.8,84.0,,635.0,612.0,96.4,0.0,0.0,150.0,23.6,483.0,76.1,2.0,0.3,414.0,3.8,2.3,11.7,62.0,10.0,8.4,0.0,0.0,,8.0,0.0,8.0,69.0,77.5,JohnAn02
17.0,88.0,59.0,67.0,842,14.3,10.0,87.2,87.5,76.0,81.4,,444.0,428.0,96.4,0.0,0.0,76.0,17.1,368.0,82.9,0.0,0.0,239.0,4.1,1.97,12.2,49.0,3.0,4.8,0.0,0.0,,3.0,0.0,15.0,42.0,121.5,JoneMa02
9.0,60.0,45.0,75.0,499,11.1,3.0,89.0,87.1,61.8,78.9,74.7,253.0,226.0,89.3,19.0,7.5,80.0,31.6,20.0,7.9,126.0,49.8,239.0,5.3,2.21,6.7,38.0,4.0,8.2,0.0,0.0,,2.0,0.0,4.0,30.0,102.0,ReedJo02
17.0,113.0,79.0,69.9,1209,15.3,10.0,86.8,86.4,73.5,63.3,,600.0,561.0,93.5,0.0,0.0,78.0,13.0,522.0,87.0,0.0,0.0,464.0,5.9,2.16,11.1,49.0,5.0,6.0,0.0,0.0,,3.0,1.0,14.0,62.0,123.4,AlleKe00
5.0,6.0,4.0,66.7,70,17.5,0.0,88.7,85.8,42.1,67.0,63.1,36.0,18.0,50.0,18.0,50.0,1.0,2.8,0.0,0.0,35.0,97.2,32.0,8.0,3.89,7.3,32.0,1.0,20.0,0.0,0.0,,0.0,0.0,1.0,3.0,106.3,JohnDa05
17.0,128.0,92.0,71.9,1376,15.0,9.0,86.0,85.3,79.1,87.0,,715.0,676.0,94.5,0.0,0.0,376.0,52.6,338.0,47.3,1.0,0.1,452.0,4.9,2.04,11.4,76.0,6.0,6.1,0.0,0.0,,5.0,0.0,14.0,63.0,113.9,NelsJo00
