#G,TGT,REC,REC%,YDS,Y/REC,TD,OFF,RECV,DROP,FUM,PBLK,PASS,RECV.1,RT%,PBLK.1,PB%,SLOT,SLT%,WIDE,WID%,INL,INL%,YAC,YAC/REC,Y/RR,ADOT,LNG,DRP,DRP%,CTT,CTC,CTC%,INT,FUM.1,MTF,1ST,RTG,PFR_ID
17.0,175.0,124.0,70.9,1861,15.0,14.0,93.4,93.8,63.6,64.4,,521.0,500.0,96.0,0.0,0.0,195.0,37.4,315.0,60.5,5.0,1.0,689.0,5.6,3.72,11.3,78.0,10.0,7.5,23.0,7.0,30.4,5.0,1.0,27.0,84.0,120.2,HillTy00
19.0,120.0,84.0,70.0,1491,17.8,8.0,91.5,91.7,86.1,53.9,66.8,593.0,563.0,94.9,2.0,0.3,146.0,24.6,446.0,75.2,1.0,0.2,390.0,4.6,2.65,14.6,76.0,2.0,2.3,18.0,9.0,50.0,3.0,1.0,10.0,70.0,124.0,AiyuBr00
19.0,190.0,141.0,74.2,1789,12.7,11.0,91.2,91.3,88.5,67.4,39.2,725.0,691.0,95.3,4.0,0.6,401.0,55.3,316.0,43.6,0.0,0.0,802.0,5.7,2.59,8.0,70.0,5.0,3.4,29.0,15.0,51.7,3.0,1.0,20.0,93.0,115.9,StxxAm00
10.0,98.0,68.0,69.4,1074,15.8,5.0,91.1,91.2,86.5,48.1,,391.0,369.0,94.4,0.0,0.0,118.0,30.2,272.0,69.6,0.0,0.0,263.0,3.9,2.91,13.5,52.0,2.0,2.9,22.0,9.0,40.9,3.0,1.0,10.0,51.0,109.8,JeffJu00
17.0,126.0,91.0,72.2,1461,16.1,9.0,91.4,91.2,83.5,83.3,,497.0,470.0,94.6,0.0,0.0,100.0,20.1,396.0,79.7,1.0,0.2,646.0,7.1,3.11,11.4,75.0,4.0,4.2,17.0,8.0,47.1,2.0,1.0,21.0,62.0,127.8,CollNi00
18.0,197.0,144.0,73.1,1859,12.9,12.0,90.9,91.2,89.3,50.6,,742.0,692.0,93.3,0.0,0.0,435.0,58.6,299.0,40.3,2.0,0.3,709.0,4.9,2.69,10.4,92.0,6.0,4.0,30.0,11.0,36.7,2.0,3.0,19.0,87.0,118.4,LambCe00
15.0,109.0,74.0,67.9,1045,14.1,4.0,90.3,90.6,60.6,82.2,,430.0,415.0,96.5,0.0,0.0,106.0,24.7,318.0,74.0,1.0,0.2,423.0,5.7,2.52,10.7,60.0,7.0,8.6,14.0,6.0,42.9,4.0,0.0,8.0,49.0,95.5,WaddJa00
1.0,1.0,1.0,100.0,22,22.0,0.0,89.2,90.4,64.7,61.2,,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,10.0,10.0,22.0,12.0,22.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,118.8,MuseNi00
17.0,152.0,106.0,69.7,1456,13.7,7.0,90.0,90.4,88.3,35.4,80.3,607.0,577.0,95.1,3.0,0.5,145.0,23.9,460.0,75.8,1.0,0.2,484.0,4.6,2.52,12.3,59.0,4.0,3.6,31.0,14.0,45.2,4.0,2.0,19.0,70.0,104.5,BrowAJ00
17.0,132.0,96.0,72.7,1364,14.2,8.0,89.3,89.5,90.5,57.4,,615.0,591.0,96.1,0.0,0.0,133.0,21.6,480.0,78.0,0.0,0.0,550.0,5.7,2.31,11.9,58.0,2.0,2.0,28.0,15.0,53.6,2.0,1.0,16.0,64.0,119.6,MoorD.00
