#G,TGT,REC,REC%,YDS,Y/REC,TD,OFF,RECV,DROP,FUM,PBLK,PASS,RECV.1,RT%,PBLK.1,PB%,SLOT,SLT%,WIDE,WID%,INL,INL%,YAC,YAC/REC,Y/RR,ADOT,LNG,DRP,DRP%,CTT,CTC,CTC%,INT,FUM.1,MTF,1ST,RTG,PFR_ID
17.0,117.0,93.0,79.5,1124,12.1,5.0,94.4,94.3,90.6,58.5,66.3,498.0,391.0,78.5,80.0,16.1,110.0,22.1,73.0,14.7,294.0,59.0,675.0,7.3,2.87,5.9,61.0,2.0,2.1,23.0,13.0,56.5,2.0,1.0,20.0,57.0,113.8,KittGe00
1.0,1.0,1.0,100.0,30,30.0,0.0,93.0,92.6,64.7,61.2,,2.0,2.0,100.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,50.0,0.0,0.0,15.0,30.0,30.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,118.8,McElCo00
17.0,188.0,156.0,83.0,1795,11.5,9.0,90.4,90.7,90.3,67.8,,677.0,636.0,93.9,0.0,0.0,215.0,31.8,462.0,68.2,0.0,0.0,599.0,3.8,2.82,8.2,49.0,6.0,3.7,34.0,23.0,67.6,0.0,1.0,12.0,96.0,122.4,ThomMi05
14.0,114.0,86.0,75.4,1333,15.5,9.0,90.7,90.4,90.8,82.8,73.2,634.0,596.0,94.0,3.0,0.5,402.0,63.4,221.0,34.9,10.0,1.6,580.0,6.7,2.24,10.3,71.0,1.0,1.1,24.0,16.0,66.7,5.0,0.0,17.0,63.0,121.7,GodwCh00
15.0,149.0,99.0,66.4,1394,14.1,6.0,90.6,90.3,85.8,58.3,,610.0,572.0,93.8,0.0,0.0,135.0,22.1,475.0,77.9,0.0,0.0,360.0,3.6,2.44,12.3,54.0,6.0,5.7,45.0,23.0,51.1,5.0,1.0,8.0,77.0,95.9,JoneJu02
15.0,86.0,69.0,80.2,734,10.6,3.0,86.1,90.1,81.1,81.4,63.6,403.0,282.0,70.0,101.0,25.1,38.0,9.4,55.0,13.6,309.0,76.7,401.0,5.8,2.6,6.6,33.0,2.0,2.8,8.0,5.0,62.5,1.0,0.0,7.0,36.0,109.0,HigbTy00
14.0,146.0,100.0,68.5,1295,13.0,7.0,88.0,88.8,61.6,31.9,,532.0,497.0,93.4,0.0,0.0,145.0,27.3,386.0,72.6,0.0,0.0,516.0,5.2,2.61,10.5,65.0,9.0,8.3,16.0,7.0,43.8,2.0,2.0,5.0,67.0,106.4,AdamDa01
19.0,152.0,116.0,76.3,1436,12.4,9.0,86.1,88.7,64.9,62.3,77.4,800.0,669.0,83.6,60.0,7.5,260.0,32.5,267.0,33.4,269.0,33.6,489.0,4.2,2.15,9.1,47.0,7.0,5.7,26.0,14.0,53.8,0.0,1.0,18.0,79.0,124.8,KelcTr00
17.0,168.0,119.0,70.8,1373,11.5,7.0,87.8,88.1,83.2,62.9,,726.0,682.0,93.9,0.0,0.0,272.0,37.5,452.0,62.3,0.0,0.0,412.0,3.5,2.01,10.8,43.0,6.0,4.8,34.0,16.0,47.1,1.0,2.0,12.0,77.0,106.6,HopkDe00
16.0,104.0,68.0,65.4,891,13.1,10.0,88.5,87.8,58.3,27.2,61.1,354.0,333.0,94.1,7.0,2.0,234.0,66.1,48.0,13.6,70.0,19.8,298.0,4.4,2.68,11.0,51.0,7.0,9.3,25.0,8.0,32.0,4.0,2.0,7.0,47.0,108.3,AndrMa00
6.0,26.0,23.0,88.5,262,11.4,4.0,79.6,87.1,85.3,25.6,66.9,137.0,105.0,76.6,20.0,14.6,49.0,35.8,16.0,11.7,72.0,52.6,77.0,3.3,2.5,9.5,38.0,0.0,0.0,2.0,2.0,100.0,0.0,1.0,1.0,14.0,148.2,DissWi00
1.0,8.0,4.0,50.0,56,14.0,1.0,90.0,86.9,72.1,68.3,,17.0,14.0,82.4,0.0,0.0,9.0,52.9,8.0,47.1,0.0,0.0,6.0,1.5,4.0,12.5,20.0,0.0,0.0,3.0,1.0,33.3,0.0,0.0,1.0,3.0,112.5,BrowAn04
15.0,112.0,75.0,67.0,1073,14.3,9.0,84.5,86.8,71.2,83.6,62.4,519.0,477.0,91.9,1.0,0.2,273.0,52.6,235.0,45.3,7.0,1.3,353.0,4.7,2.25,11.9,57.0,5.0,6.3,15.0,3.0,20.0,4.0,0.0,12.0,48.0,109.7,HillTy00
16.0,115.0,90.0,78.3,1146,12.7,3.0,83.2,86.8,78.5,56.9,57.5,557.0,474.0,85.1,66.0,11.8,171.0,30.7,137.0,24.6,249.0,44.7,594.0,6.6,2.42,7.5,75.0,5.0,5.3,18.0,8.0,44.4,2.0,1.0,11.0,53.0,109.6,WallDa01
