#G,TGT,REC,REC%,YDS,Y/REC,TD,OFF,RECV,DROP,FUM,PBLK,PASS,RECV.1,RT%,PBLK.1,PB%,SLOT,SLT%,WIDE,WID%,INL,INL%,YAC,YAC/REC,Y/RR,ADOT,LNG,DRP,DRP%,CTT,CTC,CTC%,INT,FUM.1,MTF,1ST,RTG,PFR_ID
16.0,130.0,81.0,62.3,1159,14.3,5.0,84.3,84.4,48.8,52.9,71.9,528.0,502.0,95.1,3.0,0.6,38.0,7.2,489.0,92.6,0.0,0.0,344.0,4.2,2.31,12.2,52.0,10.0,11.0,0.0,0.0,,5.0,1.0,13.0,58.0,87.9,BoweDw00
17.0,134.0,98.0,73.1,1098,11.2,9.0,81.7,83.9,71.8,39.2,60.0,632.0,595.0,94.1,11.0,1.7,265.0,41.9,169.0,26.7,142.0,22.5,626.0,6.4,1.85,7.1,46.0,8.0,7.5,0.0,0.0,,1.0,1.0,28.0,58.0,116.4,HernAa00
5.0,7.0,6.0,85.7,51,8.5,0.0,82.5,83.4,75.6,69.5,,27.0,26.0,96.3,0.0,0.0,6.0,22.2,21.0,77.8,0.0,0.0,11.0,1.8,1.96,8.6,15.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,3.0,97.0,ButlDe00
16.0,127.0,79.0,62.2,1394,17.6,7.0,83.3,83.2,68.5,44.0,65.7,620.0,589.0,95.0,1.0,0.2,51.0,8.2,569.0,91.8,0.0,0.0,471.0,6.0,2.37,14.3,77.0,6.0,7.1,0.0,0.0,,6.0,3.0,15.0,54.0,98.3,SmitSt01
15.0,144.0,70.0,48.6,966,13.8,5.0,82.4,83.1,58.9,59.4,,512.0,482.0,94.1,0.0,0.0,44.0,8.6,468.0,91.4,0.0,0.0,146.0,2.1,2.0,15.2,44.0,7.0,9.1,0.0,0.0,,7.0,1.0,1.0,46.0,61.9,LloyBr00
20.0,151.0,103.0,68.2,1805,17.5,10.0,82.1,82.3,40.5,33.7,,701.0,670.0,95.6,0.0,0.0,494.0,70.5,207.0,29.5,0.0,0.0,657.0,6.4,2.69,12.7,99.0,13.0,11.2,0.0,0.0,,3.0,1.0,16.0,76.0,122.5,CruzVi00
17.0,81.0,56.0,69.1,691,12.3,2.0,88.2,81.5,59.7,42.5,70.5,615.0,490.0,79.7,97.0,15.8,80.0,13.0,13.0,2.1,475.0,77.2,311.0,5.6,1.41,7.8,39.0,5.0,8.2,0.0,0.0,,5.0,1.0,5.0,38.0,77.8,MillHe00
17.0,186.0,105.0,56.5,1348,12.8,8.0,80.9,81.0,35.6,84.1,70.7,700.0,656.0,93.7,1.0,0.1,95.0,13.6,601.0,85.9,0.0,0.0,366.0,3.5,2.05,11.6,43.0,16.0,13.2,0.0,0.0,,7.0,0.0,8.0,79.0,78.0,WhitRo00
18.0,64.0,47.0,73.4,475,10.1,4.0,76.8,80.7,90.4,79.0,67.6,381.0,325.0,85.3,37.0,9.7,191.0,50.1,20.0,5.2,125.0,32.8,203.0,4.3,1.46,7.3,39.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,33.0,115.0,PittDe00
12.0,84.0,59.0,70.2,796,13.5,3.0,77.7,80.7,77.1,43.0,71.7,493.0,411.0,83.4,60.0,12.2,144.0,29.2,12.0,2.4,322.0,65.3,364.0,6.2,1.94,9.0,42.0,3.0,4.8,0.0,0.0,,6.0,1.0,10.0,39.0,82.2,DaviFr01
16.0,85.0,51.0,60.0,792,15.5,4.0,80.3,80.4,52.3,79.6,65.9,368.0,354.0,96.2,1.0,0.3,319.0,86.7,46.0,12.5,0.0,0.0,316.0,6.2,2.24,11.3,55.0,7.0,12.1,0.0,0.0,,1.0,0.0,3.0,40.0,101.7,BaldDo00
