#G,TGT,REC,REC%,YDS,Y/REC,TD,OFF,RECV,DROP,FUM,PBLK,PASS,RECV.1,RT%,PBLK.1,PB%,SLOT,SLT%,WIDE,WID%,INL,INL%,YAC,YAC/REC,Y/RR,ADOT,LNG,DRP,DRP%,CTT,CTC,CTC%,INT,FUM.1,MTF,1ST,RTG,PFR_ID
18.0,181.0,126.0,69.6,1779,14.1,7.0,92.1,92.0,89.7,67.1,,614.0,579.0,94.3,0.0,0.0,260.0,42.3,334.0,54.4,7.0,1.1,524.0,4.2,3.07,12.6,64.0,5.0,3.8,26.0,13.0,50.0,7.0,1.0,12.0,81.0,97.8,HillTy00
20.0,182.0,137.0,75.3,1596,11.6,16.0,91.3,91.6,88.2,51.7,73.1,776.0,703.0,90.6,28.0,3.6,343.0,44.2,226.0,29.1,202.0,26.0,772.0,5.6,2.27,7.5,52.0,6.0,4.2,22.0,10.0,45.5,3.0,2.0,25.0,92.0,123.8,KelcTr00
6.0,12.0,9.0,75.0,179,19.9,1.0,91.6,90.8,77.3,70.6,,31.0,31.0,100.0,0.0,0.0,7.0,22.6,22.0,71.0,0.0,0.0,68.0,7.6,5.77,12.4,47.0,0.0,0.0,1.0,1.0,100.0,1.0,0.0,1.0,7.0,109.7,NailJa00
17.0,168.0,100.0,59.5,1516,15.2,14.0,90.1,90.5,76.9,59.2,66.1,657.0,618.0,94.1,1.0,0.2,197.0,30.0,457.0,69.6,0.0,0.0,502.0,5.0,2.45,12.8,60.0,6.0,5.7,34.0,15.0,44.1,6.0,1.0,16.0,66.0,102.2,AdamDa01
16.0,139.0,106.0,76.3,1161,11.0,6.0,90.7,90.4,88.1,84.9,64.9,511.0,483.0,94.5,1.0,0.2,306.0,59.9,198.0,38.7,2.0,0.4,544.0,5.1,2.4,6.7,49.0,4.0,3.6,13.0,5.0,38.5,1.0,0.0,9.0,68.0,111.8,StxxAm00
18.0,185.0,135.0,73.0,1856,13.7,8.0,90.2,90.2,83.1,86.0,,777.0,729.0,93.8,0.0,0.0,225.0,29.0,544.0,70.0,0.0,0.0,638.0,4.7,2.55,10.7,64.0,7.0,4.9,40.0,22.0,55.0,5.0,0.0,11.0,83.0,107.8,JeffJu00
4.0,3.0,3.0,100.0,26,8.7,0.0,79.1,89.5,70.5,65.8,72.2,20.0,6.0,30.0,13.0,65.0,0.0,0.0,1.0,5.0,18.0,90.0,10.0,3.3,4.33,5.3,12.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,102.8,ElleBe00
18.0,166.0,119.0,71.7,1578,13.3,11.0,89.1,89.0,69.7,62.0,,695.0,658.0,94.7,0.0,0.0,238.0,34.2,457.0,65.8,0.0,0.0,440.0,3.7,2.4,12.6,53.0,9.0,7.0,26.0,12.0,46.2,1.0,1.0,15.0,78.0,121.0,DiggSt00
20.0,158.0,101.0,63.9,1642,16.3,12.0,87.7,88.9,68.5,34.4,,702.0,665.0,94.7,0.0,0.0,181.0,25.8,520.0,74.1,0.0,0.0,619.0,6.1,2.47,13.0,78.0,7.0,6.5,32.0,15.0,46.9,3.0,2.0,20.0,67.0,116.1,BrowAJ00
9.0,95.0,75.0,78.9,812,10.8,6.0,86.3,88.1,90.4,53.5,77.6,351.0,338.0,96.3,3.0,0.9,195.0,55.6,152.0,43.3,0.0,0.0,419.0,5.6,2.4,7.5,75.0,1.0,1.3,13.0,7.0,53.8,4.0,2.0,13.0,42.0,105.8,KuppCo00
18.0,90.0,70.0,77.8,929,13.3,11.0,84.7,87.8,88.1,49.7,42.7,590.0,517.0,87.6,45.0,7.6,178.0,30.2,65.0,11.0,337.0,57.1,444.0,6.3,1.8,8.0,54.0,2.0,2.8,16.0,9.0,56.3,2.0,1.0,11.0,43.0,140.0,KittGe00
19.0,167.0,121.0,72.5,1544,12.8,10.0,86.2,87.0,78.9,86.0,,678.0,646.0,95.3,0.0,0.0,425.0,62.7,245.0,36.1,2.0,0.3,555.0,4.6,2.39,10.3,46.0,7.0,5.5,30.0,14.0,46.7,5.0,0.0,16.0,75.0,108.5,LambCe00
12.0,32.0,27.0,84.4,272,10.1,1.0,85.0,86.5,75.5,78.5,,97.0,94.0,96.9,0.0,0.0,50.0,51.5,38.0,39.2,8.0,8.2,335.0,12.4,2.89,-0.8,67.0,1.0,3.6,2.0,1.0,50.0,0.0,0.0,15.0,10.0,112.5,ShenLa00
17.0,139.0,83.0,59.7,1103,13.3,4.0,82.7,85.9,90.1,28.2,35.6,615.0,595.0,96.7,2.0,0.3,222.0,36.1,385.0,62.6,8.0,1.3,389.0,4.7,1.85,11.0,60.0,2.0,2.4,39.0,14.0,35.9,1.0,1.0,22.0,56.0,91.5,WilsGa00
17.0,114.0,72.0,63.2,866,12.0,4.0,83.2,85.3,88.0,23.3,,439.0,419.0,95.4,0.0,0.0,95.0,21.6,344.0,78.4,0.0,0.0,231.0,3.2,2.07,11.2,40.0,2.0,2.7,26.0,14.0,53.8,3.0,3.0,8.0,47.0,87.1,LondDr00
15.0,155.0,107.0,69.0,1266,11.8,11.0,83.9,85.2,79.1,37.9,,692.0,644.0,93.1,0.0,0.0,164.0,23.7,523.0,75.6,1.0,0.1,509.0,4.8,1.97,9.8,60.0,6.0,5.3,32.0,12.0,37.5,4.0,2.0,18.0,69.0,106.5,ChasJa00
2.0,1.0,1.0,100.0,7,7.0,1.0,80.9,84.6,64.7,61.2,65.8,3.0,2.0,66.7,1.0,33.3,0.0,0.0,1.0,33.3,1.0,33.3,2.0,2.0,3.5,5.0,7.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,135.4,MabrTy00
17.0,45.0,32.0,71.1,450,14.1,3.0,75.4,84.6,61.2,77.6,67.6,194.0,172.0,88.7,14.0,7.2,67.0,34.5,27.0,13.9,85.0,43.8,250.0,7.8,2.62,8.0,48.0,3.0,8.6,8.0,5.0,62.5,0.0,0.0,7.0,22.0,125.2,OkonCh00
11.0,94.0,72.0,76.6,813,11.3,4.0,84.4,84.4,91.0,48.0,72.2,418.0,403.0,96.4,3.0,0.7,270.0,64.6,144.0,34.4,0.0,0.0,287.0,4.0,2.02,8.9,46.0,0.0,0.0,12.0,5.0,41.7,2.0,1.0,1.0,43.0,107.3,AlleKe00
17.0,126.0,78.0,61.9,1160,14.9,9.0,81.2,83.6,67.4,82.1,,603.0,562.0,93.2,0.0,0.0,150.0,24.9,452.0,75.0,0.0,0.0,296.0,3.8,2.06,13.3,55.0,6.0,7.1,27.0,15.0,55.6,3.0,0.0,7.0,61.0,105.9,CoopAm00
15.0,85.0,71.0,83.5,843,11.9,4.0,78.2,83.5,87.7,50.3,57.0,516.0,470.0,91.1,22.0,4.3,230.0,44.6,54.0,10.5,227.0,44.0,484.0,6.8,1.79,5.9,31.0,2.0,2.7,14.0,9.0,64.3,0.0,1.0,7.0,47.0,123.7,GoedDa00
18.0,121.0,78.0,64.5,1400,17.9,8.0,82.6,83.5,51.1,53.1,65.7,605.0,569.0,94.0,1.0,0.2,155.0,25.6,443.0,73.2,0.0,0.0,526.0,6.7,2.46,12.7,84.0,9.0,10.3,22.0,5.0,22.7,2.0,1.0,7.0,61.0,119.2,WaddJa00
4.0,2.0,2.0,100.0,35,17.5,0.0,70.1,83.4,68.3,64.0,75.5,13.0,9.0,69.2,4.0,30.8,1.0,7.7,2.0,15.4,10.0,76.9,23.0,11.5,3.89,6.0,28.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,118.8,BlanKe01
17.0,115.0,77.0,67.0,1191,15.5,5.0,79.9,83.0,82.8,52.7,,621.0,583.0,93.9,0.0,0.0,130.0,20.9,490.0,78.9,0.0,0.0,396.0,5.1,2.04,13.1,52.0,3.0,3.8,26.0,17.0,65.4,2.0,0.0,11.0,56.0,108.3,McLaTe00
15.0,114.0,72.0,63.2,1044,14.5,4.0,82.5,82.9,81.9,27.4,,450.0,431.0,95.8,0.0,0.0,152.0,33.8,297.0,66.0,1.0,0.2,219.0,3.0,2.42,14.9,53.0,3.0,4.0,24.0,8.0,33.3,5.0,2.0,2.0,48.0,86.3,OlavCh00
12.0,4.0,4.0,100.0,40,10.0,0.0,70.6,82.6,72.1,67.0,78.7,27.0,16.0,59.3,10.0,37.0,4.0,14.8,2.0,7.4,21.0,77.8,38.0,9.5,2.5,0.5,15.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,3.0,108.3,FarrLu00
7.0,17.0,14.0,82.4,153,10.9,1.0,76.6,82.2,81.1,73.0,35.4,100.0,79.0,79.0,16.0,16.0,32.0,32.0,20.0,20.0,47.0,47.0,45.0,3.2,1.94,10.2,24.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,123.8,ParhDo00
16.0,106.0,69.0,65.1,843,12.2,3.0,74.1,81.6,68.4,26.7,78.7,484.0,456.0,94.2,5.0,1.0,131.0,27.1,291.0,60.1,2.0,0.4,659.0,9.6,1.85,5.1,74.0,5.0,6.8,15.0,4.0,26.7,3.0,0.0,36.0,32.0,87.1,SamuDe00
1.0,2.0,2.0,100.0,25,12.5,0.0,83.3,81.2,68.3,64.0,,5.0,5.0,100.0,0.0,0.0,1.0,20.0,4.0,80.0,0.0,0.0,0.0,0.0,5.0,12.5,15.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,2.0,118.8,BaldDa01
20.0,154.0,110.0,71.4,1393,12.7,8.0,80.4,81.1,79.8,84.7,,736.0,697.0,94.7,0.0,0.0,184.0,25.0,552.0,75.0,0.0,0.0,561.0,5.1,2.0,10.2,45.0,6.0,5.2,31.0,13.0,41.9,1.0,1.0,15.0,64.0,113.9,SmitDe07
