#G,TGT,REC,REC%,YDS,Y/REC,TD,OFF,RECV,DROP,FUM,PBLK,PASS,RECV.1,RT%,PBLK.1,PB%,SLOT,SLT%,WIDE,WID%,INL,INL%,YAC,YAC/REC,Y/RR,ADOT,LNG,DRP,DRP%,CTT,CTC,CTC%,INT,FUM.1,MTF,1ST,RTG,PFR_ID
2.0,3.0,3.0,100.0,65,21.7,1.0,91.8,92.6,72.1,67.0,57.8,30.0,18.0,60.0,11.0,36.7,7.0,23.3,0.0,0.0,23.0,76.7,7.0,2.3,3.61,19.3,29.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,3.0,158.3,BossKe00
9.0,81.0,62.0,76.5,677,10.9,3.0,90.8,92.1,90.0,29.4,70.0,279.0,261.0,93.5,1.0,0.4,165.0,59.1,91.0,32.6,2.0,0.7,542.0,8.7,2.59,4.3,45.0,1.0,1.6,0.0,0.0,,2.0,0.0,22.0,36.0,102.8,HarvPe00
18.0,175.0,124.0,70.9,1755,14.2,4.0,91.6,91.5,75.7,85.0,,649.0,622.0,95.8,0.0,0.0,133.0,20.5,516.0,79.5,0.0,0.0,587.0,4.7,2.82,11.4,60.0,9.0,6.8,0.0,0.0,,5.0,0.0,11.0,88.0,98.6,JohnAn02
19.0,146.0,105.0,71.9,1390,13.2,12.0,91.3,91.1,64.7,59.3,,544.0,522.0,96.0,0.0,0.0,191.0,35.1,352.0,64.7,1.0,0.2,680.0,6.5,2.66,7.9,49.0,9.0,7.9,0.0,0.0,,2.0,1.0,19.0,70.0,123.4,CrabMi00
7.0,2.0,2.0,100.0,28,14.0,0.0,91.0,90.8,68.3,64.0,,8.0,8.0,100.0,0.0,0.0,1.0,12.5,3.0,37.5,4.0,50.0,1.0,0.5,3.5,13.5,16.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,118.8,CoffCh00
18.0,136.0,107.0,78.7,1059,9.9,10.0,89.2,90.1,88.1,84.0,73.9,727.0,632.0,86.9,67.0,9.2,418.0,57.5,81.0,11.1,226.0,31.1,281.0,2.6,1.68,8.2,25.0,4.0,3.6,0.0,0.0,,3.0,0.0,17.0,75.0,114.4,GonzTo00
16.0,181.0,118.0,65.2,1508,12.8,11.0,90.4,90.1,48.9,39.6,,579.0,543.0,93.8,0.0,0.0,128.0,22.1,448.0,77.4,0.0,0.0,369.0,3.1,2.78,12.7,56.0,13.0,9.9,0.0,0.0,,7.0,2.0,17.0,75.0,95.3,MarsBr00
15.0,93.0,71.0,76.3,816,11.5,8.0,87.1,89.7,76.9,81.7,65.0,615.0,456.0,74.1,138.0,22.4,67.0,10.9,11.0,1.8,513.0,83.4,368.0,5.2,1.79,7.7,43.0,4.0,5.3,0.0,0.0,,3.0,0.0,3.0,44.0,117.5,MillHe00
16.0,137.0,72.0,52.6,1384,19.2,8.0,89.6,89.6,70.4,81.5,,615.0,587.0,95.4,0.0,0.0,223.0,36.3,392.0,63.7,0.0,0.0,365.0,5.1,2.36,16.9,95.0,5.0,6.5,0.0,0.0,,5.0,0.0,6.0,61.0,92.2,JackVi00
16.0,199.0,122.0,61.3,1964,16.1,5.0,89.8,89.4,54.3,40.8,,796.0,770.0,96.7,0.0,0.0,229.0,28.8,567.0,71.2,0.0,0.0,514.0,4.2,2.55,13.7,53.0,14.0,10.3,0.0,0.0,,5.0,3.0,12.0,94.0,92.2,JohnCa00
