#G,TGT,REC,REC%,YDS,Y/REC,TD,OFF,RECV,DROP,FUM,PBLK,PASS,RECV.1,RT%,PBLK.1,PB%,SLOT,SLT%,WIDE,WID%,INL,INL%,YAC,YAC/REC,Y/RR,ADOT,LNG,DRP,DRP%,CTT,CTC,CTC%,INT,FUM.1,MTF,1ST,RTG,PFR_ID
17.0,202.0,143.0,70.8,1953,13.7,10.0,92.5,92.6,90.1,59.5,,733.0,672.0,91.7,0.0,0.0,144.0,19.6,581.0,79.3,0.0,0.0,699.0,4.9,2.91,11.2,60.0,7.0,4.7,0.0,0.0,,9.0,1.0,25.0,88.0,99.3,BrowAn04
9.0,92.0,54.0,58.7,807,14.9,4.0,92.0,92.1,87.9,79.8,,295.0,281.0,95.3,0.0,0.0,78.0,26.4,217.0,73.6,0.0,0.0,197.0,3.6,2.87,15.5,50.0,2.0,3.6,0.0,0.0,,3.0,0.0,4.0,43.0,88.5,JeffAl00
16.0,193.0,136.0,70.5,1871,13.8,8.0,92.5,92.1,67.7,30.4,,658.0,615.0,93.5,0.0,0.0,186.0,28.3,469.0,71.3,2.0,0.3,665.0,4.9,3.04,10.5,70.0,10.0,6.8,0.0,0.0,,2.0,3.0,20.0,93.0,110.7,JoneJu02
19.0,136.0,93.0,68.4,1335,14.4,8.0,90.4,91.1,90.0,56.6,82.3,685.0,580.0,84.7,75.0,10.9,310.0,45.3,113.0,16.5,200.0,29.2,461.0,5.0,2.3,10.5,54.0,4.0,4.1,0.0,0.0,,0.0,1.0,1.0,62.0,119.6,OlseGr00
15.0,127.0,96.0,75.6,1072,11.2,12.0,90.1,91.0,84.2,25.5,74.0,505.0,435.0,86.1,40.0,7.9,193.0,38.2,98.0,19.4,208.0,41.2,529.0,5.5,2.46,6.9,32.0,4.0,4.0,0.0,0.0,,1.0,3.0,19.0,61.0,128.5,ReedJo02
17.0,198.0,117.0,59.1,1590,13.6,11.0,90.6,90.7,77.5,61.4,66.2,739.0,699.0,94.6,1.0,0.1,111.0,15.0,626.0,84.7,1.0,0.1,233.0,2.0,2.27,14.6,61.0,7.0,5.6,0.0,0.0,,6.0,1.0,5.0,88.0,90.7,HopkDe00
3.0,3.0,2.0,66.7,59,29.5,1.0,91.9,90.6,68.3,88.9,,5.0,5.0,100.0,0.0,0.0,0.0,0.0,5.0,100.0,0.0,0.0,10.0,5.0,11.8,19.7,55.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,149.3,TateBr00
2.0,7.0,6.0,85.7,60,10.0,0.0,85.3,90.6,74.6,68.8,72.3,28.0,24.0,85.7,4.0,14.3,3.0,10.7,1.0,3.6,22.0,78.6,34.0,5.7,2.5,4.0,23.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,4.0,102.4,FellDa00
17.0,131.0,91.0,69.5,1368,15.0,11.0,90.4,90.6,88.9,50.4,,627.0,586.0,93.5,0.0,0.0,120.0,19.1,504.0,80.4,2.0,0.3,340.0,3.7,2.33,14.2,80.0,3.0,3.2,0.0,0.0,,3.0,1.0,7.0,67.0,121.9,GreeA.00
17.0,135.0,87.0,64.4,1403,16.1,14.0,91.3,90.3,82.6,87.0,70.5,722.0,599.0,83.0,81.0,11.2,296.0,41.0,236.0,32.7,188.0,26.0,631.0,7.3,2.34,10.8,76.0,4.0,4.4,0.0,0.0,,2.0,0.0,13.0,62.0,127.5,GronRo00
15.0,153.0,96.0,62.7,1450,15.1,13.0,88.1,90.1,84.2,40.9,,641.0,598.0,93.3,0.0,0.0,167.0,26.1,467.0,72.9,0.0,0.0,591.0,6.2,2.42,12.1,87.0,4.0,4.0,1.0,0.0,0.0,3.0,2.0,13.0,68.0,114.0,BeckOd00
15.0,42.0,34.0,81.0,439,12.9,5.0,86.3,90.0,90.0,77.7,79.4,268.0,213.0,79.5,40.0,14.9,75.0,28.0,40.0,14.9,141.0,52.6,234.0,6.9,2.06,7.3,87.0,0.0,0.0,0.0,0.0,,0.0,0.0,11.0,17.0,149.8,MillZa02
7.0,70.0,46.0,65.7,670,14.6,3.0,90.3,89.9,64.8,79.9,,250.0,231.0,92.4,0.0,0.0,82.0,32.8,166.0,66.4,1.0,0.4,261.0,5.7,2.9,10.7,50.0,4.0,8.0,0.0,0.0,,3.0,1.0,12.0,28.0,93.2,SmitSt01
