#G,TGT,REC,REC%,YDS,Y/REC,TD,OFF,RECV,DROP,FUM,PBLK,PASS,RECV.1,RT%,PBLK.1,PB%,SLOT,SLT%,WIDE,WID%,INL,INL%,YAC,YAC/REC,Y/RR,ADOT,LNG,DRP,DRP%,CTT,CTC,CTC%,INT,FUM.1,MTF,1ST,RTG,PFR_ID
13.0,124.0,90.0,72.6,1131,12.6,3.0,92.5,92.6,72.1,84.0,75.5,374.0,350.0,93.6,3.0,0.8,112.0,29.9,248.0,66.3,10.0,2.7,581.0,6.5,3.23,8.3,51.0,5.0,5.3,20.0,7.0,35.0,1.0,0.0,23.0,53.0,105.3,NacuPu00
15.0,92.0,78.0,84.8,1106,14.2,8.0,92.1,92.4,89.8,82.1,62.8,500.0,422.0,84.4,58.0,11.6,154.0,30.8,50.0,10.0,285.0,57.0,512.0,6.6,2.62,8.9,43.0,2.0,2.5,17.0,12.0,70.6,2.0,0.0,7.0,50.0,136.7,KittGe00
14.0,115.0,80.0,69.6,1209,15.1,8.0,92.3,92.3,80.1,82.4,75.8,448.0,422.0,94.2,2.0,0.4,105.0,23.4,341.0,76.1,1.0,0.2,427.0,5.3,2.86,11.9,67.0,4.0,4.8,21.0,12.0,57.1,5.0,0.0,12.0,59.0,108.9,CollNi00
17.0,118.0,79.0,66.9,1242,15.7,9.0,90.2,90.9,89.8,82.1,,505.0,475.0,94.1,0.0,0.0,87.0,17.2,418.0,82.8,0.0,0.0,404.0,5.1,2.61,12.8,67.0,2.0,2.5,32.0,19.0,59.4,3.0,0.0,17.0,63.0,116.6,BrowAJ00
15.0,114.0,81.0,71.1,1096,13.5,12.0,90.4,90.2,79.1,82.1,,463.0,435.0,94.0,0.0,0.0,159.0,34.3,304.0,65.7,0.0,0.0,253.0,3.1,2.52,12.5,57.0,4.0,4.7,19.0,12.0,63.2,5.0,0.0,5.0,60.0,118.2,EvanMi00
18.0,148.0,123.0,83.1,1400,11.4,12.0,89.3,90.2,91.2,64.0,76.2,618.0,597.0,96.6,2.0,0.3,325.0,52.6,286.0,46.3,0.0,0.0,468.0,3.8,2.35,8.3,66.0,2.0,1.6,31.0,21.0,67.7,1.0,1.0,13.0,78.0,130.3,StxxAm00
17.0,149.0,100.0,67.1,1271,12.7,9.0,87.8,90.1,80.8,83.6,75.7,595.0,548.0,92.1,8.0,1.3,232.0,39.0,362.0,60.8,1.0,0.2,328.0,3.3,2.32,11.2,39.0,5.0,4.8,38.0,22.0,57.9,7.0,0.0,16.0,67.0,94.1,LondDr00
16.0,139.0,111.0,79.9,1146,10.3,2.0,86.8,89.8,91.4,84.3,70.5,584.0,536.0,91.8,8.0,1.4,303.0,51.9,45.0,7.7,233.0,39.9,526.0,4.7,2.14,6.5,37.0,2.0,1.8,21.0,12.0,57.1,1.0,0.0,14.0,63.0,102.8,McBrTr01
17.0,148.0,112.0,75.7,1194,10.7,5.0,85.1,88.4,89.7,84.8,51.6,664.0,592.0,89.2,33.0,5.0,363.0,54.7,116.0,17.5,175.0,26.4,596.0,5.3,2.02,6.6,57.0,4.0,3.4,30.0,16.0,53.3,5.0,0.0,4.0,61.0,95.9,BoweBr01
12.0,104.0,73.0,70.2,911,12.5,10.0,88.2,88.3,87.3,48.5,,476.0,445.0,93.5,0.0,0.0,95.0,20.0,380.0,79.8,1.0,0.2,224.0,3.1,2.05,11.2,42.0,2.0,2.7,30.0,14.0,46.7,1.0,1.0,14.0,48.0,125.1,HiggTe00
18.0,158.0,108.0,68.4,1591,14.7,10.0,86.6,88.0,79.8,60.9,,711.0,656.0,92.3,0.0,0.0,190.0,26.7,510.0,71.7,0.0,0.0,496.0,4.6,2.43,12.1,97.0,6.0,5.3,31.0,17.0,54.8,6.0,1.0,11.0,64.0,106.3,JeffJu00
1.0,2.0,1.0,50.0,49,49.0,1.0,91.0,87.1,64.7,61.2,,3.0,3.0,100.0,0.0,0.0,0.0,0.0,3.0,100.0,0.0,0.0,5.0,5.0,16.33,31.5,49.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,135.4,MartTa00
15.0,165.0,109.0,66.1,1204,11.0,7.0,86.7,87.1,71.5,61.8,,602.0,556.0,92.4,0.0,0.0,163.0,27.1,437.0,72.6,0.0,0.0,475.0,4.4,2.17,9.7,59.0,8.0,6.8,39.0,18.0,46.2,2.0,1.0,18.0,55.0,96.6,NabeMa00
7.0,60.0,50.0,83.3,576,11.5,5.0,86.3,85.7,90.5,38.3,71.5,265.0,244.0,92.1,7.0,2.6,164.0,61.9,101.0,38.1,0.0,0.0,347.0,6.9,2.36,5.6,55.0,0.0,0.0,8.0,4.0,50.0,1.0,1.0,9.0,32.0,127.5,GodwCh00
4.0,29.0,24.0,82.8,288,12.0,2.0,85.1,85.5,74.2,75.8,,99.0,91.0,91.9,0.0,0.0,50.0,50.5,49.0,49.5,0.0,0.0,185.0,7.7,3.16,5.2,44.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,8.0,15.0,116.7,RiceRa01
14.0,102.0,72.0,70.6,803,11.2,5.0,84.8,85.1,76.3,86.2,64.5,386.0,365.0,94.6,1.0,0.3,326.0,84.5,54.0,14.0,1.0,0.3,403.0,5.6,2.2,6.7,69.0,4.0,5.3,15.0,7.0,46.7,3.0,0.0,7.0,40.0,97.8,DownJo00
17.0,124.0,91.0,73.4,1346,14.8,8.0,84.3,85.0,73.6,36.7,,554.0,519.0,93.7,0.0,0.0,384.0,69.3,166.0,30.0,3.0,0.5,477.0,5.2,2.59,10.7,86.0,6.0,6.2,24.0,15.0,62.5,2.0,2.0,14.0,60.0,123.3,McCoLa00
17.0,171.0,127.0,74.3,1708,13.4,17.0,85.8,84.9,55.9,85.3,,758.0,709.0,93.5,0.0,0.0,255.0,33.6,490.0,64.6,0.0,0.0,797.0,6.3,2.41,9.0,70.0,10.0,7.3,24.0,10.0,41.7,7.0,0.0,24.0,75.0,121.7,ChasJa00
20.0,136.0,96.0,70.6,1323,13.8,16.0,82.1,84.8,80.2,57.4,67.0,717.0,671.0,93.6,2.0,0.3,110.0,15.3,607.0,84.7,0.0,0.0,422.0,4.4,1.97,13.5,86.0,5.0,5.0,38.0,25.0,65.8,2.0,0.0,10.0,66.0,134.5,McLaTe00
19.0,79.0,62.0,78.5,761,12.3,11.0,83.1,84.6,68.8,50.0,58.7,460.0,405.0,88.0,28.0,6.1,277.0,60.2,90.0,19.6,88.0,19.1,230.0,3.7,1.88,10.5,67.0,3.0,4.6,13.0,9.0,69.2,1.0,1.0,4.0,44.0,141.1,AndrMa00
