#G,TGT,REC,REC%,YDS,Y/REC,TD,OFF,RECV,DROP,FUM,PBLK,PASS,RECV.1,RT%,PBLK.1,PB%,SLOT,SLT%,WIDE,WID%,INL,INL%,YAC,YAC/REC,Y/RR,ADOT,LNG,DRP,DRP%,CTT,CTC,CTC%,INT,FUM.1,MTF,1ST,RTG,PFR_ID
21.0,230.0,178.0,77.4,2425,13.6,22.0,93.0,93.1,87.1,76.3,40.2,826.0,778.0,94.2,8.0,1.0,545.0,66.0,265.0,32.1,0.0,0.0,1070,6.0,3.12,8.8,70.0,9.0,4.8,26.0,14.0,53.8,7.0,1.0,30.0,108.0,129.7,KuppCo00
17.0,177.0,132.0,74.6,1643,12.4,11.0,92.7,92.8,90.5,85.4,,618.0,584.0,94.5,0.0,0.0,204.0,33.0,413.0,66.8,1.0,0.2,650,4.9,2.81,9.7,59.0,4.0,2.9,28.0,14.0,50.0,3.0,0.0,13.0,88.0,116.6,AdamDa01
17.0,104.0,78.0,75.0,1018,13.1,7.0,90.7,91.2,77.7,28.3,76.4,557.0,464.0,83.3,70.0,12.6,166.0,29.8,51.0,9.2,325.0,58.3,499,6.4,2.19,8.7,48.0,4.0,4.9,20.0,10.0,50.0,7.0,2.0,19.0,50.0,99.8,KittGe00
16.0,84.0,62.0,73.8,922,14.9,4.0,90.7,91.1,61.5,47.6,66.1,463.0,395.0,85.3,40.0,8.6,192.0,41.5,47.0,10.2,219.0,47.3,415,6.7,2.33,9.0,45.0,6.0,8.8,15.0,10.0,66.7,1.0,1.0,18.0,49.0,120.2,GoedDa00
17.0,149.0,107.0,71.8,1361,12.7,9.0,91.5,91.0,88.9,60.4,74.0,670.0,623.0,93.0,9.0,1.3,417.0,62.2,105.0,15.7,147.0,21.9,447,4.2,2.18,10.9,43.0,3.0,2.7,30.0,18.0,60.0,9.0,1.0,9.0,75.0,95.0,AndrMa00
17.0,163.0,108.0,66.3,1616,15.0,10.0,90.1,90.1,69.4,60.9,,662.0,623.0,94.1,0.0,0.0,205.0,31.0,453.0,68.4,0.0,0.0,492,4.6,2.59,13.3,56.0,9.0,7.7,27.0,13.0,48.1,2.0,1.0,9.0,75.0,113.9,JeffJu00
14.0,110.0,68.0,61.8,1011,14.9,6.0,86.3,88.8,45.4,81.6,,393.0,372.0,94.7,0.0,0.0,131.0,33.3,259.0,65.9,2.0,0.5,242,3.6,2.72,13.2,57.0,9.0,11.7,26.0,13.0,50.0,2.0,0.0,8.0,49.0,102.5,BrowAJ00
19.0,128.0,87.0,68.0,1559,17.9,7.0,90.2,87.8,37.5,39.8,60.1,572.0,532.0,93.0,6.0,1.0,170.0,29.7,377.0,65.9,3.0,0.5,937,10.8,2.93,7.8,83.0,12.0,12.1,26.0,12.0,46.2,4.0,4.0,27.0,59.0,114.7,SamuDe00
19.0,158.0,115.0,72.8,1424,12.4,12.0,85.0,87.2,77.2,62.1,70.8,812.0,740.0,91.1,18.0,2.2,368.0,45.3,215.0,26.5,222.0,27.3,698,6.1,1.92,7.6,69.0,6.0,5.0,15.0,9.0,60.0,5.0,1.0,23.0,79.0,112.4,KelcTr00
7.0,61.0,42.0,68.9,545,13.0,4.0,87.4,87.1,75.5,78.6,,202.0,195.0,96.5,0.0,0.0,42.0,20.8,160.0,79.2,0.0,0.0,193,4.6,2.79,12.0,62.0,2.0,4.5,7.0,4.0,57.1,1.0,0.0,6.0,29.0,111.7,BrowAn04
