#G,TGT,REC,REC%,YDS,Y/REC,TD,OFF,RECV,DROP,FUM,PBLK,PASS,RECV.1,RT%,PBLK.1,PB%,SLOT,SLT%,WIDE,WID%,INL,INL%,YAC,YAC/REC,Y/RR,ADOT,LNG,DRP,DRP%,CTT,CTC,CTC%,INT,FUM.1,MTF,1ST,RTG,PFR_ID
18.0,178.0,136.0,76.4,1776,13.1,14.0,93.8,93.6,90.7,65.4,53.1,783.0,685.0,87.5,52.0,6.6,223.0,28.5,281.0,35.9,266.0,34.0,729.0,5.4,2.59,8.9,45.0,4.0,2.9,23.0,7.0,30.4,4.0,1.0,16.0,98.0,124.2,KelcTr00
16.0,170.0,133.0,78.2,1507,11.3,20.0,92.0,91.9,91.0,64.8,,578.0,548.0,94.8,0.0,0.0,194.0,33.6,382.0,66.1,0.0,0.0,660.0,5.0,2.75,8.7,56.0,2.0,1.5,26.0,12.0,46.2,3.0,1.0,5.0,82.0,135.5,AdamDa01
16.0,140.0,107.0,76.4,1196,11.2,9.0,86.5,90.9,90.8,34.2,58.2,627.0,524.0,83.6,70.0,11.2,128.0,20.4,151.0,24.1,341.0,54.4,594.0,5.6,2.28,8.1,38.0,2.0,1.8,26.0,19.0,73.1,3.0,2.0,9.0,69.0,113.9,WallDa01
19.0,193.0,147.0,76.2,1846,12.6,10.0,90.2,90.6,71.7,86.4,,794.0,742.0,93.5,0.0,0.0,250.0,31.5,543.0,68.4,0.0,0.0,548.0,3.7,2.49,11.5,55.0,10.0,6.4,25.0,15.0,60.0,2.0,0.0,21.0,91.0,118.4,DiggSt00
12.0,28.0,24.0,85.7,345,14.4,2.0,88.6,90.5,74.2,76.0,58.7,178.0,130.0,73.0,37.0,20.8,37.0,20.8,21.0,11.8,116.0,65.2,99.0,4.1,2.65,10.8,33.0,1.0,4.0,3.0,2.0,66.7,0.0,0.0,0.0,16.0,141.8,RodgRi00
16.0,121.0,88.0,72.7,1400,15.9,7.0,90.4,90.5,82.3,55.0,,564.0,526.0,93.3,0.0,0.0,171.0,30.3,392.0,69.5,0.0,0.0,450.0,5.1,2.66,12.0,71.0,4.0,4.3,22.0,12.0,54.5,4.0,1.0,13.0,58.0,116.4,JeffJu00
15.0,109.0,76.0,69.7,1158,15.2,12.0,90.4,90.4,54.8,27.8,,457.0,433.0,94.7,0.0,0.0,75.0,16.4,379.0,82.9,3.0,0.7,451.0,5.9,2.67,11.4,73.0,7.0,8.4,31.0,19.0,61.3,2.0,2.0,18.0,60.0,133.5,BrowAJ00
5.0,1.0,1.0,100.0,14,14.0,0.0,87.9,90.3,68.3,64.0,67.1,5.0,3.0,60.0,1.0,20.0,0.0,0.0,1.0,20.0,3.0,60.0,18.0,18.0,4.67,-4.0,14.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,1.0,118.8,CarrDe00
17.0,157.0,108.0,68.8,1305,12.1,6.0,88.3,88.5,91.3,84.1,65.6,656.0,636.0,97.0,1.0,0.2,193.0,29.4,461.0,70.3,1.0,0.2,341.0,3.2,2.05,10.1,42.0,1.0,0.9,51.0,23.0,45.1,6.0,0.0,12.0,70.0,90.9,RobiAl02
16.0,154.0,115.0,74.7,1407,12.2,6.0,87.1,88.0,91.5,38.3,,664.0,626.0,94.3,0.0,0.0,68.0,10.2,595.0,89.6,0.0,0.0,521.0,4.5,2.25,9.0,60.0,1.0,0.9,26.0,13.0,50.0,2.0,3.0,21.0,75.0,110.0,HopkDe00
