#G,TGT,REC,REC%,YDS,Y/REC,TD,OFF,RECV,DROP,FUM,PBLK,PASS,RECV.1,RT%,PBLK.1,PB%,SLOT,SLT%,WIDE,WID%,INL,INL%,YAC,YAC/REC,Y/RR,ADOT,LNG,DRP,DRP%,CTT,CTC,CTC%,INT,FUM.1,MTF,1ST,RTG,PFR_ID
17.0,149.0,102.0,68.5,1743,17.1,9.0,93.5,93.4,67.6,83.6,62.3,572.0,540.0,94.4,1.0,0.2,159.0,27.8,412.0,72.0,0.0,0.0,529.0,5.2,3.23,14.0,75.0,8.0,7.3,12.0,7.0,58.3,4.0,0.0,10.0,81.0,116.8,JoneJu02
2.0,6.0,5.0,83.3,59,11.8,0.0,93.6,92.2,73.4,68.0,,12.0,12.0,100.0,0.0,0.0,12.0,100.0,0.0,0.0,0.0,0.0,40.0,8.0,4.92,4.2,19.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,5.0,107.6,WillNi02
16.0,168.0,96.0,57.1,1321,13.8,12.0,91.7,91.5,66.9,83.5,,630.0,579.0,91.9,0.0,0.0,123.0,19.5,507.0,80.5,0.0,0.0,188.0,2.0,2.28,15.5,45.0,7.0,6.8,9.0,6.0,66.7,8.0,0.0,3.0,81.0,86.4,EvanMi00
8.0,36.0,25.0,69.4,540,21.6,3.0,90.2,91.0,74.4,75.5,80.3,216.0,169.0,78.2,35.0,16.2,97.0,44.9,43.0,19.9,74.0,34.3,217.0,8.7,3.2,15.1,53.0,1.0,3.8,2.0,1.0,50.0,0.0,0.0,7.0,20.0,139.8,GronRo00
10.0,95.0,66.0,69.5,964,14.6,4.0,90.0,90.1,73.5,81.0,,361.0,337.0,93.4,0.0,0.0,76.0,21.1,283.0,78.4,2.0,0.6,269.0,4.1,2.86,13.1,54.0,4.0,5.7,10.0,8.0,80.0,0.0,0.0,7.0,41.0,116.3,GreeA.00
18.0,179.0,124.0,69.3,1593,12.8,14.0,88.4,89.0,90.3,90.0,,713.0,667.0,93.5,0.0,0.0,99.0,13.9,611.0,85.7,1.0,0.1,571.0,4.6,2.39,10.9,62.0,4.0,3.1,19.0,13.0,68.4,5.0,0.0,13.0,74.0,111.3,BrowAn04
17.0,121.0,90.0,74.4,1202,13.4,4.0,88.9,88.5,71.9,82.9,74.8,608.0,535.0,88.0,44.0,7.2,246.0,40.5,157.0,25.8,204.0,33.6,690.0,7.7,2.25,7.2,80.0,7.0,7.2,7.0,6.0,85.7,0.0,0.0,11.0,57.0,116.5,KelcTr00
12.0,85.0,66.0,77.6,686,10.4,6.0,83.6,88.0,90.2,81.0,60.4,392.0,348.0,88.8,23.0,5.9,125.0,31.9,87.0,22.2,178.0,45.4,260.0,3.9,1.97,8.1,33.0,1.0,1.5,6.0,3.0,50.0,2.0,1.0,12.0,42.0,114.0,ReedJo02
17.0,136.0,105.0,77.2,1238,11.8,4.0,84.6,86.5,84.1,31.4,,573.0,546.0,95.3,0.0,0.0,417.0,72.8,154.0,26.9,1.0,0.2,676.0,6.4,2.27,6.7,71.0,5.0,4.5,8.0,3.0,37.5,3.0,1.0,22.0,60.0,105.0,LandJa00
15.0,119.0,92.0,77.3,1137,12.4,9.0,86.4,86.3,83.6,29.7,,587.0,556.0,94.7,0.0,0.0,76.0,12.9,511.0,87.1,0.0,0.0,478.0,5.2,2.04,8.1,46.0,4.0,4.2,9.0,7.0,77.8,4.0,2.0,20.0,62.0,117.5,ThomMi05
