#G,TGT,REC,REC%,YDS,Y/REC,TD,OFF,RECV,DROP,FUM,PBLK,PASS,RECV.1,RT%,PBLK.1,PB%,SLOT,SLT%,WIDE,WID%,INL,INL%,YAC,YAC/REC,Y/RR,ADOT,LNG,DRP,DRP%,CTT,CTC,CTC%,INT,FUM.1,MTF,1ST,RTG,PFR_ID
17.0,169.0,120.0,71.0,1609,13.4,11.0,92.0,92.1,92.1,42.1,,732.0,684.0,93.4,0.0,0.0,144.0,19.7,588.0,80.3,0.0,0.0,397.0,3.3,2.35,12.2,49.0,0.0,0.0,45.0,25.0,55.6,3.0,2.0,12.0,85.0,115.2,HopkDe00
18.0,168.0,141.0,83.9,1612,11.4,10.0,91.6,91.9,91.3,46.5,64.9,647.0,610.0,94.3,1.0,0.2,207.0,32.0,439.0,67.9,1.0,0.2,574.0,4.1,2.64,8.3,72.0,3.0,2.1,35.0,20.0,57.1,1.0,2.0,18.0,83.0,124.0,ThomMi05
16.0,166.0,113.0,68.1,1677,14.8,8.0,90.9,90.7,71.9,38.6,,605.0,572.0,94.5,0.0,0.0,126.0,20.8,479.0,79.2,0.0,0.0,452.0,4.0,2.93,14.3,58.0,8.0,6.6,40.0,20.0,50.0,3.0,2.0,11.0,79.0,109.4,JoneJu02
16.0,128.0,88.0,68.8,1377,15.6,5.0,89.7,90.4,68.4,83.1,55.7,592.0,489.0,82.6,67.0,11.3,179.0,30.2,52.0,8.8,336.0,56.8,873.0,9.9,2.82,7.6,85.0,6.0,6.4,19.0,5.0,26.3,3.0,0.0,17.0,60.0,107.5,KittGe00
18.0,154.0,113.0,73.4,1467,13.0,11.0,87.9,90.3,60.7,38.6,72.7,751.0,655.0,87.2,45.0,6.0,319.0,42.5,153.0,20.4,276.0,36.8,643.0,5.7,2.24,9.3,43.0,9.0,7.4,25.0,16.0,64.0,3.0,2.0,11.0,74.0,118.6,KelcTr00
10.0,47.0,34.0,72.3,565,16.6,5.0,88.9,90.0,70.8,77.3,75.4,292.0,253.0,86.6,30.0,10.3,145.0,49.7,23.0,7.9,123.0,42.1,217.0,6.4,2.23,11.6,75.0,2.0,5.6,11.0,5.0,45.5,4.0,0.0,5.0,28.0,112.5,HowaO.00
12.0,119.0,77.0,64.7,1052,13.7,6.0,90.0,89.9,84.0,84.7,,489.0,465.0,95.1,0.0,0.0,144.0,29.4,343.0,70.1,1.0,0.2,318.0,4.1,2.26,12.5,51.0,3.0,3.8,24.0,7.0,29.2,4.0,0.0,20.0,51.0,95.6,BeckOd00
18.0,145.0,96.0,66.2,1593,16.6,12.0,89.0,89.8,69.8,70.8,,703.0,653.0,92.9,0.0,0.0,312.0,44.4,353.0,50.2,14.0,2.0,551.0,5.7,2.44,15.9,75.0,6.0,5.9,22.0,13.0,59.1,6.0,0.0,12.0,65.0,113.4,HillTy00
18.0,137.0,103.0,75.2,1308,12.7,7.0,89.3,89.7,87.4,63.3,65.7,602.0,563.0,93.5,1.0,0.2,337.0,56.0,262.0,43.5,2.0,0.3,422.0,4.1,2.32,9.9,54.0,4.0,3.7,19.0,9.0,47.4,3.0,2.0,7.0,66.0,112.4,AlleKe00
16.0,149.0,113.0,75.8,1373,12.2,9.0,89.4,89.4,90.0,62.9,77.7,694.0,655.0,94.4,3.0,0.4,393.0,56.6,295.0,42.5,6.0,0.9,419.0,3.7,2.1,10.0,68.0,5.0,4.2,18.0,7.0,38.9,3.0,1.0,6.0,74.0,115.4,ThieAd00
