PFR_ID,PPR,Day,G#,Week,Age,Team,Home_Away,Opp,WINS,LOSSES,PF,PA,OVER,OFF,PASS,PBLK,RECV,RUN,RBLK,DEF,RDEF,TACK,PRSH,COV,WINS_opponent,LOSSES_opponent,PF_opponent,PA_opponent,OVER_opponent,OFF_opponent,PASS_opponent,PBLK_opponent,RECV_opponent,RUN_opponent,RBLK_opponent,DEF_opponent,RDEF_opponent,TACK_opponent,PRSH_opponent,COV_opponent
HillTy00,57.9,Sun,11,12,26.75,KAN,Away,TAM,12,4,451.0,308.0,81.1,76.8,78.9,77.2,79.3,68.0,56.2,64.5,58.2,49.8,63.5,70.2,7,9,458.0,449.0,84.4,78.1,66.4,76.6,84.5,70.8,63.1,74.3,79.0,47.5,73.5,69.5
KamaAl00,56.2,Fri,15,16,25.42,NOR,Home,MIN,13,3,458.0,341.0,93.5,85.6,88.8,82.5,80.5,77.8,73.9,79.8,83.8,69.3,79.0,70.2,10,6,407.0,303.0,91.9,79.4,86.6,65.2,81.0,78.7,63.3,85.7,75.4,88.8,74.1,91.2
LockTy00,53.0,Sun,6,7,28.07,SEA,Away,ARI,11,5,405.0,398.0,83.7,78.2,90.4,61.2,77.5,78.0,59.9,71.1,72.0,44.3,62.7,75.0,5,10,361.0,442.0,71.6,69.7,61.9,77.4,67.7,81.1,56.0,62.7,70.4,44.4,74.7,41.8
CookDa01,48.6,Sun,7,8,25.23,MIN,Away,GNB,10,6,407.0,303.0,91.9,79.4,86.6,65.2,81.0,78.7,63.3,85.7,75.4,88.8,74.1,91.2,13,3,376.0,313.0,87.8,77.4,79.9,80.8,69.7,79.6,70.1,79.3,65.0,57.1,79.8,88.0
JoneAa00,45.6,Sun,2,2,25.8,GNB,Home,DET,13,3,376.0,313.0,87.8,77.4,79.9,80.8,69.7,79.6,70.1,79.3,65.0,57.1,79.8,88.0,3,12,341.0,423.0,74.0,73.9,69.1,68.5,76.2,70.1,65.7,59.8,63.9,54.6,62.0,50.3
WallDa01,45.0,Sun,12,13,28.23,LVR,Away,NYJ,7,9,313.0,419.0,74.6,76.2,80.4,74.0,74.4,81.4,59.6,60.9,72.7,39.2,68.2,46.3,7,9,276.0,359.0,72.7,64.3,59.7,62.4,72.3,64.9,46.9,74.3,78.2,54.6,67.1,72.2
KamaAl00,44.7,Sun,3,3,25.18,NOR,Home,GNB,13,3,458.0,341.0,93.5,85.6,88.8,82.5,80.5,77.8,73.9,79.8,83.8,69.3,79.0,70.2,13,3,376.0,313.0,87.8,77.4,79.9,80.8,69.7,79.6,70.1,79.3,65.0,57.1,79.8,88.0
AdamDa01,44.6,Sun,6,7,27.84,GNB,Away,HOU,13,3,376.0,313.0,87.8,77.4,79.9,80.8,69.7,79.6,70.1,79.3,65.0,57.1,79.8,88.0,10,6,378.0,385.0,77.0,75.7,74.1,78.2,76.8,86.9,51.7,64.4,68.0,46.3,69.1,53.3
AdamDa01,43.2,Sun,15,16,28.01,GNB,Home,TEN,13,3,376.0,313.0,87.8,77.4,79.9,80.8,69.7,79.6,70.1,79.3,65.0,57.1,79.8,88.0,9,7,402.0,331.0,92.1,83.7,84.9,74.9,83.7,83.3,67.5,77.0,88.4,74.8,66.0,68.9
ClayCh01,42.6,Sun,4,5,22.26,PIT,Home,PHI,8,8,289.0,303.0,81.8,60.2,48.9,79.3,60.2,60.2,56.7,91.0,89.5,56.5,90.8,89.9,9,7,385.0,354.0,85.5,79.7,75.5,81.1,71.0,63.7,88.4,70.7,68.7,47.1,79.2,60.7
MixoJo00,42.1,Sun,4,4,24.2,CIN,Home,JAX,2,14,279.0,420.0,66.5,62.2,57.7,63.7,66.7,72.4,46.8,64.2,67.1,44.5,68.8,51.0,6,10,300.0,397.0,67.4,66.6,69.7,67.0,67.8,63.1,54.5,60.8,56.6,35.5,74.3,50.6
AdamDa01,41.6,Sun,1,1,27.72,GNB,Away,MIN,13,3,376.0,313.0,87.8,77.4,79.9,80.8,69.7,79.6,70.1,79.3,65.0,57.1,79.8,88.0,10,6,407.0,303.0,91.9,79.4,86.6,65.2,81.0,78.7,63.3,85.7,75.4,88.8,74.1,91.2
DiggSt00,41.5,Mon,15,16,27.08,BUF,Away,NWE,10,6,314.0,259.0,79.6,68.0,60.0,71.8,68.7,72.7,60.5,78.4,67.8,36.2,71.6,90.5,12,4,420.0,225.0,89.7,74.3,76.8,74.1,70.4,73.0,63.1,87.9,76.0,70.0,71.8,92.6
HenrDe00,40.4,Sun,5,6,26.79,TEN,Home,HOU,9,7,402.0,331.0,92.1,83.7,84.9,74.9,83.7,83.3,67.5,77.0,88.4,74.8,66.0,68.9,10,6,378.0,385.0,77.0,75.7,74.1,78.2,76.8,86.9,51.7,64.4,68.0,46.3,69.1,53.3
EvanMi00,40.1,Sat,15,16,27.35,TAM,Away,DET,7,9,458.0,449.0,84.4,78.1,66.4,76.6,84.5,70.8,63.1,74.3,79.0,47.5,73.5,69.5,3,12,341.0,423.0,74.0,73.9,69.1,68.5,76.2,70.1,65.7,59.8,63.9,54.6,62.0,50.3
KittGe00,40.1,Sun,4,4,26.99,SFO,Home,PHI,13,3,479.0,310.0,93.2,81.2,74.6,70.4,84.8,82.9,68.1,89.7,73.9,48.8,80.3,92.5,9,7,385.0,354.0,85.5,79.7,75.5,81.1,71.0,63.7,88.4,70.7,68.7,47.1,79.2,60.7
MetcDK00,40.1,Sun,7,8,22.88,SEA,Home,SFO,11,5,405.0,398.0,83.7,78.2,90.4,61.2,77.5,78.0,59.9,71.1,72.0,44.3,62.7,75.0,13,3,479.0,310.0,93.2,81.2,74.6,70.4,84.8,82.9,68.1,89.7,73.9,48.8,80.3,92.5
MahoPa00,40.0,Mon,3,3,25.03,KAN,Away,BAL,12,4,451.0,308.0,81.1,76.8,78.9,77.2,79.3,68.0,56.2,64.5,58.2,49.8,63.5,70.2,14,2,531.0,282.0,92.6,85.6,80.8,87.0,76.1,88.3,78.2,75.1,71.5,56.4,64.6,85.3
PresDa01,39.8,Sun,2,2,27.15,DAL,Home,ATL,8,8,434.0,321.0,91.8,83.1,76.5,78.3,78.6,88.6,71.8,78.6,73.5,59.6,73.1,88.7,7,9,381.0,399.0,78.7,75.8,73.5,64.2,81.9,62.6,63.9,66.4,68.9,57.8,72.9,52.6
CookBr00,39.6,Sun,16,17,27.27,HOU,Home,TEN,10,6,378.0,385.0,77.0,75.7,74.1,78.2,76.8,86.9,51.7,64.4,68.0,46.3,69.1,53.3,9,7,402.0,331.0,92.1,83.7,84.9,74.9,83.7,83.3,67.5,77.0,88.4,74.8,66.0,68.9
JeffJu00,39.6,Sun,6,6,21.34,MIN,Home,ATL,10,6,407.0,303.0,91.9,79.4,86.6,65.2,81.0,78.7,63.3,85.7,75.4,88.8,74.1,91.2,7,9,381.0,399.0,78.7,75.8,73.5,64.2,81.9,62.6,63.9,66.4,68.9,57.8,72.9,52.6
