RANK,PLAYER,#,POS,#G,TEAM,SNP,ATT,YDS,YPA,TD,FUM,OFF,RUN,FUM,RBLK,YCO,YCO/A,MTF,LNG,10+,ZONE,GAP,SCR,SYDS,DYDS,D15+,BAY,BAY%,1ST,PEN,RECV,PBLK,TGT,REC,YDS,RSNP,Y/RR,DRP
1,Marshawn Lynch,# 24,HB,19,SEA,405,343,"1,628",4.7,15,4,90.7,90.6,67.1,84.7,"1,058",3.08,117,79,47,313,22,0,0,"1,628",17,410,25.2,80,2 (0),64.8,81.2,50,42,430,361,1.19,2
2,C.J. Anderson,# 22,HB,16,DEN,225,197,929,4.7,8,1,85.8,87.7,82.6,73.4,491,2.49,49,27,27,130,64,0,0,929,13,268,28.8,52,0 (0),60.0,82.6,47,40,354,245,1.44,3
3,Lamar Miller,# 26,HB,16,MIA,267,216,"1,101",5.1,8,2,73.9,81.3,71.5,61.9,486,2.25,32,97,31,177,38,0,0,"1,101",11,319,29.0,58,0 (0),42.5,69.8,48,38,289,290,1.00,6
4,DeMarco Murray,# 29,HB,18,DAL,470,436,"2,043",4.7,15,6,83.1,80.9,51.2,61.0,"1,102",2.53,71,51,49,234,190,0,0,"2,043",31,708,34.7,97,3 (0),66.7,65.3,68,61,443,303,1.46,3
5,LeGarrette Blount,# 29,HB,19,NE,201,172,736,4.3,8,1,82.3,79.7,78.8,60.6,519,3.02,28,50,16,73,96,0,0,736,9,236,32.1,42,1 (0),66.3,68.7,12,10,54,75,0.72,0
6,Eddie Lacy,# 27,HB,18,GB,327,286,"1,314",4.6,9,3,83.0,77.8,71.2,60.5,791,2.77,59,44,42,190,77,0,0,"1,314",20,433,33.0,67,0 (0),79.6,90.6,54,43,437,340,1.29,1
7,Khiry Robinson,# 29,HB,10,NO,89,76,362,4.8,3,1,79.5,77.6,59.5,60.1,206,2.71,21,62,10,47,20,0,0,362,4,118,32.6,23,0 (0),73.6,43.8,9,8,63,54,1.17,0
7,Le'Veon Bell,# 26,HB,16,PIT,317,290,"1,361",4.7,8,0,80.8,77.6,91.6,57.1,706,2.43,55,81,34,141,142,0,0,"1,361",15,411,30.2,73,1 (0),77.1,83.4,100,83,854,493,1.73,4
9,Jamaal Charles,# 25,HB,15,KC,236,206,"1,033",5.0,9,5,70.9,77.4,40.9,60.5,536,2.60,40,63,22,98,100,0,0,"1,033",12,338,32.7,50,2 (0),48.8,70.7,52,40,291,334,0.87,6
10,Chris Ivory,# 33,HB,16,NYJ,243,198,820,4.1,6,2,72.0,77.3,53.4,63.4,487,2.46,52,71,18,135,58,0,0,820,8,184,22.4,42,3 (0),52.6,26.3,24,18,123,149,0.83,1
11,Jonathan Stewart,# 28,HB,15,CAR,275,212,993,4.7,4,2,79.1,77.2,69.3,59.6,600,2.83,55,69,32,102,103,0,0,993,15,347,34.9,51,1 (0),58.9,92.1,32,27,182,246,0.74,1
12,Theo Riddick,# 25,HB,14,DET,26,20,51,2.6,0,0,79.1,76.4,81.7,60.0,46,2.30,8,9,0,15,4,0,0,51,0,0,0.0,2,0 (0),87.1,41.5,51,38,355,147,2.41,2
12,Damien Williams,# 34,HB,15,MIA,47,36,122,3.4,0,0,81.1,76.4,85.9,60.1,68,1.89,6,19,3,30,6,0,0,122,1,19,15.6,6,0 (0),84.1,72.1,25,21,187,89,2.10,2
14,De'Anthony Thomas,# 13,HB,12,KC,81,13,96,7.4,0,0,73.8,75.3,89.0,64.4,22,1.69,3,26,2,2,1,0,0,96,2,44,45.8,3,0 (0),71.5,-,30,24,173,98,1.77,2
15,Jerome Felton,# 42,FB,16,MIN,139,4,27,6.8,0,0,86.5,74.3,82.0,81.2,17,4.25,1,21,1,0,0,0,0,27,1,21,77.8,2,0 (0),50.3,83.6,1,0,0,23,0.00,0
16,Ahmad Bradshaw,# 44,HB,10,IND,102,90,425,4.7,2,3,75.5,73.0,29.4,75.2,257,2.86,21,29,12,37,46,0,0,425,5,109,25.6,18,0 (0),70.3,75.1,46,38,300,177,1.69,5
