RANK,PLAYER,#,POS,#G,TEAM,SNP,ATT,YDS,YPA,TD,FUM,OFF,RUN,FUM,RBLK,YCO,YCO/A,MTF,LNG,10+,ZONE,GAP,SCR,SYDS,DYDS,D15+,BAY,BAY%,1ST,PEN,RECV,PBLK,TGT,REC,YDS,RSNP,Y/RR,DRP
1,Nick Chubb,# 24,HB,16,CLV,206,192,996,5.2,8,0,86.4,89.7,90.7,58.6,858,4.47,44,92,28,105,82,0,0,996,15,463,46.5,48,1 (0),54.2,51.7,28,20,149,142,1.05,3
2,Melvin Gordon III,# 28,HB,14,LAC,252,201,940,4.7,12,1,83.6,89.4,82.9,64.5,532,2.65,41,34,28,61,132,0,0,940,15,315,33.5,52,0 (0),60.6,48.1,64,52,504,273,1.85,7
3,Derrick Henry,# 22,HB,16,TEN,249,215,"1,059",4.9,12,1,85.3,86.2,82.4,59.2,905,4.21,45,99,30,155,59,0,0,"1,059",9,292,27.6,51,1 (0),48.4,83.7,18,15,99,115,0.86,0
4,Phillip Lindsay,# 30,HB,15,DEN,217,192,"1,037",5.4,9,0,82.4,85.1,90.9,70.7,451,2.35,22,65,30,90,91,0,0,"1,037",11,346,33.4,49,1 (0),63.1,63.1,44,35,241,185,1.30,4
5,Aaron Jones,# 33,HB,12,GB,137,133,728,5.5,8,1,80.7,85.0,73.4,60.0,395,2.97,26,67,22,81,45,0,0,728,8,225,30.9,41,3 (0),62.6,87.6,32,26,206,204,1.01,2
6,Kareem Hunt,# 27,HB,11,KC,213,181,824,4.6,7,0,81.6,84.1,90.6,53.7,606,3.35,43,45,23,110,66,0,0,824,12,277,33.6,46,2 (0),69.3,69.8,33,26,378,254,1.49,3
7,Saquon Barkley,# 26,HB,16,NYG,291,261,"1,307",5.0,11,0,85.2,83.8,91.5,56.1,872,3.34,40,78,31,176,78,0,0,"1,307",20,706,54.0,50,1 (0),86.3,54.0,114,91,721,470,1.53,5
8,Joe Mixon,# 28,HB,14,CIN,259,236,"1,171",5.0,8,0,77.8,81.4,91.1,60.7,652,2.76,29,51,34,156,72,0,0,"1,171",23,538,45.9,61,0 (0),60.3,39.3,54,43,296,274,1.08,4
9,Mark Ingram II,# 22,HB,14,NO,201,156,729,4.7,6,3,78.9,81.0,49.9,61.1,477,3.06,24,38,17,79,73,0,0,729,9,213,29.2,37,0 (0),55.3,75.4,29,25,185,158,1.17,1
10,Zach Line,# 42,FB,18,NO,153,10,45,4.5,0,0,62.1,80.6,75.3,73.0,26,2.60,1,9,0,0,4,0,0,45,0,0,0.0,7,1 (0),33.5,51.6,10,5,14,69,0.20,3
11,Chris Carson,# 32,HB,15,SEA,294,260,"1,171",4.5,9,3,82.4,80.4,63.5,60.0,857,3.30,45,61,33,175,79,0,0,"1,171",17,363,31.0,61,0 (0),64.6,60.7,25,22,162,146,1.11,2
12,Gus Edwards,# 35,HB,12,BLT,221,145,741,5.1,2,0,80.3,80.1,90.1,55.2,464,3.20,24,43,17,48,94,0,0,741,9,198,26.7,37,0 (0),52.4,61.1,2,2,20,58,0.34,0
13,Austin Ekeler,# 30,HB,16,LAC,151,117,583,5.0,3,1,82.8,79.9,90.0,64.4,402,3.44,16,41,19,35,63,0,0,583,11,229,39.3,26,0 (0),84.6,57.9,56,46,437,225,1.94,2
14,Lamar Miller,# 26,HB,15,HST,241,215,991,4.6,5,1,74.5,79.3,82.6,64.5,693,3.22,33,97,23,148,56,0,0,991,15,403,40.7,38,2 (0),53.7,79.2,44,33,226,313,0.72,1
15,Todd Gurley II,# 30,HB,17,LA,340,286,"1,411",4.9,19,1,76.7,79.2,88.2,59.4,919,3.21,35,36,38,217,68,0,0,"1,411",20,436,30.9,75,1 (0),62.0,75.7,83,63,585,485,1.21,9
16,Damien Williams,# 26,HB,14,KC,95,85,415,4.9,6,1,80.6,78.7,66.6,89.1,223,2.62,12,25,14,59,25,0,0,415,7,141,34.0,26,0 (0),72.1,78.4,38,33,251,169,1.49,1
17,Detrez Newsome,# 38,HB,4,LAC,15,11,49,4.5,0,0,80.5,78.5,74.4,60.0,39,3.55,1,16,2,4,5,0,0,49,1,16,32.7,3,0 (0),70.5,73.1,2,2,19,14,1.36,0
18,Frank Gore,# 21,HB,14,MIA,171,156,722,4.6,0,1,80.3,78.2,75.4,69.9,513,3.29,23,39,12,104,50,0,0,722,6,167,23.1,25,1 (0),74.9,53.1,16,12,124,128,0.97,0
19,C.J. Anderson,# 35,HB,14,LA,136,113,592,5.2,4,1,72.1,78.1,68.0,67.3,370,3.27,18,46,15,76,37,0,0,592,4,110,18.6,35,0 (0),37.3,32.8,11,8,58,76,0.76,3
20,Alvin Kamara,# 41,HB,17,NO,307,218,969,4.4,14,0,84.1,77.9,91.5,55.9,592,2.72,33,49,24,109,96,0,0,969,11,217,22.4,64,1 (0),89.4,79.8,115,96,840,389,2.16,5
21,Latavius Murray,# 25,HB,16,MIN,166,140,578,4.1,6,0,75.7,77.4,90.2,58.6,405,2.89,14,38,13,94,45,0,0,578,7,185,32.0,23,0 (0),60.2,71.7,25,22,141,221,0.64,0
22,Christian McCaffrey,# 22,HB,16,CAR,345,219,"1,098",5.0,7,4,82.8,77.2,58.7,59.1,639,2.92,32,59,31,95,118,0,0,"1,098",13,350,31.9,54,0 (0),89.1,62.6,122,108,874,493,1.77,0
