RANK,PLAYER,#,POS,#G,TEAM,SNP,ATT,YDS,YPA,TD,FUM,OFF,RUN,FUM,RBLK,YCO,YCO/A,MTF,LNG,10+,ZONE,GAP,SCR,SYDS,DYDS,D15+,BAY,BAY%,1ST,PEN,RECV,PBLK,TGT,REC,YDS,RSNP,Y/RR,DRP
1,De'Von Achane,# 28,HB,12,MIA,127,108,813,7.5,8,1,92.1,93.1,71.0,77.2,534,4.94,29,76,22,59,40,0,0,813,13,434,53.4,31,0 (0),77.7,65.7,43,31,214,187,1.14,0
2,Keaton Mitchell,# 34,HB,7,BLT,68,47,396,8.4,2,0,92.4,92.5,83.0,65.7,267,5.68,14,60,12,28,15,0,0,396,7,240,60.6,19,0 (0),82.1,35.9,10,9,93,51,1.82,0
3,Raheem Mostert,# 31,HB,16,MIA,260,217,"1,045",4.8,18,4,84.7,91.3,45.6,59.1,728,3.35,53,49,30,148,63,0,0,"1,045",14,329,31.5,61,1 (0),48.7,66.0,31,26,172,276,0.62,2
4,Kyren Williams,# 23,HB,13,LA,262,241,"1,205",5.0,12,3,80.4,90.5,62.9,59.1,788,3.27,48,56,28,90,150,0,0,"1,205",10,263,21.8,65,2 (0),39.1,57.7,48,33,215,341,0.63,5
5,Christian McCaffrey,# 23,HB,19,SF,400,331,"1,727",5.2,18,4,90.3,90.3,65.8,30.2,"1,110",3.35,74,72,48,219,100,0,0,"1,727",22,595,34.5,98,2 (1),86.5,28.4,104,86,716,525,1.36,1
6,Emari Demercado,# 31,HB,14,ARZ,74,58,284,4.9,2,0,73.4,89.9,84.9,40.7,205,3.53,11,49,5,31,26,0,0,284,2,67,23.6,12,0 (0),44.7,74.7,29,21,119,164,0.73,2
7,James Conner,# 06,HB,13,ARZ,262,208,"1,040",5.0,7,0,89.2,88.4,90.8,68.9,818,3.93,60,44,31,89,115,0,0,"1,040",13,328,31.5,57,0 (0),69.2,68.0,31,27,165,201,0.82,0
8,Derrick Henry,# 22,HB,17,TEN,317,280,"1,167",4.2,12,0,90.1,86.8,91.4,58.0,930,3.32,57,69,23,160,119,0,0,"1,167",16,385,33.0,63,0 (0),70.7,79.1,31,28,214,175,1.22,2
9,Aaron Jones,# 33,HB,13,GB,207,181,883,4.9,5,2,80.9,85.7,66.0,57.8,609,3.36,37,53,21,119,61,0,0,883,8,220,24.9,48,0 (0),56.4,63.2,47,34,254,202,1.26,6
10,Jordan Mason,# 24,HB,12,SF,63,40,206,5.2,3,0,84.7,85.4,82.1,62.2,124,3.10,8,26,4,30,9,0,0,206,3,59,28.6,13,0 (0),62.0,23.8,4,3,31,35,0.89,0
11,Kenneth Walker III,# 09,HB,15,SEA,234,219,900,4.1,8,1,83.5,85.3,86.0,58.7,637,2.91,54,45,24,141,63,0,0,900,10,252,28.0,46,2 (0),71.0,40.7,33,29,259,200,1.30,2
12,Tony Pollard,# 20,HB,18,DAL,315,267,"1,061",4.0,7,3,77.5,84.7,66.9,62.8,764,2.86,46,31,22,133,122,0,0,"1,061",11,229,21.6,60,0 (0),51.4,70.6,76,62,340,439,0.77,3
13,Jaylen Warren,# 30,HB,18,PIT,192,157,822,5.2,4,4,78.5,84.4,38.2,77.8,578,3.68,55,74,26,80,55,0,0,822,12,284,34.5,38,1 (1),72.2,25.1,74,63,386,273,1.41,5
14,David Montgomery,# 05,HB,17,DET,272,258,"1,198",4.6,15,2,79.6,83.4,73.5,60.0,779,3.02,53,75,28,133,125,0,0,"1,198",10,252,21.0,71,2 (0),58.4,29.7,29,22,162,209,0.78,2
15,Jaleel McLaughlin,# 38,HB,17,DEN,85,76,410,5.4,1,0,86.2,82.8,87.0,60.0,257,3.38,18,38,12,54,17,0,0,410,4,113,27.6,16,0 (0),85.2,34.6,36,31,160,98,1.63,0
16,Nick Chubb,# 24,HB,2,CLV,32,28,170,6.1,0,0,81.5,81.6,79.9,60.0,113,4.04,6,20,6,13,13,0,0,170,2,37,21.8,8,0 (0),65.4,25.8,4,4,21,16,1.31,0
17,Jahmyr Gibbs,# 26,HB,18,DET,247,211,"1,089",5.2,13,3,76.3,80.8,61.2,57.0,633,3.00,45,36,33,99,103,0,0,"1,089",17,411,37.7,50,0 (0),67.4,26.8,83,63,410,372,1.10,5
18,Isiah Pacheco,# 10,HB,18,KC,321,286,"1,248",4.4,10,3,79.9,80.2,78.0,59.3,828,2.90,45,48,28,158,120,0,0,"1,248",13,337,27.0,68,1 (0),69.9,67.4,62,56,304,365,0.83,1
19,Emanuel Wilson,# 31,HB,9,GB,33,26,121,4.7,0,0,80.0,79.9,79.6,60.0,44,1.69,3,31,2,15,10,0,0,121,1,31,25.6,4,0 (0),66.3,-,6,5,34,22,1.55,0
20,Craig Reynolds,# 13,HB,19,DET,73,42,180,4.3,2,1,76.5,79.8,45.9,51.6,120,2.86,6,19,6,31,11,0,0,180,2,36,20.0,12,0 (0),69.9,24.0,6,5,47,64,0.73,0
21,Khalil Herbert,# 24,HB,12,CHI,173,132,611,4.6,2,1,77.9,79.4,72.8,45.8,400,3.03,32,38,13,87,45,0,0,611,7,183,30.0,25,0 (0),67.5,53.3,26,20,134,146,0.92,0
21,Chuba Hubbard,# 30,HB,17,CAR,257,238,902,3.8,5,1,77.2,79.4,87.7,45.0,682,2.87,41,22,21,136,101,0,0,902,9,170,18.8,59,0 (0),62.1,61.6,44,39,233,295,0.79,0
23,Chris Brooks,# 35,HB,4,MIA,31,19,106,5.6,0,0,82.0,79.1,77.1,78.2,107,5.63,8,52,2,14,5,0,0,106,2,80,75.5,2,0 (0),53.4,-,0,0,0,4,0.00,0
23,Ty Johnson,# 26,HB,10,BUF,63,45,198,4.4,0,1,78.7,79.1,52.2,77.8,135,3.00,9,15,5,19,26,0,0,186,1,15,7.6,14,0 (0),64.1,58.9,10,8,76,50,1.52,0
23,James Cook,# 04,HB,19,BUF,311,273,"1,262",4.6,2,4,71.7,79.1,56.2,56.0,733,2.68,42,42,35,111,151,0,0,"1,262",10,242,19.2,62,0 (0),53.0,23.5,62,52,472,343,1.38,7
26,Rhamondre Stevenson,# 38,HB,12,NE,176,156,619,4.0,4,1,71.3,78.7,77.3,29.3,437,2.80,30,64,10,66,81,0,0,619,3,94,15.2,36,0 (0),51.2,72.7,48,38,238,251,0.95,4
27,Travis Etienne Jr.,# 01,HB,17,JAX,307,267,"1,008",3.8,11,0,77.0,78.4,91.3,77.0,766,2.87,64,62,22,101,158,0,0,"1,008",10,261,25.9,53,1 (0),69.3,52.2,67,58,476,404,1.18,5
28,Royce Freeman,# 24,HB,10,LA,88,77,319,4.1,2,0,74.2,78.1,85.6,78.9,224,2.91,17,23,7,35,40,0,0,319,3,53,16.6,17,0 (0),46.0,67.6,1,1,13,80,0.16,0
28,Devin Singletary,# 26,HB,19,HST,276,238,986,4.1,5,1,75.1,78.1,85.0,79.0,686,2.88,35,29,26,120,111,0,0,986,13,253,25.7,44,0 (0),61.2,34.3,45,38,245,329,0.74,1
30,Tyler Allgeier,# 25,HB,17,ATL,212,186,683,3.7,4,0,82.9,78.0,90.6,43.4,549,2.95,39,31,13,131,51,0,0,683,3,72,10.5,41,0 (0),81.0,90.3,22,18,193,108,1.79,0
31,Tyjae Spears,# 32,HB,17,TEN,150,100,453,4.5,2,1,77.0,77.8,74.8,48.1,316,3.16,25,23,13,49,42,0,0,453,7,137,30.2,23,1 (0),74.6,79.6,67,52,385,303,1.27,2
31,Breece Hall,# 20,HB,17,NYJ,255,223,994,4.5,5,2,82.4,77.8,74.4,57.4,761,3.41,45,83,20,125,96,0,0,994,11,402,40.4,40,0 (0),88.9,53.9,90,76,591,336,1.76,4
33,Ronnie Rivers,# 20,HB,8,LA,46,35,138,3.9,0,0,75.0,77.6,82.4,59.1,85,2.43,7,10,2,8,27,0,0,138,0,0,0.0,5,0 (0),66.0,46.0,8,8,57,44,1.30,0
34,D'Onta Foreman,# 21,HB,9,CHI,139,109,425,3.9,4,1,74.0,77.4,67.8,57.2,300,2.75,21,22,12,65,43,0,0,425,1,22,5.2,24,1 (0),58.3,29.5,15,11,77,96,0.80,1
35,Ty Chandler,# 32,HB,14,MIN,115,102,461,4.5,3,0,76.3,77.2,89.0,59.5,292,2.86,14,31,9,49,48,0,0,461,5,119,25.8,20,0 (0),72.9,49.3,24,21,159,122,1.30,0
35,Najee Harris,# 22,HB,18,PIT,315,267,"1,072",4.0,8,2,76.2,77.2,64.3,56.7,808,3.03,51,25,25,148,106,0,0,"1,072",14,278,25.9,51,0 (0),58.5,58.8,37,31,185,223,0.83,2
37,Chris Rodriguez Jr.,# 23,HB,10,WAS,60,51,247,4.8,2,1,75.9,77.1,45.7,46.0,186,3.65,12,16,9,31,19,0,0,247,3,47,19.0,14,0 (0),52.4,82.7,2,2,12,29,0.41,0
37,Alvin Kamara,# 41,HB,13,NO,211,180,694,3.9,5,0,74.1,77.1,90.8,55.7,452,2.51,22,17,15,118,58,0,0,694,6,95,13.7,43,0 (0),78.4,19.2,86,75,466,269,1.73,3
39,AJ Dillon,# 28,HB,15,GB,205,178,613,3.4,2,0,75.7,76.1,90.5,56.6,479,2.69,21,40,8,96,80,0,0,613,3,72,11.7,32,0 (0),68.2,56.0,27,22,223,216,1.03,1
40,Damien Harris,# 22,HB,6,BUF,33,23,94,4.1,1,0,76.5,75.9,78.8,60.0,62,2.70,2,11,1,5,18,0,0,94,0,0,0.0,9,0 (0),57.3,85.3,2,2,16,15,1.07,0
41,Gus Edwards,# 35,HB,19,BLT,275,211,870,4.1,13,3,73.7,75.4,54.3,59.1,583,2.76,29,42,16,90,117,0,0,870,9,205,23.6,53,2 (0),54.5,55.1,15,14,195,180,1.08,0
42,Michael Carter,# 22,HB,15,ARZ,37,30,187,6.2,0,0,60.8,75.3,81.9,60.0,88,2.93,6,21,6,18,11,0,0,187,6,108,57.8,9,2 (0),52.2,37.4,31,24,101,151,0.67,2
43,Michael Burton,# 20,FB,17,DEN,113,7,9,1.3,0,0,64.2,75.2,73.7,61.9,7,1.00,0,4,0,0,0,0,0,9,0,0,0.0,4,2 (1),49.7,84.0,3,3,8,49,0.16,0
44,Bijan Robinson,# 07,HB,17,ATL,272,214,969,4.5,4,4,69.1,75.1,37.8,35.5,663,3.10,49,38,30,146,63,0,0,969,10,237,24.5,51,2 (0),61.5,56.8,83,58,487,421,1.16,5
45,Jonathan Taylor,# 28,HB,10,IND,174,169,741,4.4,7,1,74.9,75.0,77.3,71.9,527,3.12,27,49,23,103,64,0,0,741,6,169,22.8,42,0 (0),63.8,57.1,24,19,153,178,0.86,1
46,Zach Charbonnet,# 26,HB,16,SEA,124,108,462,4.3,1,0,69.8,74.4,89.5,27.3,320,2.96,15,23,16,70,32,0,0,462,5,102,22.1,32,2 (1),63.2,61.1,40,33,209,276,0.76,2
