RANK,PLAYER,#,POS,#G,TEAM,SNP,ATT,YDS,YPA,TD,FUM,OFF,RUN,FUM,RBLK,YCO,YCO/A,MTF,LNG,10+,ZONE,GAP,SCR,SYDS,DYDS,D15+,BAY,BAY%,1ST,PEN,RECV,PBLK,TGT,REC,YDS,RSNP,Y/RR,DRP
1,Derrick Henry,# 22,HB,19,BLT,442,367,"2,191",6.0,19,3,94.1,93.5,73.1,55.5,"1,323",3.60,87,87,53,205,160,0,0,"2,191",30,930,42.4,105,2 (0),62.4,61.2,23,19,193,197,0.98,2
2,Bijan Robinson,# 07,HB,17,ATL,336,304,"1,456",4.8,14,1,92.8,92.8,91.6,78.8,920,3.03,69,37,34,231,71,0,0,"1,456",12,252,17.3,82,3 (1),82.2,51.6,70,61,431,389,1.11,2
3,Jahmyr Gibbs,# 26,HB,18,DET,284,264,"1,517",5.7,18,1,90.1,91.4,86.5,72.5,868,3.29,65,70,46,173,85,0,0,"1,517",27,638,42.1,76,4 (0),74.8,23.1,73,58,587,347,1.69,2
4,Kenneth Walker III,# 09,HB,11,SEA,180,153,573,3.7,7,1,88.5,91.3,78.0,68.7,467,3.05,59,28,13,81,68,0,0,573,6,130,22.7,28,2 (1),72.9,29.7,52,46,299,224,1.33,1
4,Josh Jacobs,# 08,HB,18,GB,365,319,"1,410",4.4,16,5,92.3,91.3,61.8,55.2,"1,113",3.49,78,38,34,167,150,0,0,"1,410",12,313,22.2,76,1 (0),89.2,55.3,44,39,382,265,1.44,0
6,James Conner,# 06,HB,16,ARZ,278,236,"1,094",4.6,8,4,90.4,90.6,63.2,66.6,779,3.30,62,53,34,70,162,0,0,"1,094",16,339,31.0,65,0 (0),67.3,76.9,53,47,414,269,1.54,2
7,Chris Rodriguez Jr.,# 36,HB,7,WAS,46,35,173,4.9,2,0,88.4,90.1,80.7,57.8,137,3.91,14,25,3,14,21,0,0,173,3,59,34.1,10,0 (0),58.5,29.5,1,1,12,20,0.60,0
8,Bucky Irving,# 07,HB,18,TB,257,224,"1,199",5.4,8,2,90.8,90.0,72.9,55.2,881,3.93,57,56,29,89,123,0,0,"1,199",15,419,34.9,55,1 (0),90.5,28.9,52,49,398,246,1.62,1
9,James Cook,# 04,HB,19,BUF,298,260,"1,281",4.9,19,1,86.2,88.6,86.1,30.8,842,3.24,46,65,26,134,125,0,0,"1,281",14,397,31.0,64,1 (0),65.1,59.5,44,38,322,258,1.25,3
10,Jeremy McNichols,# 26,HB,19,WAS,103,60,270,4.5,5,0,72.0,86.3,57.4,41.4,208,3.47,13,28,6,31,28,0,0,270,3,70,25.9,16,1 (0),51.6,59.8,10,9,27,136,0.20,0
10,Emanuel Wilson,# 31,HB,18,GB,130,106,508,4.8,4,0,82.9,86.3,88.5,62.6,307,2.90,27,21,13,64,39,0,0,508,7,125,24.6,27,1 (0),63.4,60.5,15,12,71,109,0.65,1
10,Chuba Hubbard,# 30,HB,15,CAR,275,250,"1,195",4.8,10,4,75.4,86.3,52.3,63.3,865,3.46,46,38,26,163,81,0,0,"1,195",15,337,28.2,62,0 (0),39.5,56.9,52,43,171,336,0.51,1
13,Tyler Allgeier,# 25,HB,17,ATL,165,137,644,4.7,3,0,86.4,85.7,90.1,49.4,494,3.61,36,25,18,101,33,0,0,644,9,177,27.5,43,0 (0),67.7,59.6,13,13,88,93,0.95,0
14,Saquon Barkley,# 26,HB,20,PHI,538,436,"2,504",5.7,18,2,85.3,84.7,86.3,67.6,"1,446",3.32,80,78,55,245,184,0,0,"2,504",32,"1,107",44.2,99,1 (0),67.0,60.5,54,46,353,375,0.94,2
15,De'Von Achane,# 28,HB,17,MIA,249,203,907,4.5,6,1,81.6,82.8,83.9,40.4,590,2.91,32,61,21,121,69,0,0,907,10,286,31.5,38,1 (1),80.6,15.7,85,78,592,408,1.45,1
16,Braelon Allen,# 00,HB,17,NYJ,113,92,334,3.6,2,0,73.6,82.0,87.9,50.3,263,2.86,10,20,5,54,36,0,0,334,1,20,6.0,22,0 (0),50.3,52.7,26,19,148,134,1.10,4
17,Dameon Pierce,# 31,HB,12,HST,59,46,318,6.9,2,1,72.0,81.9,50.1,43.9,289,6.28,11,92,7,26,19,0,0,318,2,146,45.9,7,1 (0),48.6,43.7,4,2,2,59,0.03,0
17,Justice Hill,# 43,HB,17,BLT,121,59,290,4.9,1,0,79.5,81.9,87.2,52.0,235,3.98,17,51,9,33,17,0,0,285,4,115,39.7,18,1 (0),89.0,52.3,52,48,403,264,1.53,0
19,Jerome Ford,# 34,HB,14,CLV,127,104,565,5.4,3,0,71.2,80.3,90.1,57.7,364,3.50,24,66,13,57,42,0,0,565,7,255,45.1,25,0 (0),59.7,45.1,42,37,225,304,0.74,1
20,David Montgomery,# 05,HB,15,DET,201,192,803,4.2,12,2,85.9,80.1,68.1,60.0,603,3.14,42,21,18,124,64,0,0,803,5,89,11.1,52,1 (0),90.7,47.4,37,36,341,158,2.16,0
21,Kendre Miller,# 25,HB,6,NO,44,39,148,3.8,1,0,73.3,79.7,83.1,60.0,126,3.23,13,17,6,28,9,0,0,148,2,33,22.3,11,0 (0),49.2,47.2,8,5,33,47,0.70,2
22,Emari Demercado,# 31,HB,13,ARZ,34,24,223,9.3,1,0,70.8,79.0,80.8,47.7,165,6.88,9,53,6,10,14,0,0,223,3,110,49.3,8,0 (0),68.6,43.9,19,16,104,94,1.11,0
23,Zach Charbonnet,# 26,HB,17,SEA,167,135,569,4.2,8,0,77.5,78.8,90.2,62.6,452,3.35,32,51,16,61,64,0,0,569,5,130,22.8,33,0 (0),66.8,74.2,47,42,308,284,1.08,0
24,Ty Johnson,# 26,HB,20,BUF,115,61,307,5.0,1,0,73.3,78.5,86.3,47.5,193,3.16,11,19,9,49,11,0,0,307,4,71,23.1,18,0 (0),73.0,31.9,29,22,318,231,1.38,0
25,Najee Harris,# 22,HB,18,PIT,309,269,"1,060",3.9,6,0,77.2,77.5,91.3,65.9,776,2.88,61,36,30,192,76,0,0,"1,060",11,256,24.2,52,1 (0),63.4,56.1,49,39,324,233,1.39,5
26,Isaiah Davis,# 32,HB,9,NYJ,33,30,174,5.8,1,0,75.7,76.6,82.5,56.7,126,4.20,6,20,8,21,7,0,0,174,2,37,21.3,10,0 (0),73.8,55.1,12,9,75,60,1.25,0
26,Alvin Kamara,# 41,HB,14,NO,265,228,950,4.2,6,1,73.7,76.6,85.3,58.0,629,2.76,41,24,25,167,47,0,0,950,10,181,19.1,52,0 (0),64.7,38.7,87,68,543,311,1.75,7
28,Aaron Jones,# 33,HB,18,MIN,313,268,"1,186",4.4,5,5,75.4,76.5,44.1,40.1,796,2.97,46,41,26,162,103,0,0,"1,186",9,217,18.3,50,1 (0),70.6,51.7,64,54,420,347,1.21,3
28,Joe Mixon,# 28,HB,16,HST,311,287,"1,212",4.2,13,1,75.8,76.5,87.5,74.5,839,2.92,42,59,33,190,94,0,0,"1,212",13,340,28.1,60,3 (0),65.7,52.4,53,39,334,272,1.23,3
30,Sean Tucker,# 44,HB,12,TB,64,50,308,6.2,2,1,80.0,76.3,56.2,59.1,163,3.26,5,36,9,17,33,0,0,308,4,103,33.4,17,0 (0),81.8,62.0,11,9,109,42,2.60,0
30,Cam Akers,# 27,HB,16,MIN,121,109,483,4.4,2,1,72.6,76.3,69.3,60.0,309,2.83,21,58,17,60,47,0,0,483,8,188,38.9,22,0 (0),59.8,33.9,16,14,68,126,0.54,0
32,Miles Sanders,# 06,HB,11,CAR,65,55,205,3.7,2,1,68.0,76.1,56.3,58.1,138,2.51,10,26,3,32,21,0,0,205,1,26,12.7,12,0 (0),57.6,38.2,28,24,148,130,1.14,0
32,Jordan Mason,# 24,HB,12,SF,175,153,789,5.2,3,3,72.7,76.1,43.4,67.3,512,3.35,35,38,23,110,41,0,0,789,12,291,36.9,38,0 (0),53.4,44.5,14,11,91,170,0.54,0
34,Roschon Johnson,# 23,HB,13,CHI,66,55,150,2.7,6,0,69.5,76.0,84.5,58.8,114,2.07,5,9,0,19,31,0,0,150,0,0,0.0,17,0 (0),67.3,36.5,17,16,104,136,0.76,0
35,Jaylen Wright,# 25,HB,15,MIA,81,68,249,3.7,0,1,65.3,75.8,55.7,43.2,221,3.25,16,20,8,44,20,0,0,249,4,72,28.9,11,0 (0),34.2,81.6,6,3,8,78,0.10,2
36,Antonio Gibson,# 04,HB,17,NE,133,120,538,4.5,1,2,72.6,75.5,55.3,57.5,469,3.91,36,45,14,47,68,0,0,538,7,167,31.0,23,0 (0),65.6,44.3,29,23,206,164,1.26,1
37,Jonathan Ward,# 35,HB,3,PIT,8,5,22,4.4,0,0,72.9,75.4,69.7,60.0,17,3.40,1,7,0,5,0,0,0,22,0,0,0.0,1,1 (0),59.7,75.7,0,0,0,1,0.00,0
38,Kareem Hunt,# 29,HB,16,KC,255,228,845,3.7,9,0,74.4,74.9,91.0,60.6,595,2.61,31,20,15,141,80,0,0,845,3,52,6.2,50,0 (0),62.0,59.8,30,26,189,242,0.78,0
39,Tank Bigsby,# 04,HB,15,JAX,195,168,766,4.6,7,3,68.1,74.6,27.5,59.2,628,3.74,46,65,20,67,98,0,0,766,8,242,31.6,38,0 (0),36.8,25.3,11,7,54,129,0.42,2
40,Rico Dowdle,# 23,HB,16,DAL,276,235,"1,079",4.6,2,3,73.9,74.4,61.3,54.3,771,3.28,45,27,26,150,69,0,0,"1,079",9,170,15.8,53,0 (0),64.9,62.1,49,39,249,283,0.88,3
