RANK,PLAYER,#,POS,#G,TEAM,SNP,ATT,YDS,YPA,TD,FUM,OFF,RUN,FUM,RBLK,YCO,YCO/A,MTF,LNG,10+,ZONE,GAP,SCR,SYDS,DYDS,D15+,BAY,BAY%,1ST,PEN,RECV,PBLK,TGT,REC,YDS,RSNP,Y/RR,DRP
1,D'Ernest Johnson,# 30,HB,15,CLV,124,100,534,5.3,3,1,81.4,90.6,69.3,61.0,347,3.47,26,30,16,38,54,0,0,534,6,130,24.3,24,1 (0),42.7,80.1,24,19,137,152,0.90,4
2,Tony Pollard,# 20,HB,16,DAL,162,134,733,5.5,2,2,86.0,90.3,63.8,74.7,478,3.57,27,58,17,69,56,0,0,733,9,223,30.4,35,1 (1),64.9,50.3,46,41,349,184,1.90,3
3,Jonathan Taylor,# 28,HB,17,IND,381,332,"1,811",5.5,18,4,87.1,90.0,62.6,55.5,"1,272",3.83,66,83,50,210,115,0,0,"1,811",23,700,38.7,106,1 (0),62.5,31.2,48,40,360,292,1.23,3
4,AJ Dillon,# 28,HB,18,GB,218,194,828,4.3,6,2,86.2,89.7,67.8,48.5,609,3.14,31,36,9,126,65,0,0,828,4,93,11.2,52,1 (0),64.8,57.7,37,34,313,207,1.51,1
5,Damien Harris,# 37,HB,16,NE,250,211,959,4.5,15,2,86.6,84.7,68.7,60.3,576,2.73,39,64,23,44,149,0,0,959,12,317,33.1,56,0 (0),69.9,49.7,21,19,139,120,1.16,0
6,Khalil Herbert,# 24,HB,16,CHI,126,103,433,4.2,2,0,78.8,84.4,73.0,63.9,291,2.83,18,29,9,86,13,0,0,433,4,96,22.2,24,1 (0),54.6,61.5,16,14,96,141,0.68,2
7,Rashaad Penny,# 20,HB,10,SEA,133,119,749,6.3,6,0,80.5,83.7,89.3,60.2,538,4.52,27,62,19,78,40,0,0,749,13,392,52.3,28,1 (0),49.5,71.0,7,6,48,98,0.49,1
8,Melvin Gordon III,# 25,HB,16,DEN,218,203,918,4.5,8,3,77.8,83.4,53.0,60.0,633,3.12,45,70,23,124,76,0,0,918,6,193,21.0,49,1 (1),52.9,41.4,34,28,213,247,0.86,3
9,Aaron Jones,# 33,HB,16,GB,206,183,840,4.6,4,2,82.0,83.1,69.2,78.0,576,3.15,39,57,17,130,49,0,0,840,8,213,25.4,40,1 (1),72.6,67.5,74,61,520,342,1.52,5
10,Michael Burton,# 45,FB,19,KC,77,10,30,3.0,1,0,82.1,82.9,75.6,61.9,20,2.00,2,7,0,0,0,0,0,30,0,0,0.0,10,0 (0),70.4,85.8,3,3,31,16,1.94,0
11,Josh Jacobs,# 28,HB,16,LV,274,230,955,4.2,9,2,79.5,82.8,74.8,47.8,683,2.97,60,35,23,168,57,0,0,955,8,169,17.7,48,1 (0),63.0,75.3,69,58,392,329,1.19,5
12,Devin Singletary,# 26,HB,19,BUF,269,214,977,4.6,10,5,69.0,82.4,39.0,49.7,650,3.04,51,46,22,105,101,0,0,977,14,307,31.4,55,1 (0),42.3,48.0,56,47,266,435,0.61,4
13,Jason Cabinda,# 45,FB,14,DET,89,3,23,7.7,0,0,58.5,82.3,71.1,55.3,12,4.00,1,21,1,0,0,0,0,23,1,21,91.3,2,0 (0),47.5,52.8,7,4,16,39,0.41,1
14,Joe Mixon,# 28,HB,20,CIN,407,359,"1,467",4.1,14,2,79.2,82.1,83.2,56.4,"1,089",3.03,53,32,36,224,125,0,0,"1,467",14,295,20.1,72,1 (0),63.7,37.3,68,60,421,391,1.08,2
15,Rhamondre Stevenson,# 38,HB,13,NE,169,141,633,4.5,5,2,81.1,81.4,57.1,54.8,444,3.15,32,21,20,24,105,0,0,633,5,89,14.1,35,0 (0),61.8,50.3,21,18,156,94,1.66,1
16,Nick Chubb,# 24,HB,14,CLV,250,228,"1,258",5.5,8,2,81.7,80.6,71.2,59.3,967,4.24,57,70,41,85,139,0,0,"1,258",17,454,36.1,62,0 (0),63.7,80.5,25,20,174,185,0.94,0
17,Leonard Fournette,# 07,HB,15,TB,222,193,863,4.5,10,1,75.1,80.0,83.0,43.4,600,3.11,30,47,17,60,131,0,0,863,7,169,19.6,50,0 (0),64.8,56.3,92,78,510,404,1.26,7
18,Austin Ekeler,# 30,HB,16,LAC,236,206,911,4.4,12,4,75.3,79.9,50.1,58.8,621,3.01,37,28,22,111,85,0,0,911,9,165,18.1,53,0 (0),62.6,57.8,88,70,647,417,1.55,5
19,Patrick Taylor,# 27,HB,6,GB,28,23,89,3.9,1,0,79.0,79.3,78.3,60.0,70,3.04,6,12,2,16,7,0,0,89,0,0,0.0,5,0 (0),60.7,75.7,2,2,3,22,0.14,0
20,Jonathan Williams,# 35,HB,5,WAS,22,17,79,4.6,1,0,74.6,79.0,76.9,60.0,72,4.24,3,23,2,13,4,0,0,79,1,23,29.1,7,0 (0),63.4,24.0,5,4,28,29,0.97,0
21,Brandon Bolden,# 25,HB,17,NE,64,44,226,5.1,1,1,74.2,77.5,59.5,60.4,181,4.11,14,24,10,6,34,0,0,226,6,112,49.6,12,1 (0),78.8,48.9,54,45,432,228,1.89,3
21,Darrell Henderson,# 27,HB,13,LA,176,153,695,4.5,5,0,69.3,77.5,90.3,60.0,381,2.49,19,29,20,110,42,0,0,695,8,141,20.3,39,0 (0),49.6,79.1,46,32,219,295,0.74,3
23,Michael Carter,# 32,HB,14,NYJ,170,147,639,4.3,4,1,71.0,77.3,76.3,60.3,495,3.37,39,55,13,89,55,0,0,639,5,166,26.0,29,2 (0),58.9,42.7,50,36,325,220,1.48,5
24,James Robinson,# 25,HB,14,JAX,201,164,767,4.7,8,4,67.4,77.1,35.4,67.3,539,3.29,28,58,19,99,63,0,0,767,7,174,22.7,41,1 (1),41.8,53.0,44,31,222,261,0.85,4
25,Jordan Howard,# 24,HB,8,PHI,100,86,406,4.7,3,0,75.6,77.0,86.6,70.7,270,3.14,14,25,9,69,17,0,0,406,5,91,22.4,25,0 (0),46.6,44.3,4,3,26,57,0.46,1
26,James White,# 28,HB,3,NE,11,10,38,3.8,1,0,78.1,76.6,76.4,60.0,14,1.40,1,10,1,1,6,0,0,38,0,0,0.0,4,0 (0),82.2,70.2,14,12,94,38,2.47,0
26,Ezekiel Elliott,# 21,HB,18,DAL,294,249,"1,033",4.1,10,1,69.3,76.6,85.6,52.5,670,2.69,21,47,24,138,100,0,0,"1,033",6,147,14.2,59,1 (1),55.3,40.2,67,48,287,448,0.64,2
28,Javonte Williams,# 33,HB,17,DEN,221,203,903,4.4,4,2,75.9,76.0,69.7,80.9,694,3.42,63,49,25,104,95,0,0,903,9,228,25.2,53,0 (0),64.8,63.3,51,43,316,262,1.21,4
29,Craig Reynolds,# 46,HB,5,DET,63,55,230,4.2,0,0,76.5,75.6,83.9,60.2,213,3.87,12,35,4,23,31,0,0,230,3,78,33.9,11,0 (0),67.9,58.3,8,7,52,48,1.08,0
30,Elijah Mitchell,# 25,HB,14,SF,324,262,"1,132",4.3,6,0,76.8,75.5,91.2,65.4,901,3.44,42,39,31,172,90,0,0,"1,132",9,236,20.8,57,1 (0),65.7,69.2,27,26,194,185,1.05,0
31,Zack Moss,# 20,HB,14,BUF,152,97,345,3.6,4,2,66.8,75.4,46.8,53.8,226,2.33,18,17,5,48,39,0,0,345,1,17,4.9,22,0 (0),51.6,36.6,31,23,197,178,1.11,2
32,Chris Carson,# 32,HB,4,SEA,61,54,232,4.3,3,1,70.7,75.0,49.1,59.4,165,3.06,10,33,2,31,21,0,0,232,2,63,27.2,11,1 (0),58.1,35.0,6,6,29,55,0.53,0
32,Tevin Coleman,# 23,HB,11,NYJ,99,84,356,4.2,0,0,74.1,75.0,88.3,52.7,290,3.45,17,20,10,47,35,0,0,356,6,103,28.9,20,0 (0),59.9,59.0,14,11,49,58,0.84,1
34,Derrick Henry,# 22,HB,9,TEN,261,239,999,4.2,11,1,77.3,74.9,84.0,71.9,784,3.28,36,76,20,134,105,0,0,999,9,264,26.4,54,1 (0),68.5,54.4,20,18,154,128,1.20,0
35,Devonta Freeman,# 33,HB,16,BLT,182,133,576,4.3,5,0,68.2,74.5,90.2,45.6,300,2.26,21,32,11,55,71,0,0,576,7,159,27.6,31,1 (0),59.1,52.8,38,34,190,282,0.67,0
36,Kareem Hunt,# 27,HB,8,CLV,90,78,386,4.9,5,0,74.4,74.3,87.2,59.6,269,3.45,21,33,12,26,46,0,0,386,5,113,29.3,22,0 (0),67.5,66.9,25,22,174,109,1.60,1
37,Damien Williams,# 08,HB,12,CHI,48,40,164,4.1,2,0,71.4,73.7,82.5,58.3,97,2.43,7,23,4,28,8,0,0,164,1,23,14.0,11,0 (0),63.9,72.6,22,16,103,97,1.06,1
37,Duke Johnson Jr.,# 28,HB,5,MIA,82,71,330,4.6,3,0,72.1,73.7,85.6,41.4,233,3.28,12,27,11,16,54,0,0,330,2,43,13.0,18,0 (0),53.2,85.6,5,4,41,55,0.75,1
39,Jonathan Ward,# 29,HB,8,ARZ,19,9,33,3.7,0,0,83.2,73.2,74.4,72.4,19,2.11,0,7,0,7,1,0,0,33,0,0,0.0,3,0 (0),90.9,26.6,3,3,34,25,1.36,0
40,James Conner,# 06,HB,16,ARZ,273,206,771,3.7,16,2,81.9,73.0,69.4,73.9,576,2.80,40,35,16,125,66,0,0,771,7,148,19.2,56,0 (0),84.8,89.1,41,38,380,242,1.57,0
41,Godwin Igwebuike,# 35,HB,10,DET,19,18,118,6.6,1,2,66.6,72.8,26.7,60.0,76,4.22,4,42,3,9,9,0,0,118,1,42,35.6,7,0 (0),58.4,65.6,10,7,60,70,0.86,0
41,Latavius Murray,# 28,HB,14,BLT,172,119,501,4.2,6,0,65.5,72.8,89.3,68.7,381,3.20,12,46,9,58,60,0,0,501,4,111,22.2,37,2 (1),44.5,48.5,13,10,75,154,0.49,2
43,Boston Scott,# 35,HB,11,PHI,122,88,407,4.6,8,1,71.9,72.7,63.8,59.8,217,2.47,9,34,8,59,28,0,0,407,5,114,28.0,25,0 (0),62.5,52.4,16,14,84,87,0.97,1
44,Derrick Gore,# 40,HB,10,KC,67,54,259,4.8,2,0,76.0,72.2,83.8,59.1,178,3.30,4,51,5,29,25,0,0,259,2,74,28.6,12,0 (0),76.0,75.2,9,8,105,48,2.19,0
45,Ke'Shawn Vaughn,# 21,HB,7,TB,59,53,233,4.4,3,0,65.2,71.9,83.7,59.9,199,3.75,14,55,6,18,32,0,0,233,4,104,44.6,14,0 (0),34.2,79.3,9,6,35,71,0.49,2
46,Nyheim Miller-Hines,# 21,HB,17,IND,93,56,276,4.9,2,1,72.7,71.8,73.0,57.0,155,2.77,14,34,6,29,20,0,0,276,3,78,28.3,15,0 (0),74.3,47.1,53,40,310,204,1.52,2
47,Chase Edmonds,# 02,HB,13,ARZ,166,124,620,5.0,2,1,66.6,71.7,73.8,44.9,341,2.75,16,54,19,80,34,0,0,620,6,168,27.1,34,0 (0),60.1,51.7,52,43,311,269,1.16,1
48,Najee Harris,# 22,HB,18,PIT,366,319,"1,229",3.9,7,1,69.6,71.5,90.0,38.3,944,2.96,58,37,28,185,118,0,0,"1,229",9,202,16.4,62,1 (1),62.5,67.0,96,76,466,479,0.97,7
49,Miles Sanders,# 26,HB,13,PHI,191,144,770,5.3,0,1,70.2,71.4,75.2,63.0,414,2.88,21,38,21,88,54,0,0,770,11,264,34.3,34,1 (0),66.0,47.3,35,29,170,203,0.84,1
50,Trey Sermon,# 28,HB,5,SF,55,41,167,4.1,1,0,64.6,71.1,81.9,53.7,119,2.90,8,16,3,22,18,0,0,167,2,31,18.6,9,0 (0),44.0,39.6,4,3,26,41,0.63,1
51,Sony Michel,# 25,HB,21,LA,254,234,925,4.0,4,1,63.1,70.7,83.5,59.9,642,2.74,40,39,22,150,84,0,0,925,9,196,21.2,52,1 (0),42.7,66.1,35,24,120,304,0.39,2
52,Alex Collins,# 41,HB,11,SEA,120,108,411,3.8,2,1,66.0,70.6,67.1,42.8,265,2.45,16,25,9,88,19,0,0,411,2,46,11.2,22,1 (0),50.1,69.0,9,9,87,107,0.81,0
53,Alex Armah,# 40,FB,11,WAS,52,5,21,4.2,0,0,57.4,70.3,72.4,53.0,14,2.80,1,9,0,0,0,0,0,21,0,0,0.0,4,0 (0),51.9,74.8,1,1,1,17,0.06,0
53,Trayveon Williams,# 32,HB,2,CIN,20,15,51,3.4,0,0,68.4,70.3,75.7,60.0,39,2.60,5,10,1,8,7,0,0,51,0,0,0.0,4,0 (0),53.9,-,2,1,4,13,0.31,0
53,Elijhaa Penny,# 39,FB,17,NYG,79,24,99,4.1,1,0,64.4,70.3,79.5,56.2,80,3.33,5,12,2,10,10,0,0,99,0,0,0.0,9,3 (0),73.1,57.4,11,9,30,43,0.70,0
53,Corey Clement,# 32,HB,9,DAL,44,33,140,4.2,0,0,67.0,70.3,83.2,57.1,107,3.24,4,38,2,20,13,0,0,140,1,38,27.1,7,0 (0),50.5,83.7,7,6,29,24,1.21,1
57,D'Onta Foreman,# 07,HB,10,TEN,155,137,632,4.6,3,2,72.1,69.9,72.9,49.1,429,3.13,23,45,13,98,38,0,0,632,6,167,26.4,24,1 (1),76.6,60.7,10,9,123,66,1.86,1
58,Kenyan Drake,# 23,HB,12,LV,76,63,254,4.0,2,0,73.1,69.7,64.3,39.8,162,2.57,10,21,5,41,21,0,0,254,2,39,15.4,15,0 (0),82.0,51.4,36,30,291,170,1.71,1
58,Christian McCaffrey,# 22,HB,7,CAR,125,99,442,4.5,1,1,80.6,69.7,70.4,58.5,297,3.00,16,18,15,53,45,0,0,442,6,94,21.3,19,0 (0),92.8,56.8,40,37,343,118,2.91,0
60,Patrick Ricard,# 42,FB,13,BLT,314,2,4,2.0,0,0,73.9,69.6,71.5,87.1,3,1.50,0,2,0,0,0,0,0,4,0,0,0.0,2,1 (0),50.3,61.1,11,8,63,141,0.45,0
61,Giovani Bernard,# 25,HB,14,TB,24,21,102,4.9,1,1,65.1,69.4,47.5,60.0,69,3.29,2,24,2,1,18,0,0,102,2,41,40.2,5,0 (0),62.2,64.5,37,28,162,136,1.19,2
62,Kenneth Gainwell,# 14,HB,17,PHI,91,69,297,4.3,5,1,72.0,69.3,45.2,43.2,204,2.96,13,18,7,49,19,0,0,297,2,36,12.1,19,0 (0),75.9,75.8,50,38,302,197,1.53,5
63,Dontrell Hilliard,# 40,HB,8,TEN,69,56,350,6.3,2,2,59.9,69.2,32.9,58.1,193,3.45,12,68,11,31,20,0,0,350,6,171,48.9,15,0 (0),44.3,31.7,28,22,100,120,0.83,3
64,Matt Breida,# 22,HB,9,BUF,35,26,125,4.8,1,1,70.9,69.1,29.5,59.9,67,2.58,2,28,3,7,16,0,0,125,2,43,34.4,5,0 (0),77.2,22.3,7,7,72,40,1.80,0
