RANK,PLAYER,#,POS,#G,TEAM,SNP,ATT,YDS,YPA,TD,FUM,OFF,RUN,FUM,RBLK,YCO,YCO/A,MTF,LNG,10+,ZONE,GAP,SCR,SYDS,DYDS,D15+,BAY,BAY%,1ST,PEN,RECV,PBLK,TGT,REC,YDS,RSNP,Y/RR,DRP
151,Adrian Peterson,# 28,HB,3,MIN,38,37,72,1.9,0,1,45.5,47.1,34.5,60.0,57,1.54,3,13,1,11,26,0,0,72,0,0,0.0,3,0 (0),39.7,84.7,4,3,8,38,0.21,1
152,C.J. Spiller,# 26,HB,6,NYJ,11,6,18,3.0,0,1,34.0,46.6,77.1,59.7,5,0.83,0,13,1,5,0,0,0,18,0,0,0.0,2,0 (0),27.6,82.4,12,6,50,39,1.28,5
152,Jonathan Williams,# 31,HB,11,BUF,35,27,94,3.5,1,2,46.5,46.6,21.3,60.0,50,1.85,5,20,1,11,15,0,0,94,1,20,21.3,6,0 (0),50.2,64.6,2,1,0,35,0.00,0
154,Mike Davis,# 22,HB,6,SF,23,19,50,2.6,1,1,41.6,46.1,27.1,60.0,31,1.63,0,8,0,13,6,0,0,50,0,0,0.0,4,0 (0),29.7,83.3,5,3,25,34,0.74,2
155,Knile Davis,# 34,HB,9,KC,24,18,28,1.6,0,0,45.7,46.0,80.7,59.4,26,1.44,1,6,0,9,8,0,0,28,0,0,0.0,0,0 (0),53.4,28.3,7,5,25,27,0.93,1
156,Antone Smith,# 36,HB,3,TB,11,10,47,4.7,0,2,48.1,45.3,15.9,-,22,2.20,2,8,0,4,5,0,0,47,0,0,0.0,1,0 (0),51.2,75.6,9,6,77,35,2.20,1
157,Josh Ferguson,# 34,HB,12,IND,23,15,20,1.3,0,0,49.2,44.5,79.9,60.0,22,1.47,2,11,1,6,8,0,0,20,0,0,0.0,0,0 (0),55.0,22.2,25,20,136,93,1.46,3
158,Kenneth Farrow,# 27,HB,11,SD,69,60,192,3.2,0,2,42.8,43.5,29.0,60.0,124,2.07,2,11,2,20,37,0,0,192,0,0,0.0,10,0 (0),41.9,64.5,15,13,70,91,0.77,1
159,Reggie Bush,# 22,HB,13,BUF,41,12,-3,-0.3,1,1,66.6,36.9,29.0,71.7,14,1.17,3,5,0,7,4,0,0,-3,0,0,0.0,2,0 (0),90.7,83.2,10,7,90,43,2.09,0
160,Malcolm Brown,# 39,HB,9,LA,24,18,39,2.2,0,1,49.1,35.6,25.7,58.1,43,2.39,1,10,1,10,6,0,0,39,0,0,0.0,1,0 (0),83.9,90.2,3,3,46,25,1.84,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
