RANK,PLAYER,#,POS,#G,TEAM,SNP,ATT,YDS,YPA,TD,FUM,OFF,RUN,FUM,RBLK,YCO,YCO/A,MTF,LNG,10+,ZONE,GAP,SCR,SYDS,DYDS,D15+,BAY,BAY%,1ST,PEN,RECV,PBLK,TGT,REC,YDS,RSNP,Y/RR,DRP
1,Nick Chubb,# 24,HB,16,CLV,330,298,"1,494",5.0,8,3,88.7,90.3,68.7,60.3,"1,122",3.77,66,88,39,150,135,0,0,"1,494",20,574,38.4,62,1 (0),56.5,77.8,45,36,278,293,0.95,3
2,Justin Jackson,# 22,HB,7,LAC,37,29,200,6.9,0,0,84.4,89.5,81.7,60.4,121,4.17,8,40,7,12,16,0,0,200,3,87,43.5,9,0 (0),74.4,25.7,10,9,22,44,0.50,0
3,Josh Jacobs,# 28,HB,13,OAK,269,242,"1,150",4.8,7,1,87.1,86.9,83.9,59.2,842,3.48,69,51,25,171,70,0,0,"1,150",16,371,32.3,53,0 (0),55.4,73.6,26,20,166,147,1.13,3
4,Tony Pollard,# 20,HB,15,DAL,103,86,455,5.3,2,1,82.9,84.1,67.8,73.2,388,4.51,23,44,12,52,32,0,0,455,5,146,32.1,21,1 (1),72.1,19.4,20,15,107,81,1.32,1
5,Raheem Mostert,# 31,HB,18,SF,223,190,"1,108",5.8,13,1,82.9,83.3,78.9,74.2,707,3.72,46,41,33,110,75,0,0,"1,108",19,418,37.7,48,0 (0),61.0,60.9,24,17,188,180,1.04,2
6,Ezekiel Elliott,# 21,HB,16,DAL,346,301,"1,357",4.5,12,3,77.0,82.8,69.9,71.2,972,3.23,48,33,38,188,109,0,0,"1,357",12,251,18.5,77,3 (0),56.2,50.8,68,54,419,465,0.90,6
7,Duke Johnson Jr.,# 25,HB,18,HST,107,87,459,5.3,2,1,75.9,82.3,69.4,75.9,332,3.82,26,40,14,67,17,0,0,459,8,185,40.3,20,1 (0),71.2,54.3,72,52,463,403,1.15,1
8,Jordan Wilkins,# 20,HB,13,IND,64,51,307,6.0,2,0,69.8,81.7,83.7,69.3,183,3.59,12,55,9,22,28,0,0,307,4,123,40.1,12,0 (0),40.4,28.4,11,7,43,85,0.51,2
9,Tyler Ervin,# 32,HB,7,GB,16,3,35,11.7,0,0,64.0,80.8,86.9,61.0,22,7.33,2,18,2,1,0,0,0,35,1,18,51.4,2,0 (0),52.7,74.4,5,3,18,28,0.64,0
10,Derrick Henry,# 22,HB,18,TEN,430,386,"1,985",5.1,18,5,79.2,79.9,58.1,59.9,"1,605",4.16,71,74,52,289,95,0,0,"1,985",23,665,33.5,94,3 (0),50.6,65.0,28,23,227,226,1.00,3
11,Chris Carson,# 32,HB,15,SEA,320,278,"1,230",4.4,7,7,77.9,79.8,29.3,60.1,"1,008",3.63,62,59,32,190,83,0,0,"1,230",14,317,25.8,74,0 (0),61.6,52.6,44,37,266,307,0.87,3
11,Dalvin Cook,# 33,HB,16,MIN,322,287,"1,247",4.3,15,5,76.1,79.8,50.0,58.6,852,2.97,44,75,28,203,67,0,0,"1,247",14,355,28.5,67,1 (0),59.7,37.3,73,62,563,317,1.78,8
13,Aaron Jones,# 33,HB,18,GB,295,268,"1,196",4.5,19,2,84.6,79.6,77.1,57.0,819,3.06,48,56,27,204,64,0,0,"1,196",14,318,26.6,63,0 (0),84.3,67.5,74,56,511,351,1.46,4
14,Jonathan Williams,# 33,HB,6,IND,55,49,235,4.8,1,0,87.3,79.2,82.9,71.0,203,4.14,15,48,7,27,22,0,0,235,3,81,34.5,13,2 (1),91.6,19.8,5,5,59,34,1.74,0
15,Todd Gurley II,# 30,HB,15,LA,258,223,857,3.8,12,3,67.0,79.1,47.0,45.5,620,2.78,43,25,21,123,100,0,0,857,8,157,18.3,51,0 (0),34.8,70.6,45,31,207,391,0.53,6
16,Phillip Lindsay,# 30,HB,16,DEN,263,224,"1,011",4.5,7,0,71.3,78.9,91.1,53.2,606,2.71,43,40,22,128,91,0,0,"1,011",11,271,26.8,39,2 (2),50.7,19.5,46,35,196,211,0.93,6
17,Mike Boone,# 23,HB,7,MIN,59,49,273,5.6,3,0,78.1,78.5,83.0,60.0,163,3.33,7,59,5,33,15,0,0,273,3,124,45.4,9,0 (0),43.6,79.8,4,3,17,20,0.85,1
18,Mark Walton,# 22,HB,7,MIA,57,53,201,3.8,0,1,67.5,77.6,53.0,60.0,163,3.08,8,19,6,12,39,0,0,201,1,19,9.5,11,0 (0),48.4,32.8,19,15,89,105,0.85,0
19,Carlos Hyde,# 23,HB,18,HST,322,274,"1,162",4.2,6,4,74.2,77.2,53.3,67.0,750,2.74,46,58,23,199,69,0,0,"1,162",9,289,24.9,58,0 (0),49.0,56.5,19,14,65,244,0.27,1
20,Gus Edwards,# 35,HB,17,BLT,219,136,731,5.4,2,2,69.4,76.6,54.3,43.4,457,3.36,23,63,21,21,114,0,0,731,8,228,31.2,47,2 (0),51.5,63.6,7,7,45,134,0.34,0
20,Devin Singletary,# 26,HB,13,BUF,212,164,833,5.1,2,4,69.3,76.6,28.3,65.7,500,3.05,42,38,26,68,84,0,0,833,15,300,36.0,39,2 (0),55.8,52.7,46,35,270,304,0.89,5
22,Chase Edmonds,# 29,HB,10,ARZ,77,60,303,5.1,4,0,69.7,76.3,84.7,57.4,177,2.95,8,37,9,33,17,0,0,303,5,114,37.6,12,0 (0),54.1,74.5,19,12,105,101,1.04,5
23,Saquon Barkley,# 26,HB,13,NYG,242,217,"1,003",4.6,6,1,72.2,76.1,83.4,58.4,700,3.23,42,68,27,121,86,0,0,"1,003",9,331,33.0,45,1 (1),57.2,63.4,69,52,438,377,1.16,3
24,Derrius Guice,# 29,HB,5,WAS,45,42,245,5.8,2,0,76.0,75.6,82.3,60.0,213,5.07,10,60,4,18,22,0,0,245,3,120,49.0,9,0 (0),61.9,83.0,9,7,79,39,2.03,1
