RANK,PLAYER,#,POS,#G,TEAM,SNP,ATT,YDS,YPA,TD,FUM,OFF,RUN,FUM,RBLK,YCO,YCO/A,MTF,LNG,10+,ZONE,GAP,SCR,SYDS,DYDS,D15+,BAY,BAY%,1ST,PEN,RECV,PBLK,TGT,REC,YDS,RSNP,Y/RR,DRP
1,Marshawn Lynch,# 24,HB,19,SEA,413,366,"1,550",4.2,16,4,90.7,90.6,65.5,60.7,956,2.61,97,43,43,0,52,0,0,"1,550",18,418,27.0,82,1 (0),62.5,82.0,46,37,319,315,1.01,1
2,Mike James,# 25,HB,7,TB,68,60,295,4.9,0,0,87.6,89.7,85.1,66.7,186,3.10,7,24,8,0,16,0,0,295,5,95,32.2,14,1 (0),55.1,81.4,11,10,43,55,0.78,1
3,Mark Ingram II,# 22,HB,13,NO,124,106,532,5.0,2,1,82.8,88.7,67.3,58.0,267,2.52,31,34,16,0,18,0,0,532,9,194,36.5,28,2 (0),42.1,64.1,15,10,85,80,1.06,3
4,Andre Ellington,# 38,HB,15,ARZ,148,118,652,5.5,3,1,84.2,88.4,73.4,68.4,372,3.15,20,80,24,0,26,0,0,652,12,312,47.9,27,0 (0),68.8,81.3,57,39,371,220,1.69,6
5,LeSean McCoy,# 25,HB,17,PHI,396,335,"1,684",5.0,10,1,87.0,87.1,90.6,57.2,783,2.34,58,57,48,0,82,0,0,"1,684",26,585,34.7,86,2 (1),76.8,45.3,64,56,554,428,1.29,3
6,Jamaal Charles,# 25,HB,16,KC,310,263,"1,297",4.9,12,4,84.9,85.9,57.9,64.1,588,2.24,41,46,37,0,75,0,0,"1,297",20,435,33.5,74,3 (1),70.0,77.6,95,70,693,396,1.75,10
6,Eddie Lacy,# 27,HB,16,GB,331,305,"1,259",4.1,11,2,88.9,85.9,88.3,64.6,693,2.27,62,60,29,0,73,0,0,"1,259",9,255,20.3,68,0 (0),62.5,88.4,44,37,264,252,1.05,3
8,Antone Smith,# 35,HB,6,ATL,7,5,145,29.0,2,0,68.5,85.2,70.9,58.9,12,2.40,3,50,4,0,2,0,0,145,3,126,86.9,4,0 (0),43.2,61.8,3,2,10,14,0.71,1
9,Mike Goodson,# 23,HB,2,NYJ,13,7,61,8.7,0,0,80.9,82.4,72.3,60.6,41,5.86,3,26,2,0,4,0,0,61,2,44,72.1,2,0 (0),69.9,38.5,3,2,19,12,1.58,0
10,Jonathan Dwyer,# 27,HB,15,PIT,56,49,197,4.0,0,0,81.3,81.3,90.2,67.4,102,2.08,3,30,5,0,12,0,0,197,3,72,36.5,16,0 (0),63.6,82.4,10,8,64,59,1.08,1
