RANK,PLAYER,#,POS,#G,TEAM,SNP,ATT,YDS,YPA,TD,FUM,OFF,RUN,FUM,RBLK,YCO,YCO/A,MTF,LNG,10+,ZONE,GAP,SCR,SYDS,DYDS,D15+,BAY,BAY%,1ST,PEN,RECV,PBLK,TGT,REC,YDS,RSNP,Y/RR,DRP
1,Corey Grant,# 30,HB,13,JAX,47,32,253,7.9,2,0,92.0,87.5,52.7,61.3,150,4.69,7,58,7,22,7,0,0,253,3,134,53.0,10,0 (0),92.5,69.0,7,6,100,15,6.67,0
2,Alex Collins,# 34,HB,15,BLT,242,212,973,4.6,6,4,83.4,86.9,43.9,59.8,631,2.98,34,50,27,98,103,0,0,973,16,353,36.3,51,1 (0),38.8,39.4,32,23,187,108,1.73,4
3,Alvin Kamara,# 41,HB,18,NO,172,141,794,5.6,9,1,90.4,85.3,81.4,60.1,504,3.57,30,74,28,71,55,0,0,794,13,302,38.0,43,0 (0),91.3,59.6,106,86,898,343,2.62,6
4,Aaron Jones,# 33,HB,10,GB,87,81,448,5.5,4,0,78.8,84.6,86.4,59.6,233,2.88,13,46,12,48,32,0,0,448,8,182,40.6,20,0 (0),58.6,46.3,13,9,22,109,0.20,0
5,Dion Lewis,# 33,HB,19,NE,240,213,"1,031",4.8,6,1,85.6,83.3,85.8,57.6,635,2.98,45,44,27,67,138,0,0,"1,031",12,274,26.6,53,0 (0),73.2,84.3,51,48,325,206,1.58,0
6,Kenyan Drake,# 32,HB,15,MIA,153,133,644,4.8,3,2,74.4,80.9,60.4,60.0,571,4.29,29,66,16,64,69,0,0,644,9,307,47.7,24,2 (1),53.7,78.4,43,32,239,264,0.91,5
7,Kareem Hunt,# 27,HB,17,KC,326,283,"1,369",4.8,9,1,82.1,80.4,87.8,67.8,861,3.04,61,69,36,163,113,0,0,"1,369",20,537,39.2,62,1 (0),76.8,45.7,65,56,460,328,1.40,3
8,Chris Carson,# 32,HB,4,SEA,58,49,208,4.2,0,0,73.1,77.7,83.2,60.0,128,2.61,11,30,6,43,6,0,0,208,2,46,22.1,11,0 (0),58.9,44.9,7,7,59,71,0.83,0
9,C.J. Anderson,# 22,HB,16,DEN,268,245,"1,007",4.1,3,1,78.2,77.5,84.7,60.0,680,2.78,37,40,21,124,110,0,0,"1,007",9,220,21.8,47,1 (0),57.4,88.0,35,28,224,241,0.93,3
10,Dalvin Cook,# 33,HB,4,MIN,85,74,354,4.8,2,1,69.9,76.6,67.9,60.0,196,2.65,14,33,8,44,30,0,0,354,4,116,32.8,15,0 (0),36.6,64.7,15,11,90,57,1.58,3
11,Marshawn Lynch,# 24,HB,15,OAK,225,207,891,4.3,7,1,74.6,76.4,81.4,60.0,639,3.09,42,51,21,113,86,0,0,891,12,264,29.6,44,1 (0),49.5,91.5,29,20,151,182,0.83,3
11,Todd Gurley II,# 30,HB,16,LA,334,293,"1,406",4.8,13,5,82.6,76.4,54.5,75.8,833,2.84,41,57,42,189,99,0,0,"1,406",17,436,31.0,69,0 (0),87.8,71.0,85,68,798,408,1.96,5
13,Derrick Henry,# 22,HB,18,TEN,261,211,928,4.4,6,2,73.0,76.1,69.1,57.1,669,3.17,39,75,24,71,135,0,0,928,10,325,35.0,44,0 (0),43.1,76.5,20,16,192,193,0.99,3
14,Joe Mixon,# 28,HB,14,CIN,203,178,626,3.5,4,3,72.1,74.5,50.9,73.8,433,2.43,19,25,17,96,75,0,0,626,6,113,18.1,35,0 (0),52.2,48.5,34,30,287,157,1.83,2
15,Wayne Gallman,# 22,HB,13,NYG,119,111,476,4.3,0,3,70.0,74.4,35.2,60.0,300,2.70,22,24,10,49,59,0,0,476,3,60,12.6,19,2 (0),54.3,85.7,42,34,193,165,1.17,4
16,Zach Line,# 42,FB,14,NO,120,8,29,3.6,1,0,69.4,73.9,73.2,71.1,14,1.75,0,9,0,0,0,0,0,29,0,0,0.0,6,1 (0),40.1,83.2,5,3,15,44,0.34,1
16,Jerick McKinnon,# 21,HB,18,MIN,187,168,644,3.8,4,2,79.6,73.9,57.8,80.4,449,2.67,33,58,14,94,59,0,0,644,5,128,19.9,29,0 (0),83.6,79.0,77,65,513,345,1.49,3
18,Marlon Mack,# 25,HB,14,IND,103,93,358,3.8,3,1,68.0,72.8,67.8,59.6,288,3.10,14,35,12,72,18,0,0,358,7,164,45.8,21,0 (0),53.8,57.7,30,21,225,161,1.40,4
19,James Conner,# 30,HB,13,PIT,49,32,144,4.5,0,0,70.7,72.5,80.3,60.0,70,2.19,2,23,6,14,17,0,0,144,1,23,16.0,4,0 (0),50.7,15.7,0,0,0,18,0.00,0
19,Ezekiel Elliott,# 21,HB,10,DAL,261,242,983,4.1,7,1,69.5,72.5,83.8,59.7,680,2.81,30,30,21,143,93,0,0,983,8,172,17.5,56,0 (0),54.6,47.6,33,26,269,267,1.01,1
21,Devonta Freeman,# 24,HB,16,ATL,249,224,938,4.2,8,4,68.9,71.9,49.2,59.7,583,2.60,39,44,24,167,52,0,0,938,13,277,29.5,51,4 (0),60.5,67.5,48,42,346,303,1.14,5
21,Jay Ajayi,# 36,HB,17,PHI,264,250,"1,057",4.2,1,4,66.9,71.9,50.7,60.0,783,3.13,53,71,28,153,91,0,0,"1,057",14,355,33.6,46,1 (0),45.3,52.3,40,30,228,271,0.84,6
23,Matt Breida,# 22,HB,16,SF,117,105,465,4.4,2,1,63.9,71.5,70.1,59.7,220,2.10,14,33,17,75,24,0,0,465,3,78,16.8,22,2 (0),51.0,28.9,34,21,180,159,1.13,6
23,Melvin Gordon III,# 28,HB,16,LAC,323,284,"1,105",3.9,8,1,72.2,71.5,87.6,59.5,722,2.54,48,87,34,109,154,0,0,"1,105",13,313,28.3,57,2 (0),71.7,56.3,73,58,476,320,1.49,5
25,Senorise Perry,# 34,HB,3,MIA,9,8,30,3.8,0,0,63.0,71.3,78.2,60.0,21,2.63,0,12,1,5,3,0,0,30,0,0,0.0,2,0 (0),56.5,15.6,1,1,3,11,0.27,0
26,Corey Clement,# 30,HB,18,PHI,107,80,354,4.4,4,0,74.1,71.2,87.3,70.3,243,3.04,9,28,11,38,35,0,0,354,4,82,23.2,22,0 (0),71.5,80.9,24,20,262,163,1.61,1
27,Mike Gillislee,# 35,HB,9,NE,120,104,383,3.7,5,1,71.5,70.7,66.5,60.0,253,2.43,10,16,5,54,50,0,0,383,1,16,4.2,25,0 (0),54.9,58.2,1,1,15,38,0.39,0
