RANK,PLAYER,#,POS,#G,TEAM,SNP,ATT,YDS,YPA,TD,FUM,OFF,RUN,FUM,RBLK,YCO,YCO/A,MTF,LNG,10+,ZONE,GAP,SCR,SYDS,DYDS,D15+,BAY,BAY%,1ST,PEN,RECV,PBLK,TGT,REC,YDS,RSNP,Y/RR,DRP
1,Josh Jacobs,# 28,HB,17,LV,374,340,"1,653",4.9,12,3,91.6,91.9,73.8,67.3,"1,156",3.40,90,86,41,93,201,1,1,"1,652",15,386,23.4,94,0 (0),64.8,56.3,61,53,400,341,1.17,3
2,Jordan Mason,# 24,HB,11,SF,71,45,270,6.0,1,0,92.9,91.0,82.2,58.8,190,4.22,10,55,7,27,17,0,0,270,3,92,34.1,11,0 (0),52.9,75.4,0,0,0,11,0.00,0
3,Aaron Jones,# 33,HB,17,GB,259,213,"1,121",5.3,2,5,86.1,90.7,37.4,60.2,677,3.18,53,36,31,139,71,0,0,"1,121",12,280,25.0,52,0 (0),64.6,50.6,72,59,395,316,1.25,6
3,Nick Chubb,# 24,HB,17,CLV,336,302,"1,525",5.0,12,1,90.3,90.7,87.7,55.7,"1,050",3.48,83,41,47,126,160,0,0,"1,525",23,527,34.6,69,0 (0),58.5,61.8,33,27,239,254,0.94,1
5,Ty Johnson,# 25,HB,11,NYJ,40,30,160,5.3,1,0,71.2,90.2,81.9,54.4,121,4.03,12,32,6,16,12,0,0,160,3,70,43.8,5,0 (0),43.3,55.3,21,12,88,99,0.89,2
6,Tony Pollard,# 20,HB,18,DAL,279,214,"1,106",5.2,9,0,90.2,90.0,91.0,58.4,805,3.76,51,57,35,100,103,0,0,"1,106",19,476,43.0,49,0 (0),76.0,74.9,56,44,394,271,1.45,1
7,Tyler Allgeier,# 25,HB,16,ATL,251,210,"1,035",4.9,3,0,86.7,88.0,90.8,51.9,752,3.58,51,44,21,170,39,0,0,"1,035",13,316,30.5,53,0 (0),61.6,56.7,17,16,139,177,0.79,0
8,Marlon Mack,# 37,HB,5,DEN,19,16,84,5.3,1,0,86.2,86.8,77.9,60.0,67,4.19,2,17,1,11,5,0,0,84,1,17,20.2,4,0 (0),78.4,83.9,9,8,99,34,2.91,0
9,Derrick Henry,# 22,HB,16,TEN,383,349,"1,534",4.4,13,6,85.9,86.7,46.9,79.7,"1,257",3.60,69,56,37,197,147,0,0,"1,534",15,424,27.6,67,1 (0),46.8,66.9,39,33,398,191,2.08,4
10,AJ Dillon,# 28,HB,17,GB,222,186,771,4.1,7,1,80.1,86.3,79.6,70.0,536,2.88,23,27,15,111,72,0,0,771,6,120,15.6,47,0 (0),50.6,70.3,39,28,206,252,0.82,5
11,Caleb Huntley,# 42,HB,12,ATL,85,76,366,4.8,1,1,86.9,86.0,57.3,58.3,260,3.42,14,30,8,52,24,0,0,366,4,83,22.7,18,0 (0),53.4,39.9,2,2,3,29,0.10,0
11,Latavius Murray,# 28,HB,13,DEN,200,171,745,4.4,6,1,82.5,86.0,90.5,55.0,434,2.54,24,52,16,105,63,0,0,745,7,189,25.4,44,1 (0),65.6,43.6,31,27,132,191,0.69,0
13,Devin Singletary,# 26,HB,18,BUF,256,193,892,4.6,5,3,78.6,85.1,55.3,65.3,564,2.92,36,33,22,69,117,0,0,892,13,268,30.0,48,0 (0),58.5,73.2,53,43,317,419,0.76,4
14,Saquon Barkley,# 26,HB,18,NYG,404,313,"1,426",4.6,12,1,80.3,84.9,89.5,56.2,862,2.75,41,68,35,134,170,0,0,"1,426",21,532,37.3,66,0 (0),58.3,71.1,82,64,415,443,0.94,6
15,Dameon Pierce,# 31,HB,13,HST,246,220,939,4.3,4,4,78.9,84.8,46.0,46.2,722,3.28,62,75,22,108,107,0,0,939,9,278,29.6,54,1 (1),55.4,32.3,36,30,165,192,0.86,4
15,Kenneth Walker III,# 09,HB,16,SEA,277,243,"1,113",4.6,10,0,76.9,84.8,91.1,33.8,748,3.08,50,74,29,159,70,0,0,"1,113",17,481,43.2,55,1 (0),54.6,29.5,35,28,168,268,0.63,1
17,Rhamondre Stevenson,# 38,HB,17,NE,251,210,"1,041",5.0,5,4,81.3,84.3,50.3,49.0,801,3.81,40,49,30,82,107,0,0,"1,041",16,376,36.1,49,0 (0),68.0,64.8,87,69,421,339,1.24,5
18,Alexander Mattison,# 02,HB,18,MIN,86,74,283,3.8,5,0,71.5,84.2,86.1,60.0,204,2.76,23,15,9,48,24,0,0,283,1,15,5.3,21,0 (0),43.4,61.4,19,16,93,160,0.58,2
19,Pierre Strong Jr.,# 35,HB,8,NE,23,10,100,10.0,1,0,80.5,83.8,77.5,61.3,27,2.70,3,44,3,3,6,0,0,100,2,63,63.0,5,0 (0),67.4,76.5,7,7,42,22,1.91,0
20,Cordarrelle Patterson,# 84,HB,13,ATL,177,144,695,4.8,8,1,81.0,83.5,76.5,51.0,438,3.04,23,40,18,114,29,0,0,695,10,205,29.5,40,0 (0),65.6,59.5,31,21,122,170,0.72,1
21,D'Andre Swift,# 32,HB,14,DET,122,99,542,5.5,5,1,78.1,83.2,71.7,58.8,307,3.10,24,50,13,34,58,0,0,542,8,218,40.2,21,0 (0),66.0,73.9,63,48,389,236,1.65,4
21,Travis Etienne Jr.,# 01,HB,19,JAX,292,250,"1,296",5.2,6,5,76.9,83.2,52.6,56.1,780,3.12,64,62,30,121,117,0,0,"1,296",18,495,38.2,61,0 (0),56.7,45.6,47,39,346,369,0.94,3
23,Austin Ekeler,# 30,HB,18,LAC,244,217,950,4.4,15,5,79.9,82.6,48.5,59.6,633,2.92,44,72,23,114,89,0,0,950,7,233,24.5,47,1 (1),79.8,29.5,126,109,730,463,1.58,5
24,Christian McCaffrey,# 23,HB,20,SF,360,284,"1,377",4.8,10,1,90.4,82.1,89.4,55.6,878,3.09,48,68,33,169,110,0,0,"1,377",16,447,32.5,73,0 (0),92.4,51.8,116,97,802,479,1.67,3
