RANK,PLAYER,#,POS,#G,TEAM,SNP,ATT,YDS,YPA,TD,FUM,OFF,RUN,FUM,RBLK,YCO,YCO/A,MTF,LNG,10+,ZONE,GAP,SCR,SYDS,DYDS,D15+,BAY,BAY%,1ST,PEN,RECV,PBLK,TGT,REC,YDS,RSNP,Y/RR,DRP
1,Adrian Peterson,# 28,HB,17,MIN,396,370,"2,196",5.9,12,4,92.4,92.5,68.7,81.3,"1,438",3.89,68,82,64,0,0,0,0,"2,196",41,"1,202",54.7,92,0 (0),54.3,66.9,51,41,225,308,0.73,4
2,C.J. Spiller,# 28,HB,16,BUF,238,207,"1,244",6.0,6,3,91.7,92.1,58.1,72.4,742,3.58,53,62,32,0,0,0,0,"1,244",16,496,39.9,53,0 (0),74.9,59.0,55,43,459,241,1.90,1
3,Alfred Morris,# 46,HB,17,WAS,454,351,"1,693",4.8,13,4,91.0,90.4,62.5,62.7,"1,034",2.95,60,39,56,0,0,0,0,"1,693",25,526,31.1,88,2 (0),49.4,82.3,15,11,77,202,0.38,1
4,Brandon Jackson,# 29,HB,2,CLV,8,8,54,6.8,0,0,81.8,89.4,72.9,-,33,4.13,4,25,2,0,0,0,0,54,1,25,46.3,2,0 (0),66.7,23.3,3,2,20,19,1.05,0
5,Bernard Pierce,# 30,HB,20,BLT,171,147,734,5.0,1,0,88.3,88.5,90.2,59.1,497,3.38,33,78,22,0,0,0,0,734,9,249,33.9,32,1 (0),61.2,58.1,11,8,55,86,0.64,1
6,Chris Ivory,# 29,HB,6,NO,45,40,217,5.4,2,0,90.3,88.4,81.6,59.3,189,4.73,12,56,4,0,0,0,0,217,3,103,47.5,7,0 (0),63.3,73.2,3,2,15,19,0.79,0
7,Justin Forsett,# 28,HB,12,HST,71,63,374,5.9,1,0,90.5,87.2,84.4,57.3,259,4.11,11,81,10,0,0,0,0,374,4,153,40.9,14,1 (0),80.5,63.5,4,3,38,35,1.09,0
8,Marshawn Lynch,# 24,HB,18,SEA,406,351,"1,768",5.0,13,7,84.4,85.1,36.3,62.6,"1,007",2.87,65,77,44,0,0,0,0,"1,768",26,609,34.4,80,1 (0),51.0,69.5,32,27,242,246,0.98,3
9,Delone Carter,# 34,HB,8,IND,33,32,122,3.8,3,1,72.6,82.6,29.6,60.0,83,2.59,4,20,1,0,0,0,0,122,1,20,16.4,11,0 (0),25.9,59.5,2,1,13,17,0.76,1
10,Mike Goodson,# 25,HB,11,OAK,38,35,221,6.3,0,0,83.5,82.2,82.2,60.0,171,4.89,8,43,6,0,0,0,0,221,3,107,48.4,6,1 (1),89.2,62.3,16,16,195,75,2.60,0
11,Kendall Hunter,# 32,HB,11,SF,92,72,371,5.2,2,0,81.8,81.6,86.0,66.9,203,2.82,11,26,11,0,0,0,0,371,3,62,16.7,18,0 (0),66.5,57.5,12,9,60,54,1.11,0
12,Arian Foster,# 23,HB,18,HST,434,405,"1,654",4.1,17,3,75.4,79.1,80.2,56.3,888,2.19,33,46,45,0,0,0,0,"1,654",21,456,27.6,90,0 (0),52.5,57.5,69,55,314,429,0.73,6
13,Doug Martin,# 22,HB,16,TB,352,319,"1,454",4.6,11,1,79.1,79.0,89.5,57.5,"1,005",3.15,53,70,38,0,0,0,0,"1,454",15,481,33.1,58,3 (0),69.8,61.6,62,49,472,334,1.41,7
14,Pierre Thomas,# 23,HB,15,NO,114,105,473,4.5,1,0,82.5,78.5,89.5,58.3,292,2.78,19,48,8,0,0,0,0,473,3,90,19.0,16,0 (0),89.5,69.6,45,39,354,220,1.61,0
15,Ben Tate,# 44,HB,12,HST,76,67,280,4.2,2,1,80.1,78.4,57.3,59.2,173,2.58,8,25,7,0,0,0,0,280,2,48,17.1,17,0 (0),71.2,67.7,11,11,49,50,0.98,0
16,Frank Gore,# 21,HB,19,SF,383,321,"1,533",4.8,12,2,78.2,78.2,79.4,67.9,815,2.54,35,37,49,0,0,0,0,"1,533",19,410,26.7,82,2 (0),54.6,72.8,36,30,282,321,0.88,4
17,Mark Ingram II,# 28,HB,16,NO,167,156,602,3.9,5,0,77.6,78.1,90.2,56.9,431,2.76,23,31,10,0,0,0,0,602,7,159,26.4,28,1 (0),61.4,38.8,10,6,29,71,0.41,0
18,Dion Lewis,# 28,HB,7,PHI,14,13,69,5.3,1,0,75.2,78.0,75.5,-,38,2.92,3,17,3,0,0,0,0,69,1,17,24.6,5,0 (0),58.2,81.7,2,2,24,30,0.80,0
19,Bernard Scott,# 28,HB,2,CIN,9,8,35,4.4,0,0,77.8,77.7,72.1,60.0,36,4.50,4,29,1,0,0,0,0,35,1,29,82.9,2,0 (0),54.2,76.2,0,0,0,7,0.00,0
20,Andre Brown,# 35,HB,8,NYG,80,73,385,5.3,8,0,74.2,77.6,86.1,59.5,245,3.36,8,31,11,0,0,0,0,385,7,151,39.2,25,1 (0),51.6,74.8,14,12,86,97,0.89,1
21,Jamaal Charles,# 25,HB,16,KC,305,285,"1,509",5.3,5,5,77.5,77.0,46.2,61.0,634,2.22,18,91,39,0,0,0,0,"1,509",19,638,42.3,62,1 (0),58.0,80.2,43,35,236,204,1.16,4
22,Steven Jackson,# 39,HB,16,SL,284,258,"1,045",4.1,4,0,75.2,76.9,91.3,56.4,693,2.69,22,46,27,0,0,0,0,"1,045",10,213,20.4,47,1 (0),57.9,77.0,49,38,321,323,0.99,4
23,Marcel Reece,# 45,FB,16,OAK,209,59,271,4.6,0,2,80.5,75.9,64.2,89.8,200,3.39,12,17,7,0,0,0,0,271,2,32,11.8,16,3 (0),74.6,77.8,71,52,496,375,1.32,3
23,LaRod Stephens-Howling,# 36,HB,14,ARZ,119,110,356,3.2,4,0,69.5,75.9,89.0,45.7,257,2.34,24,52,9,0,0,0,0,356,4,135,37.9,15,0 (0),48.4,68.2,28,17,106,155,0.68,2
25,Darrel Young,# 36,FB,17,WAS,233,15,63,4.2,0,0,74.7,75.8,77.3,70.0,28,1.87,1,16,2,0,0,0,0,63,1,16,25.4,7,1 (0),54.8,79.9,10,8,109,69,1.58,1
26,Montell Owens,# 24,HB,10,JAX,61,42,209,5.0,1,0,75.2,75.6,82.7,80.6,91,2.17,5,32,7,0,0,0,0,209,2,47,22.5,10,0 (0),62.6,72.3,10,8,113,111,1.02,1
27,LeSean McCoy,# 25,HB,12,PHI,241,200,840,4.2,2,4,77.9,75.5,47.1,65.3,504,2.52,39,34,24,0,0,0,0,840,9,210,25.0,46,2 (1),76.4,68.3,63,54,367,280,1.31,3
28,Stevan Ridley,# 22,HB,18,NE,351,323,"1,415",4.4,13,5,70.3,75.1,51.8,65.7,791,2.45,30,41,35,0,0,0,0,"1,415",17,339,24.0,91,3 (1),38.4,68.1,13,7,64,199,0.32,2
29,Trent Richardson,# 33,HB,15,CLV,302,267,950,3.6,11,3,73.0,75.0,69.8,57.1,558,2.09,39,32,14,0,0,0,0,950,6,122,12.8,36,2 (0),62.7,54.2,61,51,367,317,1.16,5
30,Ahmad Bradshaw,# 44,HB,14,NYG,231,221,"1,015",4.6,6,3,79.9,74.9,57.6,58.5,550,2.49,18,37,35,0,0,0,0,"1,015",8,183,18.0,58,2 (0),68.2,82.8,26,23,245,185,1.32,0
31,Brandon Bolden,# 38,HB,8,NE,63,56,274,4.9,2,0,74.4,74.6,83.7,58.1,162,2.89,10,27,12,0,0,0,0,274,4,95,34.7,18,0 (0),61.4,31.9,2,2,11,28,0.39,0
32,Cyrus Gray,# 32,HB,4,KC,10,7,44,6.3,0,0,59.9,74.5,73.4,60.0,13,1.86,0,15,2,0,0,0,0,44,1,15,34.1,3,0 (0),33.6,17.0,3,2,18,14,1.29,1
33,Michael Robinson,# 26,FB,18,SEA,259,13,22,1.7,0,0,69.1,74.4,77.5,55.7,13,1.00,0,6,0,0,0,0,0,22,0,0,0.0,10,0 (0),81.6,65.4,18,15,149,79,1.89,1
34,Chris Rainey,# 22,HB,16,PIT,36,26,102,3.9,2,3,50.9,73.6,19.7,73.9,65,2.50,4,19,2,0,0,0,0,102,1,19,18.6,5,0 (0),26.6,71.9,21,14,60,96,0.63,4
35,Joique Bell,# 35,HB,16,DET,89,82,414,5.0,3,1,72.6,73.5,68.3,58.6,245,2.99,10,67,10,0,0,0,0,414,3,116,28.0,16,2 (0),73.5,70.7,65,52,485,245,1.98,3
36,William Powell,# 33,HB,12,ARZ,65,60,217,3.6,0,0,71.1,73.2,84.9,60.1,135,2.25,10,17,4,0,0,0,0,217,1,17,7.8,10,1 (0),63.4,71.6,23,19,132,143,0.92,1
36,Robert Turbin,# 22,HB,18,SEA,119,92,394,4.3,0,0,72.8,73.2,87.8,55.5,197,2.14,10,26,13,0,0,0,0,394,4,81,20.6,17,0 (0),73.7,41.4,26,22,224,109,2.06,2
38,Willis McGahee,# 23,HB,10,DEN,179,167,731,4.4,4,5,70.7,72.8,28.0,57.3,396,2.37,13,31,18,0,0,0,0,731,8,149,20.4,44,2 (0),54.3,69.9,31,26,221,157,1.41,4
39,Leon Washington,# 33,HB,12,SEA,26,23,83,3.6,1,0,62.2,72.2,78.9,60.0,63,2.74,2,14,3,0,0,0,0,83,0,0,0.0,3,0 (0),28.4,80.9,7,4,31,28,1.11,3
40,Mike Tolbert,# 35,FB,16,CAR,161,54,183,3.4,7,0,77.0,72.1,84.8,66.7,139,2.57,3,13,1,0,0,0,0,183,0,0,0.0,24,0 (0),80.5,65.0,35,27,268,183,1.46,1
41,Dan Herron,# 34,HB,2,CIN,10,4,5,1.3,0,0,72.9,72.0,68.6,58.1,16,4.00,1,6,0,0,0,0,0,5,0,0,0.0,0,0 (0),57.3,73.4,0,0,0,3,0.00,0
41,Shane Vereen,# 34,HB,15,NE,78,73,308,4.2,4,1,73.3,72.0,59.5,59.1,162,2.22,4,22,7,0,0,0,0,308,2,38,12.3,19,0 (0),69.7,69.4,19,15,254,112,2.27,1
43,Vick Ballard,# 33,HB,17,IND,274,233,905,3.9,2,3,71.4,71.9,47.5,57.5,562,2.41,36,26,27,0,0,0,0,905,11,216,23.9,52,1 (0),55.4,72.0,26,18,155,192,0.81,5
44,Reggie Bush,# 22,HB,16,MIA,268,227,986,4.3,6,4,65.2,71.6,53.3,64.9,468,2.06,29,65,28,0,0,0,0,986,16,369,37.4,43,3 (2),47.8,49.0,48,35,292,231,1.26,6
45,Peyton Hillis,# 40,HB,13,KC,106,85,309,3.6,1,2,72.6,71.5,38.2,71.7,206,2.42,7,18,8,0,0,0,0,309,5,83,26.9,19,1 (0),57.9,79.2,12,10,62,64,0.97,2
46,Michael Bush,# 29,HB,13,CHI,119,114,411,3.6,5,1,72.1,71.4,69.2,36.9,262,2.30,13,20,11,0,0,0,0,411,3,55,13.4,29,0 (0),72.3,56.3,11,9,83,68,1.22,0
47,Cedric Peerman,# 30,HB,10,CIN,36,34,178,5.2,1,0,71.4,71.1,81.1,60.0,115,3.38,5,31,4,0,0,0,0,178,2,48,27.0,8,2 (1),75.7,36.7,9,9,85,42,2.02,0
47,Donald Brown,# 31,HB,10,IND,120,108,417,3.9,1,0,63.8,71.1,88.8,59.3,259,2.40,15,19,10,0,0,0,0,417,5,89,21.3,20,0 (0),40.3,49.5,13,9,93,106,0.88,3
47,DeMarco Murray,# 29,HB,10,DAL,185,161,663,4.1,4,3,70.2,71.1,49.4,57.7,400,2.48,22,48,14,0,0,0,0,663,6,167,25.2,40,0 (0),58.0,69.5,41,35,251,205,1.22,4
50,Anthony Dixon,# 24,HB,10,SF,29,23,84,3.7,3,0,71.0,70.6,77.9,56.8,42,1.83,3,9,0,0,0,0,0,84,0,0,0.0,5,0 (0),57.2,39.8,0,0,0,3,0.00,0
50,Isaac Redman,# 33,HB,14,PIT,125,110,410,3.7,2,3,75.8,70.6,31.3,58.1,332,3.02,28,28,11,0,0,0,0,410,4,91,22.2,27,0 (0),74.4,83.6,21,19,244,112,2.18,2
52,Shonn Greene,# 23,HB,16,NYJ,316,276,"1,063",3.9,8,4,66.3,70.4,57.4,58.9,593,2.15,15,36,20,0,0,0,0,"1,063",7,142,13.4,53,1 (0),37.2,62.2,26,19,151,169,0.89,3
53,Bryce Brown,# 34,HB,16,PHI,121,115,564,4.9,4,4,65.0,70.2,26.4,60.1,382,3.32,20,65,18,0,0,0,0,564,10,284,50.4,33,0 (0),43.8,60.3,18,13,56,147,0.38,3
54,Isaiah Pead,# 24,HB,14,SL,11,10,54,5.4,0,1,55.0,70.0,22.5,60.0,33,3.30,4,19,1,0,0,0,0,54,1,19,35.2,2,0 (0),35.2,75.5,4,3,16,25,0.64,0
55,Knowshon Moreno,# 27,HB,9,DEN,162,148,557,3.8,4,1,75.3,69.5,76.1,59.2,310,2.09,13,20,10,0,0,0,0,557,8,137,24.6,34,0 (0),84.3,68.4,26,23,188,133,1.41,1
56,Armando Allen,# 25,HB,9,CHI,30,27,124,4.6,1,0,70.8,69.4,79.1,59.2,74,2.74,2,46,3,0,0,0,0,124,2,63,50.8,6,0 (0),63.5,65.4,2,2,16,12,1.33,0
57,Collin Mooney,# 42,FB,1,TEN,7,5,19,3.8,0,0,71.3,69.3,70.6,60.0,15,3.00,0,8,0,0,0,0,0,19,0,0,0.0,2,0 (0),59.0,70.9,0,0,0,2,0.00,0
57,Michael Turner,# 33,HB,18,ATL,258,244,928,3.8,10,3,67.8,69.3,64.1,57.9,591,2.42,43,43,24,0,0,0,0,928,11,267,28.8,47,0 (0),39.5,77.9,29,19,128,154,0.83,4
59,DuJuan Harris,# 26,HB,6,GB,64,62,257,4.1,4,0,70.0,69.2,84.7,60.0,155,2.50,10,21,7,0,0,0,0,257,2,39,15.2,12,0 (0),61.6,79.0,11,9,81,49,1.65,1
60,Lance Ball,# 35,HB,14,DEN,47,42,158,3.8,1,1,57.4,69.1,43.2,58.4,89,2.12,6,22,7,0,0,0,0,158,2,41,25.9,10,0 (0),30.1,43.2,11,7,65,66,0.98,2
61,Jeremy Stewart,# 32,HB,4,OAK,26,25,101,4.0,0,0,73.7,69.0,79.4,60.0,73,2.92,1,14,3,0,0,0,0,101,0,0,0.0,3,0 (0),81.9,77.8,8,8,62,33,1.88,0
62,Mikel Leshoure,# 25,HB,14,DET,243,215,798,3.7,9,3,69.4,68.9,58.9,61.8,431,2.00,13,16,17,0,0,0,0,798,3,46,5.8,47,0 (0),57.5,80.4,45,34,214,220,0.97,4
63,David Wilson,# 22,HB,14,NYG,78,71,358,5.0,4,1,66.0,68.8,55.9,57.7,189,2.66,8,52,12,0,0,0,0,358,6,173,48.3,17,0 (0),48.6,40.0,9,4,34,37,0.92,2
64,Ryan Mathews,# 24,HB,12,SD,199,184,707,3.8,1,2,73.3,68.7,66.9,59.4,479,2.60,24,31,14,0,0,0,0,707,2,49,6.9,35,0 (0),80.1,72.0,52,39,252,173,1.46,2
65,Vonta Leach,# 44,FB,20,BLT,361,14,47,3.4,2,1,83.4,68.6,34.1,86.8,23,1.64,0,6,0,0,0,0,0,47,0,0,0.0,5,1 (0),60.0,63.0,29,27,174,137,1.27,2
66,Lamar Miller,# 26,HB,10,MIA,67,51,250,4.9,1,0,66.0,68.4,83.4,55.7,140,2.75,6,28,5,0,0,0,0,250,4,84,33.6,12,0 (0),49.7,77.0,7,6,45,50,0.90,1
67,Tashard Choice,# 20,HB,11,BUF,58,47,193,4.1,1,0,63.6,68.2,82.7,54.3,92,1.96,3,22,6,0,0,0,0,193,1,22,11.4,9,0 (0),40.7,83.2,9,4,9,47,0.19,1
68,Darren Sproles,# 43,HB,13,NO,60,48,244,5.1,1,0,66.0,68.1,86.8,58.3,90,1.88,8,47,7,0,0,0,0,244,4,113,46.3,9,0 (0),65.4,57.8,93,75,667,335,1.99,10
69,Jonathan Dwyer,# 27,HB,13,PIT,171,156,623,4.0,2,2,69.7,68.0,60.1,60.4,433,2.78,14,34,21,0,0,0,0,623,6,135,21.7,28,0 (0),57.4,86.1,25,18,106,143,0.74,2
70,Ray Rice,# 27,HB,20,BLT,384,341,"1,451",4.3,11,4,73.7,67.8,68.4,64.9,768,2.25,26,46,31,0,0,0,0,"1,451",14,355,24.5,65,3 (0),82.7,71.3,92,69,566,410,1.38,4
71,Jamie Harper,# 23,HB,10,TEN,22,19,30,1.6,3,0,64.5,67.7,77.0,59.7,21,1.11,2,13,1,0,0,0,0,30,0,0,0.0,4,0 (0),54.7,42.6,1,1,8,18,0.44,0
