RANK,PLAYER,#,POS,#G,TEAM,SNP,ATT,YDS,YPA,TD,FUM,OFF,RUN,FUM,RBLK,YCO,YCO/A,MTF,LNG,10+,ZONE,GAP,SCR,SYDS,DYDS,D15+,BAY,BAY%,1ST,PEN,RECV,PBLK,TGT,REC,YDS,RSNP,Y/RR,DRP
1,Derrick Henry,# 22,HB,17,TEN,427,396,"2,067",5.2,17,4,91.8,91.7,75.4,57.4,"1,525",3.85,77,94,48,267,125,0,0,"2,067",21,645,31.2,97,1 (0),55.3,57.0,28,22,125,239,0.52,0
2,Dalvin Cook,# 33,HB,14,MIN,337,312,"1,557",5.0,16,5,89.0,90.2,60.9,59.2,"1,039",3.33,68,70,46,221,69,0,0,"1,557",13,338,21.7,91,0 (0),62.1,45.5,51,44,361,263,1.37,3
3,Damien Harris,# 37,HB,10,NE,175,137,691,5.0,2,1,90.3,86.9,71.8,51.0,414,3.02,19,41,20,36,93,0,0,691,8,176,25.5,30,0 (0),67.6,78.9,7,5,52,46,1.13,0
4,Nick Chubb,# 24,HB,14,CLV,241,221,"1,212",5.5,12,1,87.9,86.2,82.4,59.8,883,4.00,66,59,39,116,99,0,0,"1,210",19,507,41.8,63,0 (0),65.9,91.4,27,22,223,191,1.17,2
5,Gus Edwards,# 35,HB,18,BLT,240,162,803,5.0,6,2,85.5,86.1,59.5,61.7,531,3.28,25,36,18,35,123,0,0,803,10,238,29.6,53,0 (0),60.3,51.6,11,9,129,123,1.05,0
6,Josh Adams,# 36,HB,7,NYJ,31,29,157,5.4,2,0,77.7,84.9,79.9,60.0,116,4.00,3,25,5,24,5,0,0,157,2,43,27.4,10,0 (0),53.1,29.9,7,6,29,34,0.85,1
7,Kyle Juszczyk,# 44,FB,16,SF,286,17,64,3.8,2,1,65.7,84.8,29.4,63.2,34,2.00,0,10,1,2,1,0,0,64,0,0,0.0,12,0 (0),53.3,53.6,29,19,202,151,1.34,2
8,Ronald Jones,# 27,HB,17,TB,265,227,"1,117",4.9,7,2,74.6,84.7,71.2,62.6,802,3.53,36,98,24,91,128,0,0,"1,117",8,270,24.2,56,0 (0),29.6,46.8,43,28,165,203,0.81,5
9,Antonio Gibson,# 24,HB,15,WAS,215,184,826,4.5,11,2,78.6,83.4,66.8,43.5,462,2.51,39,40,22,105,78,0,0,826,8,193,23.4,42,0 (0),62.3,21.5,46,38,251,203,1.24,2
10,Jamaal Williams,# 30,HB,16,GB,167,138,593,4.3,2,0,76.9,83.3,90.3,62.0,375,2.72,16,25,13,102,36,0,0,593,4,78,13.2,36,1 (0),60.0,58.5,39,35,258,232,1.11,2
11,Melvin Gordon III,# 25,HB,15,DEN,254,215,986,4.6,9,4,72.5,83.0,45.3,52.7,669,3.11,51,65,26,96,114,0,0,986,12,292,29.6,46,0 (0),36.4,41.7,42,32,158,290,0.54,3
12,Jonathan Taylor,# 28,HB,16,IND,297,253,"1,247",4.9,12,1,80.7,82.9,85.8,45.2,747,2.95,45,62,38,145,102,0,0,"1,247",16,414,33.2,76,0 (0),65.1,19.4,42,38,305,219,1.39,3
13,David Montgomery,# 32,HB,16,CHI,292,259,"1,101",4.3,8,1,80.2,82.3,76.0,69.1,800,3.09,54,80,24,214,36,0,0,"1,101",6,243,22.1,61,0 (0),65.8,60.9,64,54,438,414,1.06,2
14,J.K. Dobbins,# 27,HB,17,BLT,231,153,890,5.8,10,2,72.0,82.0,61.1,48.4,512,3.35,28,72,22,37,115,0,0,890,12,348,39.1,44,0 (0),47.9,71.3,29,22,165,251,0.66,6
15,Antonio Williams,# 35,HB,1,BUF,16,12,63,5.3,2,0,85.3,81.5,74.5,60.0,37,3.08,3,18,2,9,3,0,0,63,2,36,57.1,4,0 (0),72.6,74.1,1,1,20,10,2.00,0
15,Samaje Perine,# 34,HB,13,CIN,82,63,301,4.8,3,0,76.7,81.5,85.2,55.5,197,3.13,18,46,9,46,14,0,0,301,4,92,30.6,16,0 (0),60.9,59.2,11,11,66,98,0.67,0
17,Alexander Mattison,# 25,HB,13,MIN,110,96,434,4.5,2,0,80.9,81.1,88.1,60.0,278,2.90,23,25,12,70,19,0,0,434,8,151,34.8,24,0 (0),63.8,78.0,15,13,125,96,1.30,1
18,AJ Dillon,# 28,HB,11,GB,63,55,286,5.2,2,1,78.3,80.7,50.2,60.0,189,3.44,17,30,5,45,9,0,0,286,3,68,23.8,12,0 (0),51.3,71.0,3,3,34,47,0.72,0
18,Clyde Edwards-Helaire,# 25,HB,15,KC,223,196,874,4.5,5,0,77.2,80.7,90.8,53.8,594,3.03,39,31,23,146,49,0,0,874,9,195,22.3,46,1 (0),66.6,46.0,54,39,320,325,0.98,3
20,Aaron Jones,# 33,HB,16,GB,256,221,"1,230",5.6,10,4,75.6,80.5,53.0,44.0,795,3.60,44,77,28,155,66,0,0,"1,230",11,425,34.6,58,0 (0),62.3,39.1,68,52,376,288,1.31,5
21,Tony Pollard,# 20,HB,16,DAL,123,101,435,4.3,4,0,71.7,80.4,90.3,41.0,363,3.59,23,42,10,64,33,0,0,435,5,139,32.0,23,0 (0),56.9,54.6,39,28,193,199,0.97,4
22,Alvin Kamara,# 41,HB,17,NO,319,228,"1,116",4.9,17,1,82.0,79.9,76.2,55.7,678,2.97,47,49,31,138,75,0,0,"1,116",14,344,30.8,68,1 (0),84.5,58.9,111,88,793,396,2.00,8
23,Josh Jacobs,# 28,HB,15,LV,301,273,"1,065",3.9,12,2,76.3,79.4,65.5,58.5,770,2.82,51,28,31,181,89,0,0,"1,065",10,187,17.6,61,2 (1),56.2,56.6,41,33,238,231,1.03,4
24,Alex Armah,# 40,FB,16,CAR,100,6,9,1.5,0,0,57.0,79.2,73.1,64.0,4,0.67,0,3,0,0,0,0,0,9,0,0,0.0,5,0 (0),30.3,86.0,8,5,18,40,0.45,3
24,Darrell Henderson,# 27,HB,15,LA,172,138,624,4.5,5,0,80.4,79.2,90.1,59.3,373,2.70,22,40,20,92,45,0,0,624,6,153,24.5,40,0 (0),67.9,83.5,22,16,159,147,1.08,0
26,Artavis Pierce,# 46,HB,4,CHI,8,6,34,5.7,1,0,81.4,79.1,70.6,60.0,30,5.00,2,23,1,6,0,0,0,34,1,23,67.6,2,0 (0),55.7,-,0,0,0,5,0.00,0
27,James Robinson,# 30,HB,14,JAX,261,240,"1,070",4.5,7,2,72.9,78.5,72.2,58.9,764,3.18,35,47,31,142,88,0,0,"1,070",9,220,20.6,54,2 (0),64.1,43.3,56,49,344,286,1.20,3
28,Mike Boone,# 23,HB,7,MIN,14,11,59,5.4,1,0,78.1,78.4,75.7,60.0,44,4.00,7,19,2,8,3,0,0,59,1,19,32.2,2,0 (0),60.8,61.2,2,2,10,10,1.00,0
29,Phillip Lindsay,# 30,HB,11,DEN,138,118,502,4.3,1,0,69.8,77.7,89.2,59.9,344,2.92,15,55,13,52,62,0,0,502,8,192,38.2,19,0 (0),32.8,35.8,11,7,28,98,0.29,3
30,Cam Akers,# 23,HB,15,LA,215,191,846,4.4,4,1,75.7,77.6,79.2,71.4,566,2.96,27,61,16,106,85,0,0,846,7,219,25.9,41,0 (0),56.7,44.8,17,14,174,152,1.14,1
31,Latavius Murray,# 28,HB,16,NO,183,150,665,4.4,4,1,81.5,77.4,75.5,78.3,375,2.50,8,36,12,84,63,0,0,665,5,117,17.6,36,1 (1),83.0,60.5,28,25,187,144,1.30,0
32,Raheem Mostert,# 31,HB,8,SF,121,104,521,5.0,2,1,79.3,77.0,68.3,54.1,256,2.46,12,80,11,76,27,0,0,521,5,165,31.7,22,0 (0),76.1,60.2,17,16,156,91,1.71,0
33,Salvon Ahmed,# 26,HB,6,MIA,89,75,319,4.3,3,0,70.5,76.9,86.0,59.3,174,2.32,9,31,9,44,24,0,0,319,5,102,32.0,18,1 (0),55.6,34.4,13,11,61,82,0.74,1
34,Sony Michel,# 26,HB,9,NE,112,79,449,5.7,1,0,80.9,76.5,86.2,59.0,269,3.41,12,48,12,29,46,0,0,449,6,169,37.6,19,0 (0),82.6,73.2,8,7,114,48,2.38,0
35,Wayne Gallman,# 22,HB,15,NYG,191,147,682,4.6,6,1,71.1,76.4,71.6,49.8,533,3.63,27,60,16,50,96,0,0,682,7,177,26.0,35,0 (0),49.6,58.0,25,21,114,160,0.71,3
36,Justin Jackson,# 22,HB,9,LAC,72,59,270,4.6,0,0,78.0,76.3,85.0,69.7,170,2.88,14,36,7,39,16,0,0,270,4,110,40.7,15,1 (0),78.3,53.5,24,19,173,90,1.92,2
37,Michael Burton,# 32,FB,17,NO,148,7,18,2.6,0,0,63.1,76.1,74.3,59.1,12,1.71,0,7,0,0,0,0,0,18,0,0,0.0,6,0 (0),54.8,56.4,6,6,43,72,0.60,0
38,Keith Smith,# 40,FB,16,ATL,131,4,7,1.8,0,0,68.6,75.8,74.0,64.4,3,0.75,0,3,0,0,0,0,0,7,0,0,0.0,4,0 (0),60.0,65.1,14,11,59,65,0.91,2
