RANK,PLAYER,#,POS,#G,TEAM,SNP,ATT,YDS,YPA,TD,FUM,OFF,RUN,FUM,RBLK,YCO,YCO/A,MTF,LNG,10+,ZONE,GAP,SCR,SYDS,DYDS,D15+,BAY,BAY%,1ST,PEN,RECV,PBLK,TGT,REC,YDS,RSNP,Y/RR,DRP
1,Marshawn Lynch,# 24,HB,8,SEA,137,117,437,3.7,3,0,85.2,90.2,89.6,59.5,308,2.63,31,24,13,99,16,1,5,432,4,74,16.9,30,2 (1),58.1,62.3,23,15,95,157,0.61,1
2,Le'Veon Bell,# 26,HB,6,PIT,124,113,556,4.9,3,0,89.2,86.3,89.4,54.1,385,3.41,23,42,13,59,51,0,0,556,9,227,40.8,27,1 (0),83.5,72.8,25,24,136,138,0.99,0
3,Thomas Rawls,# 34,HB,13,SEA,174,147,830,5.6,4,1,83.5,85.3,74.6,60.7,459,3.12,26,69,22,122,22,0,0,830,15,344,41.4,37,1 (0),49.0,65.0,11,9,76,92,0.83,2
4,Spencer Ware,# 32,HB,10,KC,103,88,470,5.3,7,0,85.7,83.3,87.1,79.5,320,3.64,19,52,11,42,43,0,0,470,7,181,38.5,23,0 (0),54.6,78.9,6,6,5,59,0.08,0
5,Doug Martin,# 22,HB,16,TB,317,288,"1,402",4.9,6,5,84.0,83.0,47.9,69.3,906,3.15,57,84,33,146,131,0,0,"1,402",19,590,42.1,61,0 (0),59.9,65.6,41,33,271,209,1.30,2
6,Karlos Williams,# 29,HB,11,BUF,123,93,517,5.6,7,2,78.3,80.5,48.4,85.4,273,2.94,19,41,16,38,52,0,0,517,7,190,36.8,25,1 (0),44.0,84.1,12,11,96,90,1.07,1
7,Jonas Gray,# 34,HB,7,JAX,52,45,176,3.9,0,0,78.7,79.7,82.8,60.0,88,1.96,7,23,4,29,14,0,0,176,3,54,30.7,11,0 (0),55.8,89.2,8,7,76,59,1.29,1
8,Jay Ajayi,# 23,HB,9,MIA,61,49,187,3.8,1,0,74.6,78.3,86.0,59.4,164,3.35,12,24,5,33,15,0,0,187,3,67,35.8,7,0 (0),53.0,88.3,11,7,90,77,1.17,2
9,Charles Sims,# 34,HB,16,TB,116,106,533,5.0,0,2,85.5,76.6,61.2,59.2,294,2.77,24,59,11,44,50,0,0,533,6,180,33.8,21,0 (0),90.7,87.8,65,52,557,247,2.26,1
10,Donald Brown,# 34,HB,6,SD,64,59,229,3.9,1,0,73.2,76.3,84.6,60.0,167,2.83,6,53,6,33,21,0,0,229,3,88,38.4,12,0 (0),43.3,83.0,11,8,88,45,1.96,2
11,Taiwan Jones,# 22,HB,10,OAK,19,16,74,4.6,0,1,82.0,76.2,27.3,60.0,58,3.63,10,19,2,5,9,0,0,74,1,19,25.7,3,0 (0),80.0,65.8,9,7,106,41,2.59,1
12,Tim Hightower,# 34,HB,6,NO,111,96,375,3.9,4,0,79.1,75.7,87.9,60.0,227,2.36,13,26,9,61,32,0,0,375,3,59,15.7,25,0 (0),79.1,54.6,13,12,129,56,2.30,0
13,Giovani Bernard,# 25,HB,17,CIN,199,160,758,4.7,2,2,69.1,75.5,85.2,69.8,389,2.43,27,28,23,66,79,0,0,758,6,120,15.8,35,1 (0),54.8,53.0,69,51,474,280,1.69,6
14,Lamar Miller,# 26,HB,16,MIA,234,194,872,4.5,8,2,73.7,74.1,70.1,73.8,535,2.76,28,85,22,142,45,0,0,872,11,312,35.8,41,0 (0),60.0,87.5,54,47,397,310,1.28,2
15,DeAngelo Williams,# 34,HB,16,PIT,222,200,907,4.5,11,3,74.4,73.8,57.7,79.8,441,2.21,24,55,24,116,68,0,0,907,12,308,34.0,52,0 (0),60.6,92.7,47,40,367,375,0.98,2
