RANK,PLAYER,#,POS,#G,TEAM,SNP,ATT,YDS,YPA,TD,FUM,OFF,RUN,FUM,RBLK,YCO,YCO/A,MTF,LNG,10+,ZONE,GAP,SCR,SYDS,DYDS,D15+,BAY,BAY%,1ST,PEN,RECV,PBLK,TGT,REC,YDS,RSNP,Y/RR,DRP
1,Darren Sproles,# 43,HB,18,NO,117,100,657,6.6,4,0,79.6,90.6,90.2,59.2,338,3.38,15,36,24,0,0,0,0,657,15,333,50.7,33,0 (0),73.7,20.9,130,105,863,433,1.99,9
2,Pierre Thomas,# 23,HB,18,NO,131,119,634,5.3,6,2,88.0,89.0,59.0,60.0,365,3.07,24,33,16,0,0,0,0,634,8,165,26.0,31,1 (0),85.4,69.5,62,57,485,231,2.10,3
3,Isaac Redman,# 33,HB,17,PIT,162,127,600,4.7,3,2,86.0,87.6,55.3,56.1,420,3.31,25,32,18,0,0,0,0,600,7,162,27.0,37,0 (0),63.9,67.9,22,20,99,131,0.76,1
4,Jonathan Stewart,# 28,HB,16,CAR,210,142,775,5.5,4,1,81.0,86.1,77.0,77.8,420,2.96,31,32,27,0,0,0,0,775,11,247,31.9,47,0 (0),67.2,43.6,57,47,413,254,1.63,5
5,Adrian Peterson,# 28,HB,12,MIN,241,208,970,4.7,12,2,83.7,84.5,81.1,61.2,650,3.13,33,54,27,0,0,0,0,970,9,294,30.3,49,2 (0),60.2,60.9,21,18,131,165,0.79,1
6,Matt Forte,# 22,HB,12,CHI,216,203,997,4.9,3,2,85.1,83.1,70.1,58.1,545,2.68,38,46,29,0,0,0,0,997,18,471,47.2,40,1 (0),82.9,61.8,71,52,490,256,1.91,1
7,C.J. Spiller,# 28,HB,16,BUF,167,107,601,5.6,4,2,75.9,82.5,71.9,74.1,313,2.93,9,41,15,0,0,0,0,601,11,292,48.6,26,1 (0),62.5,86.4,52,39,271,246,1.10,4
8,Fred Jackson,# 22,HB,10,BUF,222,170,934,5.5,6,3,82.6,80.8,65.7,64.7,637,3.75,33,80,23,0,0,0,0,934,15,426,45.6,39,1 (0),70.9,90.4,48,39,442,238,1.86,0
9,Taiwan Jones,# 22,HB,8,OAK,22,16,73,4.6,0,0,78.5,80.7,77.1,60.1,64,4.00,4,14,2,0,0,0,0,73,0,0,0.0,2,0 (0),39.0,75.1,3,2,25,7,3.57,1
9,LeSean McCoy,# 25,HB,15,PHI,313,273,"1,309",4.8,17,1,73.8,80.7,76.9,60.1,684,2.51,48,60,48,0,0,0,0,"1,309",19,507,38.7,84,1 (0),52.9,48.0,61,48,315,388,0.81,5
11,Arian Foster,# 23,HB,15,HST,350,329,"1,509",4.6,13,7,82.5,79.7,40.1,57.6,846,2.57,30,43,39,0,0,0,0,"1,509",22,512,33.9,71,1 (0),74.4,76.8,70,61,674,305,2.21,4
12,Kendall Hunter,# 32,HB,17,SF,131,122,519,4.3,2,0,77.5,79.6,89.6,60.0,316,2.59,16,44,16,0,0,0,0,519,6,144,27.7,24,0 (0),67.3,42.9,23,17,208,131,1.59,2
13,Rashard Mendenhall,# 34,HB,15,PIT,245,228,928,4.1,9,1,81.5,79.5,82.8,61.1,563,2.47,30,68,21,0,0,0,0,928,8,222,23.9,45,0 (0),65.3,76.0,24,18,154,162,0.95,1
14,James Starks,# 44,HB,14,GB,157,139,621,4.5,1,2,77.0,79.1,64.0,58.9,373,2.68,27,40,20,0,0,0,0,621,12,245,39.5,32,0 (0),59.0,76.7,40,33,240,209,1.15,4
15,Marshawn Lynch,# 24,HB,15,SEA,310,285,"1,204",4.2,12,4,76.4,78.3,66.7,56.5,722,2.53,50,47,30,0,0,0,0,"1,204",15,322,26.7,63,2 (0),56.2,58.3,36,28,212,185,1.15,2
16,Willis McGahee,# 23,HB,17,DEN,334,285,"1,340",4.7,5,6,76.0,78.2,34.4,59.2,783,2.75,38,60,39,0,0,0,0,"1,340",19,440,32.8,59,1 (0),38.9,64.9,17,12,51,143,0.36,2
17,John Clay,# 38,HB,3,PIT,13,11,42,3.8,1,0,76.8,76.3,74.3,60.0,29,2.64,2,10,1,0,0,0,0,42,0,0,0.0,1,0 (0),53.9,76.0,0,0,0,8,0.00,0
18,Toby Gerhart,# 32,HB,16,MIN,140,109,531,4.9,1,1,77.0,76.2,75.7,78.5,324,2.97,23,67,16,0,0,0,0,531,5,153,28.8,24,0 (0),66.7,69.7,26,23,190,157,1.21,1
19,Ben Tate,# 44,HB,17,HST,198,184,987,5.4,5,4,75.1,75.0,36.0,56.8,608,3.30,30,56,34,0,0,0,0,987,13,313,31.7,55,1 (1),59.6,68.2,18,13,98,108,0.91,1
20,Chris Ivory,# 29,HB,8,NO,112,101,444,4.4,1,0,76.3,74.5,87.8,56.7,278,2.75,13,35,10,0,0,0,0,444,3,79,17.8,26,0 (0),49.5,80.3,1,0,0,28,0.00,0
21,DeAngelo Williams,# 34,HB,16,CAR,198,155,850,5.5,7,0,69.3,74.3,90.3,66.4,450,2.90,18,74,19,0,0,0,0,845,14,410,48.2,32,1 (0),49.1,55.4,24,16,135,179,0.75,3
22,Sammy Morris,# 23,HB,3,DAL,32,28,98,3.5,0,0,69.8,74.2,79.7,58.1,87,3.11,3,15,2,0,0,0,0,98,1,15,15.3,7,0 (0),54.5,53.1,7,5,13,37,0.35,1
23,LeGarrette Blount,# 27,HB,14,TB,204,184,796,4.3,5,6,71.0,74.1,28.5,58.4,534,2.90,33,54,15,0,0,0,0,796,8,212,26.6,34,2 (0),40.6,66.2,23,15,148,116,1.28,1
24,BenJarvus Green-Ellis,# 42,HB,19,NE,246,219,807,3.7,12,0,74.0,74.0,90.9,57.1,447,2.04,19,18,16,0,0,0,0,807,5,81,10.0,50,0 (0),56.4,68.5,17,12,182,146,1.25,2
25,Mewelde Moore,# 21,HB,12,PIT,32,22,157,7.1,0,2,68.9,73.9,22.4,57.2,85,3.86,5,21,6,0,0,0,0,157,3,52,33.1,6,1 (0),56.2,81.5,14,11,104,55,1.89,1
26,Marcel Reece,# 45,FB,12,OAK,150,17,112,6.6,0,1,74.6,73.8,35.1,57.1,67,3.94,3,26,6,0,0,0,0,112,2,46,41.1,7,0 (0),75.7,84.1,34,27,315,153,2.06,0
