#G,DB,ATT,COM,COM%,YDS,YPA,TD,INT,OFF,PASS,RUN,FUM,BTT,BTT%,TWP,TWP%,ADOT,ADJ%,DRP,DRP%,BAT,HAT,TA,DPR,SK,P2S%,TTT,SCR,1ST,NFL,PFR_ID
19.0,806.0,787.0,541.0,68.7,6386,8.1,60.0,13.0,92.8,93.2,27.5,88.6,53.0,6.3,16.0,1.9,8.2,77.3,51.0,8.6,8.0,0.0,12.0,183.0,19.0,10.4,2.36,0.0,334.0,111.7,MannPe00
18.0,641.0,587.0,408.0,69.5,4823,8.2,35.0,11.0,88.2,90.4,31.2,90.9,33.0,5.2,14.0,2.0,8.1,78.5,26.0,6.0,12.0,6.0,15.0,220.0,35.0,15.9,2.67,19.0,254.0,106.3,RivePh00
4.0,14.0,14.0,10.0,71.4,151,10.8,1.0,0.0,86.2,87.3,61.2,75.0,1.0,7.1,0.0,0.0,8.6,84.6,1.0,9.1,0.0,0.0,1.0,4.0,0.0,0.0,2.45,0.0,7.0,130.4,JackTa00
18.0,776.0,723.0,490.0,67.8,5721,7.9,41.0,14.0,84.1,86.8,37.0,72.7,43.0,5.6,30.0,3.6,8.4,76.2,29.0,5.6,8.0,6.0,26.0,227.0,40.0,17.6,2.74,13.0,276.0,102.4,BreeDr00
10.0,360.0,316.0,210.0,66.5,2713,8.6,18.0,6.0,85.8,85.0,61.4,77.5,18.0,5.3,8.0,2.1,8.5,79.3,16.0,7.1,6.0,0.0,24.0,111.0,25.0,22.5,2.76,19.0,127.0,104.3,RodgAa00
8.0,243.0,224.0,149.0,66.5,1829,8.2,13.0,1.0,86.4,84.3,69.6,90.4,11.0,4.6,6.0,2.3,8.6,77.8,12.0,7.5,5.0,3.0,9.0,90.0,11.0,12.2,2.81,8.0,95.0,109.0,McCoJo01
16.0,639.0,584.0,375.0,64.2,4261,7.3,28.0,14.0,83.4,84.0,41.5,50.5,27.0,4.4,24.0,3.6,8.6,74.7,36.0,8.8,10.0,4.0,14.0,207.0,42.0,20.3,2.59,13.0,211.0,92.0,RoetBe00
14.0,397.0,350.0,226.0,64.6,3086,8.8,29.0,2.0,78.1,83.7,39.5,78.0,22.0,5.9,6.0,1.4,9.7,74.6,15.0,6.2,2.0,5.0,20.0,133.0,30.0,22.6,3.09,17.0,148.0,117.9,FoleNi00
16.0,668.0,634.0,371.0,58.5,4650,7.3,29.0,19.0,80.3,83.2,29.8,61.7,33.0,5.0,18.0,2.6,8.9,71.9,57.0,13.3,17.0,2.0,17.0,193.0,23.0,11.9,2.5,11.0,226.0,84.2,StafMa00
19.0,583.0,475.0,300.0,63.2,3881,8.2,29.0,9.0,83.8,82.6,72.6,50.1,38.0,7.5,20.0,3.2,9.6,72.0,17.0,5.4,6.0,1.0,26.0,253.0,51.0,20.2,3.18,57.0,200.0,101.2,WilsRu00
18.0,739.0,691.0,417.0,60.3,4818,7.0,26.0,11.0,79.0,80.9,28.8,67.5,34.0,4.6,19.0,2.4,8.9,71.9,56.0,11.8,4.0,9.0,16.0,237.0,44.0,18.6,2.47,4.0,251.0,87.3,BradTo00
16.0,661.0,588.0,355.0,60.4,3913,6.7,24.0,17.0,80.4,80.7,49.8,66.0,27.0,4.5,20.0,2.9,9.6,70.8,33.0,8.5,8.0,3.0,25.0,222.0,59.0,26.6,2.6,14.0,211.0,81.7,TannRy00
15.0,579.0,535.0,342.0,63.9,3844,7.2,31.0,10.0,77.7,80.2,28.3,82.2,27.0,4.7,15.0,2.4,8.3,73.0,32.0,8.6,6.0,0.0,16.0,203.0,35.0,17.2,2.75,8.0,198.0,96.8,RomoTo00
11.0,387.0,355.0,224.0,63.1,2621,7.4,19.0,12.0,82.0,80.0,71.8,57.5,26.0,7.0,16.0,3.9,10.0,74.0,21.0,8.6,6.0,4.0,10.0,151.0,19.0,12.6,2.72,13.0,131.0,89.2,CutlJa00
