#G,DB,ATT,COM,COM%,YDS,YPA,TD,INT,OFF,PASS,RUN,FUM,BTT,BTT%,TWP,TWP%,ADOT,ADJ%,DRP,DRP%,BAT,HAT,TA,DPR,SK,P2S%,TTT,SCR,1ST,NFL,PFR_ID
1.0,32.0,29.0,22.0,75.9,241,8.3,1.0,0.0,95.8,94.9,72.6,79.8,3.0,9.4,0.0,0.0,10.5,81.5,0.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,3.33,2.0,15.0,111.4,MiltJo00
19.0,597.0,520.0,350.0,67.3,4601,8.8,45.0,5.0,94.9,93.3,90.4,44.2,35.0,6.3,10.0,1.6,9.3,77.0,18.0,4.9,11.0,10.0,15.0,232.0,26.0,11.2,3.2,47.0,239.0,119.9,JackLa00
17.0,725.0,652.0,460.0,70.6,4918,7.5,43.0,9.0,93.9,92.9,74.8,56.9,38.0,5.5,15.0,1.9,7.7,79.6,27.0,5.5,8.0,8.0,23.0,248.0,48.0,19.4,2.65,22.0,264.0,108.5,BurrJo01
3.0,51.0,44.0,34.0,77.3,364,8.3,4.0,0.0,88.3,90.8,60.3,83.3,4.0,8.2,0.0,0.0,9.8,88.1,3.0,8.1,0.0,0.0,1.0,13.0,3.0,23.1,3.13,4.0,24.0,131.3,MariMa01
18.0,618.0,536.0,346.0,64.6,4112,7.7,24.0,7.0,91.2,90.2,72.4,59.2,33.0,5.7,16.0,2.4,9.2,75.7,31.0,8.2,10.0,8.0,17.0,209.0,45.0,21.5,2.87,31.0,196.0,97.3,HerbJu00
5.0,114.0,105.0,61.0,58.1,775,7.4,3.0,3.0,87.9,87.6,51.3,34.9,10.0,9.0,2.0,1.7,10.6,70.4,8.0,11.6,1.0,3.0,3.0,33.0,4.0,12.1,2.66,4.0,36.0,78.9,PeniMi00
10.0,300.0,279.0,189.0,67.7,2145,7.7,15.0,5.0,85.6,86.7,48.6,60.6,16.0,5.4,8.0,2.5,8.6,78.7,10.0,5.0,3.0,3.0,20.0,94.0,8.0,8.5,2.64,8.0,94.0,101.0,CarrDe02
20.0,736.0,594.0,406.0,68.4,4390,7.4,30.0,10.0,90.6,84.7,90.0,75.5,22.0,3.5,12.0,1.5,7.7,78.1,22.0,5.1,15.0,1.0,28.0,259.0,51.0,19.7,2.95,87.0,251.0,99.7,DaniJa02
19.0,634.0,565.0,365.0,64.6,4367,7.7,32.0,6.0,91.9,84.1,93.6,37.4,43.0,7.0,18.0,2.6,8.7,74.2,20.0,5.2,10.0,5.0,30.0,211.0,19.0,9.0,2.86,47.0,218.0,102.6,AlleJo02
18.0,680.0,588.0,422.0,71.8,4685,8.0,43.0,16.0,85.9,83.6,70.9,42.1,22.0,3.5,24.0,3.3,7.4,79.2,23.0,5.2,11.0,6.0,8.0,168.0,41.0,24.4,2.78,46.0,257.0,108.1,MayfBa00
17.0,652.0,578.0,407.0,70.4,4320,7.5,21.0,15.0,83.1,82.4,62.6,65.2,28.0,4.5,18.0,2.6,7.6,78.4,14.0,3.3,13.0,4.0,22.0,251.0,50.0,19.9,2.82,24.0,221.0,93.2,SmitGe00
2.0,24.0,22.0,17.0,77.3,119,5.4,3.0,0.0,74.5,78.4,49.2,25.6,0.0,0.0,0.0,0.0,4.8,81.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,2.69,2.0,9.0,128.6,TaylTy00
17.0,614.0,541.0,372.0,68.8,3851,7.1,21.0,11.0,82.1,77.9,81.8,66.8,27.0,4.7,16.0,2.4,7.4,75.9,10.0,2.6,10.0,3.0,24.0,180.0,30.0,16.7,2.84,40.0,207.0,93.5,MurrKy00
19.0,770.0,664.0,447.0,67.3,4607,6.9,31.0,13.0,83.3,77.8,88.1,67.6,24.0,3.4,21.0,2.5,7.0,76.8,22.0,4.7,10.0,10.0,31.0,254.0,47.0,18.5,2.81,51.0,273.0,94.5,MahoPa00
19.0,702.0,593.0,377.0,63.6,4254,7.2,21.0,13.0,80.0,77.6,73.3,76.3,27.0,4.3,21.0,2.8,8.8,72.2,23.0,5.8,6.0,10.0,22.0,273.0,63.0,23.1,3.02,45.0,229.0,87.6,StroCJ00
12.0,426.0,365.0,234.0,64.1,2752,7.5,18.0,5.0,79.5,77.5,68.7,57.0,24.0,6.3,7.0,1.6,8.4,78.6,16.0,6.4,10.0,3.0,32.0,160.0,37.0,23.1,2.84,22.0,131.0,97.7,WilsRu00
18.0,672.0,585.0,386.0,66.0,4564,7.8,36.0,13.0,80.7,77.5,82.5,56.9,34.0,5.4,27.0,3.7,9.3,76.5,21.0,5.2,8.0,11.0,33.0,263.0,57.0,21.7,3.08,29.0,232.0,100.8,DarnSa00
15.0,537.0,455.0,300.0,65.9,3864,8.5,20.0,12.0,82.4,76.3,90.2,63.7,15.0,3.1,17.0,3.0,9.0,74.1,17.0,5.4,9.0,2.0,11.0,200.0,31.0,15.5,2.99,44.0,199.0,96.1,PurdBr00
18.0,630.0,579.0,413.0,71.3,4942,8.5,38.0,15.0,78.8,76.3,66.4,64.1,19.0,3.2,21.0,3.2,7.2,79.0,8.0,1.9,8.0,5.0,27.0,208.0,33.0,15.9,2.68,15.0,260.0,108.2,GoffJa00
17.0,643.0,584.0,368.0,63.0,3897,6.7,28.0,11.0,77.6,76.1,71.9,78.0,26.0,4.2,12.0,1.8,7.3,73.7,39.0,9.6,8.0,6.0,18.0,178.0,40.0,22.5,2.65,16.0,199.0,90.5,RodgAa00
2.0,2.0,2.0,2.0,100.0,38,19.0,0.0,0.0,76.1,75.5,60.5,69.1,0.0,0.0,0.0,0.0,12.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.15,0.0,2.0,118.8,MullNi00
14.0,450.0,384.0,234.0,60.9,2403,6.3,15.0,9.0,74.4,75.1,59.5,62.6,27.0,6.6,12.0,2.5,9.0,71.6,15.0,6.0,2.0,2.0,32.0,172.0,29.0,16.9,2.94,37.0,132.0,82.2,YounBr01
