#G,DB,ATT,COM,COM%,YDS,YPA,TD,INT,OFF,PASS,RUN,FUM,BTT,BTT%,TWP,TWP%,ADOT,ADJ%,DRP,DRP%,BAT,HAT,TA,DPR,SK,P2S%,TTT,SCR,1ST,NFL,PFR_ID
2.0,72.0,65.0,35.0,53.8,372,5.7,4.0,4.0,69.4,70.3,49.9,83.5,5.0,7.4,2.0,2.7,9.3,65.1,6.0,14.6,0.0,1.0,1.0,31.0,5.0,16.1,2.61,2.0,22.0,65.7,HoyeBr00
14.0,556.0,470.0,285.0,60.6,3271,7.0,21.0,6.0,70.5,70.2,58.5,29.3,18.0,3.6,19.0,3.2,7.9,71.2,21.0,6.9,8.0,10.0,21.0,195.0,33.0,16.9,2.91,50.0,169.0,91.2,MinsGa00
2.0,6.0,6.0,4.0,66.7,33,5.5,1.0,0.0,66.0,70.1,59.3,75.2,0.0,0.0,0.0,0.0,5.5,83.3,1.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,2.12,0.0,3.0,120.1,TaylTy00
3.0,15.0,11.0,5.0,45.5,49,4.5,0.0,0.0,80.4,68.6,81.6,75.7,0.0,0.0,0.0,0.0,9.3,63.6,2.0,28.6,0.0,0.0,0.0,5.0,2.0,40.0,3.38,2.0,4.0,58.5,HundBr00
9.0,245.0,203.0,119.0,58.6,1365,6.7,7.0,7.0,67.9,67.0,62.3,90.4,8.0,3.7,5.0,1.9,9.1,68.6,12.0,9.2,4.0,1.0,6.0,88.0,29.0,33.0,2.87,12.0,71.0,76.1,HaskDw00
16.0,705.0,626.0,380.0,60.7,5109,8.2,33.0,30.0,68.4,66.7,70.6,62.6,31.0,4.7,39.0,5.2,10.9,70.2,23.0,5.7,10.0,12.0,28.0,233.0,47.0,20.2,2.75,32.0,255.0,84.3,WinsJa00
13.0,575.0,529.0,314.0,59.4,3494,6.6,16.0,14.0,66.5,66.1,61.0,60.5,18.0,3.2,23.0,3.8,8.6,70.6,30.0,8.7,15.0,3.0,17.0,168.0,37.0,22.0,2.46,9.0,175.0,78.1,DaltAn00
13.0,527.0,459.0,284.0,61.9,3027,6.6,24.0,12.0,65.5,65.1,59.0,27.1,20.0,4.1,31.0,5.5,8.4,72.3,21.0,6.9,6.0,14.0,17.0,221.0,40.0,18.1,2.84,27.0,153.0,87.7,JoneDa05
4.0,128.0,117.0,77.0,65.8,736,6.3,3.0,2.0,65.7,64.8,60.0,39.0,6.0,4.8,7.0,5.1,8.5,74.1,3.0,3.8,3.0,0.0,6.0,42.0,8.0,19.0,2.51,3.0,32.0,84.6,FoleNi00
8.0,294.0,262.0,171.0,65.3,1822,7.0,6.0,5.0,66.4,64.4,66.7,28.2,8.0,2.8,10.0,3.2,7.1,78.1,11.0,6.0,7.0,6.0,15.0,107.0,26.0,24.3,2.57,5.0,89.0,85.1,FlacJo00
8.0,203.0,161.0,96.0,59.6,1207,7.5,7.0,2.0,64.8,64.1,59.9,40.9,5.0,2.9,8.0,3.7,7.6,73.5,12.0,11.1,1.0,2.0,9.0,72.0,25.0,34.7,2.89,16.0,52.0,92.3,MariMa01
13.0,485.0,441.0,273.0,61.9,3024,6.9,19.0,13.0,63.4,64.1,44.0,32.4,20.0,4.2,23.0,4.4,8.8,74.6,21.0,7.1,8.0,8.0,29.0,204.0,33.0,16.2,2.79,9.0,149.0,84.3,DarnSa00
4.0,153.0,147.0,91.0,61.9,1042,7.1,6.0,5.0,62.8,63.6,40.7,29.0,7.0,4.6,9.0,5.6,9.0,71.4,4.0,4.2,3.0,3.0,8.0,31.0,5.0,16.1,2.6,1.0,47.0,82.6,MannEl00
15.0,579.0,516.0,326.0,63.2,3138,6.1,17.0,10.0,64.3,63.6,59.8,77.6,20.0,3.7,21.0,3.4,8.3,71.1,23.0,6.6,4.0,5.0,13.0,187.0,38.0,20.3,2.67,23.0,164.0,83.0,TrubMi00
4.0,100.0,91.0,59.0,64.8,659,7.2,4.0,0.0,63.3,62.6,58.4,28.5,3.0,3.2,3.0,2.9,7.4,71.8,2.0,3.3,3.0,0.0,2.0,28.0,8.0,28.6,2.45,1.0,35.0,100.9,MoorMa01
2.0,37.0,29.0,21.0,72.4,198,6.8,0.0,0.0,57.1,62.3,49.0,22.3,0.0,0.0,1.0,2.6,5.7,81.5,1.0,4.5,0.0,0.0,2.0,13.0,6.0,46.2,3.14,2.0,11.0,90.9,McCoJo01
17.0,595.0,507.0,295.0,58.2,3353,6.6,20.0,9.0,64.1,61.4,65.4,26.7,15.0,2.8,27.0,4.3,9.7,70.6,31.0,9.5,7.0,6.0,28.0,217.0,41.0,18.9,2.92,47.0,176.0,83.9,AlleJo02
16.0,620.0,541.0,348.0,64.3,3713,6.9,20.0,12.0,64.2,61.1,69.6,85.7,23.0,4.0,18.0,2.7,7.6,74.4,18.0,4.9,12.0,1.0,32.0,183.0,47.0,25.7,2.74,29.0,182.0,87.4,MurrKy00
1.0,1.0,1.0,1.0,100.0,1,1.0,0.0,0.0,60.7,60.4,-,60.4,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.9,0.0,0.0,79.2,TannAl00
3.0,69.0,67.0,50.0,74.6,580,8.7,3.0,1.0,60.2,59.6,60.5,47.2,1.0,1.4,4.0,5.3,7.7,79.4,0.0,0.0,0.0,1.0,1.0,16.0,2.0,12.5,2.23,0.0,30.0,109.0,SchaMa00
1.0,2.0,2.0,1.0,50.0,3,1.5,0.0,0.0,48.5,58.7,52.2,67.8,0.0,0.0,0.0,0.0,-4.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.3,0.0,0.0,56.3,BortBl00
15.0,506.0,446.0,272.0,61.0,2942,6.6,18.0,6.0,59.2,58.0,59.3,55.6,11.0,2.3,15.0,2.8,8.3,73.3,27.0,9.0,7.0,6.0,22.0,194.0,27.0,13.9,2.94,33.0,153.0,88.2,BrisJa00
5.0,172.0,156.0,100.0,64.1,1020,6.5,7.0,3.0,58.1,57.4,61.4,70.9,5.0,3.0,8.0,4.3,7.1,73.6,9.0,8.3,1.0,3.0,4.0,62.0,5.0,8.1,2.85,11.0,59.0,89.7,LockDr00
9.0,266.0,247.0,160.0,64.8,1707,6.9,11.0,5.0,55.0,56.1,47.3,26.4,11.0,4.1,12.0,4.1,7.3,74.2,10.0,5.9,1.0,7.0,8.0,93.0,15.0,16.1,2.59,3.0,85.0,91.3,KeenCa00
5.0,194.0,174.0,94.0,54.0,984,5.7,4.0,6.0,57.2,55.4,59.4,73.5,7.0,3.7,8.0,3.8,8.9,68.6,15.0,13.8,6.0,2.0,7.0,60.0,14.0,23.3,2.89,6.0,48.0,64.0,BlouDa00
