#G,DB,ATT,COM,COM%,YDS,YPA,TD,INT,OFF,PASS,RUN,FUM,BTT,BTT%,TWP,TWP%,ADOT,ADJ%,DRP,DRP%,BAT,HAT,TA,DPR,SK,P2S%,TTT,SCR,1ST,NFL,PFR_ID
17.0,592.0,567.0,418.0,73.7,4542,8.0,36.0,7.0,94.0,93.6,70.3,78.9,31.0,5.2,15.0,2.4,7.7,81.5,23.0,5.2,7.0,3.0,15.0,152.0,21.0,13.8,2.48,4.0,226.0,112.9,BreeDr00
18.0,722.0,652.0,426.0,65.3,5670,8.7,53.0,12.0,92.8,92.2,67.1,62.4,51.0,7.3,25.0,3.2,9.7,77.8,37.0,8.0,11.0,17.0,28.0,256.0,34.0,13.3,2.8,32.0,273.0,112.2,MahoPa00
18.0,757.0,707.0,468.0,66.2,5018,7.1,42.0,16.0,91.2,89.5,76.7,90.2,41.0,5.5,23.0,2.9,8.3,75.3,36.0,7.1,18.0,6.0,12.0,222.0,21.0,9.5,2.57,28.0,267.0,97.2,LuckAn00
19.0,723.0,695.0,460.0,66.2,5308,7.6,31.0,14.0,90.7,88.5,74.7,78.9,33.0,4.5,20.0,2.6,8.1,76.0,36.0,7.3,6.0,4.0,30.0,175.0,22.0,12.6,2.45,5.0,259.0,95.5,BradTo00
18.0,632.0,591.0,394.0,66.7,4799,8.1,35.0,13.0,88.9,87.4,56.7,90.9,37.0,5.9,24.0,3.6,8.7,76.5,26.0,6.2,12.0,7.0,23.0,233.0,35.0,15.0,2.51,6.0,236.0,102.0,RivePh00
17.0,538.0,454.0,298.0,65.6,3681,8.1,36.0,7.0,89.1,86.3,74.1,47.8,43.0,8.8,16.0,2.8,9.8,76.7,14.0,4.5,8.0,4.0,27.0,212.0,52.0,24.5,2.98,31.0,177.0,110.6,WilsRu00
16.0,681.0,597.0,372.0,62.3,4442,7.4,25.0,2.0,89.0,86.3,77.0,60.3,35.0,5.5,11.0,1.5,9.2,74.0,21.0,5.3,0.0,5.0,59.0,225.0,49.0,21.8,2.94,34.0,220.0,97.6,RodgAa00
19.0,729.0,667.0,423.0,63.4,5400,8.1,33.0,14.0,84.3,83.6,53.3,56.2,39.0,5.5,30.0,3.9,9.2,74.8,23.0,5.2,12.0,9.0,46.0,232.0,39.0,16.8,2.83,23.0,276.0,96.4,GoffJa00
8.0,285.0,246.0,164.0,66.7,2366,9.6,17.0,12.0,83.9,82.4,65.4,68.0,20.0,7.7,17.0,5.6,10.8,74.8,11.0,6.3,4.0,2.0,6.0,101.0,14.0,13.9,2.63,24.0,118.0,100.4,FitzRy00
16.0,668.0,608.0,422.0,69.4,4924,8.1,35.0,7.0,84.3,80.6,79.7,44.1,24.0,3.8,21.0,3.0,8.9,77.8,26.0,5.8,8.0,2.0,21.0,219.0,42.0,19.2,2.61,18.0,243.0,108.1,RyanMa00
14.0,531.0,486.0,310.0,63.8,3725,7.7,27.0,14.0,83.2,79.9,75.8,70.2,40.0,7.7,18.0,3.1,9.6,74.0,28.0,8.3,9.0,2.0,15.0,154.0,25.0,16.2,2.66,18.0,177.0,93.7,MayfBa00
11.0,398.0,365.0,226.0,61.9,2566,7.0,21.0,11.0,81.9,79.3,69.7,86.5,23.0,5.9,16.0,3.7,8.9,72.4,21.0,8.5,6.0,4.0,11.0,127.0,21.0,16.5,2.5,12.0,136.0,89.6,DaltAn00
16.0,669.0,606.0,425.0,70.1,4298,7.1,30.0,10.0,79.3,79.2,51.4,61.1,26.0,4.1,17.0,2.4,7.9,79.5,21.0,4.7,17.0,8.0,17.0,261.0,40.0,15.3,2.61,17.0,220.0,99.7,CousKi00
11.0,448.0,401.0,279.0,69.6,3074,7.7,21.0,7.0,79.4,78.5,60.3,44.9,18.0,4.3,16.0,3.4,8.0,78.7,21.0,7.0,3.0,10.0,5.0,140.0,31.0,22.1,2.61,16.0,163.0,102.2,WentCa00
17.0,685.0,554.0,374.0,67.5,4400,7.9,27.0,10.0,80.9,77.9,75.6,43.4,22.0,3.7,21.0,2.9,8.9,75.3,13.0,3.4,6.0,8.0,20.0,296.0,64.0,21.6,3.06,65.0,238.0,100.2,WatsDe00
16.0,608.0,555.0,367.0,66.1,3777,6.8,21.0,11.0,77.8,76.6,59.0,63.6,30.0,5.1,21.0,3.2,7.1,75.4,26.0,6.6,11.0,5.0,17.0,186.0,40.0,21.5,2.58,13.0,204.0,89.9,StafMa00
16.0,713.0,675.0,452.0,67.0,5129,7.6,34.0,16.0,78.2,75.2,78.4,73.8,43.0,6.0,27.0,3.5,8.1,73.9,21.0,4.4,7.0,8.0,17.0,173.0,24.0,13.9,2.45,13.0,255.0,96.5,RoetBe00
7.0,278.0,266.0,184.0,69.2,1880,7.1,10.0,8.0,76.6,73.7,73.2,53.8,8.0,2.8,9.0,3.0,7.4,75.3,8.0,4.2,2.0,2.0,5.0,84.0,10.0,11.9,2.44,2.0,89.0,89.2,FoleNi00
2.0,34.0,31.0,20.0,64.5,266,8.6,2.0,0.0,73.8,73.2,61.5,79.2,1.0,2.9,0.0,0.0,8.6,71.4,0.0,0.0,0.0,2.0,1.0,13.0,0.0,0.0,2.86,3.0,12.0,113.1,AlleKy00
18.0,680.0,591.0,398.0,67.3,4377,7.4,24.0,9.0,74.8,73.0,68.2,31.3,21.0,3.3,20.0,2.7,7.9,75.4,22.0,5.2,5.0,7.0,22.0,248.0,58.0,23.4,2.85,30.0,222.0,96.3,PresDa01
16.0,612.0,553.0,381.0,68.9,4049,7.3,19.0,10.0,73.2,71.9,64.6,46.7,26.0,4.5,24.0,3.7,7.1,78.9,22.0,5.5,8.0,5.0,22.0,183.0,51.0,27.9,2.45,8.0,200.0,93.9,CarrDe02
