#G,DB,ATT,COM,COM%,YDS,YPA,TD,INT,OFF,PASS,RUN,FUM,BTT,BTT%,TWP,TWP%,ADOT,ADJ%,DRP,DRP%,BAT,HAT,TA,DPR,SK,P2S%,TTT,SCR,1ST,NFL,PFR_ID
17.0,655.0,626.0,428.0,68.4,4949,7.9,40.0,13.0,90.9,90.8,41.9,85.4,50.0,7.5,20.0,2.9,8.6,77.9,40.0,8.5,6.0,4.0,12.0,131.0,24.0,18.3,2.51,5.0,250.0,104.6,MannPe00
18.0,720.0,624.0,420.0,67.3,4826,7.7,42.0,9.0,89.1,88.7,60.0,77.4,49.0,7.3,15.0,1.9,8.2,80.0,48.0,10.3,6.0,5.0,25.0,218.0,55.0,25.2,2.87,41.0,255.0,106.8,RodgAa00
18.0,743.0,692.0,476.0,68.8,5365,7.8,38.0,17.0,88.1,88.6,38.7,83.8,47.0,6.5,22.0,2.8,8.8,75.9,30.0,5.9,8.0,3.0,14.0,218.0,29.0,13.3,2.67,22.0,290.0,99.8,RyanMa00
18.0,765.0,731.0,455.0,62.2,5491,7.5,38.0,10.0,90.3,88.6,56.6,91.5,41.0,5.3,12.0,1.5,9.0,74.5,53.0,10.4,10.0,12.0,22.0,191.0,28.0,14.7,2.45,6.0,292.0,96.9,BradTo00
18.0,553.0,455.0,291.0,64.0,3690,8.1,29.0,11.0,90.6,88.5,80.2,71.4,36.0,7.5,10.0,1.7,10.3,76.8,27.0,8.5,7.0,2.0,32.0,212.0,40.0,18.9,3.41,58.0,202.0,100.3,WilsRu00
16.0,488.0,411.0,267.0,65.0,3279,8.0,22.0,6.0,81.4,85.5,55.6,27.5,16.0,3.7,11.0,2.2,8.5,78.2,35.0,11.6,6.0,6.0,11.0,167.0,32.0,19.2,3.07,45.0,172.0,101.2,GrifRo01
13.0,491.0,449.0,284.0,63.3,3265,7.3,25.0,8.0,85.5,85.0,55.6,66.1,33.0,7.1,18.0,3.5,8.8,75.6,25.0,8.1,13.0,7.0,14.0,169.0,30.0,17.8,2.82,12.0,171.0,96.2,RoetBe00
16.0,699.0,670.0,422.0,63.0,5177,7.7,43.0,19.0,84.7,83.9,41.6,88.6,53.0,7.6,27.0,3.7,8.9,76.2,49.0,10.4,12.0,7.0,30.0,200.0,26.0,13.0,2.72,3.0,268.0,96.3,BreeDr00
14.0,354.0,298.0,185.0,62.1,2612,8.8,14.0,5.0,78.8,82.7,56.3,25.9,34.0,10.8,11.0,3.0,10.7,73.5,23.0,11.1,1.0,1.0,13.0,115.0,21.0,18.3,3.16,35.0,135.0,99.0,KaepCo00
2.0,22.0,19.0,11.0,57.9,131,6.9,1.0,0.0,74.4,82.6,48.7,77.1,2.0,10.0,0.0,0.0,13.1,70.6,1.0,8.3,1.0,0.0,1.0,5.0,2.0,40.0,2.84,1.0,7.0,96.6,MoorMa01
