#G,DB,ATT,COM,COM%,YDS,YPA,TD,INT,OFF,PASS,RUN,FUM,BTT,BTT%,TWP,TWP%,ADOT,ADJ%,DRP,DRP%,BAT,HAT,TA,DPR,SK,P2S%,TTT,SCR,1ST,NFL,PFR_ID
18.0,650.0,589.0,384.0,65.2,4875,8.3,42.0,7.0,93.3,91.7,89.8,58.8,42.0,6.7,19.0,2.7,8.6,75.0,35.0,8.4,7.0,1.0,22.0,177.0,31.0,17.5,2.86,30.0,265.0,109.7,RodgAa00
16.0,702.0,659.0,456.0,69.2,4952,7.5,33.0,17.0,89.1,88.4,48.5,70.3,30.0,4.3,28.0,3.8,8.1,80.2,31.0,6.4,13.0,9.0,24.0,231.0,29.0,12.6,2.61,14.0,267.0,97.0,BreeDr00
17.0,701.0,653.0,439.0,67.2,5297,8.1,33.0,11.0,86.4,86.6,31.4,57.5,35.0,5.1,18.0,2.4,9.1,75.3,31.0,6.6,9.0,5.0,6.0,198.0,39.0,19.7,2.48,8.0,260.0,101.7,RoetBe00
19.0,753.0,717.0,466.0,65.0,5030,7.0,43.0,13.0,85.7,84.2,54.9,85.6,28.0,3.7,18.0,2.2,8.4,75.6,40.0,7.9,10.0,11.0,27.0,213.0,25.0,11.7,2.36,11.0,280.0,97.9,BradTo00
16.0,683.0,628.0,415.0,66.1,4694,7.5,28.0,14.0,84.9,82.9,63.8,74.1,33.0,5.0,26.0,3.6,8.2,76.4,34.0,7.6,8.0,8.0,19.0,241.0,31.0,12.9,2.6,24.0,242.0,93.9,RyanMa00
17.0,535.0,485.0,338.0,69.7,4189,8.6,38.0,9.0,83.6,82.7,63.3,51.2,22.0,4.3,19.0,3.3,9.4,75.6,15.0,4.2,4.0,1.0,12.0,161.0,40.0,24.8,2.84,10.0,217.0,114.5,RomoTo00
1.0,4.0,4.0,3.0,75.0,64,16.0,0.0,1.0,81.4,80.2,-,66.9,0.0,0.0,0.0,0.0,10.8,75.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.5,0.0,3.0,77.1,YateT.00
16.0,627.0,570.0,379.0,66.5,4286,7.5,31.0,18.0,77.9,77.5,48.0,72.5,29.0,4.7,17.0,2.5,9.0,75.6,23.0,5.7,3.0,7.0,27.0,213.0,36.0,16.9,2.69,20.0,222.0,93.8,RivePh00
19.0,807.0,736.0,450.0,61.1,5529,7.5,43.0,20.0,79.1,77.1,68.2,64.1,46.0,5.9,37.0,4.3,9.2,72.9,47.0,9.5,15.0,13.0,26.0,298.0,28.0,9.4,2.86,43.0,290.0,92.5,LuckAn00
1.0,3.0,3.0,2.0,66.7,22,7.3,0.0,0.0,77.1,76.4,60.0,68.7,0.0,0.0,0.0,0.0,9.7,66.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.27,0.0,1.0,88.2,GradBr00
