#G,DB,ATT,COM,COM%,YDS,YPA,TD,INT,OFF,PASS,RUN,FUM,BTT,BTT%,TWP,TWP%,ADOT,ADJ%,DRP,DRP%,BAT,HAT,TA,DPR,SK,P2S%,TTT,SCR,1ST,NFL,PFR_ID
18.0,660.0,610.0,428.0,70.2,4941,8.1,53.0,6.0,95.1,94.7,56.0,88.1,49.0,7.6,15.0,2.1,8.3,81.2,30.0,6.6,3.0,2.0,38.0,160.0,25.0,15.6,2.68,25.0,264.0,119.2,RodgAa00
20.0,780.0,748.0,482.0,64.4,5694,7.6,50.0,15.0,93.3,92.3,67.5,90.8,56.0,7.1,16.0,1.9,9.8,74.0,45.0,8.5,7.0,4.0,21.0,185.0,27.0,14.6,2.41,4.0,287.0,101.4,BradTo00
16.0,656.0,544.0,382.0,70.2,4823,8.9,33.0,7.0,92.4,91.1,81.4,68.9,42.0,7.4,14.0,2.0,9.4,78.4,22.0,5.4,7.0,1.0,19.0,236.0,49.0,20.8,2.98,62.0,246.0,112.4,WatsDe00
18.0,779.0,705.0,466.0,66.1,5590,7.9,42.0,8.0,91.8,90.5,78.0,67.3,50.0,6.7,23.0,2.8,8.5,77.1,40.0,7.9,10.0,6.0,31.0,270.0,26.0,9.6,2.91,47.0,305.0,105.3,MahoPa00
2.0,75.0,63.0,38.0,60.3,443,7.0,2.0,1.0,92.3,89.8,84.8,83.3,7.0,10.6,1.0,1.3,11.3,74.6,6.0,13.6,1.0,0.0,3.0,21.0,3.0,14.3,3.1,9.0,27.0,85.6,HeinTa00
17.0,696.0,585.0,395.0,67.5,4386,7.5,42.0,14.0,90.5,88.7,77.4,83.1,47.0,7.6,16.0,2.2,9.1,78.6,36.0,8.4,5.0,4.0,27.0,271.0,51.0,18.8,3.03,58.0,242.0,103.6,WilsRu00
19.0,767.0,692.0,473.0,68.4,5361,7.7,42.0,11.0,90.3,87.9,76.6,52.7,45.0,6.1,28.0,3.4,9.3,78.7,33.0,6.5,10.0,5.0,34.0,280.0,33.0,11.8,3.04,42.0,289.0,104.9,AlleJo02
17.0,556.0,507.0,333.0,65.7,3984,7.9,34.0,8.0,90.6,86.0,90.9,68.8,20.0,3.7,23.0,3.9,8.7,76.3,21.0,5.9,10.0,10.0,23.0,171.0,25.0,14.6,2.64,23.0,222.0,105.3,TannRy00
18.0,612.0,557.0,349.0,62.7,4030,7.2,30.0,9.0,85.7,85.1,58.1,65.1,34.0,5.8,18.0,2.8,8.8,76.4,33.0,8.6,11.0,3.0,38.0,155.0,27.0,17.4,2.93,27.0,222.0,95.7,MayfBa00
16.0,566.0,517.0,348.0,67.3,4103,7.9,27.0,9.0,84.7,83.9,55.7,43.4,37.0,6.7,18.0,3.0,8.5,78.5,27.0,7.2,7.0,5.0,23.0,170.0,26.0,15.3,2.77,23.0,203.0,101.4,CarrDe02
16.0,683.0,626.0,407.0,65.0,4581,7.3,26.0,11.0,83.1,82.1,53.3,76.4,31.0,4.7,21.0,2.9,9.3,76.5,32.0,7.3,11.0,6.0,34.0,233.0,41.0,17.6,2.75,16.0,249.0,93.3,RyanMa00
16.0,572.0,516.0,349.0,67.6,4265,8.3,35.0,13.0,83.4,80.6,79.2,61.2,24.0,4.3,17.0,2.8,8.7,78.6,18.0,4.9,9.0,8.0,29.0,221.0,39.0,17.6,2.75,17.0,222.0,105.0,CousKi00
5.0,240.0,222.0,151.0,68.0,1856,8.4,9.0,4.0,85.2,80.4,78.9,74.1,12.0,5.2,9.0,3.6,8.3,78.0,12.0,7.4,3.0,4.0,5.0,67.0,10.0,14.9,2.59,8.0,97.0,99.6,PresDa01
16.0,583.0,528.0,339.0,64.2,4084,7.7,26.0,10.0,82.0,78.6,82.5,77.8,32.0,5.6,14.0,2.2,9.4,73.8,28.0,7.6,8.0,5.0,11.0,166.0,39.0,23.5,2.54,16.0,215.0,96.3,StafMa00
15.0,653.0,595.0,396.0,66.6,4336,7.3,31.0,10.0,79.9,78.4,63.8,74.2,31.0,4.9,16.0,2.3,7.8,75.8,23.0,5.5,12.0,12.0,14.0,239.0,32.0,13.4,2.61,25.0,228.0,98.3,HerbJu00
17.0,610.0,590.0,397.0,67.3,4478,7.6,26.0,11.0,79.4,77.8,59.6,90.8,29.0,4.6,21.0,3.2,7.7,77.0,27.0,6.4,12.0,5.0,19.0,143.0,19.0,13.3,2.38,1.0,217.0,96.7,RivePh00
1.0,32.0,28.0,17.0,60.7,226,8.1,1.0,1.0,82.1,77.4,74.1,79.1,2.0,6.9,2.0,6.1,10.8,72.0,1.0,5.6,1.0,0.0,1.0,5.0,0.0,0.0,2.89,4.0,14.0,83.3,MariMa01
16.0,638.0,558.0,375.0,67.2,3971,7.1,26.0,12.0,82.8,77.2,86.5,83.1,27.0,4.6,17.0,2.5,8.3,76.5,13.0,3.4,11.0,1.0,31.0,172.0,27.0,15.7,2.82,51.0,227.0,94.3,MurrKy00
3.0,45.0,43.0,25.0,58.1,324,7.5,2.0,1.0,75.4,75.6,55.7,81.2,3.0,6.5,1.0,2.1,10.8,65.9,2.0,7.4,0.0,1.0,1.0,14.0,1.0,7.1,2.49,1.0,13.0,87.7,RudoMa00
17.0,519.0,424.0,273.0,64.4,3098,7.3,26.0,11.0,79.3,74.9,77.8,46.5,24.0,5.4,20.0,3.7,9.2,74.9,25.0,8.4,9.0,3.0,10.0,194.0,37.0,19.1,3.12,55.0,176.0,95.8,JackLa00
14.0,516.0,448.0,280.0,62.5,2943,6.6,11.0,10.0,78.4,74.4,78.8,34.1,24.0,5.0,17.0,3.1,8.0,74.8,29.0,9.4,10.0,8.0,15.0,208.0,45.0,21.6,2.7,22.0,168.0,80.4,JoneDa05
10.0,453.0,404.0,264.0,65.3,2688,6.7,13.0,5.0,75.1,74.3,58.0,28.7,15.0,3.6,15.0,3.2,8.9,73.5,16.0,5.7,3.0,6.0,11.0,146.0,32.0,21.9,2.6,16.0,155.0,89.8,BurrJo01
17.0,651.0,598.0,400.0,66.9,4281,7.2,22.0,13.0,71.3,71.6,55.1,73.4,14.0,2.3,20.0,3.0,6.8,78.8,25.0,5.9,15.0,8.0,34.0,200.0,29.0,14.5,2.66,24.0,215.0,90.9,GoffJa00
9.0,299.0,267.0,183.0,68.5,2091,7.8,13.0,8.0,75.1,70.7,80.0,90.9,12.0,4.2,14.0,4.4,8.2,78.2,14.0,7.1,8.0,3.0,3.0,98.0,14.0,14.3,2.37,18.0,115.0,95.6,FitzRy00
11.0,376.0,333.0,216.0,64.9,2170,6.5,14.0,8.0,69.9,69.8,55.7,75.1,11.0,3.1,11.0,2.8,7.5,76.2,21.0,8.9,5.0,5.0,12.0,111.0,24.0,21.6,2.48,15.0,121.0,87.3,DaltAn00
14.0,478.0,463.0,322.0,69.5,3341,7.2,27.0,9.0,71.5,69.5,70.2,71.6,16.0,3.3,22.0,4.4,6.5,78.9,21.0,6.1,7.0,3.0,16.0,122.0,13.0,10.7,2.47,2.0,168.0,101.4,BreeDr00
5.0,192.0,179.0,111.0,62.0,1072,6.0,7.0,5.0,67.5,69.4,36.3,71.6,11.0,6.0,10.0,5.1,8.8,72.3,9.0,7.5,4.0,2.0,5.0,48.0,9.0,18.8,2.42,4.0,57.0,80.1,GlenMi00
13.0,155.0,121.0,88.0,72.7,928,7.7,4.0,2.0,67.7,69.1,73.9,20.0,3.0,2.3,7.0,4.3,7.3,82.6,7.0,7.4,1.0,1.0,4.0,58.0,15.0,25.9,3.0,18.0,52.0,98.8,HillTa00
16.0,694.0,676.0,446.0,66.0,4304,6.4,37.0,14.0,69.0,68.3,50.5,82.7,29.0,4.0,21.0,2.8,7.6,75.4,41.0,8.4,18.0,6.0,6.0,145.0,13.0,9.0,2.19,3.0,223.0,93.2,RoetBe00
15.0,420.0,368.0,242.0,65.8,2657,7.2,8.0,10.0,70.9,67.8,66.2,76.0,11.0,2.8,10.0,2.3,7.3,78.1,19.0,7.3,13.0,6.0,13.0,130.0,31.0,23.8,2.84,20.0,141.0,82.9,NewtCa00
2.0,49.0,44.0,25.0,56.8,260,5.9,0.0,1.0,73.2,67.6,76.9,81.5,4.0,8.7,1.0,2.0,9.9,73.7,3.0,10.7,2.0,3.0,1.0,24.0,3.0,12.5,2.91,2.0,16.0,64.6,WolfJo00
1.0,6.0,5.0,4.0,80.0,33,6.6,0.0,0.0,62.2,67.4,53.9,70.8,0.0,0.0,0.0,0.0,4.5,100.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,50.0,2.32,0.0,3.0,94.2,SmitGe00
8.0,277.0,252.0,168.0,66.7,1582,6.3,6.0,8.0,66.0,66.9,51.6,79.7,10.0,3.8,7.0,2.4,5.4,78.5,11.0,6.1,5.0,2.0,17.0,94.0,22.0,23.4,2.48,3.0,74.0,78.5,SmitAl03
9.0,335.0,312.0,202.0,64.7,1852,5.9,10.0,8.0,66.5,66.9,51.9,72.4,17.0,5.2,11.0,3.1,8.3,73.2,6.0,2.9,7.0,5.0,15.0,118.0,18.0,15.3,2.39,4.0,94.0,80.8,FoleNi00
4.0,98.0,87.0,60.0,69.0,610,7.0,4.0,1.0,68.5,66.7,70.2,57.4,3.0,3.2,3.0,2.8,6.4,81.8,3.0,4.8,2.0,1.0,7.0,31.0,7.0,22.6,2.81,4.0,33.0,99.3,AlleKy00
15.0,560.0,492.0,340.0,69.1,3733,7.6,15.0,11.0,66.0,66.4,53.9,68.2,17.0,3.3,20.0,3.4,7.6,79.6,23.0,6.3,10.0,2.0,22.0,173.0,31.0,17.9,2.61,36.0,189.0,92.1,BridTe00
9.0,378.0,327.0,216.0,66.1,2259,6.9,16.0,5.0,67.8,66.0,67.7,52.6,16.0,4.7,10.0,2.5,8.5,75.2,11.0,4.8,2.0,3.0,19.0,130.0,27.0,20.8,2.77,24.0,127.0,95.9,MinsGa00
6.0,155.0,140.0,94.0,67.1,1096,7.8,7.0,5.0,67.5,65.4,66.3,88.6,4.0,2.8,4.0,2.5,6.5,74.6,9.0,8.7,1.0,0.0,1.0,38.0,11.0,28.9,2.52,4.0,56.0,92.4,GaroJi00
6.0,114.0,104.0,66.0,63.5,787,7.6,6.0,0.0,67.7,64.9,68.5,61.8,4.0,3.6,4.0,3.3,8.4,78.1,9.0,12.0,1.0,2.0,4.0,41.0,9.0,22.0,2.47,1.0,42.0,105.7,BeatC.00
