#G,DB,ATT,COM,COM%,YDS,YPA,TD,INT,OFF,PASS,RUN,FUM,BTT,BTT%,TWP,TWP%,ADOT,ADJ%,DRP,DRP%,BAT,HAT,TA,DPR,SK,P2S%,TTT,SCR,1ST,NFL,PFR_ID
1.0,2.0,2.0,2.0,100.0,33,16.5,0.0,0.0,95.0,95.4,60.0,67.4,1.0,33.3,0.0,0.0,13.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.6,0.0,1.0,118.8,BeatC.00
20.0,759.0,662.0,463.0,69.9,5716,8.6,39.0,16.0,91.8,91.1,67.3,78.3,39.0,5.6,17.0,2.1,8.2,79.8,31.0,6.3,14.0,3.0,23.0,260.0,70.0,26.9,2.62,26.0,266.0,105.9,BurrJo01
19.0,849.0,810.0,544.0,67.2,5916,7.3,46.0,13.0,91.7,90.5,77.5,90.5,44.0,5.2,16.0,1.8,8.2,76.4,41.0,7.0,10.0,5.0,27.0,175.0,29.0,16.6,2.33,10.0,303.0,100.7,BradTo00
17.0,612.0,560.0,386.0,68.9,4340,7.8,37.0,4.0,89.4,87.0,67.9,88.5,36.0,6.1,13.0,2.0,8.1,77.7,18.0,4.5,6.0,4.0,26.0,162.0,35.0,21.6,2.6,17.0,227.0,110.9,RodgAa00
16.0,611.0,561.0,372.0,66.3,4221,7.5,33.0,7.0,88.2,86.8,60.0,42.4,30.0,5.0,18.0,2.8,8.5,77.6,22.0,5.6,9.0,18.0,21.0,206.0,28.0,13.6,2.59,15.0,195.0,103.1,CousKi00
15.0,582.0,515.0,352.0,68.3,3924,7.6,24.0,12.0,82.9,86.7,49.2,49.0,43.0,7.9,14.0,2.3,8.2,76.2,12.0,3.3,9.0,1.0,27.0,187.0,33.0,17.6,2.78,31.0,191.0,96.6,MurrKy00
17.0,740.0,672.0,443.0,65.9,5014,7.5,38.0,15.0,90.0,85.8,79.1,92.6,27.0,3.8,13.0,1.6,7.9,77.1,38.0,7.9,17.0,6.0,24.0,199.0,31.0,15.6,2.72,36.0,273.0,97.7,HerbJu00
21.0,793.0,741.0,502.0,67.7,6074,8.2,50.0,20.0,86.1,84.6,73.9,85.9,47.0,6.0,29.0,3.5,8.9,76.6,41.0,7.6,8.0,7.0,16.0,208.0,37.0,17.8,2.66,15.0,296.0,103.9,StafMa00
17.0,703.0,639.0,433.0,67.8,4703,7.4,38.0,11.0,82.4,83.5,41.6,37.0,34.0,4.9,24.0,3.2,8.3,76.5,29.0,6.3,12.0,7.0,15.0,222.0,35.0,15.8,2.7,24.0,244.0,101.9,PresDa01
3.0,11.0,11.0,9.0,81.8,227,20.6,1.0,0.0,83.6,81.9,67.7,76.7,1.0,9.1,0.0,0.0,8.8,81.8,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.12,0.0,8.0,149.1,HoyeBr00
19.0,793.0,708.0,457.0,64.5,5044,7.1,45.0,15.0,90.9,81.9,93.6,64.9,44.0,5.9,27.0,3.2,9.1,74.8,30.0,6.2,17.0,4.0,36.0,264.0,28.0,10.6,2.89,55.0,287.0,97.9,AlleJo02
