#G,DB,ATT,COM,COM%,YDS,YPA,TD,INT,OFF,PASS,RUN,FUM,BTT,BTT%,TWP,TWP%,ADOT,ADJ%,DRP,DRP%,BAT,HAT,TA,DPR,SK,P2S%,TTT,SCR,1ST,NFL,PFR_ID
18.0,774.0,722.0,457.0,63.3,5382,7.5,39.0,9.0,91.7,90.4,78.0,89.8,40.0,5.2,16.0,1.9,8.3,76.2,49.0,9.7,10.0,14.0,32.0,271.0,43.0,15.9,2.34,9.0,262.0,98.7,BradTo00
14.0,567.0,537.0,361.0,67.2,4506,8.4,22.0,16.0,90.5,89.6,52.1,91.1,44.0,7.5,21.0,3.4,10.1,76.2,29.0,7.4,6.0,4.0,13.0,166.0,26.0,15.7,2.41,4.0,196.0,94.3,RoetBe00
18.0,656.0,618.0,390.0,63.1,5255,8.5,39.0,17.0,86.1,84.8,51.2,57.4,45.0,6.8,37.0,5.2,11.3,72.9,27.0,6.5,6.0,14.0,20.0,273.0,31.0,11.4,2.46,7.0,268.0,99.7,PalmCa00
15.0,661.0,627.0,428.0,68.3,4870,7.8,32.0,11.0,86.8,84.8,65.7,74.4,32.0,4.8,23.0,3.3,8.2,77.0,28.0,6.1,7.0,6.0,20.0,190.0,31.0,16.3,2.47,3.0,230.0,101.0,BreeDr00
19.0,657.0,586.0,349.0,59.6,4598,7.8,38.0,12.0,84.7,84.4,67.1,79.7,38.0,6.2,21.0,3.0,10.9,71.4,36.0,9.4,14.0,13.0,18.0,234.0,41.0,17.5,2.84,30.0,245.0,97.5,NewtCa00
13.0,433.0,386.0,255.0,66.1,3250,8.4,25.0,7.0,80.4,82.3,49.3,70.7,27.0,6.5,14.0,3.0,9.3,76.9,18.0,6.6,10.0,5.0,16.0,125.0,19.0,15.2,2.41,27.0,154.0,106.3,DaltAn00
18.0,672.0,557.0,373.0,67.0,4532,8.1,38.0,11.0,81.7,80.3,72.6,62.8,30.0,5.2,21.0,3.0,9.3,77.6,25.0,6.3,4.0,5.0,31.0,284.0,52.0,18.3,2.95,63.0,236.0,106.3,WilsRu00
16.0,657.0,614.0,407.0,66.3,4591,7.5,21.0,16.0,80.9,80.3,46.5,55.5,15.0,2.3,20.0,2.8,8.1,76.4,37.0,8.3,18.0,4.0,11.0,215.0,30.0,14.0,2.59,13.0,236.0,89.0,RyanMa00
2.0,40.0,39.0,32.0,82.1,335,8.6,0.0,1.0,77.5,79.5,60.0,44.4,2.0,4.4,1.0,2.2,7.4,89.5,2.0,5.9,1.0,0.0,0.0,8.0,1.0,12.5,2.72,0.0,19.0,91.8,McCoLu00
1.0,17.0,14.0,10.0,71.4,99,7.1,1.0,0.0,80.1,78.4,-,74.2,1.0,7.1,0.0,0.0,9.1,78.6,1.0,9.1,0.0,0.0,0.0,7.0,3.0,42.9,2.48,0.0,7.0,114.9,TannAl00
16.0,621.0,573.0,350.0,61.1,3987,7.0,32.0,13.0,76.0,77.3,43.2,51.5,37.0,6.1,25.0,3.8,8.3,72.8,44.0,11.2,12.0,0.0,19.0,183.0,31.0,16.9,2.59,17.0,187.0,91.1,CarrDe02
14.0,570.0,532.0,346.0,65.0,3725,7.0,19.0,14.0,75.9,75.8,47.1,66.3,25.0,4.4,15.0,2.5,7.4,78.1,42.0,10.8,14.0,7.0,13.0,183.0,28.0,15.3,2.6,10.0,167.0,86.4,BradSa00
15.0,527.0,483.0,311.0,64.4,3659,7.6,21.0,11.0,75.1,74.5,53.6,52.8,19.0,3.7,18.0,3.2,8.9,73.2,27.0,8.0,7.0,0.0,13.0,202.0,29.0,14.4,2.64,15.0,181.0,92.3,CutlJa00
14.0,468.0,380.0,242.0,63.7,3035,8.0,20.0,6.0,77.0,73.8,74.7,56.7,24.0,5.9,16.0,3.2,10.7,71.2,18.0,6.9,5.0,3.0,7.0,178.0,36.0,20.2,3.23,52.0,151.0,99.4,TaylTy00
18.0,746.0,652.0,392.0,60.1,4292,6.6,35.0,9.0,75.2,71.6,80.0,62.4,37.0,5.1,22.0,2.6,8.7,72.3,41.0,9.5,8.0,7.0,37.0,269.0,48.0,17.8,2.94,44.0,217.0,91.8,RodgAa00
