#G,DB,ATT,COM,COM%,YDS,YPA,TD,INT,OFF,PASS,RUN,FUM,BTT,BTT%,TWP,TWP%,ADOT,ADJ%,DRP,DRP%,BAT,HAT,TA,DPR,SK,P2S%,TTT,SCR,1ST,NFL,PFR_ID
15.0,614.0,574.0,384.0,66.9,4691,8.2,35.0,5.0,94.9,94.2,58.7,90.8,41.0,6.7,8.0,1.2,8.7,78.3,28.0,6.8,7.0,4.0,35.0,187.0,24.0,12.8,2.53,14.0,226.0,108.6,BradTo00
19.0,698.0,632.0,443.0,70.1,5958,9.4,47.0,7.0,92.2,91.5,59.4,69.4,33.0,4.9,19.0,2.6,9.1,78.4,26.0,5.5,9.0,3.0,21.0,234.0,45.0,19.2,2.59,18.0,301.0,119.9,RyanMa00
19.0,831.0,738.0,481.0,65.2,5432,7.4,49.0,9.0,91.4,90.9,74.8,65.2,44.0,5.6,20.0,2.3,9.4,74.3,32.0,6.2,7.0,3.0,36.0,252.0,45.0,17.9,3.02,47.0,296.0,104.1,RodgAa00
15.0,628.0,545.0,346.0,63.5,4240,7.8,31.0,13.0,90.4,90.3,60.3,80.2,30.0,5.1,15.0,2.2,9.0,74.6,27.0,7.2,17.0,12.0,13.0,279.0,41.0,14.7,2.86,41.0,223.0,96.4,LuckAn00
15.0,593.0,560.0,357.0,63.8,3938,7.0,28.0,6.0,85.3,87.2,33.4,73.7,32.0,5.3,17.0,2.6,8.2,73.9,37.0,9.4,3.0,1.0,21.0,141.0,16.0,11.3,2.51,17.0,193.0,96.7,CarrDe02
18.0,701.0,606.0,393.0,64.9,4668,7.7,25.0,13.0,83.8,83.3,58.4,78.8,41.0,6.4,19.0,2.6,9.1,77.8,31.0,7.3,8.0,9.0,42.0,291.0,46.0,15.8,2.65,41.0,228.0,93.0,WilsRu00
16.0,704.0,673.0,471.0,70.0,5208,7.7,37.0,15.0,83.2,82.5,53.8,82.6,31.0,4.4,26.0,3.5,7.7,79.8,28.0,5.6,15.0,4.0,22.0,172.0,27.0,15.7,2.34,3.0,262.0,101.7,BreeDr00
17.0,554.0,497.0,335.0,67.4,3969,8.0,26.0,5.0,83.7,81.5,67.9,61.1,16.0,3.0,14.0,2.4,8.9,75.3,15.0,4.3,4.0,13.0,12.0,194.0,27.0,13.9,2.86,29.0,213.0,104.8,PresDa01
16.0,638.0,606.0,406.0,67.0,4917,8.1,25.0,12.0,80.6,80.0,52.3,75.2,33.0,5.1,19.0,2.8,9.4,76.3,21.0,4.9,10.0,2.0,31.0,204.0,23.0,11.3,2.73,9.0,231.0,97.2,CousKi00
17.0,630.0,605.0,392.0,64.8,4554,7.5,32.0,17.0,80.3,79.3,50.5,65.4,36.0,5.6,31.0,4.6,9.4,73.3,33.0,7.8,7.0,5.0,10.0,146.0,19.0,13.0,2.52,6.0,220.0,93.4,RoetBe00
6.0,206.0,200.0,134.0,67.0,1445,7.2,6.0,0.0,79.8,79.0,51.4,74.1,7.0,3.3,3.0,1.4,8.3,74.9,9.0,6.3,0.0,1.0,6.0,50.0,4.0,8.0,2.41,1.0,73.0,98.0,HoyeBr00
17.0,696.0,626.0,406.0,64.9,4532,7.2,24.0,10.0,81.4,79.0,73.5,80.6,24.0,3.6,21.0,2.8,7.9,75.7,39.0,8.8,12.0,6.0,17.0,216.0,40.0,18.5,2.6,30.0,240.0,92.4,StafMa00
16.0,578.0,523.0,348.0,66.5,3674,7.0,16.0,9.0,77.4,78.0,55.2,56.6,20.0,3.6,16.0,2.6,7.0,77.9,36.0,9.4,8.0,2.0,19.0,147.0,29.0,19.7,2.43,25.0,194.0,89.8,SmitAl03
6.0,69.0,63.0,43.0,68.3,502,8.0,4.0,0.0,73.8,75.8,52.9,50.7,4.0,5.8,1.0,1.3,8.1,76.7,3.0,6.5,0.0,2.0,1.0,22.0,3.0,13.6,2.3,2.0,23.0,113.3,GaroJi00
15.0,596.0,552.0,395.0,71.6,3877,7.0,20.0,5.0,76.7,75.8,63.0,79.8,31.0,5.3,13.0,2.1,6.6,80.9,20.0,4.8,14.0,13.0,12.0,197.0,37.0,18.8,2.45,7.0,199.0,99.3,BradSa00
15.0,530.0,436.0,269.0,61.7,3023,6.9,17.0,6.0,75.6,74.8,68.3,83.2,14.0,3.0,9.0,1.6,9.8,73.2,21.0,7.2,7.0,7.0,25.0,217.0,42.0,19.4,3.34,52.0,168.0,89.7,TaylTy00
15.0,644.0,597.0,364.0,61.0,4233,7.1,26.0,14.0,73.4,74.6,27.0,37.4,21.0,3.3,29.0,4.2,10.0,70.5,25.0,6.4,11.0,11.0,21.0,247.0,40.0,16.2,2.37,4.0,219.0,87.2,PalmCa00
1.0,11.0,11.0,10.0,90.9,75,6.8,1.0,0.0,74.9,73.7,-,72.4,0.0,0.0,0.0,0.0,3.5,100.0,1.0,9.1,0.0,0.0,0.0,3.0,0.0,0.0,2.38,0.0,6.0,125.4,GlenMi00
13.0,435.0,389.0,261.0,67.1,2995,7.7,19.0,12.0,74.2,73.4,58.8,63.0,25.0,6.1,16.0,3.5,8.2,77.4,17.0,6.1,12.0,8.0,8.0,171.0,29.0,17.0,2.61,16.0,140.0,93.5,TannRy00
7.0,223.0,216.0,129.0,59.7,1611,7.5,8.0,14.0,73.0,73.2,43.5,49.8,12.0,5.2,19.0,7.9,10.9,71.0,20.0,13.4,4.0,1.0,1.0,62.0,6.0,9.7,2.58,1.0,89.0,68.3,BarkMa00
16.0,632.0,567.0,345.0,60.8,4090,7.2,28.0,18.0,72.0,72.3,54.2,59.3,18.0,2.9,25.0,3.6,10.8,69.1,22.0,6.0,12.0,9.0,15.0,240.0,35.0,14.6,2.89,29.0,223.0,86.1,WinsJa00
9.0,221.0,195.0,128.0,65.6,1380,7.1,6.0,2.0,68.9,71.9,37.1,43.8,5.0,2.4,4.0,1.7,8.0,78.2,8.0,5.9,2.0,2.0,16.0,105.0,21.0,20.0,2.89,4.0,67.0,92.3,KessCo00
16.0,627.0,563.0,364.0,64.7,4206,7.5,18.0,8.0,70.6,69.6,60.5,72.1,22.0,3.7,19.0,2.9,8.4,75.3,21.0,5.5,13.0,4.0,33.0,181.0,41.0,22.7,2.5,23.0,215.0,91.8,DaltAn00
15.0,557.0,510.0,270.0,52.9,3509,6.9,19.0,14.0,68.5,69.4,56.5,80.6,27.0,4.9,30.0,5.0,11.0,65.4,31.0,10.3,10.0,10.0,27.0,210.0,36.0,17.1,2.66,10.0,176.0,75.8,NewtCa00
16.0,622.0,578.0,349.0,60.4,4386,7.6,33.0,21.0,70.7,69.4,56.5,78.8,25.0,4.1,22.0,3.3,9.0,74.0,33.0,8.6,10.0,5.0,46.0,250.0,36.0,14.4,2.63,7.0,216.0,87.9,RivePh00
16.0,662.0,607.0,379.0,62.4,3782,6.2,16.0,14.0,69.9,68.3,66.3,50.3,17.0,2.6,27.0,3.9,7.9,74.8,36.0,8.7,15.0,14.0,21.0,197.0,34.0,17.3,2.66,19.0,197.0,79.3,WentCa00
15.0,499.0,451.0,276.0,61.2,3426,7.6,26.0,9.0,66.8,67.3,53.5,50.1,25.0,5.1,22.0,4.1,10.1,69.4,12.0,4.2,5.0,3.0,25.0,147.0,23.0,15.6,2.77,23.0,168.0,95.6,MariMa01
2.0,59.0,55.0,36.0,65.5,410,7.5,3.0,0.0,67.2,66.1,61.0,82.3,4.0,6.9,2.0,3.2,8.6,70.4,2.0,5.3,0.0,0.0,1.0,12.0,4.0,33.3,2.26,0.0,14.0,105.9,FoleNi00
16.0,713.0,672.0,436.0,64.9,4317,6.4,20.0,15.0,66.5,65.5,66.6,89.6,13.0,1.8,23.0,3.0,7.8,75.0,32.0,6.8,6.0,8.0,27.0,227.0,32.0,14.1,2.48,9.0,208.0,83.5,FlacJo00
