#G,DB,ATT,COM,COM%,YDS,YPA,TD,INT,OFF,PASS,RUN,FUM,BTT,BTT%,TWP,TWP%,ADOT,ADJ%,DRP,DRP%,BAT,HAT,TA,DPR,SK,P2S%,TTT,SCR,1ST,NFL,PFR_ID
16.0,637.0,548.0,369.0,67.3,4907,9.0,47.0,7.0,92.7,92.6,59.7,87.7,53.0,9.0,7.0,1.0,9.2,80.3,48.0,11.5,6.0,3.0,18.0,176.0,40.0,22.7,2.88,49.0,244.0,118.8,RodgAa00
18.0,806.0,763.0,541.0,70.9,6398,8.4,53.0,16.0,93.2,92.6,57.9,91.6,65.0,8.2,24.0,2.9,8.2,78.9,35.0,6.1,6.0,9.0,14.0,210.0,29.0,13.8,2.67,14.0,327.0,110.5,BreeDr00
19.0,771.0,722.0,476.0,65.9,6113,8.5,47.0,16.0,88.9,90.3,35.4,90.7,48.0,6.3,14.0,1.7,8.7,74.9,41.0,7.9,9.0,7.0,14.0,205.0,35.0,17.1,2.57,14.0,313.0,104.8,BradTo00
20.0,803.0,752.0,465.0,61.8,6153,8.2,38.0,17.0,87.4,90.1,30.7,86.3,70.0,8.9,23.0,2.7,10.1,73.2,46.0,9.0,9.0,9.0,34.0,314.0,39.0,12.4,2.73,12.0,279.0,95.1,MannEl00
17.0,651.0,607.0,371.0,61.1,4376,7.2,29.0,12.0,79.4,80.2,45.9,78.4,40.0,6.2,14.0,2.0,9.3,73.5,45.0,10.8,9.0,5.0,21.0,182.0,28.0,15.4,2.59,16.0,220.0,90.7,RyanMa00
18.0,594.0,513.0,309.0,60.2,3639,7.1,22.0,5.0,78.6,80.1,50.6,45.6,40.0,7.4,16.0,2.6,8.1,74.1,34.0,9.9,16.0,6.0,27.0,229.0,51.0,22.3,2.85,30.0,174.0,92.1,SmitAl03
10.0,313.0,292.0,178.0,61.0,2479,8.5,15.0,6.0,78.5,79.7,33.9,82.4,16.0,5.3,8.0,2.5,8.8,74.5,15.0,7.8,10.0,1.0,20.0,109.0,16.0,14.7,2.8,5.0,120.0,96.8,SchaMa00
13.0,498.0,423.0,253.0,59.8,3303,7.8,18.0,14.0,79.4,79.6,66.0,30.2,37.0,8.4,21.0,4.0,9.3,73.2,28.0,10.0,14.0,6.0,14.0,199.0,23.0,11.6,3.14,52.0,179.0,84.9,VickMi00
16.0,621.0,582.0,366.0,62.9,4624,7.9,27.0,20.0,78.5,79.6,35.3,62.8,45.0,7.3,19.0,2.9,9.6,74.6,30.0,7.6,6.0,4.0,38.0,181.0,30.0,16.6,2.81,9.0,241.0,88.7,RivePh00
13.0,394.0,347.0,210.0,60.5,2497,7.2,16.0,9.0,71.7,76.1,28.9,26.1,39.0,10.8,22.0,5.4,10.4,72.0,26.0,11.0,7.0,2.0,10.0,128.0,35.0,27.3,2.82,12.0,127.0,87.1,MoorMa01
16.0,565.0,522.0,346.0,66.3,4203,8.1,31.0,10.0,74.6,76.1,35.7,70.4,32.0,5.9,14.0,2.4,8.1,75.1,27.0,7.2,9.0,2.0,10.0,176.0,36.0,20.5,2.62,7.0,206.0,102.7,RomoTo00
17.0,755.0,706.0,449.0,63.6,5435,7.7,44.0,17.0,76.1,76.0,48.1,83.9,52.0,7.0,26.0,3.3,8.7,74.4,47.0,9.5,11.0,2.0,26.0,182.0,36.0,19.8,2.57,13.0,267.0,97.9,StafMa00
16.0,613.0,553.0,346.0,62.6,4366,7.9,22.0,15.0,75.5,75.8,47.2,63.8,41.0,7.1,28.0,4.3,9.8,70.5,27.0,7.2,11.0,2.0,9.0,200.0,45.0,22.5,2.71,15.0,229.0,89.1,RoetBe00
6.0,178.0,165.0,100.0,60.6,1170,7.1,6.0,4.0,71.7,75.3,35.5,59.5,7.0,4.0,3.0,1.6,10.5,70.9,7.0,6.5,1.0,3.0,9.0,61.0,5.0,8.2,2.78,8.0,60.0,84.2,CampJa00
5.0,55.0,49.0,33.0,67.3,518,10.6,6.0,2.0,70.1,74.8,45.7,57.2,4.0,7.8,2.0,3.4,9.1,83.0,6.0,15.4,0.0,2.0,0.0,15.0,5.0,33.3,2.59,1.0,23.0,124.8,FlynMa00
1.0,1.0,1.0,1.0,100.0,22,22.0,0.0,0.0,68.5,74.0,56.9,69.4,0.0,0.0,0.0,0.0,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.5,0.0,1.0,118.8,HoyeBr00
4.0,134.0,112.0,64.0,57.1,868,7.8,4.0,4.0,75.1,73.1,66.4,87.6,10.0,8.6,4.0,2.9,9.7,69.6,7.0,9.9,3.0,5.0,2.0,59.0,11.0,18.6,2.69,11.0,48.0,79.0,HennCh01
