RANK,TEAM,RECORD,PF,PA,OVER,OFF,PASS,PBLK,RECV,RUN,RBLK,DEF,RDEF,TACK,PRSH,COV,SPEC
,Arizona Cardinals,4 - 13,330,455,65.5,67.8,57.7,65.5,67.1,92.3,54.0,50.9,38.2,54.1,62.7,55.2,84.1
,Atlanta Falcons,7 - 10,321,373,81.0,70.8,49.4,74.2,74.0,76.7,68.2,76.8,87.6,61.0,64.6,65.2,65.3
,Baltimore Ravens,13 - 4,483,280,93.7,81.5,84.4,73.7,75.2,90.7,67.9,89.1,64.7,52.5,81.5,92.9,79.4
,Buffalo Bills,11 - 6,451,311,91.0,80.2,86.4,69.7,75.4,91.0,61.4,79.8,57.8,42.5,73.9,91.9,71.8
,Carolina Panthers,2 - 15,236,416,68.6,61.0,57.0,53.6,63.3,79.5,53.5,73.0,65.1,32.0,71.5,79.8,71.8
,Chicago Bears,7 - 10,360,379,73.5,69.2,62.2,57.3,73.1,89.7,55.1,64.5,53.0,60.7,59.1,78.1,78.6
,Cincinnati Bengals,9 - 8,366,384,80.0,73.2,77.1,58.8,75.3,76.9,55.7,67.9,62.3,73.3,76.2,60.9,88.7
,Cleveland Browns,11 - 6,396,362,80.6,64.7,55.6,65.3,66.4,75.5,56.6,84.7,58.9,48.0,91.3,90.8,86.0
,Dallas Cowboys,12 - 5,509,315,93.5,81.7,88.3,67.7,80.8,82.9,63.7,87.1,70.9,81.9,91.0,87.1,84.1
,Denver Broncos,8 - 9,357,413,75.9,74.6,71.0,72.7,69.6,77.6,72.3,60.0,59.3,34.2,69.8,48.4,83.9
,Detroit Lions,12 - 5,461,395,92.3,86.2,84.3,71.1,83.0,87.6,77.6,72.3,74.8,49.5,75.4,58.3,83.3
,Green Bay Packers,9 - 8,383,350,83.2,78.0,83.2,71.6,78.0,82.8,56.2,71.4,62.5,57.8,77.1,71.2,67.9
,Houston Texans,10 - 7,377,353,85.3,74.7,73.1,64.0,80.2,74.2,57.7,76.8,63.8,38.8,77.6,85.6,81.1
,Indianapolis Colts,9 - 8,396,415,76.3,70.0,59.7,71.7,68.5,72.4,68.0,70.8,60.4,36.7,79.4,69.9,67.5
,Jacksonville Jaguars,9 - 8,377,371,76.6,67.5,79.6,59.6,70.4,75.8,40.6,72.6,64.0,47.9,64.5,85.6,85.4
,Kansas City Chiefs,11 - 6,371,294,84.0,74.8,79.7,71.2,72.0,84.4,59.3,73.0,61.2,59.6,77.5,71.0,90.3
,Las Vegas Raiders,8 - 9,332,331,82.5,71.2,64.9,68.5,71.6,73.9,62.9,78.5,73.9,53.3,75.3,80.2,69.8
,Los Angeles Chargers,5 - 12,346,398,79.7,69.2,79.0,68.3,71.3,69.4,40.1,71.8,65.6,61.8,71.9,71.2,90.8
,Los Angeles Rams,10 - 7,404,377,84.2,80.2,82.2,62.6,75.2,90.2,71.1,69.6,71.5,51.6,76.8,50.0,64.1
,Miami Dolphins,11 - 6,496,391,94.4,85.9,89.6,66.2,87.1,91.7,59.3,88.7,88.6,48.7,86.3,78.7,66.5
,Minnesota Vikings,7 - 10,344,362,83.4,78.0,77.2,74.4,77.8,75.2,65.0,68.4,62.2,48.5,59.9,77.3,79.0
,New England Patriots,4 - 13,236,366,70.8,63.3,50.3,50.9,66.7,78.7,63.5,72.8,80.7,71.0,62.2,66.8,77.6
,New Orleans Saints,9 - 8,402,327,82.7,71.7,74.3,55.7,76.4,79.1,54.7,76.9,63.0,61.6,69.2,90.3,90.4
,New York Giants,6 - 11,266,407,61.0,57.4,65.5,43.4,62.3,69.5,40.9,68.0,58.0,42.9,66.1,77.6,69.0
,New York Jets,7 - 10,268,355,77.4,56.8,50.4,48.4,63.0,70.8,53.7,90.0,66.8,60.6,81.8,94.3,89.0
,Philadelphia Eagles,11 - 6,433,428,91.9,81.0,83.0,76.5,75.7,75.0,76.4,76.3,75.9,68.2,80.5,65.9,90.1
,Pittsburgh Steelers,10 - 7,304,324,81.3,68.0,62.5,47.3,69.6,83.6,63.0,81.0,69.2,55.1,88.6,74.9,78.3
,San Francisco 49ers,12 - 5,491,298,95.2,91.0,82.8,55.0,90.5,92.1,82.9,89.9,68.4,65.4,89.7,92.1,68.1
,Seattle Seahawks,9 - 8,364,402,86.2,76.3,80.2,52.9,79.3,85.3,62.7,73.5,59.7,33.9,79.4,80.9,90.7
,Tampa Bay Buccaneers,9 - 8,348,325,75.9,69.6,72.9,70.7,71.3,68.1,52.2,69.0,58.6,66.9,74.8,69.6,66.8
,Tennessee Titans,6 - 11,305,367,74.3,70.1,64.2,57.1,73.1,88.9,59.8,64.7,59.6,66.2,70.6,61.4,87.2
,Washington Commanders,4 - 13,329,518,70.0,68.8,59.6,67.0,67.7,80.0,65.2,62.0,50.5,62.4,67.0,65.9,62.0
,,,,,,,,,,,,,,,,,
