RANK,TEAM,RECORD,PF,PA,OVER,OFF,PASS,PBLK,RECV,RUN,RBLK,DEF,RDEF,TACK,PRSH,COV,SPEC
,Arizona Cardinals,8 - 8,312,348,68.5,66.7,45.7,63.1,70.2,57.3,85.6,67.1,53.9,87.5,68.6,77.3,-
,Atlanta Falcons,10 - 6,402,350,81.5,81.1,78.7,79.1,77.9,69.2,75.5,71.0,73.7,75.2,74.5,61.2,-
,Baltimore Ravens,12 - 4,378,266,85.4,76.0,63.9,79.9,74.8,65.2,80.6,89.2,90.4,89.7,71.4,90.4,-
,Buffalo Bills,6 - 10,372,434,74.1,75.0,68.2,85.9,67.4,73.3,74.3,63.9,69.1,91.9,62.3,58.9,-
,Carolina Panthers,6 - 10,406,429,74.6,79.5,65.1,69.3,76.4,85.0,87.2,57.9,55.4,65.0,68.1,51.4,72.2
,Chicago Bears,8 - 8,353,341,72.5,69.3,63.6,60.7,68.3,75.7,72.0,71.9,74.2,90.3,65.3,74.0,-
,Cincinnati Bengals,9 - 7,344,323,75.6,73.6,62.6,78.0,71.1,69.7,77.4,71.1,72.2,85.0,72.7,61.1,-
,Cleveland Browns,4 - 12,218,307,69.1,66.0,59.4,76.8,63.7,53.6,72.4,69.9,67.6,90.5,65.5,70.1,-
,Dallas Cowboys,8 - 8,369,347,82.6,82.2,75.3,74.1,82.4,69.3,81.0,71.2,82.9,90.0,78.7,46.3,-
,Denver Broncos,8 - 8,309,390,69.9,66.2,50.1,67.5,61.9,77.9,68.8,71.3,81.0,81.9,63.9,66.9,-
,Detroit Lions,10 - 6,474,387,77.3,78.4,73.7,80.9,79.2,64.0,73.1,66.2,56.6,58.7,74.7,72.1,-
,Green Bay Packers,15 - 1,560,359,82.7,86.4,93.0,77.7,80.7,70.3,73.5,63.4,53.7,65.3,56.6,78.0,-
,Houston Texans,10 - 6,381,278,88.0,87.0,75.6,83.6,78.2,76.7,90.4,75.8,69.2,90.1,75.8,76.7,43.3
,Indianapolis Colts,2 - 14,243,430,64.1,66.5,47.3,71.0,71.0,63.0,70.5,58.1,55.8,79.1,68.6,50.1,-
,Jacksonville Jaguars,5 - 11,243,329,70.4,63.1,36.1,71.7,59.4,59.7,83.1,78.2,77.8,91.0,71.4,82.5,-
,Kansas City Chiefs,7 - 9,212,338,76.5,72.2,59.0,80.8,73.4,64.9,72.4,75.5,85.5,74.4,66.6,63.3,-
,Miami Dolphins,6 - 10,329,313,72.6,75.7,77.2,68.1,73.9,52.8,79.9,60.9,70.7,68.6,67.7,40.9,-
,Minnesota Vikings,3 - 13,340,449,77.0,77.8,53.2,72.5,71.9,82.9,90.4,67.1,88.0,89.8,74.6,33.4,-
,New England Patriots,13 - 3,513,342,90.3,91.4,90.1,74.5,88.4,68.0,88.5,71.8,85.2,89.0,66.1,57.4,-
,New Orleans Saints,13 - 3,547,339,86.7,93.0,92.2,79.0,88.2,90.1,87.7,55.3,60.1,60.0,56.2,54.2,-
,New York Giants,9 - 7,394,400,81.0,81.4,84.1,59.5,85.4,65.6,74.5,69.5,74.1,90.4,72.2,56.4,-
,New York Jets,8 - 8,377,363,76.9,69.8,56.2,74.5,69.1,59.8,80.5,81.2,85.4,67.5,59.4,88.6,-
,Oakland Raiders,8 - 8,359,433,75.7,78.2,69.0,73.0,80.0,66.8,78.0,63.2,79.8,85.8,73.3,40.5,-
,Philadelphia Eagles,8 - 8,396,328,81.7,80.3,73.7,73.8,73.5,75.2,88.0,73.1,62.6,63.2,90.1,65.6,-
,Pittsburgh Steelers,12 - 4,325,227,87.3,86.7,76.2,71.7,86.6,85.7,81.3,73.6,73.0,91.0,63.3,79.6,-
,San Diego Chargers,8 - 8,406,377,77.3,80.1,79.6,70.7,83.1,66.7,71.0,62.2,68.2,90.8,67.0,55.0,-
,San Francisco 49ers,13 - 3,380,229,88.4,80.7,83.4,64.7,71.5,71.9,88.6,88.0,91.4,90.9,79.9,82.2,-
,Seattle Seahawks,7 - 9,321,315,77.6,70.9,69.0,65.6,70.3,66.3,74.8,80.4,81.3,90.8,70.2,89.2,-
,St. Louis Rams,2 - 14,193,407,64.3,65.5,57.4,65.3,61.8,64.5,78.2,60.0,56.5,82.7,71.8,51.4,-
,Tampa Bay Buccaneers,4 - 12,287,494,60.2,66.4,61.2,69.6,63.5,68.4,71.9,48.8,46.4,27.4,68.9,39.6,43.3
,Tennessee Titans,9 - 7,325,317,76.4,75.5,68.3,86.7,71.5,60.0,75.0,69.1,68.3,86.9,58.1,84.2,72.2
,Washington Redskins,5 - 11,288,367,71.1,71.4,59.7,69.1,73.4,70.5,72.4,64.3,58.9,81.5,69.8,56.9,-
,,,,,,,,,,,,,,,,,
