RANK,TEAM,RECORD,PF,PA,OVER,OFF,PASS,PBLK,RECV,RUN,RBLK,DEF,RDEF,TACK,PRSH,COV,SPEC
,Arizona Cardinals,7 - 8 - 1,418,362,89.1,76.5,71.7,60.2,77.2,64.0,79.8,85.6,80.2,70.0,80.2,86.0,59.1
,Atlanta Falcons,11 - 5,540,406,94.6,93.1,90.3,81.0,91.7,71.2,89.1,73.0,58.7,51.9,68.6,86.5,73.9
,Baltimore Ravens,8 - 8,343,321,90.0,74.1,65.2,84.1,69.6,74.4,69.6,82.7,90.3,75.7,59.5,90.2,90.3
,Buffalo Bills,7 - 9,399,378,79.7,76.0,70.4,77.1,68.4,75.9,77.8,69.3,73.9,56.8,63.5,66.4,65.8
,Carolina Panthers,6 - 10,369,402,84.9,74.9,69.5,77.2,78.0,52.7,71.6,76.8,70.9,67.6,76.7,74.8,82.4
,Chicago Bears,3 - 13,279,399,86.1,79.0,71.5,84.4,74.6,70.9,78.6,71.3,80.5,75.0,63.1,64.4,78.9
,Cincinnati Bengals,6 - 9 - 1,325,315,87.1,78.3,69.6,79.7,78.3,67.1,74.9,76.2,69.1,62.9,67.7,86.8,90.5
,Cleveland Browns,1 - 15,264,452,74.7,71.3,62.0,84.5,71.0,56.6,71.1,65.8,69.5,66.6,60.1,60.7,75.9
,Dallas Cowboys,13 - 3,421,306,92.1,84.7,78.0,80.7,81.7,71.9,82.6,76.1,61.2,80.8,62.3,92.0,59.2
,Denver Broncos,9 - 7,333,297,85.7,70.0,54.7,67.8,74.4,53.8,78.5,87.5,80.8,89.5,70.8,92.2,73.0
,Detroit Lions,9 - 7,346,358,82.3,77.6,78.8,78.1,75.5,61.4,70.3,63.0,59.5,78.9,54.4,72.0,90.6
,Green Bay Packers,10 - 6,432,388,87.7,83.6,88.2,94.1,76.0,70.0,67.7,70.4,84.2,77.4,71.2,52.0,53.1
,Houston Texans,9 - 7,279,328,77.5,66.9,50.7,72.5,67.4,60.7,71.3,81.1,74.7,79.4,68.6,90.5,66.6
,Indianapolis Colts,8 - 8,411,392,77.7,79.1,89.9,67.1,76.8,56.5,73.4,54.5,54.0,51.2,56.6,51.0,64.8
,Jacksonville Jaguars,3 - 13,318,400,75.4,67.4,55.7,76.1,68.5,61.1,68.7,75.1,78.9,81.3,63.0,77.5,58.3
,Kansas City Chiefs,12 - 4,389,311,89.3,75.9,76.2,81.9,73.3,61.9,70.3,79.3,71.1,78.5,67.4,90.7,88.9
,Los Angeles Rams,4 - 12,224,394,73.5,61.2,48.7,74.5,62.0,51.8,66.6,75.6,77.2,55.9,76.1,70.8,90.0
,Miami Dolphins,10 - 6,363,380,82.5,76.8,72.4,71.7,82.6,80.1,58.8,68.2,62.7,63.9,73.1,72.2,75.5
,Minnesota Vikings,8 - 8,327,307,81.9,73.5,74.9,64.7,78.1,54.8,66.5,74.6,76.0,61.0,68.8,71.1,86.0
,New England Patriots,14 - 2,441,250,94.5,87.6,92.7,82.6,81.8,56.9,83.2,88.2,90.5,78.9,64.7,91.2,90.8
,New Orleans Saints,7 - 9,469,454,83.7,83.0,82.8,84.0,81.8,58.5,75.0,60.1,67.9,76.2,68.3,40.1,63.8
,New York Giants,11 - 5,310,284,82.5,70.3,62.4,74.1,71.4,55.2,71.9,80.1,83.4,70.3,56.9,90.1,80.6
,New York Jets,5 - 11,275,409,68.5,65.7,51.1,78.9,64.1,69.3,66.2,63.5,78.5,76.9,56.6,50.6,73.0
,Oakland Raiders,12 - 4,416,385,91.9,83.2,83.9,86.3,77.0,61.7,87.6,74.3,72.9,77.1,73.3,71.6,73.1
,Philadelphia Eagles,7 - 9,367,331,85.3,73.0,68.6,82.7,65.7,58.0,81.9,79.1,76.2,52.4,77.4,77.4,87.3
,Pittsburgh Steelers,11 - 5,399,327,90.1,81.9,73.1,90.5,75.4,74.5,82.7,76.4,70.0,66.0,66.0,89.8,56.2
,San Diego Chargers,5 - 11,410,423,84.1,74.0,69.7,68.7,79.2,59.3,66.9,79.7,80.4,63.3,70.1,83.8,73.1
,San Francisco 49ers,2 - 14,309,480,61.8,60.9,49.4,67.0,59.1,62.3,67.3,61.4,60.1,64.6,58.3,65.8,68.4
,Seattle Seahawks,10 - 5 - 1,354,292,89.1,74.7,81.0,58.3,77.2,64.8,67.0,85.0,90.7,89.1,69.7,84.2,80.0
,Tampa Bay Buccaneers,9 - 7,354,369,83.3,79.1,72.8,71.6,84.5,61.0,73.1,69.2,53.7,58.0,64.4,85.4,69.2
,Tennessee Titans,9 - 7,381,378,86.5,79.6,65.2,89.7,76.5,63.4,85.4,71.8,78.9,73.7,68.2,61.7,66.2
,Washington Redskins,8 - 7 - 1,396,383,90.3,84.3,80.0,84.1,83.9,66.4,77.1,71.9,70.4,69.0,67.4,75.3,75.2
,,,,,,,,,,,,,,,,,
