RANK,TEAM,RECORD,PF,PA,OVER,OFF,PASS,PBLK,RECV,RUN,RBLK,DEF,RDEF,TACK,PRSH,COV,SPEC
,Arizona Cardinals,3 - 13,225,425,63.8,57.4,46.3,55.7,61.7,62.2,59.8,67.9,63.7,77.9,67.4,70.7,73.8
,Atlanta Falcons,7 - 9,414,423,90.0,82.4,80.0,78.2,81.2,69.5,73.8,71.9,70.0,49.5,68.9,74.4,73.4
,Baltimore Ravens,10 - 6,389,287,85.7,72.5,66.9,77.0,69.9,74.8,66.6,83.1,83.0,72.4,72.4,88.5,66.1
,Buffalo Bills,6 - 10,269,374,68.4,58.3,48.1,71.6,57.3,75.7,50.5,81.7,73.3,55.8,73.9,88.8,52.6
,Carolina Panthers,7 - 9,376,382,80.6,72.5,67.6,76.6,73.9,77.8,54.6,75.9,80.5,61.3,67.0,73.7,64.6
,Chicago Bears,12 - 4,421,283,92.9,72.0,59.1,83.8,74.7,64.5,65.7,92.8,92.5,81.6,75.8,95.7,66.6
,Cincinnati Bengals,6 - 10,368,455,78.8,69.9,70.4,66.8,70.6,77.8,56.7,74.8,77.8,50.5,69.7,69.4,68.8
,Cleveland Browns,7 - 8 - 1,359,392,80.0,77.2,74.1,85.5,72.3,81.2,63.7,69.0,62.2,33.3,64.2,79.3,54.5
,Dallas Cowboys,10 - 6,339,324,87.0,75.3,73.2,73.1,75.4,71.2,64.7,82.4,77.4,51.1,73.4,89.6,63.3
,Denver Broncos,6 - 10,329,349,86.5,73.8,67.3,62.6,70.0,84.7,74.2,82.5,90.0,64.4,76.8,72.4,74.7
,Detroit Lions,6 - 10,324,360,83.6,75.6,75.5,80.6,72.6,69.5,63.5,74.9,89.2,86.7,61.0,66.8,61.3
,Green Bay Packers,6 - 9 - 1,376,400,85.1,79.1,81.0,88.5,72.7,82.8,59.4,74.1,74.5,53.6,71.8,69.5,51.5
,Houston Texans,11 - 5,402,316,92.7,77.0,80.8,69.8,84.5,75.0,47.1,90.2,91.9,61.9,77.8,90.2,77.1
,Indianapolis Colts,10 - 6,433,344,92.3,83.3,88.3,79.8,75.4,75.5,76.5,78.1,88.5,80.1,66.0,76.9,80.9
,Jacksonville Jaguars,5 - 11,245,316,77.0,62.9,60.9,65.0,60.4,61.8,63.9,83.7,83.0,66.8,77.6,84.1,73.4
,Kansas City Chiefs,12 - 4,565,421,93.7,89.5,92.6,81.8,86.1,85.9,70.0,77.7,61.9,58.6,90.0,75.0,66.7
,Los Angeles Chargers,12 - 4,428,329,92.1,84.2,86.8,59.7,86.0,91.4,62.5,79.0,70.4,61.5,68.8,91.4,73.3
,Los Angeles Rams,13 - 3,527,384,95.5,91.7,84.0,82.3,90.3,81.3,82.1,87.7,77.9,89.9,86.3,90.2,77.6
,Miami Dolphins,7 - 9,319,433,70.8,65.0,45.8,63.2,74.1,73.8,56.1,67.4,76.1,53.2,66.7,57.0,74.7
,Minnesota Vikings,8 - 7 - 1,360,341,89.3,76.4,79.2,63.6,80.9,74.5,55.0,84.0,87.0,91.6,68.5,87.1,79.7
,New England Patriots,11 - 5,436,325,93.6,82.3,88.4,80.3,76.8,74.6,71.8,88.5,81.4,91.1,65.5,92.5,81.9
,New Orleans Saints,13 - 3,504,353,94.0,87.4,93.1,77.8,85.2,85.1,62.8,84.5,90.6,86.1,77.8,71.9,60.2
,New York Giants,5 - 11,369,412,81.0,73.7,62.8,66.2,79.8,80.4,62.3,70.5,73.3,52.6,68.3,68.7,79.0
,New York Jets,4 - 12,333,441,81.8,65.0,58.2,70.9,69.1,66.8,54.7,82.2,89.7,73.1,69.1,81.3,90.2
,Oakland Raiders,4 - 12,290,467,70.9,70.4,71.7,62.2,72.9,68.8,61.5,60.6,70.1,50.2,53.0,55.0,64.7
,Philadelphia Eagles,9 - 7,367,348,92.1,79.0,78.3,78.8,75.5,65.1,77.0,86.0,82.8,57.6,86.6,77.1,67.1
,Pittsburgh Steelers,9 - 6 - 1,428,360,89.2,79.9,74.9,87.3,76.5,76.1,64.9,81.1,86.6,85.1,74.8,75.8,56.0
,San Francisco 49ers,4 - 12,342,435,73.7,74.7,66.3,74.8,75.8,59.0,76.9,59.1,72.2,46.1,64.7,37.3,60.7
,Seattle Seahawks,10 - 6,428,347,88.5,79.0,84.2,72.9,80.8,81.5,62.4,77.9,82.0,72.3,67.1,79.4,68.1
,Tampa Bay Buccaneers,5 - 11,396,464,78.3,78.6,76.2,70.7,86.3,68.6,52.7,60.9,56.9,54.4,60.9,67.1,60.4
,Tennessee Titans,9 - 7,310,303,87.4,74.3,61.2,79.0,71.8,81.6,69.4,83.4,79.7,82.5,67.7,90.3,73.0
,Washington Redskins,7 - 9,281,359,74.8,64.1,57.9,71.1,63.9,75.4,56.8,77.8,72.3,84.0,70.6,80.9,64.5
,,,,,,,,,,,,,,,,,
