RANK,TEAM,RECORD,PF,PA,OVER,OFF,PASS,PBLK,RECV,RUN,RBLK,DEF,RDEF,TACK,PRSH,COV,SPEC
,Arizona Cardinals,4 - 13,340,449,65.9,63.3,58.4,71.6,65.1,76.5,47.1,60.8,50.0,53.4,67.4,66.0,90.0
,Atlanta Falcons,7 - 10,365,386,85.6,83.7,62.1,73.2,79.7,90.6,83.7,60.5,63.8,52.5,54.1,57.7,90.3
,Baltimore Ravens,10 - 7,350,315,88.2,77.4,63.5,79.6,68.1,90.0,77.8,75.8,71.6,60.2,70.5,76.7,84.9
,Buffalo Bills,13 - 3,455,286,84.1,77.7,83.3,63.0,76.2,91.7,50.2,70.5,50.8,36.4,77.8,80.3,75.0
,Carolina Panthers,7 - 10,347,374,72.9,67.8,58.6,72.8,67.8,83.6,56.0,65.6,68.7,47.8,68.2,54.2,90.1
,Chicago Bears,3 - 14,326,463,62.8,69.2,50.9,68.2,62.1,85.9,73.1,47.3,34.9,49.2,52.2,60.8,85.4
,Cincinnati Bengals,12 - 4,418,322,87.2,79.6,89.7,58.6,80.5,84.2,55.6,74.4,61.6,78.0,70.3,84.8,79.0
,Cleveland Browns,7 - 10,361,381,79.0,77.3,66.8,73.4,72.6,91.3,69.2,61.2,39.6,40.6,75.4,73.0,78.5
,Dallas Cowboys,12 - 5,467,342,84.7,75.3,64.9,68.4,75.6,88.5,63.7,73.6,59.9,80.8,84.8,75.5,82.5
,Denver Broncos,5 - 12,287,359,75.9,66.3,61.0,66.9,65.9,77.3,59.4,76.2,71.5,52.0,66.4,89.3,80.7
,Detroit Lions,9 - 8,453,427,81.0,79.0,71.7,63.4,80.9,84.4,68.7,60.4,55.5,62.8,71.2,48.8,90.7
,Green Bay Packers,8 - 9,370,371,81.2,76.2,76.9,77.6,70.3,91.4,55.9,67.4,53.1,57.7,71.5,77.7,71.0
,Houston Texans,3 - 13 - 1,289,420,61.1,62.8,56.4,60.9,69.9,70.5,47.9,51.0,35.0,34.4,70.3,55.8,90.3
,Indianapolis Colts,4 - 12 - 1,289,427,74.1,65.5,58.0,62.9,66.5,71.9,62.0,71.3,69.2,68.8,62.5,76.2,90.2
,Jacksonville Jaguars,9 - 8,404,350,79.7,71.2,72.7,73.4,71.0,85.3,47.0,72.7,69.4,37.3,77.6,64.0,76.0
,Kansas City Chiefs,14 - 3,496,369,92.7,85.4,89.0,73.0,82.7,78.4,74.1,78.2,62.4,53.3,75.5,88.2,88.9
,Las Vegas Raiders,6 - 11,395,418,79.8,76.4,65.4,73.0,79.3,90.9,57.9,62.2,58.2,41.1,69.4,53.5,74.7
,Los Angeles Chargers,10 - 7,391,384,75.6,72.6,76.4,66.7,76.2,77.9,45.7,60.5,35.3,45.5,67.0,82.6,87.6
,Los Angeles Rams,5 - 12,307,384,80.0,68.5,58.6,62.0,74.3,74.5,57.3,77.4,87.0,88.0,67.1,66.5,66.2
,Miami Dolphins,9 - 8,397,399,86.3,79.9,79.0,58.0,83.6,77.8,69.4,73.3,78.2,45.2,80.2,55.1,58.3
,Minnesota Vikings,13 - 4,424,427,92.1,80.6,75.7,66.3,81.1,78.5,74.3,80.7,86.1,83.7,73.9,71.0,73.5
,New England Patriots,8 - 9,364,347,81.2,72.0,71.4,72.5,71.6,81.5,56.7,75.8,71.7,87.1,73.5,75.0,69.8
,New Orleans Saints,7 - 10,330,345,82.4,73.9,80.9,61.7,75.8,83.1,53.0,71.7,65.6,47.4,67.0,78.1,90.2
,New York Giants,9 - 7 - 1,365,371,68.1,69.1,65.9,62.6,68.6,85.0,60.5,55.2,44.1,72.2,68.7,52.1,70.2
,New York Jets,7 - 10,296,316,79.0,63.0,47.7,59.2,71.4,77.2,52.0,85.2,74.0,51.0,81.6,89.6,85.1
,Philadelphia Eagles,14 - 3,477,344,93.0,83.6,77.5,83.2,80.2,86.2,73.6,84.0,66.3,53.4,88.6,86.6,63.3
,Pittsburgh Steelers,9 - 8,308,346,79.7,74.5,75.7,69.5,72.8,85.6,58.0,71.1,70.3,74.4,67.6,68.3,59.1
,San Francisco 49ers,13 - 4,450,277,92.8,82.1,72.3,75.6,85.6,83.3,68.1,84.1,79.4,88.5,78.3,87.2,74.8
,Seattle Seahawks,9 - 8,407,401,81.8,75.9,74.7,63.6,78.0,89.4,57.6,67.3,62.6,51.7,66.5,69.8,84.2
,Tampa Bay Buccaneers,8 - 9,313,358,77.8,72.3,77.8,76.9,71.9,63.7,54.0,68.3,57.8,58.5,64.0,82.7,64.1
,Tennessee Titans,7 - 10,298,359,79.8,69.5,64.7,52.4,69.5,90.3,62.1,75.4,82.0,55.4,71.8,70.1,90.4
,Washington Commanders,8 - 8 - 1,321,343,77.3,67.6,53.4,61.7,75.1,77.2,55.6,74.4,61.6,68.0,71.9,83.1,90.4
,,,,,,,,,,,,,,,,,
