RANK,TEAM,RECORD,PF,PA,OVER,OFF,PASS,PBLK,RECV,RUN,RBLK,DEF,RDEF,TACK,PRSH,COV,SPEC
,Arizona Cardinals,13 - 3,489,313,92.7,88.1,91.1,67.0,89.1,59.0,80.9,76.6,68.8,67.6,68.2,87.9,58.8
,Atlanta Falcons,8 - 8,339,345,86.2,82.0,80.0,81.6,80.5,56.0,80.0,67.8,70.7,67.2,66.1,62.7,60.7
,Baltimore Ravens,5 - 11,328,401,82.0,74.4,60.3,74.7,79.1,57.7,76.0,69.6,81.1,69.9,64.5,58.0,76.1
,Buffalo Bills,8 - 8,379,359,74.9,74.8,66.6,76.0,73.3,73.2,72.3,63.9,74.7,68.8,56.5,62.2,50.3
,Carolina Panthers,15 - 1,500,308,93.9,85.5,83.8,85.0,84.1,72.5,72.6,85.7,72.5,68.2,69.2,92.9,65.8
,Chicago Bears,6 - 10,335,397,83.6,78.6,71.6,67.5,78.0,69.9,79.6,67.7,75.3,71.7,65.4,57.5,68.9
,Cincinnati Bengals,12 - 4,419,279,92.6,82.9,82.3,79.7,86.8,65.3,70.1,79.5,77.8,66.1,69.7,87.1,75.0
,Cleveland Browns,3 - 13,278,432,71.1,68.3,51.5,83.0,67.3,68.5,71.2,63.3,61.7,64.0,66.2,61.0,62.6
,Dallas Cowboys,4 - 12,275,374,77.6,73.6,55.9,88.7,68.9,64.3,84.7,64.5,57.4,64.9,68.0,64.0,63.2
,Denver Broncos,12 - 4,355,296,91.9,73.7,64.3,70.4,75.5,58.4,75.1,90.4,91.2,83.8,80.4,91.2,67.9
,Detroit Lions,7 - 9,358,400,84.3,76.1,64.1,72.7,82.2,57.3,70.8,72.1,80.1,71.5,66.5,63.9,66.4
,Green Bay Packers,10 - 6,368,323,83.1,74.5,70.6,86.1,67.4,66.8,73.9,73.6,71.4,57.3,66.9,78.3,70.2
,Houston Texans,9 - 7,339,313,87.6,73.0,65.3,77.9,71.8,56.6,76.3,86.2,85.6,66.1,74.2,89.5,89.0
,Indianapolis Colts,8 - 8,333,408,75.2,70.3,54.9,78.1,73.1,59.6,69.8,66.6,73.5,69.9,62.9,57.8,55.3
,Jacksonville Jaguars,5 - 11,376,448,72.4,75.5,62.6,72.5,79.9,67.2,68.6,54.6,56.7,50.7,63.7,43.2,71.2
,Kansas City Chiefs,11 - 5,405,287,87.3,72.8,65.2,66.5,71.8,73.3,74.6,83.8,90.3,76.7,69.1,83.2,70.0
,Miami Dolphins,6 - 10,310,389,79.7,72.1,66.7,69.6,74.4,80.8,56.5,71.3,69.0,64.2,88.0,58.2,85.1
,Minnesota Vikings,11 - 5,365,302,85.2,74.3,64.7,68.9,73.1,71.1,75.2,78.0,74.5,77.9,75.3,76.2,77.5
,New England Patriots,12 - 4,465,315,94.1,83.1,91.1,64.0,80.5,69.8,72.8,88.2,77.0,84.5,77.1,90.9,74.9
,New Orleans Saints,7 - 9,408,476,79.4,83.3,85.7,80.2,79.6,63.4,79.5,50.4,68.4,63.4,58.2,29.8,67.0
,New York Giants,6 - 10,420,442,73.8,71.7,65.2,70.9,72.4,64.3,71.1,60.8,62.6,56.7,64.6,49.9,71.1
,New York Jets,10 - 6,387,314,82.0,71.8,60.6,74.3,73.2,72.9,66.7,77.4,90.4,70.5,65.6,66.5,61.8
,Oakland Raiders,7 - 9,359,399,86.3,77.6,74.9,88.2,71.6,63.2,78.9,73.8,75.9,48.1,71.2,66.9,66.3
,Philadelphia Eagles,7 - 9,377,430,81.4,72.9,76.1,72.1,62.5,57.3,88.0,74.1,69.8,60.8,77.2,68.0,63.3
,Pittsburgh Steelers,10 - 6,423,319,91.1,87.2,78.6,83.3,86.9,81.0,76.5,68.3,65.4,36.8,68.6,67.7,74.8
,San Diego Chargers,4 - 12,320,398,68.4,69.3,70.7,62.0,73.7,58.7,60.5,58.8,48.3,40.8,66.5,65.4,70.5
,San Francisco 49ers,5 - 11,238,387,71.0,66.3,55.4,77.3,67.1,63.9,62.7,68.7,86.0,72.5,61.3,53.7,61.2
,Seattle Seahawks,10 - 6,423,277,93.2,82.7,82.2,65.2,82.8,88.9,69.5,85.7,79.6,75.6,76.4,90.7,65.4
,St. Louis Rams,7 - 9,280,330,79.3,66.8,62.1,68.8,63.6,68.7,66.9,77.9,84.8,63.3,78.2,65.7,63.6
,Tampa Bay Buccaneers,6 - 10,342,417,74.3,78.8,67.2,73.2,78.3,81.8,77.3,52.9,59.5,44.3,65.1,37.5,70.3
,Tennessee Titans,3 - 13,299,423,78.2,69.9,55.3,70.7,73.6,55.6,74.5,72.2,79.8,79.6,68.0,62.5,78.5
,Washington Redskins,9 - 7,388,379,78.3,77.8,72.9,75.2,81.4,51.5,77.6,59.6,58.1,59.9,71.7,47.3,63.9
,,,,,,,,,,,,,,,,,
