RANK,TEAM,RECORD,PF,PA,OVER,OFF,PASS,PBLK,RECV,RUN,RBLK,DEF,RDEF,TACK,PRSH,COV,SPEC
,Arizona Cardinals,11 - 5,310,299,71.5,68.8,55.4,77.6,71.7,55.1,71.9,65.1,75.6,62.0,51.7,66.3,53.4
,Atlanta Falcons,6 - 10,381,417,85.1,81.2,83.4,80.2,77.7,67.0,72.1,62.5,76.5,73.1,59.4,42.5,61.2
,Baltimore Ravens,10 - 6,409,302,92.6,83.6,77.1,84.1,78.0,59.8,88.5,79.4,91.1,63.1,72.5,68.3,76.5
,Buffalo Bills,9 - 7,343,289,78.8,67.0,57.4,73.3,68.6,60.0,66.2,79.1,84.7,75.8,65.3,88.4,62.8
,Carolina Panthers,7 - 8 - 1,339,374,83.7,76.8,76.3,71.6,77.2,66.6,68.5,71.6,74.0,70.3,67.3,69.9,66.2
,Chicago Bears,5 - 11,319,442,75.0,71.7,63.0,75.2,70.7,58.7,81.3,67.1,81.6,88.0,69.1,44.4,47.5
,Cincinnati Bengals,10 - 5 - 1,365,344,83.0,78.0,69.8,82.8,72.3,58.1,86.7,68.2,70.1,59.9,51.9,85.0,69.1
,Cleveland Browns,7 - 9,299,337,85.1,74.7,56.4,87.5,81.0,46.9,78.2,79.8,73.3,81.3,58.2,92.4,64.3
,Dallas Cowboys,12 - 4,467,352,93.3,91.8,79.9,89.2,85.7,77.2,89.7,69.7,63.4,56.2,69.5,72.1,63.3
,Denver Broncos,12 - 4,482,354,93.5,85.4,78.3,81.1,83.4,74.5,81.4,85.5,87.3,80.6,67.8,91.2,50.0
,Detroit Lions,11 - 5,321,282,88.1,76.7,68.9,79.9,75.6,69.5,70.8,84.7,90.6,61.7,71.0,90.0,44.8
,Green Bay Packers,12 - 4,486,348,92.1,88.4,90.9,92.1,81.3,74.9,74.6,71.1,65.6,69.7,63.3,81.3,44.8
,Houston Texans,9 - 7,372,307,84.3,76.2,68.9,76.2,71.0,60.2,84.3,76.0,69.4,77.0,68.0,87.5,51.0
,Indianapolis Colts,11 - 5,458,369,89.2,79.1,75.7,79.2,77.0,67.1,71.8,73.0,74.5,69.4,55.1,88.2,77.6
,Jacksonville Jaguars,3 - 13,249,412,58.6,59.0,43.7,70.2,60.7,55.0,64.9,60.2,65.4,58.5,68.7,41.7,48.3
,Kansas City Chiefs,9 - 7,353,281,83.5,72.9,74.2,69.5,69.2,64.1,74.0,73.8,57.3,62.7,67.7,90.0,82.2
,Miami Dolphins,8 - 8,388,373,83.8,74.7,75.5,67.1,73.8,73.6,65.0,76.7,75.8,66.0,78.5,67.9,70.1
,Minnesota Vikings,7 - 9,325,343,86.3,74.5,67.4,72.4,72.9,64.7,77.6,81.6,89.1,90.0,67.7,81.6,59.1
,New England Patriots,12 - 4,468,313,91.9,80.7,82.0,68.5,81.0,66.7,74.1,79.6,85.9,79.6,58.7,89.7,62.5
,New Orleans Saints,7 - 9,401,424,80.2,83.2,88.2,77.0,76.1,73.3,75.4,52.7,59.8,39.7,62.2,36.6,61.1
,New York Giants,6 - 10,380,400,80.4,78.1,68.9,78.6,81.5,60.6,74.2,62.0,62.3,69.9,68.5,54.2,69.0
,New York Jets,4 - 12,283,401,77.0,67.1,52.5,79.0,64.5,62.3,74.0,80.0,91.9,76.6,64.3,72.0,51.9
,Oakland Raiders,3 - 13,253,452,61.4,61.3,51.8,80.2,61.0,46.0,66.0,60.1,67.6,57.7,63.6,47.6,56.6
,Philadelphia Eagles,10 - 6,474,400,91.8,78.9,63.0,80.2,76.0,55.5,91.2,78.3,86.2,77.3,68.4,75.3,83.8
,Pittsburgh Steelers,11 - 5,436,368,89.6,86.9,87.8,88.3,81.8,70.9,76.7,65.2,70.9,63.7,64.7,62.2,48.5
,San Diego Chargers,9 - 7,348,348,82.1,79.6,77.5,75.5,81.7,60.2,69.1,63.9,62.0,71.0,61.7,68.0,55.6
,San Francisco 49ers,8 - 8,306,340,85.7,76.0,64.7,78.1,71.1,60.3,88.9,78.0,84.5,82.0,58.7,87.7,52.5
,Seattle Seahawks,12 - 4,394,254,89.6,79.3,71.2,70.7,76.2,86.2,76.4,80.9,77.4,69.9,72.2,90.3,52.5
,St. Louis Rams,6 - 10,324,354,79.9,71.3,61.0,70.2,76.0,63.4,70.1,71.9,76.0,57.7,68.0,68.9,70.1
,Tampa Bay Buccaneers,2 - 14,277,410,65.8,68.6,58.6,66.2,70.3,57.7,80.9,57.7,58.3,52.6,66.7,48.8,46.7
,Tennessee Titans,2 - 14,254,438,66.8,69.9,56.6,71.8,69.7,58.9,83.3,56.0,62.1,63.5,57.2,48.8,46.2
,Washington Redskins,4 - 12,301,438,60.7,69.4,56.8,78.9,71.0,60.0,70.0,45.0,54.3,55.9,62.0,28.6,37.1
,,,,,,,,,,,,,,,,,
