RANK,TEAM,RECORD,PF,PA,OVER,OFF,PASS,PBLK,RECV,RUN,RBLK,DEF,RDEF,TACK,PRSH,COV,SPEC
,Arizona Cardinals,8 - 9,400,379,84.9,81.0,77.9,75.8,78.3,90.2,66.6,64.8,64.5,43.9,59.0,66.1,81.5
,Atlanta Falcons,8 - 9,389,423,92.0,88.3,77.7,72.8,82.1,93.2,82.8,68.0,66.6,33.3,59.0,75.7,75.4
,Baltimore Ravens,12 - 5,518,361,93.1,90.4,92.5,73.3,88.5,93.6,63.9,75.7,75.6,64.1,70.6,77.2,60.7
,Buffalo Bills,13 - 4,525,368,81.8,79.7,79.9,74.7,73.4,92.7,64.5,63.1,57.9,53.9,76.3,48.3,82.3
,Carolina Panthers,5 - 12,341,534,62.4,72.2,74.2,69.4,63.2,81.8,73.1,44.6,37.4,43.3,51.9,50.1,63.4
,Chicago Bears,5 - 12,310,370,76.6,69.1,62.9,72.8,67.8,73.9,65.6,70.8,64.4,67.3,69.0,74.4,77.4
,Cincinnati Bengals,9 - 8,472,434,83.6,78.6,92.9,56.2,80.3,72.4,50.7,66.0,66.1,43.2,64.2,61.3,90.9
,Cleveland Browns,3 - 14,258,435,70.5,62.1,59.8,59.5,65.3,74.8,50.2,74.5,81.3,28.5,81.0,49.5,89.9
,Dallas Cowboys,7 - 10,350,468,72.7,66.5,64.1,62.1,69.4,60.7,63.7,62.9,48.0,43.9,79.1,62.1,78.5
,Denver Broncos,10 - 7,425,311,87.0,74.0,73.3,83.6,68.2,70.7,67.7,77.9,71.7,64.7,77.0,80.3,90.1
,Detroit Lions,15 - 2,564,342,93.8,88.3,80.8,68.4,89.3,90.2,78.4,77.7,71.4,74.3,74.6,80.7,86.8
,Green Bay Packers,11 - 6,460,338,84.5,79.7,76.1,82.1,75.3,91.6,62.2,71.0,61.9,70.0,68.8,81.6,53.0
,Houston Texans,10 - 7,372,372,83.6,75.2,77.1,66.8,77.6,81.7,57.1,71.4,65.9,40.1,72.0,73.2,77.9
,Indianapolis Colts,8 - 9,377,427,83.2,74.2,65.1,72.5,73.8,65.4,76.7,74.2,75.8,42.7,67.9,71.0,76.0
,Jacksonville Jaguars,4 - 13,320,435,74.7,70.4,69.8,66.7,71.0,77.0,57.2,63.1,64.1,59.4,65.1,55.4,89.0
,Kansas City Chiefs,15 - 2,385,326,89.0,77.9,77.1,70.7,73.4,81.7,73.6,79.5,72.2,71.9,74.2,84.8,81.7
,Las Vegas Raiders,4 - 13,309,434,69.4,69.4,57.9,69.9,75.8,56.5,63.5,57.2,69.9,40.2,64.1,32.0,69.5
,Los Angeles Chargers,11 - 6,402,301,90.2,78.7,90.9,73.2,74.3,69.3,63.4,76.6,74.6,53.1,68.8,83.3,82.3
,Los Angeles Rams,10 - 7,367,386,84.6,79.7,73.2,54.2,83.6,76.0,76.8,67.6,68.5,41.9,73.4,57.2,82.3
,Miami Dolphins,8 - 9,345,364,74.9,69.4,65.5,66.1,72.7,80.5,56.0,67.8,73.7,28.5,67.7,55.6,58.7
,Minnesota Vikings,14 - 3,432,332,86.2,79.6,80.6,69.3,82.8,77.1,65.9,71.4,75.4,67.9,64.8,67.0,85.7
,New England Patriots,4 - 13,289,417,68.3,63.2,68.2,52.2,66.8,80.3,45.6,64.4,58.2,75.4,62.1,68.8,90.5
,New Orleans Saints,5 - 12,338,398,70.3,71.0,68.9,51.6,70.2,84.7,67.8,57.5,48.0,38.4,65.6,56.5,70.3
,New York Giants,3 - 14,273,415,68.7,64.4,58.5,57.6,67.1,75.0,59.7,66.9,64.2,48.9,76.3,52.9,75.6
,New York Jets,5 - 12,338,404,76.1,74.5,77.2,68.9,71.1,78.4,67.4,64.0,58.6,42.5,66.5,69.8,76.4
,Philadelphia Eagles,14 - 3,463,303,93.3,80.3,67.9,73.9,77.7,88.4,75.2,90.5,76.3,52.0,86.7,92.8,79.3
,Pittsburgh Steelers,10 - 7,380,347,87.1,74.3,74.2,60.8,73.0,81.8,68.4,79.0,73.1,67.9,90.6,58.7,85.0
,San Francisco 49ers,6 - 11,389,436,86.2,82.3,73.1,72.0,81.4,82.0,80.0,68.3,54.6,48.8,68.3,83.1,84.7
,Seattle Seahawks,10 - 7,375,368,85.5,76.8,79.7,60.1,79.0,90.4,58.6,69.8,65.5,63.9,70.3,70.3,88.4
,Tampa Bay Buccaneers,10 - 7,502,385,86.3,82.2,82.4,82.5,78.2,90.6,65.7,66.0,64.3,43.0,67.3,63.9,77.2
,Tennessee Titans,3 - 14,311,460,67.0,62.4,57.0,60.1,70.8,72.7,46.6,67.5,72.6,56.6,62.1,61.3,69.8
,Washington Commanders,12 - 5,485,391,78.4,77.9,87.0,64.1,74.7,90.0,58.6,59.5,54.2,53.9,69.3,53.5,82.8
,,,,,,,,,,,,,,,,,
