RANK,TEAM,RECORD,PF,PA,OVER,OFF,PASS,PBLK,RECV,RUN,RBLK,DEF,RDEF,TACK,PRSH,COV,SPEC
,Arizona Cardinals,8 - 8,295,361,73.0,62.4,55.5,55.4,67.6,58.6,62.4,80.4,82.6,89.2,72.8,82.7,54.3
,Atlanta Falcons,10 - 6,353,315,94.7,87.4,88.5,77.2,82.5,74.0,83.9,89.7,87.0,79.2,74.7,91.3,70.0
,Baltimore Ravens,9 - 7,395,303,86.0,69.7,68.5,73.2,63.0,77.4,63.5,84.6,82.7,79.4,66.6,91.1,75.5
,Buffalo Bills,9 - 7,302,359,80.6,70.8,69.5,82.6,60.8,70.9,69.3,76.8,69.0,64.6,61.1,91.2,73.2
,Carolina Panthers,11 - 5,363,327,79.9,69.4,63.2,79.1,67.6,65.6,62.6,76.8,82.0,71.3,72.5,67.3,69.8
,Chicago Bears,5 - 11,264,320,84.5,70.0,70.5,71.4,66.9,60.9,72.8,86.2,89.7,82.7,64.5,90.4,68.2
,Cincinnati Bengals,7 - 9,290,349,78.3,68.4,70.5,68.5,69.3,67.3,56.2,75.5,72.1,71.7,74.2,73.9,74.8
,Cleveland Browns,0 - 16,234,410,70.3,63.1,49.2,80.1,62.0,67.6,59.3,72.4,86.7,69.3,56.2,68.1,76.5
,Dallas Cowboys,9 - 7,354,332,85.9,74.9,68.1,67.7,66.8,75.3,79.8,79.9,71.1,82.6,82.2,82.5,78.7
,Denver Broncos,5 - 11,289,382,77.4,63.9,47.1,68.6,65.4,69.9,65.9,86.8,92.4,81.5,75.3,71.4,70.7
,Detroit Lions,9 - 7,410,376,85.0,77.3,75.6,72.0,85.3,52.1,61.2,71.5,73.3,58.5,67.1,68.2,77.6
,Green Bay Packers,7 - 9,320,384,80.0,72.1,67.0,79.6,66.9,80.2,62.9,75.7,91.2,78.7,67.9,54.9,57.7
,Houston Texans,4 - 12,338,436,72.9,63.8,57.4,54.8,74.1,66.2,51.6,77.4,89.9,71.4,65.2,70.4,60.7
,Indianapolis Colts,4 - 12,263,404,75.5,62.8,58.4,69.3,62.1,68.3,56.1,80.4,91.1,82.6,72.5,62.3,68.4
,Jacksonville Jaguars,10 - 6,417,268,92.3,72.2,67.7,70.0,75.8,66.2,66.4,91.7,87.7,75.0,85.6,93.5,67.6
,Kansas City Chiefs,10 - 6,415,339,85.8,77.4,77.2,74.5,78.5,73.8,64.0,71.2,72.1,55.6,63.6,71.9,80.2
,Los Angeles Chargers,9 - 7,355,272,91.9,77.1,79.4,65.8,82.1,70.3,59.0,90.2,71.3,63.7,80.9,94.2,60.2
,Los Angeles Rams,11 - 5,478,329,92.3,78.9,71.7,74.0,77.3,72.0,79.1,82.9,63.2,63.4,77.4,92.0,82.8
,Miami Dolphins,6 - 10,281,393,73.0,65.9,56.1,71.2,73.6,77.8,48.1,70.3,78.8,66.1,76.7,58.5,74.9
,Minnesota Vikings,13 - 3,382,252,94.0,80.8,77.9,74.1,83.9,76.9,66.5,90.8,91.5,84.2,76.0,91.9,89.2
,New England Patriots,13 - 3,458,296,92.8,88.2,92.0,76.5,77.7,74.7,86.4,73.0,69.7,79.8,59.0,85.6,76.9
,New Orleans Saints,11 - 5,448,326,93.1,82.5,85.0,83.2,79.2,78.1,66.9,84.0,82.6,80.3,73.8,87.8,81.0
,New York Giants,3 - 13,246,388,73.0,66.6,68.0,66.8,63.7,64.2,63.4,75.6,83.3,73.8,61.7,69.2,48.5
,New York Jets,5 - 11,298,382,71.9,65.9,59.0,66.1,70.9,66.1,56.9,69.7,84.6,66.5,63.5,55.1,69.5
,Oakland Raiders,6 - 10,301,373,79.2,69.9,70.5,81.3,64.4,69.3,64.4,75.3,84.2,84.2,72.4,59.3,80.2
,Philadelphia Eagles,13 - 3,457,295,93.1,79.2,78.8,73.0,76.5,65.4,78.9,90.1,81.9,57.1,84.9,92.1,88.7
,Pittsburgh Steelers,13 - 3,406,308,92.5,84.6,84.4,84.4,81.2,70.5,75.5,76.9,68.2,29.6,77.4,80.2,66.4
,San Francisco 49ers,6 - 10,331,383,82.8,74.9,72.2,73.1,72.1,67.8,76.1,70.8,74.8,66.4,73.2,64.0,79.8
,Seattle Seahawks,9 - 7,366,332,86.4,70.8,74.5,63.2,74.4,68.7,55.3,86.9,79.0,91.7,77.0,92.6,70.2
,Tampa Bay Buccaneers,5 - 11,335,382,82.9,76.4,74.2,69.7,82.0,58.5,66.0,74.1,70.4,52.7,66.7,80.4,67.0
,Tennessee Titans,9 - 7,334,356,87.6,74.3,69.3,82.0,71.8,71.0,65.5,82.3,90.3,80.2,70.1,75.1,59.1
,Washington Redskins,7 - 9,342,388,78.8,69.4,68.7,67.0,73.5,58.3,61.1,77.1,65.7,64.3,77.6,83.9,68.3
,,,,,,,,,,,,,,,,,
