RANK,TEAM,RECORD,PF,PA,OVER,OFF,PASS,PBLK,RECV,RUN,RBLK,DEF,RDEF,TACK,PRSH,COV,SPEC
,Arizona Cardinals,8 - 8,410,367,72.8,74.5,74.0,73.7,75.4,75.9,60.7,54.2,40.4,65.9,69.8,49.8,90.1
,Atlanta Falcons,4 - 12,396,414,77.6,76.4,83.4,62.4,78.3,61.2,64.1,61.7,58.7,58.2,71.3,54.7,71.3
,Baltimore Ravens,11 - 5,468,303,82.7,76.6,74.3,74.2,69.9,86.3,70.5,67.1,60.8,46.1,66.7,71.2,88.2
,Buffalo Bills,13 - 3,501,375,91.9,87.3,89.5,71.9,87.9,80.2,71.2,64.3,40.4,55.6,80.5,69.9,90.6
,Carolina Panthers,5 - 11,350,402,70.5,72.9,65.4,67.2,71.9,81.0,65.4,53.5,43.0,49.2,71.4,48.3,82.3
,Chicago Bears,8 - 8,372,370,84.6,73.6,62.8,59.4,74.6,83.0,70.5,74.2,70.8,67.0,81.8,65.6,90.3
,Cincinnati Bengals,4 - 11 - 1,311,424,71.8,69.8,69.0,58.3,71.9,67.1,65.0,60.2,45.0,61.5,63.0,72.6,90.2
,Cleveland Browns,11 - 5,408,419,88.5,86.9,81.8,86.5,79.4,82.6,81.4,64.3,59.1,62.7,74.0,57.0,85.3
,Dallas Cowboys,6 - 10,395,473,71.4,71.3,69.4,59.1,74.1,77.7,57.1,53.0,44.5,54.8,74.5,45.6,91.1
,Denver Broncos,5 - 11,323,446,73.2,66.8,55.9,62.5,69.2,82.9,58.0,73.5,69.8,62.2,75.4,70.3,51.0
,Detroit Lions,5 - 11,377,519,70.2,77.5,75.0,71.9,78.2,66.7,70.3,42.7,39.9,31.4,70.3,28.7,90.4
,Green Bay Packers,13 - 3,509,369,92.8,90.2,94.1,80.0,79.3,85.0,76.2,71.4,60.7,50.6,71.6,80.4,65.6
,Houston Texans,4 - 12,384,464,75.5,82.5,90.9,72.1,81.9,74.6,59.3,46.8,36.1,47.8,66.3,41.1,84.8
,Indianapolis Colts,11 - 5,451,362,90.5,81.9,74.9,71.6,77.3,86.5,78.8,71.4,65.1,76.0,72.0,76.6,91.4
,Jacksonville Jaguars,1 - 15,306,492,63.3,69.2,60.8,64.7,71.5,75.5,60.2,50.0,55.6,55.1,63.7,33.0,75.1
,Kansas City Chiefs,14 - 2,473,362,89.3,86.6,90.1,72.1,85.4,80.4,71.8,63.2,56.4,52.4,68.4,62.6,73.8
,Las Vegas Raiders,8 - 8,434,478,73.3,79.3,84.9,67.2,80.7,77.8,59.3,47.8,49.1,35.9,64.6,33.5,72.4
,Los Angeles Chargers,7 - 9,384,426,75.0,71.6,77.6,54.5,78.3,75.7,46.5,65.7,63.3,58.1,72.9,59.4,78.8
,Los Angeles Rams,10 - 6,372,296,92.0,79.0,71.8,71.8,75.4,76.6,77.3,86.0,71.5,80.5,84.9,88.6,77.8
,Miami Dolphins,10 - 6,404,338,77.1,72.8,68.7,63.5,76.5,77.1,56.2,65.3,65.5,44.1,72.2,54.2,69.1
,Minnesota Vikings,7 - 9,430,475,78.5,84.3,80.8,55.7,89.9,91.3,65.7,53.4,41.5,46.3,59.3,61.0,78.6
,New England Patriots,7 - 9,326,353,79.5,76.2,64.9,67.7,70.6,83.0,76.2,63.3,55.5,74.5,67.2,64.1,87.4
,New Orleans Saints,12 - 4,482,337,90.8,81.0,70.4,70.2,78.6,86.4,76.0,74.6,79.6,60.8,80.4,58.4,90.6
,New York Giants,6 - 10,280,357,75.0,70.0,73.5,50.7,71.0,73.8,62.5,67.8,72.8,45.7,70.9,52.6,76.7
,New York Jets,2 - 14,243,457,64.1,64.2,53.1,53.4,66.3,75.2,65.2,60.0,71.3,50.7,71.0,33.3,72.3
,Philadelphia Eagles,4 - 11 - 1,334,418,70.5,67.3,58.4,67.5,65.6,75.0,67.1,63.6,59.2,40.2,85.4,47.4,90.8
,Pittsburgh Steelers,12 - 4,416,312,83.8,68.6,69.9,73.9,68.1,66.0,50.4,85.0,70.5,43.2,88.9,82.1,80.7
,San Francisco 49ers,6 - 10,376,390,85.9,78.8,61.1,60.4,82.1,80.0,81.0,71.4,66.7,72.6,63.6,81.4,77.6
,Seattle Seahawks,12 - 4,459,371,90.0,82.8,88.6,66.0,80.0,81.1,72.7,70.7,80.5,84.5,66.1,61.4,86.5
,Tampa Bay Buccaneers,11 - 5,492,355,92.5,86.5,91.1,69.6,82.2,81.9,72.9,73.8,68.1,49.6,79.0,72.2,70.9
,Tennessee Titans,11 - 5,491,439,90.5,89.5,84.7,56.7,88.3,92.3,78.0,64.3,59.5,61.9,62.9,68.2,67.5
,Washington Football Team,7 - 9,335,329,81.6,71.0,60.8,76.6,66.0,76.4,71.6,78.7,69.0,70.1,81.4,83.4,79.2
,,,,,,,,,,,,,,,,,
